item_code	current_item_name	current_required_specs	current_uom	target_top_category	target_second_layer_family	target_third_layer_name	decision	confidence	assumed_specs	manual_judgment	next_action
CHEM-000001	聚氨酯堵漏剂	包装规格：20kg	桶	化工胶粘涂料	胶粘密封	聚氨酯堵漏剂	脱水保留	high		该物料属于粘接、填缝、堵漏或密封材料，三级名称只保留胶种或稳定功能，容量和品牌型号下压为规格。	补齐容量、品牌、颜色、固化方式、组分和适用材料后再建档或采购。
CHEM-000003	502胶水	类型：502	支	化工胶粘涂料	胶粘密封	瞬干胶	三级名称修正	high	型号/俗称：502	该物料属于粘接、填缝、堵漏或密封材料，三级名称只保留胶种或稳定功能，容量和品牌型号下压为规格。	补齐容量、品牌、颜色、固化方式、组分和适用材料后再建档或采购。
CHEM-000005	发泡胶	品牌：雨虹；特性：高倍	支	化工胶粘涂料	胶粘密封	泡沫填缝剂	三级名称修正	high	俗称/原名称：发泡胶	该物料属于粘接、填缝、堵漏或密封材料，三级名称只保留胶种或稳定功能，容量和品牌型号下压为规格。	补齐容量、品牌、颜色、固化方式、组分和适用材料后再建档或采购。
CHEM-000022	AB胶	品牌/型号：卡夹特；类型：AB胶	套	化工胶粘涂料	胶粘密封	AB胶	脱水保留	high		该物料属于粘接、填缝、堵漏或密封材料，三级名称只保留胶种或稳定功能，容量和品牌型号下压为规格。	补齐容量、品牌、颜色、固化方式、组分和适用材料后再建档或采购。
CHEM-000025	玻璃胶	颜色：白色	支	化工胶粘涂料	胶粘密封	玻璃胶	脱水保留	high		该物料属于粘接、填缝、堵漏或密封材料，三级名称只保留胶种或稳定功能，容量和品牌型号下压为规格。	补齐容量、品牌、颜色、固化方式、组分和适用材料后再建档或采购。
CHEM-000026	588密封胶	型号：588	支	化工胶粘涂料	胶粘密封	密封胶	三级名称脱水	high	型号：588	该物料属于粘接、填缝、堵漏或密封材料，三级名称只保留胶种或稳定功能，容量和品牌型号下压为规格。	补齐容量、品牌、颜色、固化方式、组分和适用材料后再建档或采购。
CHEM-000027	双面胶	类型：双面胶	卷	化工胶粘涂料	胶粘密封	双面胶带	三级名称修正	high		该物料属于粘接、填缝、堵漏或密封材料，三级名称只保留胶种或稳定功能，容量和品牌型号下压为规格。	补齐容量、品牌、颜色、固化方式、组分和适用材料后再建档或采购。
CHEM-000036	万能胶	类型：万能胶	桶	化工胶粘涂料	胶粘密封	万能胶	脱水保留	high		该物料属于粘接、填缝、堵漏或密封材料，三级名称只保留胶种或稳定功能，容量和品牌型号下压为规格。	补齐容量、品牌、颜色、固化方式、组分和适用材料后再建档或采购。
CHEM-000038	植筋胶	类型：注射式	支	化工胶粘涂料	胶粘密封	植筋胶	脱水保留	high		该物料属于粘接、填缝、堵漏或密封材料，三级名称只保留胶种或稳定功能，容量和品牌型号下压为规格。	补齐容量、品牌、颜色、固化方式、组分和适用材料后再建档或采购。
CHEM-000041	聚氨酯堵漏剂	材质：聚氨酯；类型：油性	KG	化工胶粘涂料	胶粘密封	聚氨酯堵漏剂	脱水保留	high		该物料属于粘接、填缝、堵漏或密封材料，三级名称只保留胶种或稳定功能，容量和品牌型号下压为规格。	补齐容量、品牌、颜色、固化方式、组分和适用材料后再建档或采购。
CHEM-000042	聚氨酯堵漏剂	材质：聚氨酯；类型：水性	KG	化工胶粘涂料	胶粘密封	聚氨酯堵漏剂	脱水保留	high		该物料属于粘接、填缝、堵漏或密封材料，三级名称只保留胶种或稳定功能，容量和品牌型号下压为规格。	补齐容量、品牌、颜色、固化方式、组分和适用材料后再建档或采购。
CHEM-000045	胶水	型号：101	件	化工胶粘涂料	胶粘密封	胶水	复核	medium	型号：101	该物料属于粘接、填缝、堵漏或密封材料，三级名称只保留胶种或稳定功能，容量和品牌型号下压为规格。	采购前确认101对应的具体胶种、品牌和容量。
CHEM-000046	厚双面胶	类型：双面胶；特征：厚	卷	化工胶粘涂料	胶粘密封	双面胶带	三级名称修正	high	特征：厚	该物料属于粘接、填缝、堵漏或密封材料，三级名称只保留胶种或稳定功能，容量和品牌型号下压为规格。	补齐容量、品牌、颜色、固化方式、组分和适用材料后再建档或采购。
