item_code	current_item_name	current_required_specs	current_uom	target_top_category	target_second_layer_family	target_third_layer_name	decision	confidence	assumed_specs	manual_judgment	next_action
CHEM-000107	油漆滚筒	规格：大号；用途：油漆	只	工具耗材	刷涂耗材	滚筒刷	三级名称修正	high		油漆滚筒与滚筒刷同物异名，油漆用途已在规格中。	补充滚筒实际宽度、毛长和材质。
CHEM-000117	油漆滚筒	规格：小号；用途：油漆	只	工具耗材	刷涂耗材	滚筒刷	三级名称修正	high		油漆滚筒与滚筒刷同物异名，小号属于规格属性。	补充滚筒实际宽度、毛长和材质。
CHEM-000140	油漆滚筒	用途：油漆	包	工具耗材	刷涂耗材	滚筒刷	三级名称修正	high		油漆滚筒归并为滚筒刷，按包采购数量不是三级名称。	补充每包数量、滚筒尺寸、毛长和材质。
CHEM-000143	油漆滚筒	规格：中号；用途：油漆	个	工具耗材	刷涂耗材	滚筒刷	三级名称修正	high		油漆滚筒归并为滚筒刷，中号下压为规格。	补充滚筒实际宽度、毛长和材质。
TOOL-000004	滚筒刷	规格：4寸	个	工具耗材	刷涂耗材	滚筒刷	脱水保留	high		滚筒刷已是稳定刷涂耗材名称，4寸属于规格。	补充材质和毛长，单位按同类复核。
TOOL-000010	羊毛刷	规格：4寸	个	工具耗材	刷涂耗材	毛刷	三级名称脱水	high	材质：羊毛	羊毛为刷毛材质，三级名称归并为毛刷。	补充刷毛等级和柄型，单位按同类复核。
TOOL-000011	羊毛刷	规格：4寸	支	工具耗材	刷涂耗材	毛刷	三级名称脱水	high	材质：羊毛	羊毛为刷毛材质，三级名称归并为毛刷。	补充刷毛等级和柄型，单位按同类复核。
TOOL-000023	毛刷	规格：3寸	支	工具耗材	刷涂耗材	毛刷	脱水保留	high		毛刷为稳定刷涂耗材名称，3寸属于规格。	补充刷毛材质和柄型。
TOOL-000024	钢丝刷	类型：刀型	支	工具耗材	刷涂耗材	钢丝刷	脱水保留	high		钢丝刷为清理打磨刷具，刀型作为规格形制保留。	补充尺寸、刷丝材质和柄型。
TOOL-000035	毛刷	规格：3寸	个	工具耗材	刷涂耗材	毛刷	脱水保留	high		毛刷为稳定刷涂耗材名称，3寸属于规格。	补充刷毛材质和柄型，单位按同类复核。
TOOL-000036	羊毛刷	规格：4寸；材质：羊毛	个	工具耗材	刷涂耗材	毛刷	三级名称脱水	high		羊毛为材质，规格中已保留，三级名称归并为毛刷。	补充刷毛等级和柄型，单位按同类复核。
TOOL-000038	毛刷	规格：4寸	支	工具耗材	刷涂耗材	毛刷	脱水保留	high		毛刷为稳定刷涂耗材名称，4寸属于规格。	补充刷毛材质和柄型。
TOOL-000043	毛刷	规格：2寸	个	工具耗材	刷涂耗材	毛刷	脱水保留	high		毛刷为稳定刷涂耗材名称，2寸属于规格。	补充刷毛材质和柄型，单位按同类复核。
TOOL-000058	滚筒刷	规格：150	支	工具耗材	刷涂耗材	滚筒刷	脱水保留	high		滚筒刷已是核心商品名，150保留为原始规格。	确认150的单位含义，并补充毛长和材质。
TOOL-000059	滚筒刷	规格：250	支	工具耗材	刷涂耗材	滚筒刷	脱水保留	high		滚筒刷已是核心商品名，250保留为原始规格。	确认250的单位含义，并补充毛长和材质。
TOOL-000068	羊毛刷	规格：4寸；材质：羊毛	支	工具耗材	刷涂耗材	毛刷	三级名称脱水	high		羊毛为材质，规格中已保留，三级名称归并为毛刷。	补充刷毛等级和柄型。
TOOL-000086	羊毛刷	规格：2寸；材质：羊毛	支	工具耗材	刷涂耗材	毛刷	三级名称脱水	high		羊毛为材质，规格中已保留，三级名称归并为毛刷。	补充刷毛等级和柄型。
TOOL-000092	钢丝刷	类型：钢丝刷	支	工具耗材	刷涂耗材	钢丝刷	脱水保留	high		钢丝刷为稳定清理刷具名称，类型重复不进入三级名。	补充尺寸、刷丝材质和柄型。
TOOL-000100	滚筒刷	规格：8寸	支	工具耗材	刷涂耗材	滚筒刷	脱水保留	high		滚筒刷已是核心商品名，8寸属于规格。	补充材质和毛长。
TOOL-000101	滚筒刷	规格：4寸	支	工具耗材	刷涂耗材	滚筒刷	脱水保留	high		滚筒刷已是核心商品名，4寸属于规格。	补充材质和毛长。
TOOL-000102	小滚筒刷	规格：4寸；类型：小滚筒	支	工具耗材	刷涂耗材	滚筒刷	三级名称脱水	high		小滚筒是尺寸或形制属性，三级名称归并为滚筒刷。	补充材质和毛长，保留小滚筒形制。
TOOL-000185	钢丝刷	类型：钢丝刷	个	工具耗材	刷涂耗材	钢丝刷	脱水保留	high		钢丝刷为稳定清理刷具名称，类型重复不进入三级名。	补充尺寸、刷丝材质和柄型，单位按同类复核。
TOOL-000236	羊毛刷	规格：3寸；材质：羊毛	把	工具耗材	刷涂耗材	毛刷	三级名称脱水	high		羊毛为材质，规格中已保留，三级名称归并为毛刷。	补充刷毛等级和柄型。
TOOL-000237	羊毛刷	规格：2寸；材质：羊毛	把	工具耗材	刷涂耗材	毛刷	三级名称脱水	high		羊毛为材质，规格中已保留，三级名称归并为毛刷。	补充刷毛等级和柄型。
TOOL-000243	羊毛刷	规格：4寸；材质：羊毛	只	工具耗材	刷涂耗材	毛刷	三级名称脱水	high		羊毛为材质，规格中已保留，三级名称归并为毛刷。	补充刷毛等级和柄型，单位按同类复核。
TOOL-000244	羊毛刷	规格：2.5寸；材质：羊毛	只	工具耗材	刷涂耗材	毛刷	三级名称脱水	high		羊毛为材质，规格中已保留，三级名称归并为毛刷。	补充刷毛等级和柄型，单位按同类复核。
TOOL-000245	钢刷	材质：钢丝；类型：钢刷	只	工具耗材	刷涂耗材	钢丝刷	三级名称修正	high		钢刷按钢丝刷同物异名归并，钢丝材质已在规格中。	补充尺寸和柄型，单位按同类复核。
TOOL-000251	钢刷	材质：钢丝；类型：钢刷	把	工具耗材	刷涂耗材	钢丝刷	三级名称修正	high		钢刷按钢丝刷同物异名归并，钢丝材质已在规格中。	补充尺寸和柄型，单位按同类复核。
TOOL-000253	漆刷	规格：3寸	把	工具耗材	刷涂耗材	毛刷	三级名称修正	medium	用途：涂漆	漆刷按刷涂用毛刷归并，涂漆用途下压。	确认刷毛材质、柄型和是否等同普通毛刷。
TOOL-000273	羊毛漆刷	材质：羊毛；规格：大号；用途：涂漆	支	工具耗材	刷涂耗材	毛刷	三级名称脱水	high		羊毛和涂漆为材质/用途属性，三级名称归并为毛刷。	确认大号对应实际宽度，并补充柄型。
TOOL-000274	滚筒刷	用途：涂装	只	工具耗材	刷涂耗材	滚筒刷	脱水保留	high		滚筒刷为核心商品名，滚桶刷别名作为错别字归并。	补充滚筒尺寸、毛长和材质。
TOOL-000286	钢丝刷	柄材质：铁柄；类型：钢丝刷	个	工具耗材	刷涂耗材	钢丝刷	三级名称脱水	high		铁柄为柄材质属性，三级名称保留钢丝刷。	补充刷体尺寸和刷丝材质。
TOOL-000291	羊毛刷	规格：4寸；材质：羊毛	把	工具耗材	刷涂耗材	毛刷	三级名称脱水	high		羊毛为材质，规格中已保留，三级名称归并为毛刷。	补充刷毛等级和柄型。
ELEC-000031	铜鼻子	规格：100A；材质：铜	个	电气电料	接线端子/线鼻子	线鼻子	三级名称脱水	high		铜为材质，100A为规格，鼻子统一为线鼻子。	确认孔径、开口形式和压接范围。
ELEC-000032	铜鼻子	规格：200A；材质：铜	个	电气电料	接线端子/线鼻子	线鼻子	三级名称脱水	high		铜为材质，200A为规格，鼻子统一为线鼻子。	确认孔径、开口形式和压接范围。
ELEC-000091	铜鼻子	电流：300A；材质：铜	个	电气电料	接线端子/线鼻子	线鼻子	三级名称脱水	high		铜为材质，300A为规格，鼻子统一为线鼻子。	确认孔径、开口形式和压接范围。
ELEC-000092	铜鼻子	电流：200A；材质：铜	个	电气电料	接线端子/线鼻子	线鼻子	三级名称脱水	high		铜为材质，200A为规格，鼻子统一为线鼻子。	确认孔径、开口形式和压接范围。
ELEC-000102	铜接线端子	截面积：4平方；材质：铜	个	电气电料	接线端子/线鼻子	接线端子	三级名称脱水	high		铜为材质，截面积为规格，核心商品形态为接线端子。	确认端子型号、孔径或接线方式。
ELEC-000103	铜接线端子	截面积：6平方；材质：铜	个	电气电料	接线端子/线鼻子	接线端子	三级名称脱水	high		铜为材质，截面积为规格，核心商品形态为接线端子。	确认端子型号、孔径或接线方式。
