item_code	current_item_name	current_required_specs	current_uom	target_top_category	target_second_layer_family	target_third_layer_name	decision	confidence	assumed_specs	manual_judgment	next_action
SAFE-000015	五点式安全带	类型：五点式；款式：欧式	套	劳保防护	安全带/安全绳	五点式安全带	脱水保留	high	型式/挂钩/缓冲按规格字段维护	安全带在施工场景主要按五点式/全身式治理，结构差异作为规格。	补安全标准、挂钩形式、缓冲包和承重。
SAFE-000026	安全绳	类型：五点式；挂钩：双钩	套	劳保防护	安全带/安全绳	安全绳	脱水保留	high		安全绳以绳径和挂钩配置区分SKU。	补直径、长度、材质、挂钩形式。
SAFE-000074	防坠器	承重：300kg；长度：30米；锁具：双锁	个	劳保防护	安全带/安全绳	防坠器	脱水保留	high		防坠器与安全绳/安全带不同，单独保留。	补长度、承重、锁具和认证。
SAFE-000080	五点式安全带	型式：五点式；缓冲：是	个	劳保防护	安全带/安全绳	五点式安全带	脱水保留	high	型式/挂钩/缓冲按规格字段维护	安全带在施工场景主要按五点式/全身式治理，结构差异作为规格。	补安全标准、挂钩形式、缓冲包和承重。
SAFE-000101	安全绳	直径：Φ14	米	劳保防护	安全带/安全绳	安全绳	脱水保留	high		安全绳以绳径和挂钩配置区分SKU。	补直径、长度、材质、挂钩形式。
SAFE-000118	五点式安全带	类型：五点式	副	劳保防护	安全带/安全绳	五点式安全带	脱水保留	high	型式/挂钩/缓冲按规格字段维护	安全带在施工场景主要按五点式/全身式治理，结构差异作为规格。	补安全标准、挂钩形式、缓冲包和承重。
SAFE-000120	安全带	类型：全身式；挂钩：大钩	条	劳保防护	安全带/安全绳	五点式安全带	三级名称修正	high	型式/挂钩/缓冲按规格字段维护	安全带在施工场景主要按五点式/全身式治理，结构差异作为规格。	补安全标准、挂钩形式、缓冲包和承重。
SAFE-000129	安全绳	直径：Φ16	米	劳保防护	安全带/安全绳	安全绳	脱水保留	high		安全绳以绳径和挂钩配置区分SKU。	补直径、长度、材质、挂钩形式。
SAFE-000138	安全绳	直径：Φ8	米	劳保防护	安全带/安全绳	安全绳	脱水保留	high		安全绳以绳径和挂钩配置区分SKU。	补直径、长度、材质、挂钩形式。
SAFE-000139	安全绳	直径：Φ10	米	劳保防护	安全带/安全绳	安全绳	脱水保留	high		安全绳以绳径和挂钩配置区分SKU。	补直径、长度、材质、挂钩形式。
SAFE-000140	安全绳	直径：Φ12	米	劳保防护	安全带/安全绳	安全绳	脱水保留	high		安全绳以绳径和挂钩配置区分SKU。	补直径、长度、材质、挂钩形式。
