item_code	current_item_name	current_required_specs	current_uom	target_top_category	target_second_layer_family	target_third_layer_name	decision	confidence	assumed_specs	manual_judgment	next_action
SAFE-000025	防护安全网	规格：3000；特征：加厚	件	安全消防	安全网/防护网	安全网	三级名称修正	high	防护/加厚/尺寸按规格字段维护	防护安全网/安全防护网统一为安全网，功能和尺寸做规格。	补尺寸、网目、材质、阻燃等级。
SAFE-000031	防坠安全网	定制：是；用途：防坠	平方	安全消防	安全网/防护网	防坠安全网	脱水保留	high		防坠用途明确，作为专用安全网保留。	补尺寸、承重/网目、材质。
SAFE-000060	安全防护网	特征：加厚	平方	安全消防	安全网/防护网	安全网	三级名称修正	high	防护/加厚/尺寸按规格字段维护	防护安全网/安全防护网统一为安全网，功能和尺寸做规格。	补尺寸、网目、材质、阻燃等级。
SAFE-000064	安全网	类型：安全网	张	安全消防	安全网/防护网	安全网	脱水保留	high	防护/加厚/尺寸按规格字段维护	防护安全网/安全防护网统一为安全网，功能和尺寸做规格。	补尺寸、网目、材质、阻燃等级。
SAFE-000088	安全网	尺寸：1.8米*6米	张	安全消防	安全网/防护网	安全网	脱水保留	high	防护/加厚/尺寸按规格字段维护	防护安全网/安全防护网统一为安全网，功能和尺寸做规格。	补尺寸、网目、材质、阻燃等级。
SAFE-000092	安全网	尺寸：6*1.8米；特征：加厚	张	安全消防	安全网/防护网	安全网	脱水保留	high	防护/加厚/尺寸按规格字段维护	防护安全网/安全防护网统一为安全网，功能和尺寸做规格。	补尺寸、网目、材质、阻燃等级。
SAFE-000115	密目安全网	类型：密目；尺寸：6m*1.2m	张	安全消防	安全网/防护网	密目安全网	脱水保留	high		密目安全网是安全网特定类型，保留三级。	补尺寸、密目等级、阻燃等级。
MAT-000194	砂纸	粒度：240#	张	工具耗材	砂纸/磨料	砂纸	脱水保留	high		砂纸/石笔按核心耗材名治理，粒度或包装决定SKU。	补粒度、尺寸、包装数量。
MAT-000195	砂纸	粒度：80#	张	工具耗材	砂纸/磨料	砂纸	脱水保留	high		砂纸/石笔按核心耗材名治理，粒度或包装决定SKU。	补粒度、尺寸、包装数量。
TOOL-000041	砂纸	粒度：600	张	工具耗材	砂纸/磨料	砂纸	脱水保留	high		砂纸/石笔按核心耗材名治理，粒度或包装决定SKU。	补粒度、尺寸、包装数量。
TOOL-000042	砂纸	粒度：80	张	工具耗材	砂纸/磨料	砂纸	脱水保留	high		砂纸/石笔按核心耗材名治理，粒度或包装决定SKU。	补粒度、尺寸、包装数量。
TOOL-000126	石笔	品类：石笔	个	工具耗材	砂纸/磨料	石笔	脱水保留	high		砂纸/石笔按核心耗材名治理，粒度或包装决定SKU。	补粒度、尺寸、包装数量。
TOOL-000139	砂纸	粒度：细	张	工具耗材	砂纸/磨料	砂纸	脱水保留	high		砂纸/石笔按核心耗材名治理，粒度或包装决定SKU。	补粒度、尺寸、包装数量。
TOOL-000293	石笔	类型：石笔	盒	工具耗材	砂纸/磨料	石笔	脱水保留	high		砂纸/石笔按核心耗材名治理，粒度或包装决定SKU。	补粒度、尺寸、包装数量。
MAT-000058	雾炮机	功率：3kW；控制：全自动	台	施工机具设备	小型施工设备	雾炮机	脱水保留	high		小型施工设备按核心设备名治理。	补功率、电压、型号、配置。
MAT-000065	手持打码机	类型：手持；功能：大字符打码	台	施工机具设备	小型施工设备	手持打码机	脱水保留	high		小型施工设备按核心设备名治理。	补功率、电压、型号、配置。
MAT-000106	高压清洗机	品牌：黑马；电压：380V；功率：5.5kW	套	施工机具设备	小型施工设备	高压清洗机	脱水保留	high		小型施工设备按核心设备名治理。	补功率、电压、型号、配置。
MAT-000155	高压注浆机	类型：高压注浆机	台	施工机具设备	小型施工设备	高压注浆机	脱水保留	high		小型施工设备按核心设备名治理。	补功率、电压、型号、配置。
MAT-000239	混凝土振动棒	型号/规格：35型	根	施工机具设备	小型施工设备	混凝土振动棒	脱水保留	high		混凝土振动棒按型号和直径区分SKU。	补直径、长度、电压和适配电机。
MAT-000243	混凝土振动棒	电压：380V；直径：Φ50；长度：6m	根	施工机具设备	小型施工设备	混凝土振动棒	脱水保留	high		混凝土振动棒按型号和直径区分SKU。	补直径、长度、电压和适配电机。
METAL-000165	不锈钢潜水搅拌机	材质：304不锈钢；电压：380V；功率：4kW	台	施工机具设备	小型施工设备	潜水搅拌机	三级名称脱水	high	材质/功率按规格字段维护	不锈钢是材质属性，三级统一潜水搅拌机。	补功率、电压、材质、叶轮规格。
TOOL-000189	电镐碳刷	适用设备：电镐；部件：碳刷	付	电动气动工具	工具附件	碳刷	三级名称修正	high	适用设备/规格按规格字段维护	电镐碳刷按碳刷治理，适用设备做规格。	补适配设备和尺寸。
TOOL-000206	切割机防护罩	适配设备：400切割机；部件：防护罩	个	电动气动工具	工具附件	切割机防护罩	脱水保留	high		防护罩是工具附件，适配设备决定SKU。	补适配机型和尺寸。
TOOL-000266	十字批头套装	品牌：世达；类型：十字批头；配置：套装	套	电动气动工具	工具附件	批头套装	三级名称脱水	high	头型/品牌按规格字段维护	十字是批头头型，三级统一批头套装。	补头型、规格、件数、材质。
TOOL-000289	电钻夹头钥匙	适配：电钻夹头；部件：钥匙	把	电动气动工具	工具附件	钻夹头钥匙	三级名称修正	high	适配：电钻夹头	电钻夹头钥匙统一为钻夹头钥匙。	补适配夹头规格。
TOOL-000304	碳刷	规格：900#	副	电动气动工具	工具附件	碳刷	脱水保留	high	适用设备/规格按规格字段维护	电镐碳刷按碳刷治理，适用设备做规格。	补适配设备和尺寸。
TOOL-000305	碳刷	规格：43#	副	电动气动工具	工具附件	碳刷	脱水保留	high	适用设备/规格按规格字段维护	电镐碳刷按碳刷治理，适用设备做规格。	补适配设备和尺寸。
TOOL-000319	自紧钻夹头	品牌：马牌；夹持范围：0.3-16；接口：B18	个	电动气动工具	工具附件	钻夹头	三级名称脱水	high	夹持范围/接口按规格字段维护	自紧是夹头结构属性，三级统一钻夹头。	补夹持范围、接口、结构。
CONST-000015	镀锌铁皮	厚度：1.2；表面：镀锌	米	金属材料	钢板/板材	铁皮	三级名称脱水	high	表面处理：镀锌	镀锌是表面处理，三级名称为铁皮。	补厚度、材质、宽度和表面处理。
METAL-000030	花纹钢板	厚度：3mm；类型：花纹钢板	平方	金属材料	钢板/板材	花纹钢板	脱水保留	high		花纹钢板是稳定板材名，厚度尺寸决定SKU。	补厚度、尺寸、材质。
METAL-000044	花纹钢板	厚度：3.0	平方	金属材料	钢板/板材	花纹钢板	脱水保留	high		花纹钢板是稳定板材名，厚度尺寸决定SKU。	补厚度、尺寸、材质。
METAL-000057	花纹钢板	厚度：3.0mm；表面：花纹	平方	金属材料	钢板/板材	花纹钢板	脱水保留	high		花纹钢板是稳定板材名，厚度尺寸决定SKU。	补厚度、尺寸、材质。
METAL-000063	花纹钢板	厚度：5mm；表面：花纹	平方	金属材料	钢板/板材	花纹钢板	脱水保留	high		花纹钢板是稳定板材名，厚度尺寸决定SKU。	补厚度、尺寸、材质。
METAL-000114	花纹钢板	尺寸：6m*1.26m；厚度：6mm；表面：花纹	张	金属材料	钢板/板材	花纹钢板	脱水保留	high		花纹钢板是稳定板材名，厚度尺寸决定SKU。	补厚度、尺寸、材质。
METAL-000119	花纹钢板	尺寸：6m*1.51m；厚度：5.25mm；表面：花纹	张	金属材料	钢板/板材	花纹钢板	脱水保留	high		花纹钢板是稳定板材名，厚度尺寸决定SKU。	补厚度、尺寸、材质。
SAFE-000013	一次性口罩	类型：一次性	个	劳保防护	呼吸防护	口罩	三级名称修正	high	一次性/材质按规格字段维护	一次性口罩、棉纱口罩、棉口罩统一为口罩，材质类型下沉规格。	补防护等级、材质、包装数量。
SAFE-000098	防尘面罩	品牌：3M；类型：防尘面罩	只	劳保防护	呼吸防护	防尘面罩	脱水保留	high		防尘面罩是呼吸防护本体。	补过滤等级、适配滤芯、佩戴方式。
SAFE-000099	防尘面罩过滤芯	品牌：3M；适配：防尘面罩；部件：过滤芯	只	劳保防护	呼吸防护	防尘面罩滤芯	脱水保留	high		滤芯是防尘面罩耗材，不与面罩本体混并。	补适配型号、过滤等级。
SAFE-000102	棉纱口罩	材质：棉纱；类型：口罩	只	劳保防护	呼吸防护	口罩	三级名称修正	high	一次性/材质按规格字段维护	一次性口罩、棉纱口罩、棉口罩统一为口罩，材质类型下沉规格。	补防护等级、材质、包装数量。
