item_code	current_item_name	current_required_specs	current_uom	target_top_category	target_second_layer_family	target_third_layer_name	decision	confidence	assumed_specs	manual_judgment	next_action
METAL-000017	不锈钢卡扣接头	规格：DN6*6；材质：不锈钢	个	液压气动	液压接头	卡扣接头	三级名称脱水	high		液压/高压管路语境明确，三级名称保留接头核心形态，材质、压力、螺纹和连接方式下压。	补齐压力等级、螺纹标准和密封形式后按候选三级名称导入。
METAL-000018	不锈钢卡扣接头	规格：DN6*10；材质：不锈钢	个	液压气动	液压接头	卡扣接头	三级名称脱水	high		液压/高压管路语境明确，三级名称保留接头核心形态，材质、压力、螺纹和连接方式下压。	补齐压力等级、螺纹标准和密封形式后按候选三级名称导入。
METAL-000019	不锈钢加长接头	规格：8*6；材质：不锈钢；特征：加长	个	液压气动	液压接头	接头	三级名称脱水	high		液压/高压管路语境明确，三级名称保留接头核心形态，材质、压力、螺纹和连接方式下压。	补齐压力等级、螺纹标准和密封形式后按候选三级名称导入。
METAL-000020	不锈钢卡套接头	规格：6*8；材质：不锈钢	个	液压气动	液压接头	卡套接头	三级名称脱水	high		液压/高压管路语境明确，三级名称保留接头核心形态，材质、压力、螺纹和连接方式下压。	补齐压力等级、螺纹标准和密封形式后按候选三级名称导入。
METAL-000021	不锈钢卡套接头	规格：6*12；材质：不锈钢	个	液压气动	液压接头	卡套接头	三级名称脱水	high		液压/高压管路语境明确，三级名称保留接头核心形态，材质、压力、螺纹和连接方式下压。	补齐压力等级、螺纹标准和密封形式后按候选三级名称导入。
PIPE-000045	不锈钢加长弯头	规格：8*6；材质：不锈钢；特征：加长；类型：弯头	个	液压气动	液压接头	弯头接头	三级名称脱水	high		液压/高压管路语境明确，三级名称保留接头核心形态，材质、压力、螺纹和连接方式下压。	补齐压力等级、螺纹标准和密封形式后按候选三级名称导入。
PIPE-000050	不锈钢卡套三通	规格：6*12；材质：不锈钢；类型：三通	个	液压气动	液压接头	卡套三通	三级名称脱水	high		液压/高压管路语境明确，三级名称保留接头核心形态，材质、压力、螺纹和连接方式下压。	补齐压力等级、螺纹标准和密封形式后按候选三级名称导入。
PIPE-000136	高压油管接头	公称直径：50；类型：接头	个	液压气动	液压接头	油管接头	三级名称脱水	high	压力/工况：高压	液压/高压管路语境明确，三级名称保留接头核心形态，材质、压力、螺纹和连接方式下压。	采购/建档前确认压力等级、螺纹标准、连接形式和密封形式。
PIPE-000137	高压外接头	公称直径：50；连接类型：外接	个	液压气动	液压接头	接头	复核	medium	压力/工况：高压	信息不足，先给出低风险近似三级名称；关键规格未确认前不建议直接导入。	采购/建档前确认压力等级、螺纹标准、连接形式和密封形式。
PIPE-000155	液压快速接头	型号：GR6-25S；类型：快速接头	套	液压气动	液压接头	快速接头	三级名称脱水	high	用途/系统：液压	液压/高压管路语境明确，三级名称保留接头核心形态，材质、压力、螺纹和连接方式下压。	补齐压力等级、螺纹标准和密封形式后按候选三级名称导入。
PIPE-000156	高压接头	型号/规格：36/25S	个	液压气动	液压接头	接头	复核	medium	压力/工况：高压	信息不足，先给出低风险近似三级名称；关键规格未确认前不建议直接导入。	采购/建档前确认压力等级、螺纹标准、连接形式和密封形式。
PIPE-000157	高压接头	型号/规格：33/25S	个	液压气动	液压接头	接头	复核	medium	压力/工况：高压	信息不足，先给出低风险近似三级名称；关键规格未确认前不建议直接导入。	采购/建档前确认压力等级、螺纹标准、连接形式和密封形式。
PIPE-000158	高压接头	型号/规格：36/28S	个	液压气动	液压接头	接头	复核	medium	压力/工况：高压	信息不足，先给出低风险近似三级名称；关键规格未确认前不建议直接导入。	采购/建档前确认压力等级、螺纹标准、连接形式和密封形式。
PIPE-000164	高压外丝接头	螺纹：M36*2A；类型：外丝	个	液压气动	液压接头	接头	三级名称脱水	high	压力/工况：高压	液压/高压管路语境明确，三级名称保留接头核心形态，材质、压力、螺纹和连接方式下压。	采购/建档前确认压力等级、螺纹标准、连接形式和密封形式。
PIPE-000173	高压堵头	规格：1/2英寸；类型：堵头	个	液压气动	液压接头	堵头	三级名称脱水	high	压力/工况：高压	液压/高压管路语境明确，三级名称保留接头核心形态，材质、压力、螺纹和连接方式下压。	采购/建档前确认压力等级、螺纹标准、连接形式和密封形式。
PIPE-000174	高压堵头	规格：3/4英寸；类型：堵头	个	液压气动	液压接头	堵头	三级名称脱水	high	压力/工况：高压	液压/高压管路语境明确，三级名称保留接头核心形态，材质、压力、螺纹和连接方式下压。	采购/建档前确认压力等级、螺纹标准、连接形式和密封形式。
PIPE-000175	高压堵头	规格：1英寸；类型：堵头	个	液压气动	液压接头	堵头	三级名称脱水	high	压力/工况：高压	液压/高压管路语境明确，三级名称保留接头核心形态，材质、压力、螺纹和连接方式下压。	采购/建档前确认压力等级、螺纹标准、连接形式和密封形式。
PIPE-000176	高压堵头	规格：1.5寸；类型：堵头	个	液压气动	液压接头	堵头	三级名称脱水	high	压力/工况：高压	液压/高压管路语境明确，三级名称保留接头核心形态，材质、压力、螺纹和连接方式下压。	采购/建档前确认压力等级、螺纹标准、连接形式和密封形式。
PIPE-000177	高压堵头	规格：2寸；类型：堵头	个	液压气动	液压接头	堵头	三级名称脱水	high	压力/工况：高压	液压/高压管路语境明确，三级名称保留接头核心形态，材质、压力、螺纹和连接方式下压。	采购/建档前确认压力等级、螺纹标准、连接形式和密封形式。
PIPE-000183	加厚铜接头	规格：80；材质：铜；特征：加厚	个	液压气动	液压接头	接头	复核	medium		信息不足，先给出低风险近似三级名称；关键规格未确认前不建议直接导入。	采购/建档前确认压力等级、螺纹标准、连接形式和密封形式。
PIPE-000184	铜头铝套组件	规格：80；组成：铜头、铝扣；特征：加厚	个	液压气动	液压接头	接头组件	复核	low		信息不足，先给出低风险近似三级名称；关键规格未确认前不建议直接导入。	人工复核实物/图纸，确认物料族、核心形态和关键规格后再导入。
PIPE-000189	加厚铜接头	规格：50；材质：铜；特征：加厚	个	液压气动	液压接头	接头	复核	medium		信息不足，先给出低风险近似三级名称；关键规格未确认前不建议直接导入。	采购/建档前确认压力等级、螺纹标准、连接形式和密封形式。
PIPE-000196	液压堵头	规格：42L；类型：堵头	个	液压气动	液压接头	堵头	三级名称脱水	high	用途/系统：液压	液压/高压管路语境明确，三级名称保留接头核心形态，材质、压力、螺纹和连接方式下压。	补齐压力等级、螺纹标准和密封形式后按候选三级名称导入。
PIPE-000207	铜头铝合金夹	规格：80；组成：铜头、铝合金夹	个	液压气动	液压接头	接头夹	复核	low		信息不足，先给出低风险近似三级名称；关键规格未确认前不建议直接导入。	人工复核实物/图纸，确认物料族、核心形态和关键规格后再导入。
PIPE-000216	液压内外牙弯头	螺纹/型号：M52*28H；连接：内外牙；类型：弯头	个	液压气动	液压接头	弯头接头	三级名称脱水	high	用途/系统：液压	液压/高压管路语境明确，三级名称保留接头核心形态，材质、压力、螺纹和连接方式下压。	采购/建档前确认压力等级、螺纹标准、连接形式和密封形式。
PIPE-000218	铜头铝合金夹	规格：50；组成：铜头、铝扣	个	液压气动	液压接头	接头夹	复核	low		信息不足，先给出低风险近似三级名称；关键规格未确认前不建议直接导入。	人工复核实物/图纸，确认物料族、核心形态和关键规格后再导入。
PIPE-000220	油管快速接头	规格：52；类型：快速接头	套	液压气动	液压接头	快速接头	三级名称脱水	high		液压/高压管路语境明确，三级名称保留接头核心形态，材质、压力、螺纹和连接方式下压。	采购/建档前确认压力等级、螺纹标准、连接形式和密封形式。
PIPE-000221	油管快速接头	规格：45；类型：快速接头	套	液压气动	液压接头	快速接头	三级名称脱水	high		液压/高压管路语境明确，三级名称保留接头核心形态，材质、压力、螺纹和连接方式下压。	采购/建档前确认压力等级、螺纹标准、连接形式和密封形式。
PIPE-000222	油管快速接头	规格：36；类型：快速接头	套	液压气动	液压接头	快速接头	三级名称脱水	high		液压/高压管路语境明确，三级名称保留接头核心形态，材质、压力、螺纹和连接方式下压。	采购/建档前确认压力等级、螺纹标准、连接形式和密封形式。
PIPE-000223	油管快速接头	规格：30；类型：快速接头	套	液压气动	液压接头	快速接头	三级名称脱水	high		液压/高压管路语境明确，三级名称保留接头核心形态，材质、压力、螺纹和连接方式下压。	采购/建档前确认压力等级、螺纹标准、连接形式和密封形式。
PIPE-000296	铝合金扣	规格：50；材质：铝合金；特征：加厚	个	液压气动	液压接头	扣件	三级名称修正	medium		液压/高压管路语境明确，三级名称保留接头核心形态，材质、压力、螺纹和连接方式下压。	采购/建档前确认压力等级、螺纹标准、连接形式和密封形式。
PIPE-000297	铝合金扣	规格：80；材质：铝合金；特征：加厚	个	液压气动	液压接头	扣件	三级名称修正	medium		液压/高压管路语境明确，三级名称保留接头核心形态，材质、压力、螺纹和连接方式下压。	采购/建档前确认压力等级、螺纹标准、连接形式和密封形式。
PIPE-000300	高压接头	规格：100；类型：接头	个	液压气动	液压接头	接头	复核	medium	压力/工况：高压	信息不足，先给出低风险近似三级名称；关键规格未确认前不建议直接导入。	采购/建档前确认压力等级、螺纹标准、连接形式和密封形式。
PIPE-000301	加厚铝合金扣	规格：100；材质：铝合金；特征：加厚	个	液压气动	液压接头	扣件	三级名称修正	medium		液压/高压管路语境明确，三级名称保留接头核心形态，材质、压力、螺纹和连接方式下压。	采购/建档前确认压力等级、螺纹标准、连接形式和密封形式。
PIPE-000302	加厚铜接头	规格：100；材质：铜；特征：加厚	个	液压气动	液压接头	接头	复核	medium		信息不足，先给出低风险近似三级名称；关键规格未确认前不建议直接导入。	采购/建档前确认压力等级、螺纹标准、连接形式和密封形式。
PIPE-000305	高压外丝堵头	规格：25；连接：外丝；类型：堵头	个	液压气动	液压接头	堵头	三级名称脱水	high	压力/工况：高压	液压/高压管路语境明确，三级名称保留接头核心形态，材质、压力、螺纹和连接方式下压。	采购/建档前确认压力等级、螺纹标准、连接形式和密封形式。
PIPE-000307	高压对丝	规格：20；类型：对丝	个	液压气动	液压接头	对丝接头	三级名称脱水	high	压力/工况：高压	液压/高压管路语境明确，三级名称保留接头核心形态，材质、压力、螺纹和连接方式下压。	采购/建档前确认压力等级、螺纹标准、连接形式和密封形式。
PIPE-000312	转换宝塔接头	类型：宝塔头；用途：转换接头	套	液压气动	液压接头	转换接头	三级名称脱水	high		液压/高压管路语境明确，三级名称保留接头核心形态，材质、压力、螺纹和连接方式下压。	采购/建档前确认压力等级、螺纹标准、连接形式和密封形式。
PIPE-000314	胶管接头	规格：100；类型：胶管接头	套	液压气动	液压接头	胶管接头	脱水保留	high		液压/高压管路语境明确，三级名称保留接头核心形态，材质、压力、螺纹和连接方式下压。	采购/建档前确认压力等级、螺纹标准、连接形式和密封形式。
PIPE-000315	高压堵头	螺纹：M36*2；连接：内丝	个	液压气动	液压接头	堵头	三级名称脱水	high	压力/工况：高压	液压/高压管路语境明确，三级名称保留接头核心形态，材质、压力、螺纹和连接方式下压。	采购/建档前确认压力等级、螺纹标准、连接形式和密封形式。
PIPE-000316	高压堵头	螺纹：M36*2；连接：外丝	个	液压气动	液压接头	堵头	三级名称脱水	high	压力/工况：高压	液压/高压管路语境明确，三级名称保留接头核心形态，材质、压力、螺纹和连接方式下压。	采购/建档前确认压力等级、螺纹标准、连接形式和密封形式。
PIPE-000317	螺纹接头	螺纹：M20*1.5	个	液压气动	液压接头	接头	复核	medium		信息不足，先给出低风险近似三级名称；关键规格未确认前不建议直接导入。	采购/建档前确认压力等级、螺纹标准、连接形式和密封形式。
PIPE-000334	变径接头	规格：25*2/36*2	只	液压气动	液压接头	变径接头	脱水保留	high		液压/高压管路语境明确，三级名称保留接头核心形态，材质、压力、螺纹和连接方式下压。	采购/建档前确认压力等级、螺纹标准、连接形式和密封形式。
PIPE-000337	三通接头	螺纹/规格：36*2	只	液压气动	液压接头	三通接头	脱水保留	high		液压/高压管路语境明确，三级名称保留接头核心形态，材质、压力、螺纹和连接方式下压。	采购/建档前确认压力等级、螺纹标准、连接形式和密封形式。
PIPE-000338	对丝接头	螺纹/规格：36*2	只	液压气动	液压接头	对丝接头	脱水保留	high		液压/高压管路语境明确，三级名称保留接头核心形态，材质、压力、螺纹和连接方式下压。	采购/建档前确认压力等级、螺纹标准、连接形式和密封形式。
PIPE-000340	八字扣头	规格：M52；材质：铝合金	只	液压气动	液压接头	扣头	三级名称修正	high		液压/高压管路语境明确，三级名称保留接头核心形态，材质、压力、螺纹和连接方式下压。	采购/建档前确认压力等级、螺纹标准、连接形式和密封形式。
PIPE-000346	对丝接头	规格：1/2	只	液压气动	液压接头	对丝接头	脱水保留	high		液压/高压管路语境明确，三级名称保留接头核心形态，材质、压力、螺纹和连接方式下压。	采购/建档前确认压力等级、螺纹标准、连接形式和密封形式。
PIPE-000347	变径接头	规格：1/2-3/4	只	液压气动	液压接头	变径接头	脱水保留	high		液压/高压管路语境明确，三级名称保留接头核心形态，材质、压力、螺纹和连接方式下压。	采购/建档前确认压力等级、螺纹标准、连接形式和密封形式。
PIPE-000348	高压直接	螺纹：M32*2；连接：内丝	只	液压气动	液压接头	直接接头	三级名称修正	high	压力/工况：高压	液压/高压管路语境明确，三级名称保留接头核心形态，材质、压力、螺纹和连接方式下压。	采购/建档前确认压力等级、螺纹标准、连接形式和密封形式。
PIPE-000349	高压转换接头	螺纹：36*2；形式：外丝转内丝	套	液压气动	液压接头	转换接头	三级名称脱水	high	压力/工况：高压	液压/高压管路语境明确，三级名称保留接头核心形态，材质、压力、螺纹和连接方式下压。	采购/建档前确认压力等级、螺纹标准、连接形式和密封形式。
PIPE-000350	高压转换接头	螺纹：52*2；形式：外丝转内丝	套	液压气动	液压接头	转换接头	三级名称脱水	high	压力/工况：高压	液压/高压管路语境明确，三级名称保留接头核心形态，材质、压力、螺纹和连接方式下压。	采购/建档前确认压力等级、螺纹标准、连接形式和密封形式。
