item_code	current_item_name	current_required_specs	current_uom	target_top_category	target_second_layer_family	target_third_layer_name	decision	confidence	assumed_specs	manual_judgment	next_action
METAL-000023	钢丝绳	直径：6mm	米	吊装索具	钢丝绳	钢丝绳	脱水保留	high	材质/表面处理按规格字段维护	钢丝绳以基础索具名为三级，材质、镀锌、直径和长度下沉规格。	补直径、结构、长度、材质和表面处理。
METAL-000024	钢丝绳卡扣	适配直径：6mm	个	吊装索具	钢丝绳	钢丝绳卡扣	脱水保留	high		钢丝绳卡扣/夹头/夹是同一类夹持附件，统一命名。	补适配钢丝绳直径、规格、材质和表面处理。
METAL-000036	钢丝绳	直径：16mm	米	吊装索具	钢丝绳	钢丝绳	脱水保留	high	材质/表面处理按规格字段维护	钢丝绳以基础索具名为三级，材质、镀锌、直径和长度下沉规格。	补直径、结构、长度、材质和表面处理。
METAL-000037	钢丝绳夹头	规格：M10	个	吊装索具	钢丝绳	钢丝绳卡扣	三级名称修正	high		钢丝绳卡扣/夹头/夹是同一类夹持附件，统一命名。	补适配钢丝绳直径、规格、材质和表面处理。
METAL-000042	钢丝绳铝扣	材质：铝；用途：钢丝绳扣压	个	吊装索具	钢丝绳	钢丝绳铝扣	脱水保留	high		钢丝绳铝扣是扣压用附件，不与卡扣混并。	补适配直径和扣压规格。
METAL-000049	不锈钢钢丝绳	材质：不锈钢	米	吊装索具	钢丝绳	钢丝绳	三级名称脱水	high	材质/表面处理按规格字段维护	钢丝绳以基础索具名为三级，材质、镀锌、直径和长度下沉规格。	补直径、结构、长度、材质和表面处理。
METAL-000091	钢丝绳	直径：10厘	米	吊装索具	钢丝绳	钢丝绳	脱水保留	high	材质/表面处理按规格字段维护	钢丝绳以基础索具名为三级，材质、镀锌、直径和长度下沉规格。	补直径、结构、长度、材质和表面处理。
METAL-000092	钢丝绳夹	规格：10厘	个	吊装索具	钢丝绳	钢丝绳卡扣	三级名称修正	high		钢丝绳卡扣/夹头/夹是同一类夹持附件，统一命名。	补适配钢丝绳直径、规格、材质和表面处理。
METAL-000093	钢丝绳	规格：50；长度：6米	根	吊装索具	钢丝绳	钢丝绳	脱水保留	high	材质/表面处理按规格字段维护	钢丝绳以基础索具名为三级，材质、镀锌、直径和长度下沉规格。	补直径、结构、长度、材质和表面处理。
METAL-000095	钢丝绳	定制：是；规格：50；长度：4米	根	吊装索具	钢丝绳	钢丝绳	脱水保留	high	材质/表面处理按规格字段维护	钢丝绳以基础索具名为三级，材质、镀锌、直径和长度下沉规格。	补直径、结构、长度、材质和表面处理。
METAL-000101	钢丝绳	加工：扣压；直径/规格：50；长度：3.6米	根	吊装索具	钢丝绳	钢丝绳	脱水保留	high	材质/表面处理按规格字段维护	钢丝绳以基础索具名为三级，材质、镀锌、直径和长度下沉规格。	补直径、结构、长度、材质和表面处理。
METAL-000102	钢丝绳	加工：扣压；直径/规格：47.5；长度：9米	根	吊装索具	钢丝绳	钢丝绳	脱水保留	high	材质/表面处理按规格字段维护	钢丝绳以基础索具名为三级，材质、镀锌、直径和长度下沉规格。	补直径、结构、长度、材质和表面处理。
METAL-000131	环形钢丝绳	定制：是；结构：环形；直径：40mm；长度：1.5m	个	吊装索具	钢丝绳	环形钢丝绳	脱水保留	high		环形钢丝绳属于加工后的索具形态，保留为三级名称。	补直径、周长/长度、结构和破断拉力。
METAL-000164	镀锌钢丝绳	表面处理：镀锌；直径：Φ12	米	吊装索具	钢丝绳	钢丝绳	三级名称脱水	high	材质/表面处理按规格字段维护	钢丝绳以基础索具名为三级，材质、镀锌、直径和长度下沉规格。	补直径、结构、长度、材质和表面处理。
METAL-000167	钢丝绳	直径：Φ20；长度：6m	根	吊装索具	钢丝绳	钢丝绳	脱水保留	high	材质/表面处理按规格字段维护	钢丝绳以基础索具名为三级，材质、镀锌、直径和长度下沉规格。	补直径、结构、长度、材质和表面处理。
TOOL-000072	加长套筒	规格：18*200；特征：加长	个	工具量具	套筒	套筒	三级名称脱水	high	适用工具/加长/六角/品牌按规格字段维护	电动扳手套筒、加长六角套筒统一到套筒，差异做规格。	补规格、接口方寸、长度、适用工具和品牌。
TOOL-000135	电动扳手套筒	规格：12号；适用：电动扳手	支	工具量具	套筒	套筒	三级名称脱水	high	适用工具/加长/六角/品牌按规格字段维护	电动扳手套筒、加长六角套筒统一到套筒，差异做规格。	补规格、接口方寸、长度、适用工具和品牌。
TOOL-000136	电动扳手套筒	规格：42号；适用：电动扳手	个	工具量具	套筒	套筒	三级名称脱水	high	适用工具/加长/六角/品牌按规格字段维护	电动扳手套筒、加长六角套筒统一到套筒，差异做规格。	补规格、接口方寸、长度、适用工具和品牌。
TOOL-000144	电动扳手套筒	品牌：世达；规格：23号；适用：电动扳手	个	工具量具	套筒	套筒	三级名称脱水	high	适用工具/加长/六角/品牌按规格字段维护	电动扳手套筒、加长六角套筒统一到套筒，差异做规格。	补规格、接口方寸、长度、适用工具和品牌。
TOOL-000145	电动扳手套筒	品牌：世达；规格：24号；适用：电动扳手	个	工具量具	套筒	套筒	三级名称脱水	high	适用工具/加长/六角/品牌按规格字段维护	电动扳手套筒、加长六角套筒统一到套筒，差异做规格。	补规格、接口方寸、长度、适用工具和品牌。
TOOL-000151	万向套筒	规格：1寸；结构：万向转向	个	工具量具	套筒	万向套筒	脱水保留	high		万向结构是套筒功能形态，保留为三级名称。	补接口方寸、规格和长度。
TOOL-000167	电动扳手套筒	规格：36；适用：电动扳手	个	工具量具	套筒	套筒	三级名称脱水	high	适用工具/加长/六角/品牌按规格字段维护	电动扳手套筒、加长六角套筒统一到套筒，差异做规格。	补规格、接口方寸、长度、适用工具和品牌。
TOOL-000174	加长六角套筒	规格：5；特征：加长；类型：六角	个	工具量具	套筒	套筒	三级名称脱水	high	适用工具/加长/六角/品牌按规格字段维护	电动扳手套筒、加长六角套筒统一到套筒，差异做规格。	补规格、接口方寸、长度、适用工具和品牌。
TOOL-000175	加长六角套筒	规格：6；特征：加长；类型：六角	个	工具量具	套筒	套筒	三级名称脱水	high	适用工具/加长/六角/品牌按规格字段维护	电动扳手套筒、加长六角套筒统一到套筒，差异做规格。	补规格、接口方寸、长度、适用工具和品牌。
TOOL-000176	加长六角套筒	规格：7；特征：加长；类型：六角	个	工具量具	套筒	套筒	三级名称脱水	high	适用工具/加长/六角/品牌按规格字段维护	电动扳手套筒、加长六角套筒统一到套筒，差异做规格。	补规格、接口方寸、长度、适用工具和品牌。
TOOL-000177	加长六角套筒	规格：8；特征：加长；类型：六角	个	工具量具	套筒	套筒	三级名称脱水	high	适用工具/加长/六角/品牌按规格字段维护	电动扳手套筒、加长六角套筒统一到套筒，差异做规格。	补规格、接口方寸、长度、适用工具和品牌。
TOOL-000178	加长六角套筒	规格：10；特征：加长；类型：六角	个	工具量具	套筒	套筒	三级名称脱水	high	适用工具/加长/六角/品牌按规格字段维护	电动扳手套筒、加长六角套筒统一到套筒，差异做规格。	补规格、接口方寸、长度、适用工具和品牌。
