item_code	current_item_name	current_required_specs	current_uom	target_top_category	target_second_layer_family	target_third_layer_name	decision	confidence	assumed_specs	manual_judgment	next_action
TOOL-000028	内六角扳手	规格：19	支	工具量具	扳手	内六角扳手	脱水保留	high		三级名称已是稳定扳手类型，规格差异保留在SKU规格。	无
TOOL-000039	链条扳手	类型：链条扳手	个	工具量具	扳手	链条扳手	脱水保留	high		三级名称已是稳定扳手类型，规格差异保留在SKU规格。	无
TOOL-000117	活动扳手	品牌：世达；类型：活动扳手	把	工具量具	扳手	活动扳手	脱水保留	high		三级名称已是稳定扳手类型，规格差异保留在SKU规格。	无
TOOL-000131	内六角扳手套装	品牌：世达；类型：六角扳手套装	套	工具量具	扳手	内六角扳手套装	脱水保留	high		套装为采购形态，品牌、规格范围和件数保留在SKU规格。	补充件数、型号或规格范围。
TOOL-000132	开口/梅花扳手	规格：42号	支	工具量具	扳手	扳手	复核	low		只能确认属于扳手，开口、梅花或两用形态不足以判定。	采购或建档前确认扳手具体形态。
TOOL-000133	开口/梅花扳手	规格：12号	支	工具量具	扳手	扳手	复核	low		只能确认属于扳手，开口、梅花或两用形态不足以判定。	采购或建档前确认扳手具体形态。
TOOL-000134	开口/梅花扳手	规格：19号	支	工具量具	扳手	扳手	复核	low		只能确认属于扳手，开口、梅花或两用形态不足以判定。	采购或建档前确认扳手具体形态。
TOOL-000137	活动扳手	长度：450mm	支	工具量具	扳手	活动扳手	脱水保留	high		三级名称已是稳定扳手类型，规格差异保留在SKU规格。	无
TOOL-000141	固定扳手	品牌：世达；规格：24号	个	工具量具	扳手	固定扳手	复核	medium		固定扳手为临时三级，仍需确认开口、梅花或两用形式。	补充开口/梅花/两用形式及型号。
TOOL-000146	扳手	品牌：世达；规格：13号	个	工具量具	扳手	扳手	复核	low		名称过泛，仅能确认大类为扳手。	确认具体扳手类型后再建档。
TOOL-000148	重型梅花敲击扳手	规格：36；类型：梅花敲击；特征：重型	支	工具量具	扳手	梅花敲击扳手	三级名称脱水	high		重型和规格属于SKU属性，三级收敛为梅花敲击扳手。	无
TOOL-000149	重型梅花敲击扳手	规格：46；类型：梅花敲击；特征：重型	支	工具量具	扳手	梅花敲击扳手	三级名称脱水	high		重型和规格属于SKU属性，三级收敛为梅花敲击扳手。	无
TOOL-000150	重型梅花敲击扳手	规格：55；类型：梅花敲击；特征：重型	支	工具量具	扳手	梅花敲击扳手	三级名称脱水	high		重型和规格属于SKU属性，三级收敛为梅花敲击扳手。	无
TOOL-000155	液压扳手套装	品牌：恩耐克；类型：液压扳手套装	套	工具量具	液压工具	液压扳手套装	跨族调整建议	medium		液压扳手套装属于液压驱动专用工具，不宜混在手动扳手族。	确认是否启用液压工具二级族，并补型号、扭矩范围和配置。
TOOL-000159	大开口活动扳手	品牌：世达；长度：200mm；特征：大开口	个	工具量具	扳手	活动扳手	三级名称脱水	high		大开口、品牌和长度下压为SKU属性，三级保留活动扳手。	补充最大开口尺寸。
TOOL-000187	内六角扳手套装	品牌：世达；规格范围：1.5-10	套	工具量具	扳手	内六角扳手套装	脱水保留	high		套装为采购形态，品牌、规格范围和件数保留在SKU规格。	补充件数、型号或规格范围。
TOOL-000188	开口梅花扳手套装	品牌：世达；规格范围：8-24	套	工具量具	扳手	开口梅花扳手套装	脱水保留	high		套装为采购形态，品牌、规格范围和件数保留在SKU规格。	补充件数、型号或规格范围。
TOOL-000190	梅花双用扳手	规格：14	个	工具量具	扳手	两用扳手	三级名称修正	high	类型：梅花开口两用	梅花开口两用统一归并为两用扳手，端部形式进入规格。	无
TOOL-000242	两用扳手	品牌：世达；规格：M16；类型：梅花开口两用	把	工具量具	扳手	两用扳手	脱水保留	high		三级名称已是稳定扳手类型，规格差异保留在SKU规格。	无
TOOL-000296	活动扳手	品牌：世达；规格：12寸	把	工具量具	扳手	活动扳手	脱水保留	high		三级名称已是稳定扳手类型，规格差异保留在SKU规格。	无
TOOL-000297	活动扳手	品牌：世达；规格：10寸	把	工具量具	扳手	活动扳手	脱水保留	high		三级名称已是稳定扳手类型，规格差异保留在SKU规格。	无
TOOL-000310	三叉套筒扳手	类型：三叉套筒；规格：14-17-19	把	工具量具	扳手	三叉套筒扳手	脱水保留	high		三级名称已是稳定扳手类型，规格差异保留在SKU规格。	无
TOOL-000311	三叉套筒扳手	类型：三叉套筒；规格：13-16-18	把	工具量具	扳手	三叉套筒扳手	脱水保留	high		三级名称已是稳定扳手类型，规格差异保留在SKU规格。	无
TOOL-000312	三叉套筒扳手	类型：三叉套筒；规格：10-12-14	把	工具量具	扳手	三叉套筒扳手	脱水保留	high		三级名称已是稳定扳手类型，规格差异保留在SKU规格。	无
TOOL-000313	T型套筒扳手套装	类型：T型套筒；规格范围：8-19；件数：6件	套	工具量具	扳手	T型套筒扳手套装	脱水保留	high		套装为采购形态，品牌、规格范围和件数保留在SKU规格。	无
TOOL-000341	梅花开口两用扳手	品牌：世达；规格：41#	把	工具量具	扳手	两用扳手	三级名称修正	high	类型：梅花开口两用	梅花开口两用统一归并为两用扳手，端部形式进入规格。	无
TOOL-000346	梅花开口两用扳手	规格：13	把	工具量具	扳手	两用扳手	三级名称修正	high	类型：梅花开口两用	梅花开口两用统一归并为两用扳手，端部形式进入规格。	无
TOOL-000347	梅花开口两用扳手	规格：14	把	工具量具	扳手	两用扳手	三级名称修正	high	类型：梅花开口两用	梅花开口两用统一归并为两用扳手，端部形式进入规格。	无
TOOL-000002	多功能剥线钳	品牌：世达；类型：多功能剥线钳	只	工具量具	钳类	剥线钳	三级名称脱水	high	功能：多功能	多功能为功能属性，三级归并为剥线钳。	无
TOOL-000009	剥线钳	品牌：世达；类型：多功能剥线钳	个	工具量具	钳类	剥线钳	脱水保留	high	功能：多功能	剥线钳为稳定钳类名称，功能信息保留在规格。	无
TOOL-000103	端子压线钳	适用：接线端子；类型：压钳	个	工具量具	钳类	压线钳	三级名称修正	high		端子为适用对象，三级收敛为压线钳。	无
