item_code	current_item_name	current_required_specs	current_uom	target_top_category	target_second_layer_family	target_third_layer_name	decision	confidence	assumed_specs	manual_judgment	next_action
CHEM-000002	涂料	品牌：立邦；系列：5合1；特征：环保	桶	化工胶粘涂料	油漆涂料	涂料	复核	medium		信息不足或族边界存在不确定性，暂按涂料候选治理，采购/建档前需要人工确认。	采购/建档前确认具体涂料类型、容量、颜色和包装。
CHEM-000007	调和油漆	颜色：铁红	桶	化工胶粘涂料	油漆涂料	调和漆	三级名称修正	high	类型：调和漆	原名称为现场叫法、同义词或过泛名称，规范为调和漆，品牌和规格继续留在规格字段。	采购/建档前确认缺失规格：容量。
CHEM-000008	调和油漆	颜色：白色；类型：调和油漆	桶	化工胶粘涂料	油漆涂料	调和漆	三级名称修正	high	类型：调和漆	原名称为现场叫法、同义词或过泛名称，规范为调和漆，品牌和规格继续留在规格字段。	采购/建档前确认缺失规格：容量。
CHEM-000009	喷漆	品牌：三和；颜色：黄色	支	化工胶粘涂料	油漆涂料	自喷漆	三级名称修正	medium	类型：自喷漆	原名称为现场叫法、同义词或过泛名称，规范为自喷漆，品牌和规格继续留在规格字段。	采购/建档前确认缺失规格：容量。
CHEM-000010	喷漆	品牌：三和；颜色：天蓝色	支	化工胶粘涂料	油漆涂料	自喷漆	三级名称修正	medium	类型：自喷漆	原名称为现场叫法、同义词或过泛名称，规范为自喷漆，品牌和规格继续留在规格字段。	采购/建档前确认缺失规格：容量。
CHEM-000011	防锈漆	颜色：铁红；类型：防锈漆	桶	化工胶粘涂料	油漆涂料	防锈漆	脱水保留	high		防锈漆是稳定商品类型，三级名称保留，差异属性继续留在规格字段。	采购/建档前确认缺失规格：品牌；包装重量；容量。
CHEM-000013	调和漆	颜色：白色；类型：调和漆	桶	化工胶粘涂料	油漆涂料	调和漆	脱水保留	high		调和漆是稳定商品类型，三级名称保留，差异属性继续留在规格字段。	采购/建档前确认缺失规格：品牌；包装重量。
CHEM-000017	自喷漆	品牌：三和；颜色：灰色；类型：自喷漆	瓶	化工胶粘涂料	油漆涂料	自喷漆	脱水保留	high		自喷漆是稳定商品类型，三级名称保留，差异属性继续留在规格字段。	采购/建档前确认缺失规格：容量。
CHEM-000018	自喷漆	品牌：三和；颜色：黑色；类型：自喷漆	瓶	化工胶粘涂料	油漆涂料	自喷漆	脱水保留	high		自喷漆是稳定商品类型，三级名称保留，差异属性继续留在规格字段。	采购/建档前确认缺失规格：容量。
CHEM-000023	调和漆	颜色：黄色；类型：调和漆	桶	化工胶粘涂料	油漆涂料	调和漆	脱水保留	high		调和漆是稳定商品类型，三级名称保留，差异属性继续留在规格字段。	采购/建档前确认缺失规格：品牌；包装重量。
