batch	issue_id	source_name	identify	spec_normalization	standard_name_normalization	group_normalization	release_grade	judgement	next_action
002	ISSUE-00101	尼龙绳	尼龙绳	14mm、16mm、18mm归一；仅材质尼龙缺直径	尼龙绳	吊装索具/绳索/尼龙绳	C	直径影响SKU；有一项只有材质没有直径	完整直径项可拆SKU，无直径项补规格
002	ISSUE-00102	扣压钢丝绳	扣压成品钢丝绳	50*3.6m、47.5*9m归一为直径*长度	扣压钢丝绳	吊装索具/钢丝绳/扣压钢丝绳	C	直径和长度明确，但扣压端头形式、钢丝绳结构和安全等级缺失	补钢丝绳结构、端头形式、额定载荷后按直径+长度拆SKU
002	ISSUE-00103	钢丝绳	钢丝绳	10厘->10mm；Φ20*6m保留；50*6m疑似直径50mm	钢丝绳	吊装索具/钢丝绳/钢丝绳	D	米和根混在一起，既有散米钢丝绳又有定尺成品绳，且结构/强度缺失	先区分散米钢丝绳和成品钢丝绳，再补结构、直径、长度、额定载荷
002	ISSUE-00104	钢丝绳卡扣	钢丝绳绳夹	6mm、10厘->适配钢丝绳直径10mm	钢丝绳绳夹	吊装索具/钢丝绳配件/钢丝绳绳夹	B	物料族明确，适配直径可拆SKU；材质和表面处理可后补	按适配直径拆SKU，默认单位个，补镀锌/不锈钢属性
002	ISSUE-00105	U型卸扣	U型卸扣	10T、9.5T、17T国标按额定载荷归一	U型卸扣	吊装索具/卸扣/U型卸扣	C	额定载荷明确，但安全件缺执行标准、销轴形式和强度等级	按载荷拆SKU，补执行标准、销轴形式、强度等级
002	ISSUE-00106	卸扣	卸扣泛称	2T、3T、3.25T、4T、6T、6.5T、8T、8.5T、10T、12T、17T、25T归一	卸扣待定	吊装索具/卸扣/卸扣待定	D	只有载荷不够，卸扣必须区分弓形、D型/U型、美式/国标等	追问卸扣型式和执行标准，再拆入具体子类
002	ISSUE-00107	吊钩保险扣	吊钩保险扣	16T、20T按适配吊钩载荷归一	吊钩保险扣	起重设备配件/吊钩配件/保险扣	C	适配载荷明确，但保险扣通常还需要吊钩型号或尺寸	补吊钩型号、开口尺寸或适配品牌后建档
002	ISSUE-00108	弓形卸扣	弓形卸扣	6.5吨->6.5T；4.75T、9.5T、17T保留；美式/高强度保留	弓形卸扣	吊装索具/卸扣/弓形卸扣	B	弓形和载荷明确，可按载荷拆SKU；标准和强度作为规格属性	按载荷拆SKU，补国标/美式、高强度属性
002	ISSUE-00109	弓形卸扣	弓形卸扣	6.5吨->6.5T；载荷和型式同义归一	弓形卸扣	吊装索具/卸扣/弓形卸扣	B	低精度来自单位和写法差异，物料族可稳定识别	沿用弓形卸扣规则，按额定载荷拆SKU
002	ISSUE-00110	反射片	反光反射片	3*3、5*5需补单位，疑似cm尺寸	反光反射片	安全文明施工/交通警示/反光材料	C	尺寸缺单位，材质和颜色/反光等级未写	补尺寸单位、颜色、反光等级
002	ISSUE-00111	路锥	交通路锥	1米->1000mm；90cm->900mm	交通路锥	安全文明施工/交通警示/路锥	B	高度明确，路锥可按高度拆SKU；重量和材质可后补	按高度拆SKU，补重量/材质/反光膜等级
002	ISSUE-00112	安全网	安全网	1.8米*6米和6*1.8米同规格；加厚为特征；品类项缺规格	安全网	劳保用品/高处防护/安全网	C	安全网需要尺寸、密目/平网类型、阻燃等级；存在无规格项	完整尺寸项保留，补类型、阻燃等级、网目密度
002	ISSUE-00113	五点式安全带	五点式安全带	副/个统一为副；缓冲=带缓冲包	五点式安全带	劳保用品/高处防护/安全带	C	高处作业安全件缺执行标准、挂钩形式和是否带缓冲	按是否带缓冲拆SKU，补标准、挂钩和长度
002	ISSUE-00114	安全绳	安全绳	Φ8、Φ10、Φ12、Φ14、Φ16归一为直径mm	安全绳	劳保用品/高处防护/安全绳	C	直径明确但缺材质、长度、安全等级或静力/动力类型	按直径暂存候选，补材质、长度和执行标准
002	ISSUE-00115	橡胶垫片	橡胶垫片	规格50、200需确认是DN、外径还是其他尺寸	橡胶垫片	密封材料/垫片/橡胶垫片	C	垫片关键规格应包含内径、外径、厚度；裸数字不能直接建档	补内径、外径、厚度或适配法兰规格
002	ISSUE-00116	冲孔冲头	冲孔冲头	Φ14*150、Φ16*150归一为直径*长度	冲孔冲头	工具治具/模具耗材/冲头	B	直径和长度明确，可拆SKU；材质可作为后续增强字段	按直径+长度拆SKU，补材质/适配设备
002	ISSUE-00117	加长六角套筒	加长六角套筒	5、6、7、8、10、12、14归一为口径mm；加长保留	加长六角套筒	工具治具/手动工具/套筒	C	口径明确但套筒还需要驱动方榫规格和长度	补1/4、3/8、1/2等方榫规格及实际长度
002	ISSUE-00118	电动扳手套筒	电动扳手套筒	12号、23号、24号、36号、42号归一为口径mm	电动扳手套筒	工具治具/电动工具配件/套筒	B	适用工具和口径明确，品牌可选；支/个可统一	按口径拆SKU，补方榫和加长/短款属性
002	ISSUE-00119	电工包	电工工具包	帆布为材质；得力为品牌	电工工具包	工具治具/工具收纳/工具包	B	用途明确，材质/品牌是可选差异；低值工具可先治理	统一标准名，必要时按品牌或材质拆SKU
002	ISSUE-00120	多功能剥线钳	多功能剥线钳	只/个统一为把；世达为品牌	多功能剥线钳	工具治具/电工工具/剥线钳	B	物料族明确，低值工具缺型号可先按通用项管理	统一单位把，品牌作为属性，后续补型号
002	ISSUE-00121	撬杠	撬杠	60、120疑似长度cm，需要补单位	撬杠	工具治具/手动工具/撬杠	C	裸数字不够稳定，撬杠规格应明确长度、直径和材质	补长度单位、直径或重量
002	ISSUE-00122	方头铁锹	方头铁锹	大号、小号保留；套表示含柄整套	方头铁锹	工具治具/土建工具/铁锹	B	类型清楚，大小号可作为规格；低值工具可按常用规格管理	按大号/小号拆SKU，确认是否含柄
002	ISSUE-00123	美工刀	美工刀	支/把统一为把；得力为品牌	美工刀	工具治具/手动工具/刀具	B	低值通用工具，品牌差异可作为属性，不阻塞治理	统一单位把，补刀片宽度或型号
002	ISSUE-00124	美工刀	美工刀	支/把统一为把	美工刀	工具治具/手动工具/刀具	B	只是单位冲突，但规格仍偏通用，暂不升A	统一库存单位把，后续补刀片宽度
002	ISSUE-00125	美工刀	美工刀	支/把统一为把；得力为品牌	美工刀	工具治具/手动工具/刀具	B	低精度可通过通用工具规则治理	统一单位把，品牌可选
