item_code	item_name	sku_name	required_specs	top_group	sub_group	material_family	unit	aliases	brand	model
FAST-000053	8.8级螺栓	8.8级螺栓 M20×130	规格/口径：M20×130；材质：碳钢；强度等级：8.8；表面处理：镀锌	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	个	M20*130螺丝；螺丝；8.8级螺栓；螺栓		
SPARE-000019	8.8级螺栓	8.8级螺栓 M12×60	规格/口径：M12×60；材质：碳钢；强度等级：8.8；表面处理：镀锌	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	个	12*60螺丝；螺丝；8.8级螺栓；螺栓		
PIPE-000171	异径接头/大小头	碳钢焊接异径接头 80*50	材质：碳钢；连接：焊接；规格：80mm*50mm	管材管件阀门	直接/接头	直接/接头	个	80*50大小头；异径接头		
PIPE-000464	直接/直通	PPR直接 32	材质：PPR；规格：32	管材管件阀门	直接/接头	直接/接头	个	PPR直接		
PIPE-000349	转换接头	高压转换接头 36*2 外丝转内丝	螺纹：M36*2；接口：外丝转内丝；压力等级：高压；材质：碳钢	液压气动	液压接头	液压接头	套	高压接头36*2外丝转内丝；高压转换接头		
PIPE-000146	卡槽加工件	卡槽加工件 DN89 加厚	口径：DN89；特征：加厚；材质：碳钢	定制加工件	定制管路件	定制管路件	个	加工89加厚卡槽；加厚卡槽		
METAL-000013	球阀	球阀 40 不锈钢 加厚	材质：不锈钢；规格/口径：DN40；特征：加厚	管材管件阀门	阀门	阀门	个	40埃美柯加厚不锈钢球阀；不锈钢球阀	埃美柯	
PIPE-000493	球阀	球阀 DN10 304	材质：304；规格/口径：DN10	管材管件阀门	阀门	阀门	个	304不锈钢球阀DN10；不锈钢球阀		
TOOL-000201	麻花钻头	麻花钻头 9mm	材质：高速钢；直径：9mm；长度：150mm	工具耗材	钻头	钻头	支	9厘麻花钻头；麻花钻头		
ELEC-000201	按钮开关	按钮开关 红+绿 AC220V	颜色：红+绿；电压：AC220V	电气电料	低压电器	低压电器	只	按钮开关红+绿；按钮开关		
CHEM-000157	油漆	立邦 白色油漆 18kg	颜色：白色；包装：18kg	化工胶粘涂料	油漆涂料	油漆涂料	桶	立邦白色油漆18KG；油漆	立邦	
ELEC-000012	开关	开关 1位	位数：1位	电气电料	开关插座	开关插座	个	公牛1位开关；一位开关；公牛一位开关	公牛	
PIPE-000344	胶管总成	胶管总成 36*2-2层 1.2米	规格：36*2；层数：2层；长度：1.2米；接头形式：两端接头	液压气动	胶管总成	胶管总成	根	胶管36*2-2层-1.2米；胶管总成		
PIPE-000148	弯头	碳钢焊接弯头 325mm 90°	材质：碳钢；规格/口径：325mm；连接：焊接；角度：90度	管材管件阀门	弯头	弯头	个	325焊接弯头；焊接弯头		
ELEC-000239	电缆	电缆 YJV 3*4+1*2.5 铜芯	型号：YJV；规格：3*4+1*2.5	电气电料	电线电缆	电线电缆	米	起帆电缆线3*4+1*2.5；电缆	起帆	YJV
ADMIN-000045	喷壶	喷壶 2L	容量：2L；材质：塑料	清洁办公后勤	清洁工具	清洁工具	个	2升喷壶；喷壶		
