item_code	item_name	sku_name	required_specs	top_group	sub_group	material_family	unit	aliases	brand	model
FAST-000067	高强度螺栓	高强度螺栓 M30*80 10.8级发黑	规格：M30*80；强度等级：10.8；材质：合金钢；表面处理：发黑	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	个	M30*80/10.8级螺丝；高强度螺丝；螺丝		
SPARE-000031	内六角螺丝	内六角螺丝 M10*40	规格：M10*40；强度等级：12.9；材质：碳钢；表面处理：发黑	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	个	10*40内六角；内六角螺丝；螺丝		
PIPE-000288	软接头	橡胶软接头 4寸 胶接	口径：4寸（DN100）；材质：橡胶；连接方式：胶接	管材管件阀门	直接/接头	直接/接头	套	4寸胶接头；胶接头		
PIPE-000050	卡套三通	不锈钢卡套三通 6*12	规格：6*12；材质：不锈钢	液压气动	液压接头	液压接头	个	卡6*12不锈钢三通；不锈钢卡套三通		
PIPE-000368	接头	高压外丝接头 1寸	规格：1寸；接口：外丝；压力等级：高压；材质：碳钢	液压气动	液压接头	液压接头	只	液压高压外丝接头1寸；液压高压外丝接头		
PIPE-000187	气源分配器	气源分配器 6路 不锈钢	材质：不锈钢；路数：6路；类型：定制	定制加工件	定制管路件	定制管路件	个	定做6路不锈钢气源分配器；气源分配器		
METAL-000146	球阀	球阀 3分 内外丝 304不锈钢	材质：304不锈钢；规格：3分；接口：内外丝	管材管件阀门	阀门	阀门	个	304不锈钢3分内外丝球阀；不锈钢内外丝球阀		
TOOL-000050	钻头	钨钢钻头 12*90	材质：钨钢；直径：12mm；长度：90mm	工具耗材	钻头	钻头	支	钨钢钻头12厘；钨钢钻头		
TOOL-000344	二坑二槽钻头	二坑二槽钻头 Φ14*160	材质：硬质合金；柄型：二坑二槽；直径：14mm；长度：160mm	工具耗材	钻头	钻头	支	博世二坑二槽钻头Φ14*160；二坑二槽钻头	博世	
ELEC-000223	接触器	接触器 CJX2-1810	额定电流：18A；电流类型：交流	电气电料	低压电器	低压电器	个	人民交流接触器CJX2-1810；交流接触器	人民	
ADMIN-000001	热水壶	热水壶 不锈钢 2L	材质：不锈钢；容量：2L	清洁办公后勤	生活后勤	生活后勤	个	热水壶		
ELEC-000158	插头	插头 三脚 10A 公牛	极数：三脚；额定电流：10A；额定电压：250V	电气电料	开关插座	开关插座	个	公牛三插头；三脚插头	公牛	
PIPE-000363	胶管总成	胶管总成 36*2H-2层 3米	规格：36*2H；层数：2层；长度：3米；接头形式：两端接头	液压气动	胶管总成	胶管总成	根	胶管36*2H-2层-3米；胶管总成		
PIPE-000252	弯头	碳钢焊接弯头 89mm*10mm	材质：碳钢；规格/口径：89mm；壁厚：10mm；连接：焊接	管材管件阀门	弯头	弯头	个	89*10焊接弯头；焊接弯头		
PIPE-000366	管夹	管夹 六联 35	适用管径：35mm；联数：6联；材质：碳钢；加工：定制	定制加工件	定制结构件	定制结构件	个	加工六联管夹35;六联管夹加工件		
SAFE-000043	钢丝球	钢丝球	规格：通用；材质：不锈钢	清洁办公后勤	清洁工具	清洁工具	个	钢丝球		
ELEC-000205	管型端子	管型端子 2.5平方 铜 100只/包	适配线径：2.5平方；材质：铜；包装数量：100只/包	电气电料	接线端子/线鼻子	接线端子/线鼻子	包	管型接线端子2.5平方；管型接线端子		
METAL-000081	方钢	方钢 6*6*5 镀锌 Q235	材质：Q235；规格：6*6*5mm；表面处理：镀锌	金属材料	型钢	型钢	米	6*6*5镀锌方钢；镀锌方钢		
TOOL-000270	激光水平仪	激光水平仪 2线 莱赛	线数：2线；精度：±1mm/5m；激光波长：635nm	工具量具	测量工具	测量工具	套	莱赛激光红外水平仪；激光水平仪	莱赛	
CHEM-000045	胶水	胶水 101 20g	型号：101；容量：20g	化工胶粘涂料	胶粘密封	胶粘密封	瓶	101胶水；胶水		101
TOOL-000131	内六角扳手套装	内六角扳手套装 1.5-10mm 9件套 世达	规格范围：1.5-10mm；件数：9件	工具量具	扳手	扳手	套	世达六角扳手；内六角扳手套装；1.5-10世达内六角扳手	世达	
ELEC-TIE-000002	扎带	扎带 10*500mm	规格：10*500mm；材质：尼龙	电气电料	电工辅材	电工辅材	包	10*500mm扎带；尼龙扎带；10*500mm大包扎带；10*500mm尼龙扎带；尼龙扎带10*500mm		
FAST-000042	膨胀锚栓	膨胀锚栓 M24*150	规格/口径：M24；长度：150mm；表面处理：镀锌	紧固件与连接件	膨胀锚栓	膨胀锚栓	个	24*150膨胀螺丝；M24*150膨胀螺丝；膨胀螺丝；膨胀锚栓		
PIPE-000206	三通接头	三通接头 16mm	口径：16mm；类型：快插；材质：铜镀镍；适用气管：PU	液压气动	气动接头	气动接头	个	16厘气管三通；气管三通接头		
MAT-000005	水龙头花洒套装	水龙头花洒套装 不锈钢	材质：不锈钢；接口：G1/2；包含：水龙头+花洒+软管	管材管件阀门	水龙头/洁具配件	水龙头/洁具配件	套	水龙头花洒；水龙头花洒套装		
TOOL-000202	管钳	管钳 450mm	长度：450mm	工具量具	钳类	钳类	把	18寸管钳；管钳		
SAFE-000005	手套	手套 帆布加厚双层	材质：帆布；层数：双层；加厚：是；颜色：原色	劳保防护	手套	手套	双	加厚双层帆布手套；帆布手套		
SPARE-000140	增压泵	增压泵 供水	用途：供水；电压：220V；功率：0.75kW；口径：25mm	施工机具设备	泵类设备	泵类设备	台	供水增压泵		
CHEM-000122	平板输送带	平板输送带 1m宽10mm厚 1米长	材质：橡胶；宽度：1m；厚度：10mm；长度：1m	设备备件	传动件	传动件	件	橡胶平板输送带1m*10mm;橡胶平板输送带		
CONST-000013	人工草皮	人工草皮 3.0 绿色	草高：3.0；颜色：绿色；密度：常用密度	建筑材料	装饰装修材料	装饰装修材料	平方米	3.0绿草皮；人工草皮		
CONST-000042	脚手架钢管	脚手架钢管 48*3.5 6m 碳钢	外径：48mm；壁厚：3.5mm；材质：Q235；长度：6m	金属材料	钢管	钢管	根	架子管6m；架子管		
TOOL-000070	汽油桶	汽油桶 20L	容量：20L；材质：铁	包装覆盖周转	容器周转箱	容器周转箱	个	20L汽油桶；汽油桶		
METAL-000095	钢丝绳	钢丝绳 50mm 4m	直径：50mm；长度：4m；结构：6×37+FC；材质：碳钢	吊装索具	钢丝绳	钢丝绳	根	定做50*4米钢丝绳；钢丝绳		
SPARE-000136	泥浆泵活塞	泥浆泵活塞 BW-250	适配型号：BW-250	设备备件	泵类配件	泵类配件	只	泥浆泵活塞BW-250；泥浆泵活塞		
SAFE-000023	路锥	路锥 1米	高度：1米；材质：橡胶	安全消防	安全警示	安全警示	个	路锥1米；路锥		
SPARE-000074	推进泵吸轮	推进泵吸轮 不锈钢	适用设备：推进泵；材质：不锈钢；尺寸：常规	定制加工件	设备定制配件	设备定制配件	套	定做推进泵吸轮；推进泵吸轮		
SAFE-000015	五点式安全带	五点式安全带 欧式	款式：欧式；承重：100kg；挂钩：小钩	劳保防护	安全带/安全绳	安全带/安全绳	条	五点式欧式安全带；五点式安全带		
WELD-000036	气瓶手推车	气瓶手推车 乙炔 43cm轮胎	适用气体：乙炔；轮子直径：43cm；承重：150kg	施工机具设备	手推搬运设备	手推搬运设备	台	43cm轮胎乙炔车；乙炔瓶手推车		
FAST-000086	膨胀止水条	膨胀止水条 5mm×30mm	规格：5mm×30mm；材质：橡胶	建筑材料	防水保温材料	防水保温材料	米	膨胀止水条5mm*30mm；膨胀止水条		
CHEM-000129	不干胶标签	不干胶标签 30mm*10mm	材质：哑银PET；尺寸：30mm*10mm；每卷张数：5000张	包装覆盖周转	胶带标签	胶带标签	卷	哑银pet条码不干胶贴纸30mm*10mm*5000张；PET条码不干胶标签		
TOOL-000294	焊机地线夹	焊机地线夹 500A	额定电流：500A	焊接切割	焊机配件	焊机配件	个	500A地线夹；地线夹；电焊机接线夹；焊机地线夹		
TOOL-000083	切割片	切割片 400mm 金刚石	直径：400mm；厚度：5mm；孔径：25mm；材质：金刚石	工具耗材	切磨耗材	切磨耗材	片	400马路切片;马路切割片		
MAT-000114	手拉葫芦	手拉葫芦 2T 6米	额定载荷：2T；链条长度：6米；链条直径：8mm	吊装索具	葫芦/起重工具	葫芦/起重工具	台	三角手拉葫芦2T*6米；手拉葫芦	三角	
MAT-000163	监控套装	监控套装 太阳能4G三件套	供电：太阳能；通信：4G；件数：三件套（含主机、摄像头、支架）	弱电安防	监控安防	监控安防	套	太阳能4G监控三件套；太阳能4G监控套装		
CHEM-000087	胶垫	胶垫 63	规格/口径：63；类型：胶垫	设备备件	密封垫片	密封垫片	个	63快速接头胶垫；快速接头胶垫		
MAT-000244	花篮螺丝	花篮螺丝 M14 镀锌	螺纹规格：M14；材质：碳钢；表面处理：镀锌	吊装索具	花篮螺丝/紧线器（候选）	花篮螺丝/紧线器（候选）	只	镀锌花兰扣m14；镀锌花兰扣；花篮螺丝		
TOOL-000107	铁锹柄	铁锹柄 1.2米 木柄	材质：木柄；长度：1.2米	工具量具	工具附件（候选新增）	工具附件（候选新增）	支			
ADMIN-000022	多功能打印机	惠普多功能打印机	品牌：惠普；类型：激光多功能一体机	清洁办公后勤	办公设备	办公设备	台	惠普多功能打印机；多功能打印机	惠普	
ELEC-000112	排风扇	排风扇 FAD40-400 方形排气扇	型号：FAD40-400	电气电料	通风设备	通风设备	台	FAD40-400排气扇；排气扇		FAD40-400
