item_code	item_name	sku_name	required_specs	top_group	sub_group	material_family	unit	aliases	brand	model
FAST-000022	螺丝套件	螺丝套件 M6*25 8.8级镀锌	规格：M6*25；材质：碳钢；强度等级：8.8；表面处理：镀锌	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	套	M6*25螺丝；螺丝组件；螺丝套件		
FAST-000096	内六角螺丝套件	内六角螺丝套件 M5*10	材质：不锈钢；规格/口径：M5*10；强度等级：12.9；表面处理：发黑；套件组成：平垫+弹垫	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	套	不锈钢内六角螺丝M5*10带平弹垫；内六角螺丝套件；螺丝套件		
SPARE-000082	8.8级螺栓	8.8级螺栓 M16×160	规格/口径：M16×160；材质：碳钢；强度等级：8.8；表面处理：镀锌	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	个	16*160螺丝；螺丝；8.8级螺栓；螺栓		
PIPE-000428	直接/直通	镀锌外丝直接 3寸	材质：镀锌；接口：外丝；规格：3寸	管材管件阀门	直接/接头	直接/接头	个	镀锌外丝直接头3寸；镀锌外丝直接		
PIPE-000155	快速接头	快速接头 GR6-25S DN25	型号：GR6-25S；口径：DN25；材质：碳钢	液压气动	液压接头	液压接头	套	GR6-25S液压快速接头；液压快速接头		
PIPE-000410	两半扣	合金两半扣 DN100	材质：合金；口径：DN100	液压气动	液压接头	液压接头	套	合金两半扣DN100；合金两半扣		
PIPE-000210	管加工件	管加工件 DN25 单头外丝	材质：无缝管；公称口径：DN25；接口：单头外丝；长度：按需定尺	定制加工件	定制管路件	定制管路件	根	加工单头外丝无缝管；单头外丝无缝管加工件		
METAL-000160	球阀	球阀 4寸 不锈钢	材质：不锈钢；规格：4寸；连接方式：法兰	管材管件阀门	阀门	阀门	个	4寸不锈钢补水球阀；不锈钢补水球阀		
TOOL-000053	钻头	合金钻头 8*100	材质：合金；直径：8mm；长度：100mm	工具耗材	钻头	钻头	支	合金钻头8厘；合金钻头		
ELEC-000079	开关电源	开关电源 36V 400W	输出电压：36V；功率：400W；输入电压：220V AC	电气电料	低压电器	低压电器	个	36V 400w电源；开关电源		
CHEM-000120	油漆	立邦 蓝色油漆 18kg	颜色：蓝色；包装：18kg	化工胶粘涂料	油漆涂料	油漆涂料	桶	立邦蓝色油漆18kg；油漆	立邦	
ADMIN-000012	床垫	床垫 单人	尺寸：单人；材质：海绵	清洁办公后勤	生活后勤	生活后勤	个	床垫		
ELEC-000164	插座	明装五孔插座 10A 公牛	安装方式：明装；孔位：五孔；额定电流：10A；额定电压：250V	电气电料	开关插座	开关插座	套	公牛明装五孔插座；五孔插座	公牛	
PIPE-000381	胶管总成	胶管总成 36*2-2层 11米	规格：36*2；层数：2层；长度：11米；接头形式：两端接头	液压气动	胶管总成	胶管总成	根	胶管36*2-2层-11米；胶管总成		
ELEC-000105	电缆	电缆 YJV 3*25 铜芯	型号：YJV；规格：3*25	电气电料	电线电缆	电线电缆	米	3*25电缆线；电缆线		YJV
