item_code	item_name	sku_name	required_specs	top_group	sub_group	material_family	unit	aliases	brand	model
FAST-000025	内六角螺丝	内六角螺丝 M8*45	规格：M8*45；强度等级：12.9；材质：碳钢；表面处理：发黑	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	个	M8*45内六角螺丝；内六角螺丝；螺丝		
FAST-000106	自攻螺丝	自攻螺丝 M5*60	直径：M5；长度：60mm；材质：碳钢；表面处理：镀锌；驱动类型：十字	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	只	自攻螺丝60mm；自攻螺丝；螺丝		
PIPE-000088	直接/直通	PPR直接 4分	材质：PPR；规格：4分	管材管件阀门	直接/接头	直接/接头	个	4分热熔接头；PPR热熔接头		
PIPE-000430	直接/直通	镀锌内丝直接 2寸	材质：镀锌；接口：内丝；规格：2寸	管材管件阀门	直接/接头	直接/接头	个	镀锌内丝直接头2寸；镀锌内丝直接2寸；镀锌内丝直接		
PIPE-000174	堵头	高压钢制堵头 3/4英寸	口径：3/4英寸；材质：钢；压力等级：高压	液压气动	液压接头	液压接头	个	3/4高压堵头；高压堵头		
PIPE-000064	卡槽接头加工件	卡槽接头加工件 DN325	口径：DN325；连接方式：卡槽；材质：碳钢	定制加工件	定制管路件	定制管路件	个	定做325卡槽钢圈接头；卡槽钢圈接头		
PIPE-000228	弯头加工件	弯头加工件 DN52 高压	口径：DN52；压力等级：高压；材质：碳钢	定制加工件	定制管路件	定制管路件	个	52高压弯头；高压弯头		
PIPE-000105	止回阀	止回阀 DN80 铜	材质：铜；公称直径：DN80；连接方式：法兰	管材管件阀门	阀门	阀门	个	埃美柯80单向阀；单向阀	埃美柯	
TOOL-000066	钻头	钻头 16mm 短型	材质：高速钢；直径：16mm；长度：100mm	工具耗材	钻头	钻头	支	16*100钻头；钻头		
ELEC-000132	压力开关	压力开关 4分	接口：4分；电压：220V；电流：10A	电气电料	低压电器	低压电器	个	4分压力开关；压力开关		
CHEM-000135	油漆	立邦 金属漆 18kg	类型：金属；包装：18kg	化工胶粘涂料	油漆涂料	油漆涂料	桶	立邦金属漆18KG；金属漆	立邦	
MAT-000040	枕头	枕头 标准尺寸	尺寸：标准；材质：通用	清洁办公后勤	生活后勤	生活后勤	个	枕头		
ELEC-000215	插线板	插线板 双排 3m 10A 公牛	结构：双排；线长：3m；额定电流：10A；额定电压：250V	电气电料	开关插座	开关插座	个	公牛双排插板3m；插线板；公牛3m双排插线板	公牛	
PIPE-000074	弯头	UPVC弯头 32mm 90°	材质：UPVC；规格/口径：32mm；角度：90度	管材管件阀门	弯头	弯头	个	32弯头；UPVC弯头		
ELEC-000137	接地跨接线	接地跨接线 铜 6mm² 200mm	材质：铜；截面积：6mm²；长度：200mm	电气电料	电线电缆	电线电缆	支	电柜接地跨线；接地跨接线		
SPARE-000083	垫木	垫木 200*200*1500mm	尺寸：200x200x1500mm；材质：木方	定制加工件	定制结构件	定制结构件	根	加工200*200*1500木方垫板；木方垫板		
PIPE-000098	管卡	管卡 110	规格：110mm；材质：碳钢	紧固件与连接件	管卡/抱箍	管卡/抱箍	个	管卡		
HW-LOCK-000013	锁扣	不锈钢锁扣	材质：不锈钢	清洁办公后勤	门窗五金	门窗五金	套	不锈钢锁扣；不锈钢外门锁扣；锁扣		
METAL-000123	槽钢	槽钢 20#B Q235B	规格：20#B；材质：Q235B	金属材料	型钢	型钢	米	20#B型槽钢；B型槽钢		
PIPE-000304	水带	高压橡胶水带 65mm 加厚	口径：65mm；材质：橡胶；特征：加厚；压力等级：高压	管材管件阀门	管材	管材	米	65加厚蓝色胶水带；高压胶水带		
PIPE-000007	三通	PPR三通 25mm	材质：PPR；规格/口径：25mm	管材管件阀门	三通	三通	个	PPR三通；25PPR三通		
TOOL-000310	三叉套筒扳手	三叉套筒扳手 14-17-19	规格/口径：14-17-19	工具量具	扳手	扳手	把	三叉套筒扳手14-17-19；三叉套筒扳手		
MAT-000079	U型卸扣	U型卸扣 10T	额定载荷：10T	吊装索具	卸扣/卡环	卸扣/卡环	个	10吨U型卸扣；U型卸扣		
TOOL-000092	钢丝刷	钢丝刷 250mm	规格/口径：250mm	工具耗材	刷涂耗材	刷涂耗材	把	钢丝刷；钢刷		
CHEM-000058	润滑油	润滑油 D321R 400mL/瓶 摩力克	型号：D321R；容量：400mL/瓶	化工胶粘涂料	润滑防锈	润滑防锈	瓶	D321R摩力克润滑油；润滑油	摩力克	
MAT-000238	油布	油布 4m*8m 加厚	尺寸：4m*8m；特征：加厚	包装覆盖周转	覆盖材料	覆盖材料	块	加厚油布4m*8m；油布		
SPARE-000070	弹簧垫圈	弹簧垫圈 M27	规格/口径：M27	紧固件与连接件	垫圈/垫片	垫圈/垫片	个	M27弹垫；弹簧垫片；垫圈		
CHEM-000084	流量计	流量计 DN150 橡胶自动	公称直径：DN150；材质/衬里：橡胶；类型：自动；连接方式：法兰	工具量具	检测仪器（候选新增）	检测仪器（候选新增）	台	DN150橡胶自动流量计；流量计		
ELEC-000138	灯泡	灯泡 50W 螺口	功率：50W；接口：螺口	电气电料	照明光源	照明光源	个	50WLED灯泡；LED灯泡；飞利浦led灯泡50W	飞利浦	
CHEM-000074	黄油嘴	黄油嘴 直通 M14*1.5	角度：直通；螺纹：M14*1.5	设备备件	润滑配件	润滑配件	个	14*1.5黄油嘴；黄油嘴		
TOOL-000180	套筒	加长六角套筒 14mm	规格：14mm；特征：加长；类型：六角；连接方头：1/4英寸	工具量具	套筒	套筒	个	14加长六角套筒；加长六角套筒		
TOOL-000110	撬棍	撬棍 120cm-20mm	长度：120cm；直径：20mm；材质：碳钢	工具量具	锤铲撬工具	锤铲撬工具	根	120撬杠；撬杠		
WELD-000059	减压阀	减压阀 氧气	介质：氧气；接口：G5/8	焊接切割	气体减压附件	气体减压附件	只	氧气减压阀		
MAT-CEM-000005	沙子	沙子 中砂	砂类型：中砂	建筑材料	水泥砂石	水泥砂石	包	中沙；中砂		
WELD-000056	焊条	不锈钢焊条 2.5mm	材质：不锈钢；直径：2.5mm	焊接切割	焊材	焊材	千克	不锈钢焊条Φ2.5；不锈钢焊条		
ADMIN-000008	垃圾袋	垃圾袋 120*140cm 厚	尺寸：120*140cm；厚度：厚	清洁办公后勤	清洁用品	清洁用品	个	120*140厚垃圾袋；垃圾袋		
PIPE-000197	高压树脂管	高压树脂管 8mm	规格/口径：8mm；压力等级：10bar	液压气动	高压油管/胶管	高压油管/胶管	米	8厘高压树脂管；高压树脂管		
SPARE-000091	滤芯	滤芯 06/08-25	型号：06/08-25	设备备件	密封过滤件	密封过滤件	个	06/08-25滤芯；滤芯		
CHEM-000020	电气清洗剂	电气清洗剂 1KG/瓶	适用对象：电力设备；包装：1KG/瓶	化工胶粘涂料	清洗脱漆剂	清洗脱漆剂	瓶	电力清洗剂		
TOOL-000029	砖刀	砖刀 200mm	长度：200mm	工具量具	刀具/刃具	刀具/刃具	个			
FAST-000118	螺杆	螺杆 M10*30 8.8级	规格：M10*30；强度等级：8.8；材质：碳钢；表面处理：发黑	紧固件与连接件	螺杆/丝杆	螺杆/丝杆	个	8.8级M10*30螺丝杆；螺丝杆；螺杆		
TOOL-000215	梯凳	梯凳 600kg 一体 钢	承重：600kg；结构：一体；材质：钢	工具量具	登高工具（候选新增）	登高工具（候选新增）	个	600KG一体梯凳；一体梯凳		
TOOL-000305	碳刷	碳刷 43#	规格：43#	电动气动工具	工具附件	工具附件	副	碳刷43#；碳刷		
PIPE-000401	油管护套	钢制油管护套 M42*4	螺纹：M42*4；材质：钢	液压气动	油管护套/液压防护件（候选）	油管护套/液压防护件（候选）	只	油管护套M42*4；油管护套		
SAFE-000024	劳保鞋	劳保鞋 高帮	帮高：高帮；尺码：42；防护等级：防砸防刺穿	劳保防护	足部防护	足部防护	双	进口高帮劳保鞋；高帮劳保鞋		
SPARE-000135	黄油泵	黄油泵 6L 3出口 带时控器	容量：6L；出口数：3出口；驱动：电动；配置：带时控器；电压：220V	施工机具设备	泵油润滑设备	泵油润滑设备	台	电动油脂泵6L-3出口带时控器；电动油脂泵		
CONST-000015	铁皮	镀锌铁皮 1.2mm 宽1m	厚度：1.2mm；表面：镀锌；宽度：1m	金属材料	钢板/板材	钢板/板材	米	1.2镀锌铁皮；镀锌铁皮		
MAT-000043	生料带	生料带 12mm*10m	宽度：12mm；长度：10m；厚度：0.1mm	管材管件阀门	管道辅材	管道辅材	卷	生料带		
TOOL-000067	风镐	风镐 G150	型号：G150	电动气动工具	气动工具	气动工具	台	G150风镐；风镐		
MAT-000180	吊装袋	吊装袋 1吨	额定载荷：1吨；材质：聚丙烯	吊装索具	吊装袋/吊包	吊装袋/吊包	只	吊包1吨；吊包		
CONST-000008	顶托	顶托 30*500厚	规格：30*500；特征：厚	建筑材料	脚手架配件	脚手架配件	个	30*500厚顶托；顶托		
SAFE-000063	防滑橡胶垫	防滑橡胶垫 5mm	厚度：5mm；材质：橡胶；宽度：1m	安全消防	地面防护	地面防护	平方米	防滑胶垫；防滑橡胶垫		
MAT-000174	耦合剂	耦合剂 100mL	容量：100mL；类型：超声耦合剂	工具量具	检测耗材	检测耗材	支	耦合剂100mL；耦合剂		
WELD-000026	电焊机	电焊机 200A 含焊线	额定电流：200A；配置：含焊线	焊接切割	焊接设备/焊机（候选）	焊接设备/焊机（候选）	套	电焊机含线；电焊机套装		
MAT-000162	防潮剂	防潮剂 1KG/包 工业	包装：1KG；用途：工业	化工胶粘涂料	防潮材料	防潮材料	包	工业防潮剂1KG；工业防潮剂		
