source_sheet,source_row,raw_material_name,raw_spec,unit,supplier,purchase_date,quantity,unit_price,amount,remark,raw_row_json
Sheet1,502,配钥匙,配钥匙,把,,2024-05-07T00:00:00,10,,,,"{""日期"": ""2024-05-07T00:00:00"", ""商品名称及规格"": ""配钥匙"", ""单位"": ""把"", ""数量"": 10}"
Sheet1,503,电力清洗剂,电力清洗剂,KG,,2024-05-07T00:00:00,25,,,,"{""日期"": ""2024-05-07T00:00:00"", ""商品名称及规格"": ""电力清洗剂"", ""单位"": ""KG"", ""数量"": 25}"
Sheet1,504,8升4出口多点黄油泵,8升4出口多点黄油泵,台,,2024-05-07T00:00:00,2,,,,"{""日期"": ""2024-05-07T00:00:00"", ""商品名称及规格"": ""8升4出口多点黄油泵"", ""单位"": ""台"", ""数量"": 2}"
Sheet1,505,5.54w配件,5.54w配件,套,,2024-05-08T00:00:00,1,,,,"{""日期"": ""2024-05-08T00:00:00"", ""商品名称及规格"": ""5.54w配件"", ""单位"": ""套"", ""数量"": 1}"
Sheet1,506,52*4SH进口高压管,52*4SH进口高压管,米,,2024-05-08T00:00:00,80,,,,"{""日期"": ""2024-05-08T00:00:00"", ""商品名称及规格"": ""52*4SH进口高压管"", ""单位"": ""米"", ""数量"": 80}"
Sheet1,507,803百叶窗,803百叶窗,个,,2024-05-11T00:00:00,5,,,,"{""日期"": ""2024-05-11T00:00:00"", ""商品名称及规格"": ""803百叶窗"", ""单位"": ""个"", ""数量"": 5}"
Sheet1,508,进口½x700KG高压油管,进口½x700KG高压油管,米,,2024-05-11T00:00:00,80,,,,"{""日期"": ""2024-05-11T00:00:00"", ""商品名称及规格"": ""进口½x700KG高压油管"", ""单位"": ""米"", ""数量"": 80}"
Sheet1,509,高压接头,高压接头,个,,2024-05-11T00:00:00,16,,,,"{""日期"": ""2024-05-11T00:00:00"", ""商品名称及规格"": ""高压接头"", ""单位"": ""个"", ""数量"": 16}"
Sheet1,510,100x160公斤抗震高压油表,100x160公斤抗震高压油表,个,,2024-05-11T00:00:00,1,,,,"{""日期"": ""2024-05-11T00:00:00"", ""商品名称及规格"": ""100x160公斤抗震高压油表"", ""单位"": ""个"", ""数量"": 1}"
Sheet1,511,50x100公斤抗震高压油表,50x100公斤抗震高压油表,个,,2024-05-11T00:00:00,2,,,,"{""日期"": ""2024-05-11T00:00:00"", ""商品名称及规格"": ""50x100公斤抗震高压油表"", ""单位"": ""个"", ""数量"": 2}"
Sheet1,512,卡夹特AB胶,卡夹特AB胶,套,,2024-05-11T00:00:00,100,,,,"{""日期"": ""2024-05-11T00:00:00"", ""商品名称及规格"": ""卡夹特AB胶"", ""单位"": ""套"", ""数量"": 100}"
Sheet1,513,加厚气泡膜,加厚气泡膜,米,,2024-05-11T00:00:00,100,,,,"{""日期"": ""2024-05-11T00:00:00"", ""商品名称及规格"": ""加厚气泡膜"", ""单位"": ""米"", ""数量"": 100}"
Sheet1,514,定做不锈钢数字牌20cm,定做不锈钢数字牌20cm,个,,2024-05-11T00:00:00,12,,,,"{""日期"": ""2024-05-11T00:00:00"", ""商品名称及规格"": ""定做不锈钢数字牌20cm"", ""单位"": ""个"", ""数量"": 12}"
Sheet1,515,6x4SH高压油管,6x4SH高压油管,米,,2024-05-11T00:00:00,28,,,,"{""日期"": ""2024-05-11T00:00:00"", ""商品名称及规格"": ""6x4SH高压油管"", ""单位"": ""米"", ""数量"": 28}"
Sheet1,516,10x4SH高压油管,10x4SH高压油管,米,,2024-05-11T00:00:00,8.4,,,,"{""日期"": ""2024-05-11T00:00:00"", ""商品名称及规格"": ""10x4SH高压油管"", ""单位"": ""米"", ""数量"": 8.4}"
Sheet1,517,13x4SH高压油管,13x4SH高压油管,米,,2024-05-11T00:00:00,4.7,,,,"{""日期"": ""2024-05-11T00:00:00"", ""商品名称及规格"": ""13x4SH高压油管"", ""单位"": ""米"", ""数量"": 4.7}"
Sheet1,518,16x4SH高压油管,16x4SH高压油管,米,,2024-05-11T00:00:00,8.4,,,,"{""日期"": ""2024-05-11T00:00:00"", ""商品名称及规格"": ""16x4SH高压油管"", ""单位"": ""米"", ""数量"": 8.4}"
Sheet1,519,25x4SH高压油管,25x4SH高压油管,米,,2024-05-11T00:00:00,4.2,,,,"{""日期"": ""2024-05-11T00:00:00"", ""商品名称及规格"": ""25x4SH高压油管"", ""单位"": ""米"", ""数量"": 4.2}"
Sheet1,520,进口450KG*32x4SH高压油管,进口450KG*32x4SH高压油管,米,,2024-05-11T00:00:00,40,,,,"{""日期"": ""2024-05-11T00:00:00"", ""商品名称及规格"": ""进口450KG*32x4SH高压油管"", ""单位"": ""米"", ""数量"": 40}"
Sheet1,521,38x4SH高压油管,38x4SH高压油管,米,,2024-05-11T00:00:00,2.7,,,,"{""日期"": ""2024-05-11T00:00:00"", ""商品名称及规格"": ""38x4SH高压油管"", ""单位"": ""米"", ""数量"": 2.7}"
Sheet1,522,700KG进口*19x4SH高压油管,700KG进口*19x4SH高压油管,米,,2024-05-11T00:00:00,6.2,,,,"{""日期"": ""2024-05-11T00:00:00"", ""商品名称及规格"": ""700KG进口*19x4SH高压油管"", ""单位"": ""米"", ""数量"": 6.2}"
Sheet1,523,定做 6x1.5高压弯头,定做 6x1.5高压弯头,个,,2024-05-11T00:00:00,20,,,,"{""日期"": ""2024-05-11T00:00:00"", ""商品名称及规格"": ""定做 6x1.5高压弯头"", ""单位"": ""个"", ""数量"": 20}"
Sheet1,524,定做 10x1.5高压弯头,定做 10x1.5高压弯头,个,,2024-05-11T00:00:00,4,,,,"{""日期"": ""2024-05-11T00:00:00"", ""商品名称及规格"": ""定做 10x1.5高压弯头"", ""单位"": ""个"", ""数量"": 4}"
Sheet1,525,定做 13x1.5高压弯头,定做 13x1.5高压弯头,个,,2024-05-11T00:00:00,4,,,,"{""日期"": ""2024-05-11T00:00:00"", ""商品名称及规格"": ""定做 13x1.5高压弯头"", ""单位"": ""个"", ""数量"": 4}"
Sheet1,526,定做 16x1.5高压弯头,定做 16x1.5高压弯头,个,,2024-05-11T00:00:00,4,,,,"{""日期"": ""2024-05-11T00:00:00"", ""商品名称及规格"": ""定做 16x1.5高压弯头"", ""单位"": ""个"", ""数量"": 4}"
Sheet1,527,定做 19x1.5高压弯头,定做 19x1.5高压弯头,个,,2024-05-11T00:00:00,4,,,,"{""日期"": ""2024-05-11T00:00:00"", ""商品名称及规格"": ""定做 19x1.5高压弯头"", ""单位"": ""个"", ""数量"": 4}"
Sheet1,528,定做 25x1.5高压弯头,定做 25x1.5高压弯头,个,,2024-05-11T00:00:00,2,,,,"{""日期"": ""2024-05-11T00:00:00"", ""商品名称及规格"": ""定做 25x1.5高压弯头"", ""单位"": ""个"", ""数量"": 2}"
Sheet1,529,定做 32x1.5高压弯头,定做 32x1.5高压弯头,个,,2024-05-11T00:00:00,16,,,,"{""日期"": ""2024-05-11T00:00:00"", ""商品名称及规格"": ""定做 32x1.5高压弯头"", ""单位"": ""个"", ""数量"": 16}"
Sheet1,530,定做 38x1.5高压弯头,定做 38x1.5高压弯头,个,,2024-05-11T00:00:00,2,,,,"{""日期"": ""2024-05-11T00:00:00"", ""商品名称及规格"": ""定做 38x1.5高压弯头"", ""单位"": ""个"", ""数量"": 2}"
