source_sheet,source_row,raw_material_name,raw_spec,unit,supplier,purchase_date,quantity,unit_price,amount,remark,raw_row_json
Sheet1,2,DN75胶弯头,DN75胶弯头,个,,2024-01-22T00:00:00,10,,,,"{""日期"": ""2024-01-22T00:00:00"", ""商品名称及规格"": ""DN75胶弯头"", ""单位"": ""个"", ""数量"": 10}"
Sheet1,3,办公室门锁,办公室门锁,个,,2024-01-22T00:00:00,1,,,,"{""日期"": ""2024-01-22T00:00:00"", ""商品名称及规格"": ""办公室门锁"", ""单位"": ""个"", ""数量"": 1}"
Sheet1,4,4P*250A施耐德漏电二合一,4P*250A施耐德漏电二合一,个,,2024-01-22T00:00:00,10,,,,"{""日期"": ""2024-01-22T00:00:00"", ""商品名称及规格"": ""4P*250A施耐德漏电二合一"", ""单位"": ""个"", ""数量"": 10}"
Sheet1,5,3CM热缩管,3CM热缩管,米,,2024-01-25T00:00:00,15,,,,"{""日期"": ""2024-01-25T00:00:00"", ""商品名称及规格"": ""3CM热缩管"", ""单位"": ""米"", ""数量"": 15}"
Sheet1,6,2CM热缩管,2CM热缩管,米,,2024-01-25T00:00:00,15,,,,"{""日期"": ""2024-01-25T00:00:00"", ""商品名称及规格"": ""2CM热缩管"", ""单位"": ""米"", ""数量"": 15}"
Sheet1,7,1.5CM热缩管,1.5CM热缩管,米,,2024-01-25T00:00:00,15,,,,"{""日期"": ""2024-01-25T00:00:00"", ""商品名称及规格"": ""1.5CM热缩管"", ""单位"": ""米"", ""数量"": 15}"
Sheet1,8,3M透明电胶布,3M透明电胶布,个,,2024-01-25T00:00:00,50,,,,"{""日期"": ""2024-01-25T00:00:00"", ""商品名称及规格"": ""3M透明电胶布"", ""单位"": ""个"", ""数量"": 50}"
Sheet1,9,25保温棉,25保温棉,米,,2024-01-25T00:00:00,10,,,,"{""日期"": ""2024-01-25T00:00:00"", ""商品名称及规格"": ""25保温棉"", ""单位"": ""米"", ""数量"": 10}"
Sheet1,10,电钻锂电池充电器,电钻锂电池充电器,个,,2024-01-25T00:00:00,2,,,,"{""日期"": ""2024-01-25T00:00:00"", ""商品名称及规格"": ""电钻锂电池充电器"", ""单位"": ""个"", ""数量"": 2}"
Sheet1,11,聚氨酯堵漏剂20KG,聚氨酯堵漏剂20KG,桶,,2024-01-26T00:00:00,4,,,,"{""日期"": ""2024-01-26T00:00:00"", ""商品名称及规格"": ""聚氨酯堵漏剂20KG"", ""单位"": ""桶"", ""数量"": 4}"
Sheet1,12,双块水泥,双块水泥,包,,2024-01-27T00:00:00,15,,,,"{""日期"": ""2024-01-27T00:00:00"", ""商品名称及规格"": ""双块水泥"", ""单位"": ""包"", ""数量"": 15}"
Sheet1,13,36W灯管,36W灯管,套,,2024-02-26T00:00:00,40,,,,"{""日期"": ""2024-02-26T00:00:00"", ""商品名称及规格"": ""36W灯管"", ""单位"": ""套"", ""数量"": 40}"
