source_sheet,source_row,raw_material_name,raw_spec,unit,supplier,purchase_date,quantity,unit_price,amount,remark,raw_row_json
Sheet1,1502,双层电焊手套厚,双层电焊手套厚,双,,2024-11-03T00:00:00,30,,,,"{""日期"": ""2024-11-03T00:00:00"", ""商品名称及规格"": ""双层电焊手套厚"", ""单位"": ""双"", ""数量"": 30}"
Sheet1,1503,定做8米*5.2mm厚伸缩梯,定做8米*5.2mm厚伸缩梯,台,,2024-11-04T00:00:00,1,,,,"{""日期"": ""2024-11-04T00:00:00"", ""商品名称及规格"": ""定做8米*5.2mm厚伸缩梯"", ""单位"": ""台"", ""数量"": 1}"
Sheet1,1504,台钻钥匙,台钻钥匙,个,,2024-11-04T00:00:00,3,,,,"{""日期"": ""2024-11-04T00:00:00"", ""商品名称及规格"": ""台钻钥匙"", ""单位"": ""个"", ""数量"": 3}"
Sheet1,1505,尼龙绳,尼龙绳,米,,2024-11-04T00:00:00,200,,,,"{""日期"": ""2024-11-04T00:00:00"", ""商品名称及规格"": ""尼龙绳"", ""单位"": ""米"", ""数量"": 200}"
Sheet1,1506,63垫片,63垫片,个,,2024-11-04T00:00:00,10,,,,"{""日期"": ""2024-11-04T00:00:00"", ""商品名称及规格"": ""63垫片"", ""单位"": ""个"", ""数量"": 10}"
Sheet1,1507,8*25螺丝,8*25螺丝,套,,2024-11-04T00:00:00,30,,,,"{""日期"": ""2024-11-04T00:00:00"", ""商品名称及规格"": ""8*25螺丝"", ""单位"": ""套"", ""数量"": 30}"
Sheet1,1508,红兰色喷漆,红兰色喷漆,支,,2024-11-04T00:00:00,24,,,,"{""日期"": ""2024-11-04T00:00:00"", ""商品名称及规格"": ""红兰色喷漆"", ""单位"": ""支"", ""数量"": 24}"
Sheet1,1509,东城锂电池,东城锂电池,个,,2024-11-04T00:00:00,1,,,,"{""日期"": ""2024-11-04T00:00:00"", ""商品名称及规格"": ""东城锂电池"", ""单位"": ""个"", ""数量"": 1}"
Sheet1,1510,双联重型管卡40*2,双联重型管卡40*2,套,,2024-11-04T00:00:00,50,,,,"{""日期"": ""2024-11-04T00:00:00"", ""商品名称及规格"": ""双联重型管卡40*2"", ""单位"": ""套"", ""数量"": 50}"
Sheet1,1511,不锈钢卡槽,不锈钢卡槽,米,,2024-11-04T00:00:00,10,,,,"{""日期"": ""2024-11-04T00:00:00"", ""商品名称及规格"": ""不锈钢卡槽"", ""单位"": ""米"", ""数量"": 10}"
Sheet1,1512,D321R摩力克润滑油,D321R摩力克润滑油,支,,2024-11-04T00:00:00,12,,,,"{""日期"": ""2024-11-04T00:00:00"", ""商品名称及规格"": ""D321R摩力克润滑油"", ""单位"": ""支"", ""数量"": 12}"
Sheet1,1513,四氟垫块,四氟垫块,个,,2024-11-04T00:00:00,10,,,,"{""日期"": ""2024-11-04T00:00:00"", ""商品名称及规格"": ""四氟垫块"", ""单位"": ""个"", ""数量"": 10}"
Sheet1,1514,100*50镀锌大小头,100*50镀锌大小头,个,,2024-11-04T00:00:00,2,,,,"{""日期"": ""2024-11-04T00:00:00"", ""商品名称及规格"": ""100*50镀锌大小头"", ""单位"": ""个"", ""数量"": 2}"
Sheet1,1515,厚安全防护网,厚安全防护网,平方,,2024-11-04T00:00:00,152,,,,"{""日期"": ""2024-11-04T00:00:00"", ""商品名称及规格"": ""厚安全防护网"", ""单位"": ""平方"", ""数量"": 152}"
Sheet1,1516,加工50*150接头,加工50*150接头,个,,2024-11-04T00:00:00,5,,,,"{""日期"": ""2024-11-04T00:00:00"", ""商品名称及规格"": ""加工50*150接头"", ""单位"": ""个"", ""数量"": 5}"
Sheet1,1517,GR6-25S液压快速接头,GR6-25S液压快速接头,套,,2024-11-05T00:00:00,4,,,,"{""日期"": ""2024-11-05T00:00:00"", ""商品名称及规格"": ""GR6-25S液压快速接头"", ""单位"": ""套"", ""数量"": 4}"
Sheet1,1518,草皮,草皮,米,,2024-11-05T00:00:00,100,,,,"{""日期"": ""2024-11-05T00:00:00"", ""商品名称及规格"": ""草皮"", ""单位"": ""米"", ""数量"": 100}"
Sheet1,1519,60cm*55减速带大二线,60cm*55减速带大二线,根,,2024-11-05T00:00:00,50,,,,"{""日期"": ""2024-11-05T00:00:00"", ""商品名称及规格"": ""60cm*55减速带大二线"", ""单位"": ""根"", ""数量"": 50}"
Sheet1,1520,36/25s高压接头,36/25s高压接头,个,,2024-11-05T00:00:00,10,,,,"{""日期"": ""2024-11-05T00:00:00"", ""商品名称及规格"": ""36/25s高压接头"", ""单位"": ""个"", ""数量"": 10}"
Sheet1,1521,33/25s高压接头,33/25s高压接头,个,,2024-11-05T00:00:00,10,,,,"{""日期"": ""2024-11-05T00:00:00"", ""商品名称及规格"": ""33/25s高压接头"", ""单位"": ""个"", ""数量"": 10}"
Sheet1,1522,36/28s高压接头,36/28s高压接头,个,,2024-11-05T00:00:00,10,,,,"{""日期"": ""2024-11-05T00:00:00"", ""商品名称及规格"": ""36/28s高压接头"", ""单位"": ""个"", ""数量"": 10}"
