编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-02201	氧气乙炔管卡箍	适配: 氧气/乙炔管；类型: 卡箍	焊接工具/气体软管配件	只	氧气 乙炔管卡箍	适配管径/材质缺失
REVIEW-MAT-02202	氧气减压阀	介质: 氧气；类型: 减压阀	焊接工具/气体仪表	只	氧气减压阀	状态：可合并；与3108同类，量程/接口缺失
REVIEW-MAT-02203	二氧化碳减压阀总成	介质: 二氧化碳；类型: 减压阀总成	焊接工具/气体仪表	套	二氧化碳减压阀总成	量程/接口/适配气瓶缺失
REVIEW-MAT-02204	记号笔	颜色: 黑色	办公用品/书写工具	支	黑色记号笔	状态：可合并；与2540同类，品牌/粗细缺失
REVIEW-MAT-02205	油漆	品牌: 立邦；颜色: 白色；包装: 18KG	油漆涂料/油漆	桶	立邦白色油漆18KG	状态：可合并；与2680同类，是否防锈漆/型号缺失 | 与2680同类，型号缺失
REVIEW-MAT-02206	滚筒伸缩杆	部件: 伸缩杆；适配: 滚筒	涂装工具/滚筒配件	根	滚筒伸缩杆	长度范围/接口缺失
REVIEW-MAT-02207	边角刷伸缩杆	部件: 伸缩杆；适配: 边角刷	涂装工具/刷子配件	根	边角刷伸缩杆	长度范围/接口缺失
REVIEW-MAT-02208	不锈钢割枪	品牌: 华凌；型号: 100#；特征: 加长型；材质: 不锈钢	焊接工具/气割工具	把	华凌加长型100#不锈钢割枪	适用气体/长度缺失
REVIEW-MAT-02209	铁灰斗	材质: 铁；类型: 灰斗	施工工具/灰斗	个	铁灰斗	容量/尺寸缺失
REVIEW-MAT-02210	警示反光胶带	品牌: 3M；用途: 警示；长度: 50m	安全标识/反光材料	卷	3M警示反光胶带50m	宽度/颜色缺失
REVIEW-MAT-02211	警示反光踢脚板	用途: 警示反光；宽度/高度: 30cm	安全标识/反光材料	米	警示反光踢脚板30cm	材质/颜色缺失
REVIEW-MAT-02212	建筑模板	原始: 黑膜板；颜色: 黑；尺寸: 1.22m*2.44m；厚度: 15mm	建筑材料/模板	块	黑膜板1.22m*2.44m*15mm	状态：可合并；与黑模板同类，材质/周转次数缺失
REVIEW-MAT-02213	方木	截面: 30*30；长度: 3m	建筑材料/木材	根	方木30*30*3m	木材等级/材质缺失
REVIEW-MAT-02214	加气块	尺寸: 200*300*600	建材/砌块	块	加气块200*300*600	强度等级/容重缺失
REVIEW-MAT-02215	自喷漆	品牌: 威粤；颜色: 白色；原始: 自动喷漆	油漆涂料/自喷漆	瓶	威粤白色自动喷漆	容量/色号缺失
