编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-00801	记号笔	品类: 记号笔	办公耗材/书写用品	个	记号笔	状态：可合并；颜色/粗细缺失 | 与1452同类，单位支/个需统一
REVIEW-MAT-00802	油漆笔	品类: 油漆笔	工具耗材/标记用品	个	油漆笔	状态：可合并；颜色/规格缺失
REVIEW-MAT-00803	透明钢丝软管	公称直径: 50；特征: 加厚、透明、钢丝增强	管材/软管	米	50加厚透明钢丝管	材质/压力等级缺失
REVIEW-MAT-00804	焊工手套	特征: 加长；用途: 焊工	劳保耗材/手套	双	加长焊工手套	材质/长度缺失
REVIEW-MAT-00805	全胶手套	类型: 全胶	劳保耗材/手套	双	全胶手套	材质/尺码缺失
REVIEW-MAT-00806	油布	特征: 加厚	劳保耗材/覆盖防护	平方	加厚油布 | 油布加厚	状态：可合并；材质/克重/颜色缺失 | 与1458同类，材质/克重/颜色缺失 | 与1458同类，材质/克重缺失 | 与油布同类，材质/克重缺失
REVIEW-MAT-00807	花纹钢板	厚度: 3.0mm；表面: 花纹	钢材/板材	平方	3.0花纹钢板	材质/宽长/理论重量单位需确认
REVIEW-MAT-00808	冲孔不锈钢板	尺寸: 250*250*3mm；材质: 不锈钢；加工: 冲孔	定制件/金属加工件	块	250*250*3不锈钢加工冲孔	状态：可建档-定制件；孔径/孔距/材质牌号/图纸缺失
REVIEW-MAT-00809	木方垫板	尺寸: 200*200*1500mm；加工: 是；用途: 垫板	定制件/木制加工件	根	加工200*200*1500木方垫板	状态：可建档-定制件；木材种类/防腐要求缺失
REVIEW-MAT-00810	麻袋	尺寸: 70*100	包装材料/袋类	个	70*100麻袋	材质/克重缺失
REVIEW-MAT-00811	棉布	形态: 大块	清洁耗材/擦拭材料	kg	大块棉布	状态：可合并；材质含量/包装规格缺失 | 与1464同类，材质含量/包装缺失 | 与1464同类，单位KG/kg统一 | 与1464同类，材质含量缺失
REVIEW-MAT-00812	吸油棉	尺寸: 40*50*5；用途: 吸油	清洁耗材/吸附材料	个	40*50*5吸油棉	单位是否片，材质/包装数量缺失
REVIEW-MAT-00813	一次性雨衣	类型: 一次性；特征: 加厚	劳保耗材/雨具	件	一次性加厚雨衣	尺码/材质缺失
REVIEW-MAT-00814	快硬水泥	类型: 快速/快硬	建筑材料/水泥砂石	包	快速水泥	强度等级/包装重量缺失
REVIEW-MAT-00815	雨衣套装	特征: 加厚；套装: 是	劳保耗材/雨具	套	加厚雨衣套装	尺码/材质缺失
REVIEW-MAT-00816	高压油管	公称直径: 50	液压/高压管路	米	50高压油管 | 50高压管	状态：可建档 | 可合并；压力等级/接头形式/层数缺失 | 与1469同类，压力等级/接头形式缺失 | 与50高压油管同类，压力等级/层数缺失 | 与1606同类，压力等级/层数缺失
REVIEW-MAT-00817	高压油管接头	公称直径: 50；类型: 接头	液压/高压管路	个	50高压接头	螺纹/连接形式/压力等级缺失
REVIEW-MAT-00818	高压外接头	公称直径: 50；连接类型: 外接	液压/高压管路	个	50高压外接	螺纹规格/压力等级缺失
REVIEW-MAT-00819	明矾	化学品: 明矾	化工原料/无机盐	kg	明矾	纯度/包装/用途缺失
REVIEW-MAT-00820	橡胶垫块	尺寸: 260*330*5mm；加工: 是	定制件/橡胶加工件	块	加工260*330*5橡胶垫块	状态：可建档-定制件；橡胶材质/硬度/图纸缺失
REVIEW-MAT-00821	气源分配器	定制: 是；材质: 不锈钢；接口: 2寸	定制件/气动管路件	套	定做不锈钢2寸气源分配器	状态：可建档-定制件；出口数量/接口规格/压力等级/图纸缺失
REVIEW-MAT-00822	镀锌三通	公称直径: 50；材质/表面: 镀锌	管件/镀锌管件	个	50镀锌三通	螺纹/焊接/沟槽连接需确认
REVIEW-MAT-00823	镀锌外丝接头	规格: 50*40；连接: 外丝；表面: 镀锌	管件/镀锌管件	个	50*40镀锌外丝	变径形式/螺纹标准缺失
REVIEW-MAT-00824	镀锌直通	公称直径: 50；表面: 镀锌	管件/镀锌管件	个	50镀锌直通	连接形式/螺纹标准缺失
REVIEW-MAT-00825	镀锌外接头	公称直径: 50；连接: 外接；表面: 镀锌	管件/镀锌管件	个	50镀锌外接	螺纹标准缺失
REVIEW-MAT-00826	堵头	定制: 是；规格: 300	定制件/管路接头	套	定做300堵头	状态：可建档-定制件；材质/连接方式/压力等级/图纸缺失
REVIEW-MAT-00827	无缝钢管	外径: 89mm；壁厚: 6mm	钢材/钢管	米	89*6无缝管	材质/执行标准缺失
REVIEW-MAT-00828	消防卡箍	规格: 89；用途: 消防	管道紧固/卡箍	个	89消防卡箍	沟槽标准/压力等级/材质缺失
REVIEW-MAT-00829	加厚卡槽	加工: 是；规格: 89；特征: 加厚卡槽	定制件/管路接头	个	加工89加厚卡槽	状态：可建档-定制件 | 可合并；材质/图纸/沟槽尺寸缺失 | 与1483同类，材质/图纸缺失
REVIEW-MAT-00830	无缝钢管	外径: 325mm；壁厚: 14mm	钢材/钢管	米	325*14无缝管	材质/执行标准缺失
REVIEW-MAT-00831	水泥	品类: 水泥	建筑材料/水泥砂石	包	水泥	状态：可合并；强度等级/包装重量缺失 | 与1485同类，强度等级/包装重量缺失
REVIEW-MAT-00832	膨胀螺丝	规格: 6厘	紧固件/膨胀件	个	6厘膨胀螺丝	状态：可建档 | 可合并；长度/材质缺失 | 与1487同类，长度/材质缺失
REVIEW-MAT-00833	扁钢	规格: 80*6mm	钢材/型材	米	80*6扁铁	材质/执行标准缺失
REVIEW-MAT-00834	焊接弯头	规格: 325；连接: 焊接	管件/弯头	个	325焊接弯头	角度/壁厚/材质缺失
REVIEW-MAT-00835	焊接弯头	规格: 325；角度: 45度；连接: 焊接	管件/弯头	个	325*45焊接弯头	壁厚/材质缺失
REVIEW-MAT-00836	焊接弯头	规格: 89；连接: 焊接	管件/弯头	个	89焊接弯头	角度/壁厚/材质缺失
REVIEW-MAT-00837	法兰	规格: 325	管件/法兰	个	325法兰	压力等级/材质/标准缺失
REVIEW-MAT-00838	槽钢	规格: 10#；执行标准: 国标	钢材/型材	米	10#国标槽钢	状态：可建档 | 可合并；材质缺失 | 与1495同类，材质缺失
REVIEW-MAT-00839	工字钢	规格: 20#	钢材/型材	米	20工字钢	材质/执行标准缺失
REVIEW-MAT-00840	明装插座	安装方式: 明装	电气材料/插头插座	个	明装插座	位数/电流/品牌缺失
REVIEW-MAT-00841	电箱门锁	规格/型号: 325；用途: 电箱门	电气材料/配电箱附件	个	325电箱门锁	锁芯型号/开孔尺寸缺失
REVIEW-MAT-00842	电焊手套	特征: 双层、加厚；用途: 电焊	劳保耗材/手套	双	双层电焊手套厚	材质/长度缺失
