编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-01001	内丝直通	规格: 80；连接: 内丝；类型: 直通	管件/管接头	个	80内丝直通	材质/螺纹标准缺失
REVIEW-MAT-01002	单头外丝无缝管	加工: 是；形态: 无缝管；连接: 单头外丝	定制件/钢管加工件	个	加工单头外丝无缝管	状态：可建档-定制件；管径/长度/螺纹标准/材质缺失
REVIEW-MAT-01003	内六角螺丝	规格: M6*40；头型: 内六角	紧固件/螺丝	套	6*40内六角螺丝	材质/强度等级缺失
REVIEW-MAT-01004	长销	加工: 是；规格: 20*340	定制件/金属加工件	件	加工长销20*340	状态：可建档-定制件；材质/热处理/图纸缺失
REVIEW-MAT-01005	螺丝组件	规格: M4*15；成套: 是	紧固件/螺丝	套	M4*15螺丝	头型/材质/强度等级缺失
REVIEW-MAT-01006	螺丝组件	规格: M5*15；成套: 是	紧固件/螺丝	套	M5*15螺丝	头型/材质/强度等级缺失
REVIEW-MAT-01007	螺丝组件	规格: M6*15；成套: 是	紧固件/螺丝	套	M6*15螺丝	头型/材质/强度等级缺失
REVIEW-MAT-01008	螺丝组件	规格: M8*15；成套: 是	紧固件/螺丝	套	M8*15螺丝	头型/材质/强度等级缺失
REVIEW-MAT-01009	螺丝组件	规格: M10*15；成套: 是	紧固件/螺丝	套	M10*15螺丝	头型/材质/强度等级缺失
REVIEW-MAT-01010	自喷漆	颜色: 红色；类型: 自喷漆	化工耗材/涂料	支	红色自喷漆	容量/品牌缺失
REVIEW-MAT-01011	反光警示带	宽度: 10cm；颜色: 黄黑；功能: 反光	安全防护/警示用品	卷	10cm反光警示带黄黑	长度/材质缺失
REVIEW-MAT-01012	传动皮带	型号: XPL2800	备品备件/传动件	个	XPL2800皮带	单位建议条，皮带类型需确认
REVIEW-MAT-01013	传动皮带	型号: XPL2650	备品备件/传动件	个	XPL2650皮带	单位建议条，皮带类型需确认
REVIEW-MAT-01014	不锈钢双卡抱箍	规格: 325；材质: 不锈钢；型式: 双卡	管道紧固/抱箍	个	325双卡抱箍 不锈钢	厚度/密封件/压力等级缺失
REVIEW-MAT-01015	合成纤维垫块	尺寸: 86*65；材质: 合成纤维	密封材料/非金属垫块	个	86*65合成纤维垫块	厚度/耐温等级缺失
REVIEW-MAT-01016	螺杆	规格: M48*120	紧固件/螺杆	支	48*120螺杆	材质/强度等级缺失
REVIEW-MAT-01017	螺母	规格: M48	紧固件/螺母	支	48螺母	单位建议个，材质/强度等级缺失
REVIEW-MAT-01018	胶粘剂	品牌: 东泰；型号: S1-5910；进口: 是	化工耗材/胶粘剂	支	进口东泰s1-5910胶	胶种/容量缺失
REVIEW-MAT-01019	PPR直通	材质: PPR；规格: 63；类型: 直通	PPR管件/直通	个	63PPR直通	压力等级缺失
REVIEW-MAT-01020	PPR管	材质: PPR；规格: 63	PPR管材/管	米	63PPR管	压力等级/壁厚缺失
REVIEW-MAT-01021	PPR弯头	材质: PPR；规格: 63；类型: 弯头	PPR管件/弯头	个	63PPR弯头	角度/压力等级缺失
REVIEW-MAT-01022	PPR截止阀	材质: PPR；规格: 63；类型: 截止阀	PPR管件/阀门	个	63PPR截止阀	压力等级/连接方式缺失
REVIEW-MAT-01023	PPR外接直通	材质: PPR；规格: 63；连接: 外接；类型: 直通	PPR管件/直通	个	63PPR外接直通	螺纹/压力等级缺失
REVIEW-MAT-01024	手扳葫芦	额定载荷: 2T；链长: 6米	吊装索具/葫芦	台	2T*6米手扳葫芦	品牌/标准缺失
REVIEW-MAT-01025	重型梅花敲击扳手	规格: 36；类型: 梅花敲击；特征: 重型	工具/手动工具	支	36重型梅花敲击扳手	材质/品牌缺失
REVIEW-MAT-01026	重型梅花敲击扳手	规格: 46；类型: 梅花敲击；特征: 重型	工具/手动工具	支	46重型梅花敲击扳手	材质/品牌缺失
REVIEW-MAT-01027	重型梅花敲击扳手	规格: 55；类型: 梅花敲击；特征: 重型	工具/手动工具	支	55重型梅花敲击扳手	材质/品牌缺失
REVIEW-MAT-01028	帆布手套	材质: 帆布；结构: 双层	劳保耗材/手套	双	帆布双层手套 | 双层帆布手套	状态：可建档 | 可合并；尺码缺失 | 与1754同类，尺码缺失
REVIEW-MAT-01029	万向套筒	规格: 1寸；结构: 万向转向	工具/套筒	个	1寸万向转向套筒	方榫/适配规格缺失
REVIEW-MAT-01030	膨胀螺丝	规格: M24*150	紧固件/膨胀件	个	24*150膨胀螺丝	材质/类型缺失
REVIEW-MAT-01031	雨鞋	品牌: 回力；类型: 雨鞋	劳保耗材/足部防护	双	回力雨鞋	尺码/材质缺失
REVIEW-MAT-01032	平光防护眼镜	颜色: 白色；镜片: 平光	劳保耗材/眼面防护	个	白色平光眼镜	是否防冲击/标准缺失
REVIEW-MAT-01033	尼龙绳	规格/直径: 18；材质: 尼龙	吊装索具/绳索	米	18尼龙绳 | 18尼龙绳子	状态：可建档 | 可合并；直径单位/承载缺失 | 与1760同类，直径单位/承载缺失 | 与1760同类，承载缺失
REVIEW-MAT-01034	玻璃胶	颜色: 白色；类型: 玻璃胶	化工耗材/胶粘剂	支	白色玻璃胶	容量/品牌/酸性中性缺失
REVIEW-MAT-01035	电子清洗剂	用途: 电子元件清洗	清洁耗材/清洗剂	支	电子清洗剂	容量/品牌/是否带电清洗缺失
REVIEW-MAT-01036	油布	特征: 加厚	劳保耗材/覆盖防护	m2	加厚油布	状态：可合并；与1458同类，单位平方/㎡需统一
REVIEW-MAT-01037	黄油嘴	螺纹: M10*1.5	润滑配件/黄油嘴	个	10*1.5黄油嘴	直/弯型式缺失
REVIEW-MAT-01038	黄油嘴	螺纹: M12*1.5	润滑配件/黄油嘴	个	12*1.5黄油嘴	直/弯型式缺失
REVIEW-MAT-01039	黄油嘴	螺纹: M14*1.5	润滑配件/黄油嘴	个	14*1.5黄油嘴	直/弯型式缺失
REVIEW-MAT-01040	黄油嘴	螺纹: M16*1.5	润滑配件/黄油嘴	个	16*1.5黄油嘴	直/弯型式缺失
REVIEW-MAT-01041	黄油嘴	螺纹: M18*1.5	润滑配件/黄油嘴	个	18*1.5黄油嘴	直/弯型式缺失
REVIEW-MAT-01042	黄油嘴	螺纹: M20*1.5	润滑配件/黄油嘴	个	20*1.5黄油嘴	直/弯型式缺失
REVIEW-MAT-01043	角钢	规格: 3*3*0.4；执行标准: 国标	钢材/型材	米	3*3*0.4国标角铁	规格单位需统一，材质缺失
