编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-02301	黄油嘴	螺纹: M6	润滑系统/黄油嘴	只	黄油嘴M6	角度/螺距缺失
REVIEW-MAT-02302	黄油嘴	螺纹: M8	润滑系统/黄油嘴	只	黄油嘴M8	角度/螺距缺失
REVIEW-MAT-02303	45度黄油嘴	角度: 45度；螺纹: M8	润滑系统/黄油嘴	只	黄油嘴45度M8	螺距/材质缺失
REVIEW-MAT-02304	45度黄油嘴	角度: 45度；螺纹: M12	润滑系统/黄油嘴	只	黄油嘴45度M12	螺距/材质缺失
REVIEW-MAT-02305	高压钢丝管	直径: Φ25；结构: 钢丝增强	液压气动/高压软管	米	高压钢丝管Φ25	压力等级/接口缺失
REVIEW-MAT-02306	梅开两用扳手	品牌: 世达；规格: 41#	手动工具/扳手	把	世达梅开两用扳手41#	材质/长度缺失
REVIEW-MAT-02307	不锈钢球阀	材质: 304；公称通径: DN20	阀门/球阀	只	304不锈钢球阀DN20	连接方式/压力等级缺失
REVIEW-MAT-02308	不锈钢球阀	材质: 304；公称通径: DN15	阀门/球阀	只	304不锈钢球阀DN15	连接方式/压力等级缺失
REVIEW-MAT-02309	黄油嘴	螺纹: M10	润滑系统/黄油嘴	只	黄油嘴M10	角度/螺距缺失
REVIEW-MAT-02310	黄油嘴	螺纹: M12	润滑系统/黄油嘴	只	黄油嘴M12	角度/螺距缺失
REVIEW-MAT-02311	45度黄油嘴	角度: 45度；螺纹: M6	润滑系统/黄油嘴	只	黄油嘴45度M6	螺距/材质缺失
REVIEW-MAT-02312	45度黄油嘴	角度: 45度；螺纹: M10	润滑系统/黄油嘴	只	黄油嘴45度M10	螺距/材质缺失
REVIEW-MAT-02313	不锈钢球阀	材质: 304；公称通径: DN10	阀门/球阀	只	304不锈钢球阀DN10	连接方式/压力等级缺失
REVIEW-MAT-02314	不锈钢球阀	材质: 304；公称通径: DN8	阀门/球阀	只	304不锈钢球阀DN8	连接方式/压力等级缺失
REVIEW-MAT-02315	电动油脂泵	电压: 380V；容量: 8L；出口数: 4出口	润滑系统/油脂泵	台	电动油脂泵380V-8L-4出口	品牌/压力/流量缺失
REVIEW-MAT-02316	铝合金梯	材质: 铝合金；特征: 加厚；高度: 4m	安全防护/登高工具	部	加厚铝合金梯子4m	承重/结构形式/安全认证缺失
REVIEW-MAT-02317	手提式LED探照灯	结构: 手提式；光源: LED	工具/照明工具	个	手提式探照灯LED	功率/亮度/续航缺失
REVIEW-MAT-02318	聚氨酯泡沫填缝剂	材质: 聚氨酯泡沫；用途: 填缝	化工辅料/密封填缝材料	瓶	聚氨酯泡沫填缝剂	品牌/容量/SDS缺失
REVIEW-MAT-02319	竹扫把	材质: 竹；规格: 大	清洁用品/扫把	把	大竹扫把	长度/宽度缺失
REVIEW-MAT-02320	塑料扫把	材质: 塑料	清洁用品/扫把	把	塑料扫把	规格/款式缺失
REVIEW-MAT-02321	帆布手套	材质: 帆布	劳保用品/手套	付	帆布手套	状态：可建档 | 可合并；规格/克重缺失 | 与3600同类，规格/克重缺失
REVIEW-MAT-02322	不锈钢电动法兰蝶阀	材质: 304；结构: 重体；驱动: 电动；连接: 法兰；公称通径: DN80	阀门/蝶阀	只	304不锈钢重体电动法兰蝶阀DN80	电压/压力等级/密封材质缺失
REVIEW-MAT-02323	二坑二槽钻头	品牌: 博世；柄型: 二坑二槽；规格: Φ10*160	工具耗材/钻头	支	博世二坑二槽钻头Φ10*160	材质/适用对象缺失
REVIEW-MAT-02324	二坑二槽钻头	品牌: 博世；柄型: 二坑二槽；规格: Φ14*160	工具耗材/钻头	支	博世二坑二槽钻头Φ14*160	材质/适用对象缺失
REVIEW-MAT-02325	二坑二槽钻头	品牌: 博世；柄型: 二坑二槽；规格: Φ16*200	工具耗材/钻头	支	博世二坑二槽钻头Φ16*200	材质/适用对象缺失
REVIEW-MAT-02326	双柱黄油枪	结构: 双柱	润滑工具/黄油枪	把	双柱黄油枪	容量/压力/接口缺失
REVIEW-MAT-02327	抗盐膨润土	特性: 抗盐	化工材料/膨润土	吨	抗盐膨润土	型号/指标/用途缺失
REVIEW-MAT-02328	尼龙扎带	规格: 10*500	辅料耗材/扎带	包	扎带10*500	材质/颜色/每包数量缺失
REVIEW-MAT-02329	尼龙扎带	规格: 10*400	辅料耗材/扎带	包	扎带10*400	材质/颜色/每包数量缺失
