编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-01251	气管自锁接头	类型: 自锁接头	气动元件/气管接头	套	气管自锁接头	口径/公母头/螺纹缺失
REVIEW-MAT-01252	镀锌方管	规格: 3*3*3；表面: 镀锌	钢材/型材	米	镀锌方管3*3*3	规格单位/材质缺失
REVIEW-MAT-01253	镀锌角钢	规格: 4*4*0.5；表面: 镀锌	钢材/型材	米	4*4*0.5镀锌角铁	状态：可合并；与1675/1820同类，规格单位缺失
REVIEW-MAT-01254	后备套夹子	加工: 是；部件: 后备套夹子	定制件/金属加工件	个	加工后备套夹子	状态：可合并；与1958同类，名称含义/图纸缺失
REVIEW-MAT-01255	螺杆泵电机套装	功率: 2.2kW；材质: 不锈钢；组成: 螺杆泵、电机	设备备件/泵	套	2.2千瓦不锈钢螺杆泵和电机	品牌/流量/扬程/电压缺失
REVIEW-MAT-01256	螺杆泵水封	品牌: 耐驰；原装: 是；适用设备: 螺杆泵	备品备件/密封件	个	原装耐驰螺杆泵水封	型号/尺寸/材质缺失
REVIEW-MAT-01257	焊接三通	规格: 168；壁厚: 10；类型: 三通；连接: 焊接	管件/焊接管件	个	168*10焊接三通	材质/标准缺失
REVIEW-MAT-01258	管片螺丝	加工: 是；用途: 管片	定制件/紧固件	根	加工管片螺丝	状态：可建档-定制件；规格/材质/图纸缺失
REVIEW-MAT-01259	氧气瓶手推车	适用气体: 氧气；轮型: 大充气轮	焊割设备/气瓶搬运	台	大充气轮氧气车	状态：可合并；与1916同类，承重/适配瓶缺失
REVIEW-MAT-01260	乙炔瓶手推车	适用气体: 乙炔；轮型: 大充气轮	焊割设备/气瓶搬运	台	大充气轮乙炔车	状态：可合并；与1917同类，承重/适配瓶缺失
REVIEW-MAT-01261	垫片	规格: M27	紧固件/垫圈	个	M27垫片	平垫/弹垫/材质需确认
REVIEW-MAT-01262	氧气瓶手推车	适用气体: 氧气；轮胎: 43cm	焊割设备/气瓶搬运	台	43cm轮胎氧气车	状态：可合并；与氧气车同类，承重缺失
REVIEW-MAT-01263	乙炔瓶手推车	适用气体: 乙炔；轮胎: 43cm	焊割设备/气瓶搬运	台	43cm轮胎乙炔车	状态：可合并；与乙炔车同类，承重缺失
REVIEW-MAT-01264	气动扳手	规格: 大号	工具/气动工具	台	大气动扳手	接口规格/扭矩/品牌缺失
REVIEW-MAT-01265	加长六角螺丝	加工: 是；规格: M27*100；头型: 六角；特征: 加长	定制件/紧固件	个	加工M27*100加长六角螺丝	状态：可建档-定制件；材质/强度等级/图纸缺失
REVIEW-MAT-01266	雨棚	尺寸: 3*4.5m；规格: 大	行政后勤/临时设施	套	3*4.5m大雨棚	材质/支架配置缺失
REVIEW-MAT-01267	膨胀螺丝	规格: M20*150	紧固件/膨胀件	个	M20*150膨胀螺丝	材质/类型缺失
REVIEW-MAT-01268	焊条	直径: 2.5mm；包装重量: 20kg	焊割耗材/焊材	件	2.5焊条20公斤	焊条牌号/材质缺失
REVIEW-MAT-01269	焊条	直径: 3.2mm；包装重量: 20kg	焊割耗材/焊材	件	3.2焊条20公斤	焊条牌号/材质缺失
REVIEW-MAT-01270	卡箍接头	加工: 是；规格: 168；类型: 卡箍接头	定制件/管路接头	件	加工168卡箍接头	状态：可合并；与1952同类，单位需统一
REVIEW-MAT-01271	消防水带	规格: 65；特征: 加厚	消防材料/消防水带	米	65加厚消防水带	压力等级/接口形式缺失
REVIEW-MAT-01272	常闭气动阀	公称直径: DN50；状态: 常闭；驱动: 气动	气动元件/阀	套	DN50常闭气动阀	电磁阀配置/压力等级缺失
REVIEW-MAT-01273	手拉葫芦	品牌/标识: 三角；额定载荷: 1T；链长: 6米	吊装索具/葫芦	台	三角手拉葫芦1T*6米	认证标准缺失
REVIEW-MAT-01274	手拉葫芦	品牌/标识: 三角；额定载荷: 2T；链长: 6米	吊装索具/葫芦	台	三角手拉葫芦2T*6米	认证标准缺失
REVIEW-MAT-01275	药芯焊丝	直径: 1.2mm；类型: 药芯焊丝	焊割耗材/焊材	件	1.2药芯焊丝	状态：可建档 | 可合并；牌号/包装重量缺失 | 与2092同类，牌号/包装重量缺失
REVIEW-MAT-01276	无缝钢管	外径: 60mm；壁厚: 4mm	钢材/钢管	根	60*4无缝管	长度/材质/标准缺失
REVIEW-MAT-01277	麻花钻头	规格: 9厘；类型: 麻花钻	工具耗材/钻头	支	9厘麻花钻头	材质/柄型缺失
REVIEW-MAT-01278	水管加工件	加工: 是；规格: 6分；用途: 水管	定制件/管路接头	根	加工6分水管	状态：可建档-定制件；材质/长度/螺纹缺失
REVIEW-MAT-01279	PPR球阀	品牌: 公元；公称直径: DN50；材质: PPR；类型: 球阀	PPR管件/阀门	个	公元DN50PPR球阀	压力等级缺失
REVIEW-MAT-01280	一体式触摸屏	型号: TPC1570；结构: 一体式	电气材料/工控配件	套	TPC1570一体式触摸屏	状态：可合并；与2043同类，台/套单位需统一
REVIEW-MAT-01281	加厚卡箍	加工: 是；规格: 89；特征: 加厚	定制件/管路接头	个	加工89加厚卡箍	状态：可合并；与1483/1753同类，材质/图纸缺失
REVIEW-MAT-01282	加厚卡箍	加工: 是；规格: 219；特征: 加厚	定制件/管路接头	个	加工219加厚卡箍	状态：可建档-定制件；材质/图纸/用途缺失
REVIEW-MAT-01283	法兰软连接	规格: 65*40；连接: 法兰	管件/软连接	个	65*40法兰软连接	材质/压力等级/长度缺失
REVIEW-MAT-01284	法兰软连接	规格: 65*50；连接: 法兰	管件/软连接	个	65*50法兰软连接	材质/压力等级/长度缺失
REVIEW-MAT-01285	PPR三通	品牌: 公元；规格: 63；材质: PPR；类型: 三通	PPR管件/三通	个	公元63 PPR三通	压力等级缺失
REVIEW-MAT-01286	PPR直通	品牌: 公元；规格: 63；材质: PPR；类型: 直通	PPR管件/直通	个	公元63 PPR直通	状态：可合并；与1741同类，压力等级缺失
REVIEW-MAT-01287	PPR弯头	品牌: 公元；规格: 63；材质: PPR；类型: 弯头	PPR管件/弯头	个	公元63 PPR弯头	状态：可合并；与1743同类，角度/压力等级缺失
REVIEW-MAT-01288	PPR管	品牌: 公元；规格: 63；材质: PPR	PPR管材/管	米	公元63 PPR管	状态：可合并；与1742同类，压力等级/壁厚缺失
REVIEW-MAT-01289	快速接头胶垫	规格: 63；适用: 快速接头	密封材料/胶垫	个	63快速接头胶垫	材质/厚度缺失
REVIEW-MAT-01290	PPR球阀	品牌: 公元；规格: 63；材质: PPR；类型: 球阀	PPR管件/阀门	个	公元63PPR球阀	压力等级缺失
REVIEW-MAT-01291	油布	品类: 油布	劳保耗材/覆盖防护	平方	油布	状态：可合并；与1458同类，材质/克重缺失
REVIEW-MAT-01292	胶垫	规格: 50	密封材料/胶垫	个	50胶垫	材质/厚度/用途缺失
REVIEW-MAT-01293	球阀	品牌: 埃美柯；公称直径: DN15	阀门/球阀	个	DN15埃美柯球阀	材质/压力等级/连接方式缺失
REVIEW-MAT-01294	布手套	材质: 布；结构: 双层；特征: 加厚	劳保耗材/手套	双	布加厚双层手套	状态：可合并；与帆布双层手套同类，材质需确认
REVIEW-MAT-01295	电焊钳	额定电流: 500A	焊割耗材/焊钳	把	500A电焊钳	品牌/结构缺失
REVIEW-MAT-01296	电焊钳	额定电流: 800A	焊割耗材/焊钳	把	800A电焊钳	品牌/结构缺失
REVIEW-MAT-01297	乙炔减压表	适用气体: 乙炔	焊割耗材/气体表具	个	乙炔表	压力范围/接口规格缺失
REVIEW-MAT-01298	氧气胶管	长度: 30米；颜色: 红色；执行标准: 国标；适用气体: 氧气	焊割耗材/气管	卷	30米国标红色氧气管	内径/压力等级缺失
REVIEW-MAT-01299	端子排	规格: 50mm	电气材料/接线端子	个	50mm端子排	位数/电流等级缺失
REVIEW-MAT-01300	电浮球阀	线长: 10m；类型: 电浮球阀	仪表/液位控制	个	10m长电浮球阀	电压/触点形式/材质缺失
