编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-02251	合金两半扣	材质: 合金；规格: DN80；类型: 两半扣	液压/管路扣件	套	合金两半扣DN80	适配管件/压力等级缺失
REVIEW-MAT-02252	钳形万用表	品牌: 世达；类型: 钳型万用表	仪表/电气仪表	只	世达钳型万用表	量程/精度缺失
REVIEW-MAT-02253	镀锌外丝六角直接	表面: 镀锌；连接: 外丝；结构: 六角；规格: 2寸	管件/镀锌管件	只	镀锌外丝六角直接2寸	材质/压力等级缺失
REVIEW-MAT-02254	混凝土振动棒	电压: 380V；直径: Φ50；长度: 6m	施工设备/振动棒	根	振动棒380V-Φ50-6m	功率/接口缺失
REVIEW-MAT-02255	镀锌钢丝绳	表面: 镀锌；直径: Φ12	吊装索具/钢丝绳	米	镀锌钢丝绳Φ12	结构/破断拉力缺失
REVIEW-MAT-02256	镀锌膨胀钩	表面: 镀锌；规格: M16*130	紧固件/膨胀件	只	镀锌膨胀钩M16*130	承载/材质缺失
REVIEW-MAT-02257	镀锌花兰螺丝	表面: 镀锌；规格: M14*350	紧固件/拉紧件	只	镀锌花兰螺丝m14*350	材质/标准缺失
REVIEW-MAT-02258	镀锌花兰扣	表面: 镀锌；规格: M14	紧固件/拉紧件	只	镀锌花兰扣m14	长度/结构缺失
REVIEW-MAT-02259	镀锌内丝直接	表面: 镀锌；连接: 内丝；规格: 2寸	管件/镀锌管件	只	镀锌内丝直接2寸	状态：可合并；与3504同类，材质/压力等级缺失
REVIEW-MAT-02260	电缆	品牌: 起帆；规格: 3*16+1*10	电气/电线电缆	米	起帆电缆线3*16+1*10	型号/电压等级/护套材质缺失
REVIEW-MAT-02261	圆头螺丝套件	规格: M5*70；头型: 圆头；包含: 平垫+弹垫	紧固件/螺丝套件	套	圆头螺丝m5*70带平 弹垫	材质/强度等级/螺母是否包含缺失
REVIEW-MAT-02262	不锈钢潜水搅拌机	材质: 304不锈钢；电压: 380V；功率: 4KW	环保设备/搅拌设备	台	304不锈钢潜水搅拌机380V-4KW	品牌/叶轮形式/安装方式缺失
REVIEW-MAT-02263	充电式LED强光手电筒	供电: 充电式；光源: LED；类型: 强光手电筒	工具/照明工具	只	充电式LED强光手电筒	状态：可合并；与3524同类，品牌/亮度/续航缺失 | 与3519同类，品牌/亮度/续航缺失
REVIEW-MAT-02264	塑料凳	材质: 塑料；特征: 加厚	行政后勤/家具用品	个	加厚塑料凳子	尺寸/承重缺失
REVIEW-MAT-02265	硅酸盐水泥	品牌: 海螺；强度等级: 42.5	建材/水泥	包	海螺42.5水泥	状态：可合并；与3380同类，类型/每包重量缺失 | 与3522同类，类型/每包重量缺失
REVIEW-MAT-02266	铁丝	规格: 14#	金属材料/铁丝	KG	铁丝14#	状态：可建档 | 可合并；材质/表面处理缺失 | 与3525同类，材质/表面处理缺失
REVIEW-MAT-02267	钢丝绳	直径: Φ20；长度: 6m	吊装索具/钢丝绳	根	钢丝绳Φ20*6m	结构/破断拉力/安全标准缺失
REVIEW-MAT-02268	插线板	品牌: 公牛；线长: 3m；结构: 双排	电气/插座插排	根	公牛3m双排插线板	孔位数/额定电流缺失，单位建议用只/个
REVIEW-MAT-02269	黄砂	材料: 黄砂	建材/砂石	吨	黄砂	状态：可合并；与3521同类，粒径/含泥量/用途缺失
REVIEW-MAT-02270	加气混凝土砌块	尺寸: 200*300*600	建材/砌块	块	加气块200*300*600	强度等级/密度等级缺失
REVIEW-MAT-02271	欧标转换插头	孔位: 5孔；功能: 带USB；标准: 欧标	电气/插头插座	只	5孔带USB欧标转换插头	额定电流/USB输出参数缺失
REVIEW-MAT-02272	劳动车轮胎套件	适配: 劳动车；包含: 车轮+实心车胎	搬运工具/手推车配件	套	劳动车轮+实心车胎	轮径/轴孔尺寸缺失
REVIEW-MAT-02273	实木方桌	材质: 实木；类型: 方桌	行政后勤/家具用品	张	实木方桌	尺寸/表面处理缺失
REVIEW-MAT-02274	B型槽钢	规格: 10#；型号: B型	金属材料/型材	米	10#B型槽钢	材质/执行标准缺失
REVIEW-MAT-02275	镀锌弯头	表面: 镀锌；规格: 6分；类型: 弯头	管件/镀锌管件	只	镀锌弯头6分	角度/压力等级缺失
REVIEW-MAT-02276	镀锌内丝直接	表面: 镀锌；连接: 内丝；规格: 6分	管件/镀锌管件	只	镀锌内丝直接6分	材质/压力等级缺失
REVIEW-MAT-02277	镀锌三通	表面: 镀锌；规格: 6分；类型: 三通	管件/镀锌管件	只	镀锌三通6分	材质/压力等级缺失
REVIEW-MAT-02278	镀锌角钢	表面: 镀锌；规格: 40*40	金属材料/型材	米	镀锌角铁40*40	厚度/材质/执行标准缺失
REVIEW-MAT-02279	碳钢焊条	品牌: 大西洋；型号: 422；直径: 3.2	焊接材料/焊条	箱	大西洋422型3.2焊条	每箱重量/执行标准缺失
REVIEW-MAT-02280	安全绳	直径: Φ16	安全防护/安全绳	米	安全绳Φ16	材质/承载/认证标准缺失
REVIEW-MAT-02281	高强度螺丝套件	强度等级: 8.8；规格: M16*70；包含: 平垫+弹垫	紧固件/螺丝套件	套	8.8级m16*70螺丝带平 弹垫	螺母是否包含/表面处理缺失
REVIEW-MAT-02282	开口铜鼻子	类型: 开口；材质: 铜；电流: 300A	电气/接线端子	只	开口铜鼻子300A	适配线径/镀层缺失
REVIEW-MAT-02283	开口铜鼻子	类型: 开口；材质: 铜；电流: 200A	电气/接线端子	只	开口铜鼻子200A	适配线径/镀层缺失
REVIEW-MAT-02284	开口铜鼻子	类型: 开口；材质: 铜；电流: 100A	电气/接线端子	只	开口铜鼻子100A	适配线径/镀层缺失
REVIEW-MAT-02285	铜接头	材质: 铜；适配线径: 150平方	电气/接线端子	只	铜接头150平方	类型/孔径/镀层缺失
