编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-00501	彩条布	宽度: 4米	建筑材料/防护覆盖	平方	4米彩条布	克重/材质缺失
REVIEW-MAT-00502	止水蝴蝶扣	规格: 16*600	建筑材料/止水紧固	套	16*600止水蝴蝶扣	材质/配套螺杆缺失
REVIEW-MAT-00503	螺母	规格: 16	五金备件/紧固件	个	16螺母	状态：可建档 | 可合并；是否M16/材质缺失 | 与第887行同类，是否M16需确认
REVIEW-MAT-00504	加长套筒	规格: 18*200；特征: 加长	工具器具/手动工具	个	18*200加长套筒	驱动方孔规格缺失
REVIEW-MAT-00505	顶托	规格: 38*600；特征: 厚	建筑材料/脚手架配件	套	38*600厚顶托	材质/表面处理缺失
REVIEW-MAT-00506	中砂	类型: 中砂	建筑材料/水泥砂石	包	中沙	每包重量/含泥量缺失
REVIEW-MAT-00507	垃圾桶	规格: 大号	劳保耗材/清洁工具	个	大垃圾桶	状态：可建档-低精度；容量/材质缺失
REVIEW-MAT-00508	编织袋	规格: 大号	包装材料/编织袋	个	大编织袋 | 大号编织袋	状态：可建档 | 可合并；尺寸/承重缺失 | 与第901行同物料，尺寸/承重缺失 | 与第928行同物料 | 与第984行同物料
REVIEW-MAT-00509	调和漆	颜色: 黑色；类型: 调和漆	化工耗材/涂料	桶	黑色调和漆	状态：可建档 | 可合并；包装/品牌缺失 | 与第906行同物料
REVIEW-MAT-00510	LED浴室灯	功率: 50W；类型: 浴室灯	电气材料/照明	个	50WLED浴室灯	防水等级/色温缺失
REVIEW-MAT-00511	彩钢瓦	规格: 1*0.84	建筑材料/板材	米	1*0.84彩钢瓦	厚度/颜色缺失
REVIEW-MAT-00512	彩钢瓦	规格: 1.6*0.84	建筑材料/板材	米	1.6*0.84彩钢瓦	厚度/颜色缺失
REVIEW-MAT-00513	止水针头	长度: 10cm	工程材料/堵漏注浆材料	个	止水针头10CM	直径/材质缺失
REVIEW-MAT-00514	止水针头	长度: 15cm	工程材料/堵漏注浆材料	个	止水针头15CM	直径/材质缺失
REVIEW-MAT-00515	聚氨酯堵漏剂	类型: 油性；材质: 聚氨酯	化工耗材/堵漏材料	KG	油性聚氨酯堵漏剂	状态：可建档 | 可合并；品牌/包装缺失 | 与第914行同物料，品牌/包装缺失 | 与第914行同物料
REVIEW-MAT-00516	聚氨酯堵漏剂	类型: 水性；材质: 聚氨酯	化工耗材/堵漏材料	KG	水性聚氨酯堵漏剂	状态：可建档 | 可合并；品牌/包装缺失 | 与第915行同物料，品牌/包装缺失 | 与第915行同物料
REVIEW-MAT-00517	长螺杆	规格: 14*200；类型: 长螺杆	五金备件/紧固件	套	14*200长螺杆	是否M14/材质缺失
REVIEW-MAT-00518	防火涂层测厚仪	用途: 防火涂层测厚	工具器具/检测仪器	台	防火涂层测厚仪	量程/精度/品牌缺失
REVIEW-MAT-00519	防水网线对接头	特征: 防水；用途: 网络对接	电气材料/弱电材料	个	防水网络对接头	接口规格/IP等级缺失
REVIEW-MAT-00520	钢丝绳夹头	规格: M10	吊装索具/钢丝绳配件	个	M10钢丝绳夹头	适配钢丝绳直径/材质缺失
REVIEW-MAT-00521	编织袋	规格: 小号	包装材料/编织袋	个	小编织袋	尺寸/承重缺失
REVIEW-MAT-00522	防坠安全网	定制: 是；用途: 防坠	定制件/安全防护	平方	定做防坠安全网	状态：可建档-定制件；网孔/材质/执行标准缺失
