编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-02051	绝缘十字螺丝刀	头型: 十字；规格: 5*125；特性: 绝缘	工具/电工工具	把	绝缘十字螺丝刀5*125	绝缘耐压等级/品牌缺失
REVIEW-MAT-02052	绝缘一字螺丝刀	头型: 一字；规格: 3*75；特性: 绝缘	工具/电工工具	把	绝缘一字螺丝刀3*75	绝缘耐压等级/品牌缺失
REVIEW-MAT-02053	插座	型号: DKJ35-50；颜色: 红色	电气/插头插座	只	DKJ35-50红色插座	额定电流/接口类型缺失
REVIEW-MAT-02054	开口铜鼻子	材质: 铜；类型: 开口铜鼻子；规格: 300A	电气/接线端子	只	开口铜鼻子300A	线径/孔径缺失
REVIEW-MAT-02055	花兰螺丝	规格: M14*200；类型: 花兰螺丝	紧固件/拉紧件	只	花兰螺丝M14*200	材质/表面处理缺失
REVIEW-MAT-02056	镀锌膨胀钩	表面: 镀锌；规格: M12*125；类型: 膨胀钩	紧固件/膨胀件	只	镀锌膨胀钩M12*125	材质/承载缺失
REVIEW-MAT-02057	镀锌螺丝套件	强度等级: 8.8；规格: M16*70；表面: 镀锌；包含: 平垫+弹垫	紧固件/螺丝套件	套	8.8级M16*70镀锌螺丝带平 弹垫	螺母是否包含需确认
REVIEW-MAT-02058	浮球液位开关	类型: 浮球开关；线长: 10m	电气/液位控制	只	浮球阀开关带10m线	电压/触点容量/介质缺失
REVIEW-MAT-02059	不锈钢C式自锁接头套装	材质: 不锈钢；类型: C式自锁；型号组合: SM40+PM40	气动液压/快换接头	套	不锈钢C式自锁接头SM40+PM40	口径/密封材质缺失
REVIEW-MAT-02060	不锈钢快接公头	材质: 不锈钢；类型: 快接公头；型号: PP20	气动液压/快换接头	只	不锈钢快接公头PP20	口径/系列标准缺失
REVIEW-MAT-02061	不锈钢快接公头	材质: 不锈钢；类型: 快接公头；型号: PP30	气动液压/快换接头	只	不锈钢快接公头PP30	口径/系列标准缺失
REVIEW-MAT-02062	不锈钢快接公头	材质: 不锈钢；类型: 快接公头；型号: PP60	气动液压/快换接头	只	不锈钢快接公头PP60	口径/系列标准缺失
REVIEW-MAT-02063	不锈钢快拧外丝直接	材质: 不锈钢；类型: 快拧外丝直接；型号: PC16-04	气动液压/快拧接头	只	不锈钢快拧外丝直接PC16-04	螺纹制式/管径缺失
REVIEW-MAT-02064	螺丝套件	强度等级: 8.8；规格: M16*130；包含: 平垫+弹垫	紧固件/螺丝套件	套	8.8级M16*130螺丝带平 弹垫	材质/螺母是否包含缺失
REVIEW-MAT-02065	编织袋	规格: 大号；类型: 编织袋	包装材料/编织袋	条	大编织袋	尺寸/承重缺失
REVIEW-MAT-02066	麻袋	规格: 大号；类型: 麻袋	包装材料/麻袋	条	大麻袋	尺寸/材质缺失
REVIEW-MAT-02067	镀锌外丝直接	表面: 镀锌；连接: 外丝；规格: 4分；类型: 直接	管件/镀锌管件	只	镀锌外丝直接4分	材质/压力等级缺失
REVIEW-MAT-02068	镀锌内丝弯头	表面: 镀锌；连接: 内丝；规格: 4分；类型: 弯头	管件/镀锌管件	只	镀锌内丝弯头4分	角度/压力等级缺失
REVIEW-MAT-02069	异形垫片	定制: 是；原始: 异性；尺寸: 330*260*5	定制件/密封垫片	个	订做异性垫片330*260*5	状态：可建档-定制件；`异性`疑似异形，材质/图纸缺失
REVIEW-MAT-02070	不锈钢高压球阀	材质: 304不锈钢；规格: 2寸；类型: 高压球阀	阀门/球阀	只	304不锈钢高压球阀2寸	压力等级/连接形式缺失
REVIEW-MAT-02071	镀锌外丝直接	表面: 镀锌；连接: 外丝；规格: 2寸；长度: 150mm	管件/镀锌管件	只	镀锌外丝直接2寸/150mm	材质/压力等级缺失
REVIEW-MAT-02072	中性笔	类型: 中性笔	办公用品/书写工具	支	中性笔	颜色/笔芯规格缺失
REVIEW-MAT-02073	对丝接头	螺纹/规格: 36*2H；类型: 对丝接头	液压/高压管路	只	36*2H对丝接头	H含义/材质/压力等级缺失
REVIEW-MAT-02074	高压弯头	螺纹/规格: 36*2；结构: 双H；类型: 弯头	液压/高压管路	只	36*2双H弯头	双H含义/材质/压力等级缺失
REVIEW-MAT-02075	变径对丝接头	规格: 1寸/36*2H；类型: 变径对丝	液压/高压管路	只	1寸/36*2H变径对丝接头	材质/压力等级缺失
REVIEW-MAT-02076	架子管	长度: 6m；类型: 架子管	建筑施工耗材/脚手架管	根	架子管6m	管径/壁厚/材质缺失
REVIEW-MAT-02077	冲凿套装	品牌: 上匠；件数: 12件	工具/冲凿工具	套	上匠冲凿12件套	规格明细缺失
REVIEW-MAT-02078	不锈钢内外丝球阀	材质: 304不锈钢；规格: 4分；连接: 内外丝	阀门/球阀	个	304不锈钢4分内外丝球阀	压力等级缺失
REVIEW-MAT-02079	不锈钢内外丝球阀	材质: 304不锈钢；规格: 3分；连接: 内外丝	阀门/球阀	个	304不锈钢3分内外丝球阀	压力等级缺失
REVIEW-MAT-02080	不锈钢内丝球阀	材质: 304不锈钢；规格: 4分；连接: 内丝	阀门/球阀	个	304不锈钢4分内丝球阀	压力等级缺失
REVIEW-MAT-02081	不锈钢内丝球阀	材质: 304不锈钢；规格: 3分；连接: 内丝	阀门/球阀	个	304不锈钢3分内丝球阀	压力等级缺失
REVIEW-MAT-02082	不锈钢宝塔球阀	材质: 304不锈钢；规格: 2分-12mm；连接: 宝塔	阀门/球阀	个	304不锈钢2分-12mm宝塔球阀	压力等级缺失
REVIEW-MAT-02083	不锈钢直通快插接头	材质: 304不锈钢；型号: QS-1/4-12；类型: 直通快插	气动液压/快插接头	个	304不锈钢直通快插接头QS-1/4-12	螺纹/管径含义缺失
REVIEW-MAT-02084	不锈钢直通快插接头	材质: 304不锈钢；型号: QS-1/4-10；类型: 直通快插	气动液压/快插接头	个	304不锈钢直通快插接头QS-1/4-10	螺纹/管径含义缺失
REVIEW-MAT-02085	不锈钢直通快插接头	材质: 304不锈钢；型号: QS-1/4-8；类型: 直通快插	气动液压/快插接头	个	304不锈钢直通快插接头QS-1/4-8	螺纹/管径含义缺失
REVIEW-MAT-02086	自紧钻夹头	品牌: 马牌；夹持范围: 0.3-16；接口: B18	电动工具/电钻配件	个	马牌自紧钻夹头0.3-16B18	适配设备缺失
REVIEW-MAT-02087	铅笔	规格: 2B	办公用品/书写工具	支	2B铅笔	品牌缺失
REVIEW-MAT-02088	速凝型堵漏剂	品牌: 牛元；特性: 速凝型	建材/堵漏材料	箱	牛元速凝型堵漏剂	每箱数量/包装重量缺失
REVIEW-MAT-02089	不锈钢焊条	材质: 不锈钢；直径: Φ2.5	焊接材料/焊条	包	不锈钢焊条Φ2.5	牌号/每包重量缺失
REVIEW-MAT-02090	7号电池	品牌: 南孚；规格: 7号	电气/电池	节	南孚电池7号	碱性/容量缺失
REVIEW-MAT-02091	RVVP屏蔽线	型号: RVVP；规格: 3*1.5；特性: 屏蔽	电气/电线电缆	米	RVVP屏蔽线3*1.5	品牌/电压等级缺失
REVIEW-MAT-02092	弹簧式安全阀	结构: 弹簧式；公称通径: DN20	阀门/安全阀	只	弹簧式安全阀DN20	整定压力/型号/材质缺失
REVIEW-MAT-02093	铜内丝管接	材质: 铜；连接: 内丝；规格: 20	管件/铜管件	只	铜内丝管接20	口径单位/压力等级缺失
REVIEW-MAT-02094	焊接弯头	连接: 焊接；角度: 90度；规格: 159	管件/焊接管件	只	焊接90度弯头159	材质/壁厚/压力等级缺失
REVIEW-MAT-02095	灯座	规格: E27	电气/照明配件	个	E27灯座	材质/额定电流缺失
REVIEW-MAT-02096	焊管	规格: 2寸；长度: 3m；类型: 焊管	钢材/钢管	根	焊管2寸*3m	壁厚/材质/标准缺失
REVIEW-MAT-02097	螺丝套件	强度等级: 8.8；规格: M16*60；包含: 平垫+弹垫	紧固件/螺丝套件	套	8.8级M16*60螺丝带平 弹垫 | 8.8级M16*60螺丝带平弹垫	状态：可建档 | 可合并；材质/螺母是否包含缺失 | 与3273同类，材质/螺母是否包含缺失
REVIEW-MAT-02098	螺丝套件	强度等级: 8.8；规格: M20*60；包含: 平垫+弹垫	紧固件/螺丝套件	套	8.8级M20*60螺丝带平 弹垫	材质/螺母是否包含缺失
REVIEW-MAT-02099	潜水泵	电压: 220V；功率: 370W；出口: 1寸	设备/泵	台	潜水泵220V/370W-1寸出口	扬程/流量/品牌缺失
REVIEW-MAT-02100	不锈钢单向阀	材质: 304不锈钢；公称通径: DN50	阀门/单向阀	只	304不锈钢单向阀DN50	压力等级/连接形式缺失
