编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-02001	不锈钢外螺纹对接头	材质: 不锈钢；连接: 外螺纹；规格: 4分	管件/不锈钢管件	只	不锈钢外螺纹对接头4分	材质牌号/压力等级缺失
REVIEW-MAT-02002	不锈钢变径对丝	材质: 不锈钢；连接: 外螺纹；规格: 6分变4分	管件/不锈钢管件	只	不锈钢外螺纹对丝变径6分变4分	材质牌号/压力等级缺失
REVIEW-MAT-02003	不锈钢外螺纹对接头	材质: 不锈钢；连接: 外螺纹；规格: 6分	管件/不锈钢管件	只	不锈钢外螺纹对接头6分	材质牌号/压力等级缺失
REVIEW-MAT-02004	建筑模板	颜色: 黑；尺寸: 2.4m*1.22m；厚度: 15mm	建筑材料/模板	张	黑模板2.4m*1.22m*15mm	材质/周转次数缺失
REVIEW-MAT-02005	螺纹钢筋加工件	加工: 是；直径: Φ20；长度: 60cm	定制件/钢筋加工件	根	加工螺纹钢筋Φ20*60cm	状态：可建档-定制件；材质/用途/图纸缺失
REVIEW-MAT-02006	建筑模板	颜色: 红；尺寸: 2.4m*1.22m；厚度: 15mm	建筑材料/模板	块	红模板2.4m*1.22m*15mm	状态：可合并；与3141同类，单位张/块需统一
REVIEW-MAT-02007	活动扳手	品牌: 世达；规格: 12寸	工具/手动工具	把	世达活动扳手12寸	型号缺失
REVIEW-MAT-02008	活动扳手	品牌: 世达；规格: 10寸	工具/手动工具	把	世达活动扳手10寸	型号缺失
REVIEW-MAT-02009	不锈钢挂锁	材质: 不锈钢；规格: 40	五金/锁具	把	不锈钢挂锁40	状态：可合并；与2724同类，锁梁规格缺失
REVIEW-MAT-02010	焊工眼镜	用途: 电焊防护；颜色: 白色/灰色	劳保耗材/眼面防护	付	电焊眼镜白色 灰色	遮光号/款式缺失
REVIEW-MAT-02011	钢卷尺	品牌: 得力；长度: 3m	工具/测量工具	把	得力钢卷尺3m	宽度/精度缺失
REVIEW-MAT-02012	钢卷尺	品牌: 得力；长度: 5m	工具/测量工具	把	得力钢卷尺5m	状态：可合并；与2785同类，宽度/精度缺失
REVIEW-MAT-02013	钢卷尺	品牌: 得力；长度: 7.5m	工具/测量工具	把	得力钢卷尺7.5m	宽度/精度缺失
REVIEW-MAT-02014	钢卷尺	品牌: 得力；长度: 10m	工具/测量工具	把	得力钢卷尺10m	状态：可合并；与2784同类，宽度/精度缺失
REVIEW-MAT-02015	焊罩镜片	适配: 焊罩；颜色: 白/黑	劳保耗材/眼面防护	盒	焊罩镜片 白 黑	遮光号/每盒数量缺失
