编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-01201	管片密封胶	用途: 管片密封	化工耗材/胶粘剂	桶	管片密封胶水	胶种/容量/品牌缺失
REVIEW-MAT-01202	泡沫双面胶	特征: 厚；类型: 泡沫双面胶	化工耗材/胶带	卷	厚泡沫双面胶	宽度/长度/厚度缺失
REVIEW-MAT-01203	减压阀	公称直径: DN50；执行标准: 国标	阀门/减压阀	个	DN50国标减压阀	压力范围/材质/连接方式缺失
REVIEW-MAT-01204	扫把	品类: 扫把	行政后勤/清洁用品	个	扫把	状态：可合并；材质/规格缺失
REVIEW-MAT-01205	扫斗	品类: 扫斗	行政后勤/清洁用品	个	扫斗	状态：可合并；材质/规格缺失
REVIEW-MAT-01206	不锈钢抹刀	材质: 不锈钢；类型: 抹刀	工具/泥瓦工具	个	不锈钢抹刀	尺寸/柄材质缺失
REVIEW-MAT-01207	氧气瓶手推车	适用气体: 氧气；特征: 加厚	焊割设备/气瓶搬运	个	加厚氧气车	状态：可合并；与1916同类，适配瓶规格缺失
REVIEW-MAT-01208	乙炔瓶手推车	适用气体: 乙炔；特征: 加厚	焊割设备/气瓶搬运	个	加厚乙炔车	状态：可合并；与1917同类，适配瓶规格缺失
REVIEW-MAT-01209	记号笔	颜色: 白色	办公耗材/书写用品	个	白色记号笔	状态：可建档 | 可合并；单位建议支，粗细缺失 | 与2005同类，单位应统一为支
REVIEW-MAT-01210	铜挂锁	材质: 铜	五金建材/锁具	把	铜锁	规格/钥匙数量缺失
REVIEW-MAT-01211	自动流量计	公称直径: DN150；材质/衬里: 橡胶；类型: 自动	仪表/流量仪表	台	DN150橡胶自动流量计	原理/量程/精度/输出信号缺失
REVIEW-MAT-01212	梅花双用扳手	规格: 14	工具/手动工具	个	14梅花双用扳手	品牌/长度缺失
REVIEW-MAT-01213	铝合金梯子	长度: 2.5米；材质: 铝合金；特征: 加厚	工具/登高工具	台	加厚2.5米铝合金梯子	承重/节数缺失
REVIEW-MAT-01214	镀锌螺丝组件	规格: M10*55；表面: 镀锌；成套: 是	紧固件/螺丝	套	M10*55镀锌螺丝	头型/强度等级缺失
REVIEW-MAT-01215	不锈钢角码	材质: 不锈钢；形状: L型	五金建材/连接件	个	L不锈钢角码	尺寸/厚度/孔位缺失
REVIEW-MAT-01216	定制窗户	定制: 是；品类: 窗户	定制件/门窗制品	个	定做窗户	状态：可建档-定制件；尺寸/材质/开启方式/图纸缺失
REVIEW-MAT-01217	垃圾袋	品类: 垃圾袋	行政后勤/清洁用品	个	垃圾袋	状态：可合并；与1800同类，规格/包装缺失 | 与2016同类，规格/包装缺失
REVIEW-MAT-01218	建筑模板	尺寸: 2.44*1.22*1.5；颜色: 黑色	建筑材料/模板木方	块	2.44*1.22*1.5黑模板	厚度单位是否cm需确认
REVIEW-MAT-01219	PPR管	品牌: 公元；公称直径: DN200；材质: PPR	PPR管材/管	米	DN200公元PPR管	压力等级/壁厚缺失
REVIEW-MAT-01220	混凝土试模	品类: 混凝土试模	工具/检测模具	个	混凝土试模	状态：可合并；与1950同类，尺寸/标准缺失
REVIEW-MAT-01221	救生衣	品类: 救生衣	安全防护/水域防护	件	救生衣	浮力等级/尺码/标准缺失
REVIEW-MAT-01222	机械密封	规格: 50	备品备件/密封件	套	50机械密封	材质/适配泵型号缺失
REVIEW-MAT-01223	美工刀	类型: 美工刀	工具/刀具	个	美工刀	状态：可合并；与1967同类，刀片宽度缺失
REVIEW-MAT-01224	防锈润滑剂	型号: DM40；功能: 防锈润滑	化工耗材/润滑剂	支	DM40防锈润滑剂	品牌/容量缺失
REVIEW-MAT-01225	铝合金梯子	定制: 是；长度: 4米；材质: 铝合金；特征: 加厚	定制件/工具治具	个	定做4米加厚铝合金梯子	状态：可合并；与1850/1893同类，承重/节数缺失
REVIEW-MAT-01226	焊接面罩	用途: 焊接	劳保耗材/眼面防护	个	焊接面罩	手持/头戴/滤光等级缺失
REVIEW-MAT-01227	离心机钢板	加工: 是；适用设备: 离心机；材质: 钢板	定制件/设备加工件	个	加工离心机钢板	状态：可建档-定制件；尺寸/材质牌号/图纸缺失
REVIEW-MAT-01228	螺丝	规格: M27*100	紧固件/螺丝	个	M27*100螺丝	头型/强度等级/材质缺失
REVIEW-MAT-01229	螺母	规格: M27	紧固件/螺母	个	m27螺母	材质/强度等级缺失
REVIEW-MAT-01230	建筑模板	尺寸: 2.44*1.22*1.5；特征: 厚	建筑材料/模板木方	张	2.44*1.22*1.5厚模板	状态：可合并；与2017同类，厚度单位需确认
REVIEW-MAT-01231	钢筋接驳器	适配钢筋直径: 22	建筑材料/钢筋连接件	个	22钢筋接驳器	螺纹形式/标准缺失
REVIEW-MAT-01232	气动扳手	规格: 1寸	工具/气动工具	个	1寸气动扳手	扭矩/品牌/型号缺失
REVIEW-MAT-01233	一体式触摸屏	型号: TPC1570；结构: 一体式	电气材料/工控配件	台	TPC1570一体式触摸屏	品牌/接口/系统配置缺失
REVIEW-MAT-01234	尼龙扎带	规格: 10*50cm；材质: 尼龙	电气材料/扎带	包	10*50cm尼龙扎带	颜色/每包数量缺失
REVIEW-MAT-01235	尼龙扎带	规格: 10*40cm；材质: 尼龙	电气材料/扎带	包	10*40cm尼龙扎带	颜色/每包数量缺失
REVIEW-MAT-01236	尼龙扎带	规格: 10*30cm；材质: 尼龙	电气材料/扎带	包	10*30cm尼龙扎带	颜色/每包数量缺失
REVIEW-MAT-01237	雨鞋	品牌: 回力	劳保耗材/足部防护	双	回力雨鞋	状态：可合并；与1757同类，尺码缺失
REVIEW-MAT-01238	编织袋	品类: 编织袋	包装材料/袋类	个	编织袋	尺寸/克重缺失
REVIEW-MAT-01239	铁锹柄	部件: 柄；适用: 铁锹	工具备件/手动工具配件	支	铁锹柄	状态：可合并；与1924同类，材质/长度缺失
REVIEW-MAT-01240	铁锹	品类: 铁锹	工具/手动工具	支	铁锹	规格/柄材质缺失
REVIEW-MAT-01241	焊接铁合页	规格: 6；材质: 铁；工艺: 焊接	五金建材/门窗五金	付	6焊接铁合页	尺寸单位/厚度缺失
REVIEW-MAT-01242	自喷漆	颜色: 白色；类型: 喷漆	化工耗材/涂料	支	白色喷漆	状态：可合并；与1671同类，容量/品牌缺失
REVIEW-MAT-01243	传动皮带	型号: 1041	备品备件/传动件	支	皮带1041	皮带类型/单位建议条
REVIEW-MAT-01244	S挂钩	规格: 大号；形状: S型；承重: 20kg	五金耗材/挂钩	支	大S挂钩20kg	材质/表面处理缺失
REVIEW-MAT-01245	接地跨接线	用途: 电柜接地跨接	电气材料/接地材料	支	电柜接地跨线	长度/截面积/端子规格缺失
REVIEW-MAT-01246	乙炔割嘴	适用气体: 乙炔；类型: 割嘴	焊割耗材/割炬配件	个	乙炔割嘴	规格号/适配割炬缺失
REVIEW-MAT-01247	焊机快速接头	用途: 焊机；类型: 快速接头	焊割耗材/焊机配件	个	焊机快连接头	规格/电流等级缺失
REVIEW-MAT-01248	重型平口钳	规格: 5寸；特征: 重型	工具/夹持工具	台	5寸重型平口钳	开口宽度/品牌缺失
REVIEW-MAT-01249	管钳	长度: 600mm；特征: 防锈型	工具/手动工具	支	防锈型管钳600	品牌/材质缺失
REVIEW-MAT-01250	LED灯泡	功率: 50W；类型: LED	电气材料/照明	个	50WLED灯泡 | 50wLED灯泡	状态：可建档 | 可合并；灯头规格/色温缺失 | 与2063同类，灯头/色温缺失
