编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-00251	割嘴	规格: 30号	焊接耗材/焊割配件	个	30号割嘴	气体类型/孔径缺失
REVIEW-MAT-00252	三脚插头	品牌: 公牛；电流: 10A；类型: 三插	电气材料/插头插座	个	10A公牛三插	
REVIEW-MAT-00253	毛刷	规格: 4寸	工具器具/涂装工具	支	4寸毛刷	状态：可合并；与第421行同类，单位需统一
REVIEW-MAT-00254	不锈钢加长接头	规格: 8*6；材质: 不锈钢；特征: 加长	气动/高压管路	个	8*6不锈钢加长接头	连接形式/压力等级缺失
REVIEW-MAT-00255	不锈钢加长弯头	规格: 8*6；材质: 不锈钢；特征: 加长；类型: 弯头	气动/高压管路	个	8*6不锈钢加长弯头	连接形式/压力等级缺失
REVIEW-MAT-00256	链条扳手	类型: 链条扳手	工具器具/手动工具	个	链条扳手	状态：可建档-低精度；规格/夹持范围缺失
REVIEW-MAT-00257	碳棒	直径: 6mm	焊接耗材/气刨耗材	支	碳棒6MM	包装规格缺失
REVIEW-MAT-00258	吨袋	规格: 大号	包装材料/吨袋	个	大吨袋	状态：可建档-低精度 | 可合并；容量/尺寸/承重缺失 | 与第442行同类，承重/尺寸缺失
REVIEW-MAT-00259	铁丝	规格: 12号	五金备件/金属丝材	KG	12号铁丝 | 12铁丝	状态：可建档 | 可合并；材质/镀锌与否缺失 | 与第622行同物料，材质/镀锌缺失 | 与第773行同物料
REVIEW-MAT-00260	铁丝	规格: 14号	五金备件/金属丝材	KG	14号铁丝 | 14铁丝	状态：可建档 | 可合并；材质/镀锌与否缺失 | 与第623行同物料
REVIEW-MAT-00261	调和漆	颜色: 白色；类型: 调和漆	化工耗材/涂料	桶	白色调和油漆	状态：可建档 | 可合并；包装重量/品牌缺失 | 与第446行同物料，包装需统一 | 与第446、470行同物料，包装需统一 | 与前文同物料，包装需统一 | 与前文同物料，包装缺失 | 与第1122行同物料
REVIEW-MAT-00262	不锈钢卡套接头	规格: 6*8；材质: 不锈钢	气动/高压管路	个	卡6*8不锈钢接头	状态：可建档 | 可合并；“卡”是否为卡套需确认 | 与第447行同物料
REVIEW-MAT-00263	不锈钢卡套接头	规格: 6*12；材质: 不锈钢	气动/高压管路	个	卡6*12不锈钢接头	状态：可建档 | 可合并；“卡”是否为卡套需确认 | 与第448行同物料
REVIEW-MAT-00264	不锈钢黄油嘴接头	材质: 不锈钢；类型: 接头	润滑系统/黄油嘴配件	个	不锈钢黄油嘴接头	螺纹规格缺失
REVIEW-MAT-00265	不锈钢黄油嘴弯头	材质: 不锈钢；类型: 弯头	润滑系统/黄油嘴配件	个	不锈钢黄油嘴弯头	螺纹规格/角度缺失
REVIEW-MAT-00266	高压加厚接头	定制: 是；规格: 52；特征: 加厚	定制件/液压接头	个	定做52高压加厚接头	状态：可建档-定制件；图纸/螺纹/压力等级缺失
REVIEW-MAT-00267	鱼尾螺丝	规格: M10*60	五金备件/紧固件	套	M10*60鱼尾螺丝	材质/强度等级缺失
REVIEW-MAT-00268	鱼尾螺丝	规格: M14*70	五金备件/紧固件	套	M14*70鱼尾螺丝	材质/强度等级缺失
REVIEW-MAT-00269	鱼尾螺丝	规格: M16*90	五金备件/紧固件	套	M16*90鱼尾螺丝	材质/强度等级缺失
REVIEW-MAT-00270	角钢	规格: 50*50*6；标准: 国标	原材料/型钢	米	50*50*6国标角铁	状态：可建档 | 可合并；材质牌号缺失 | 与第464行同物料，材质牌号仍缺 | 与第572行同物料，材质牌号仍缺
REVIEW-MAT-00271	电焊钳	电流: 500A	焊接耗材/焊割工具	把	500A电焊钳	品牌缺失
REVIEW-MAT-00272	电焊钳	电流: 800A	焊接耗材/焊割工具	把	800A电焊钳	状态：可建档 | 可合并；品牌缺失 | 与第466行同物料
REVIEW-MAT-00273	电焊线	品牌: 起帆；截面积: 35平方	电气材料/电线电缆	米	35平方起帆电焊线	芯数/材质缺失
REVIEW-MAT-00274	电焊线	品牌: 起帆；截面积: 50平方	电气材料/电线电缆	米	50平方起帆电焊线	芯数/材质缺失
REVIEW-MAT-00275	医用胶带	类型: 医用胶带	劳保耗材/急救用品	卷	医用胶带	状态：可建档-低精度；宽度/长度缺失
REVIEW-MAT-00276	锂电角磨机	品牌: 大艺；供电: 锂电池	工具器具/电动工具	台	大艺锂电池角磨机	电压/电池容量/规格缺失
REVIEW-MAT-00277	砂纸	粒度: 600	工具器具/磨切耗材	张	600砂纸	尺寸缺失
REVIEW-MAT-00278	砂纸	粒度: 80	工具器具/磨切耗材	张	80砂纸	尺寸缺失
REVIEW-MAT-00279	钢丝绳	直径: 6mm	吊装索具/钢丝绳	米	6MM钢丝绳	结构/强度等级缺失
REVIEW-MAT-00280	钢丝绳卡扣	适配直径: 6mm	吊装索具/钢丝绳配件	个	6MM钢丝绳扣子	材质/形式缺失
REVIEW-MAT-00281	卡箍丝牙接头	加工: 是；规格: 60；连接: 一头卡箍一头丝牙；特征: 加厚	定制件/管路接头	个	加工加厚60一头卡箍一头丝牙	状态：可建档-定制件；图纸/材质/压力等级缺失
REVIEW-MAT-00282	双头抱箍接头	加工: 是；规格: 60；连接: 两头抱箍；特征: 加厚	定制件/管路接头	个	加工加厚60两头抱箍	状态：可建档-定制件；图纸/材质/压力等级缺失
REVIEW-MAT-00283	三通抱箍	加工: 是；长度: 1.15米；特征: 加厚；类型: 三通抱箍	定制件/管路接头	根	加工加厚1.15米三通抱箍	状态：可建档-定制件；图纸/口径/材质缺失
REVIEW-MAT-00284	不锈钢条	规格: 65*20*1	原材料/不锈钢材料	条	65*20*1不锈钢条	材质牌号/长度缺失
REVIEW-MAT-00285	骑马螺丝	规格: 14*75	五金备件/紧固件	套	14*75骑马螺丝	材质/强度等级缺失
REVIEW-MAT-00286	不锈钢卡套三通	规格: 6*12；材质: 不锈钢；类型: 三通	气动/高压管路	个	卡6*12不锈钢三通	连接形式/压力等级缺失
REVIEW-MAT-00287	重油污清洗剂	用途: 重油污清洗	化工耗材/清洗剂	KG	重油污清洗剂	品牌/浓度/包装缺失
REVIEW-MAT-00288	自封袋	规格: 10#	包装材料/自封袋	个	10#自封袋	
REVIEW-MAT-00289	毛刷	规格: 2寸	工具器具/涂装工具	个	2寸毛刷	材质缺失
REVIEW-MAT-00290	电缆防水接头	规格: M50	电气材料/电缆附件	个	M50电缆防水接头	材质/IP等级缺失
REVIEW-MAT-00291	电缆防水接头	规格: M40	电气材料/电缆附件	个	M40电缆防水接头	材质/IP等级缺失
REVIEW-MAT-00292	电缆防水接头	规格: M32	电气材料/电缆附件	个	M32电缆防水接头	材质/IP等级缺失
REVIEW-MAT-00293	自喷漆	品牌: 三和；颜色: 灰色；类型: 自喷漆	化工耗材/涂料	瓶	灰色三和喷漆	容量缺失
REVIEW-MAT-00294	自喷漆	品牌: 三和；颜色: 黑色；类型: 自喷漆	化工耗材/涂料	瓶	黑色三和喷漆	容量缺失
REVIEW-MAT-00295	脱漆剂	类型: 高效脱漆剂	化工耗材/清洗剂	瓶	高效脱漆剂	状态：可建档-低精度；品牌/容量/成分缺失
REVIEW-MAT-00296	门锁	用途: 大门	五金备件/锁具	把	大门锁	状态：可建档-低精度；规格/锁体类型缺失
REVIEW-MAT-00297	电力清洗剂	用途: 电力设备清洗	化工耗材/清洗剂	KG	电力清洗剂	品牌/绝缘等级/包装缺失
REVIEW-MAT-00298	多点黄油泵	容量: 8升；出口数: 4出口	润滑系统/油脂泵	台	8升4出口多点黄油泵	电压/驱动方式/品牌缺失
REVIEW-MAT-00299	AB胶	品牌/型号: 卡夹特；类型: AB胶	化工耗材/胶粘剂	套	卡夹特AB胶	包装容量/配比缺失
REVIEW-MAT-00300	气泡膜	特征: 加厚	包装材料/缓冲包装	米	加厚气泡膜	状态：可建档 | 可合并；宽度/厚度缺失 | 与第512行同物料，宽度/厚度仍缺
