编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-01151	镀锌外丝接头	公称直径: DN80；连接: 外丝；表面: 镀锌	管件/镀锌管件	个	DN80镀锌外丝	螺纹标准缺失
REVIEW-MAT-01152	球阀	品牌: 埃美柯；公称直径: DN80	阀门/球阀	个	DN80埃美柯球阀	状态：可合并；与1629同类，材质/压力等级缺失
REVIEW-MAT-01153	球阀	品牌: 埃美柯；公称直径: DN50	阀门/球阀	个	DN50埃美柯球阀	状态：可合并；与1609近似，材质/压力等级缺失
REVIEW-MAT-01154	加厚铜接头	规格: DN80；材质: 铜；特征: 加厚	液压/高压管路	个	DN80厚铜头	状态：可合并；与80加厚铜头同类，连接形式缺失
REVIEW-MAT-01155	加厚铜接头	规格: DN50；材质: 铜；特征: 加厚	液压/高压管路	个	DN50厚铜头	状态：可合并；与50加厚铜头同类，连接形式缺失
REVIEW-MAT-01156	外丝接头	加工: 是；规格: 89；连接: 外丝	定制件/管路接头	个	加工89外丝接头	状态：可建档-定制件；材质/螺纹标准/图纸缺失
REVIEW-MAT-01157	外丝接头	加工: 是；规格: 60；连接: 外丝	定制件/管路接头	个	加工60外丝接头	状态：可建档-定制件；材质/螺纹标准/图纸缺失
REVIEW-MAT-01158	螺丝组件	规格: M10*40；成套: 是	紧固件/螺丝	套	M10*40螺丝	头型/强度等级/材质缺失
REVIEW-MAT-01159	螺丝组件	规格: M12*40；成套: 是	紧固件/螺丝	套	M12*40螺丝	头型/强度等级/材质缺失
REVIEW-MAT-01160	加长六角套筒	规格: 5；特征: 加长；类型: 六角	工具/套筒	个	5加长六角套筒	方榫规格/长度缺失
REVIEW-MAT-01161	加长六角套筒	规格: 6；特征: 加长；类型: 六角	工具/套筒	个	6加长六角套筒	方榫规格/长度缺失
REVIEW-MAT-01162	加长六角套筒	规格: 7；特征: 加长；类型: 六角	工具/套筒	个	7加长六角套筒	方榫规格/长度缺失
REVIEW-MAT-01163	加长六角套筒	规格: 8；特征: 加长；类型: 六角	工具/套筒	个	8加长六角套筒	方榫规格/长度缺失
REVIEW-MAT-01164	加长六角套筒	规格: 10；特征: 加长；类型: 六角	工具/套筒	个	10加长六角套筒	方榫规格/长度缺失
REVIEW-MAT-01165	加长六角套筒	规格: 12；特征: 加长；类型: 六角	工具/套筒	个	12加长六角套筒	方榫规格/长度缺失
REVIEW-MAT-01166	加长六角套筒	规格: 14；特征: 加长；类型: 六角	工具/套筒	个	14加长六角套筒	方榫规格/长度缺失
REVIEW-MAT-01167	混凝土试模	尺寸: 150*150*150	工具/检测模具	个	150*150*150混凝土模具	材质/标准缺失
REVIEW-MAT-01168	卡箍接头	加工: 是；规格: 168；类型: 卡箍接头	定制件/管路接头	个	加工168卡箍接头	状态：可建档-定制件；材质/图纸/沟槽尺寸缺失
