编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-00601	钢筋加工件	加工: 是；钢筋规格: 12；长度: 11.93米	定制件/钢筋加工件	个	加工12钢筋11.93米	状态：可建档-定制件；材质/图纸/弯折要求缺失
REVIEW-MAT-00602	钢筋加工件	加工: 是；钢筋规格: 12；长度: 12.94米	定制件/钢筋加工件	个	加工12钢筋12.94米	状态：可建档-定制件；材质/图纸/弯折要求缺失
REVIEW-MAT-00603	钢筋方形箍	加工: 是；钢筋规格: 12；形状: 方形箍	定制件/钢筋加工件	个	加工12钢筋方形箍	状态：可建档-定制件；尺寸/图纸缺失
REVIEW-MAT-00604	充电电钻	供电: 充电	工具器具/电动工具	台	充电电钻	电压/电池容量/品牌缺失
REVIEW-MAT-00605	厕所刷	用途: 厕所清洁	劳保耗材/清洁工具	把	厕所刷子	
REVIEW-MAT-00606	洁厕剂	类型: 洁厕灵	劳保耗材/清洁用品	支	洁厕灵	容量/品牌缺失
REVIEW-MAT-00607	拖把	类型: 拖把	劳保耗材/清洁工具	支	拖把	状态：可合并；与前文拖把同物料，单位个/支需统一
REVIEW-MAT-00608	锂电钻	特征: 大功率；供电: 锂电池	工具器具/电动工具	台	大功率锂电钻	电压/电池容量/品牌缺失
REVIEW-MAT-00609	铜鼻子	电流: 300A；材质: 铜	电气材料/电缆附件	个	300A铜鼻子	线径/孔径缺失
REVIEW-MAT-00610	铜鼻子	电流: 200A；材质: 铜	电气材料/电缆附件	个	200A铜鼻子	线径/孔径缺失
REVIEW-MAT-00611	PVC给水管	品牌: 公元；规格: 40；材质: PVC；用途: 给水	工程材料/PVC管件	米	公元40pvc给水管	压力等级缺失
REVIEW-MAT-00612	异径三通	品牌: 公元；规格: 40*32；类型: 三通	工程材料/PVC管件	个	公元三通40×32	材质默认PVC需确认
REVIEW-MAT-00613	异径三通	品牌: 公元；规格: 40*25；类型: 三通	工程材料/PVC管件	个	公元三通40×25	材质默认PVC需确认
REVIEW-MAT-00614	PVC管卡	品牌: 公元；材质: PVC；规格: 40	工程材料/管道紧固	个	公元pvc40管卡	
REVIEW-MAT-00615	PVC45度弯头	品牌: 公元；规格: 40；角度: 45度	工程材料/PVC管件	个	公元40×45°弯头	材质默认PVC需确认
REVIEW-MAT-00616	异径接头	品牌: 公元；规格: 40*32；类型: 大接头/异径	工程材料/PVC管件	个	公元40×32大接头	材质默认PVC需确认
REVIEW-MAT-00617	厚双面胶	类型: 双面胶；特征: 厚	化工耗材/胶粘带	卷	双面胶厚	宽度/长度缺失
REVIEW-MAT-00618	窗帘支架	用途: 窗帘	行政后勤/设施配件	套	窗帘支架	长度/安装方式缺失
REVIEW-MAT-00619	黑模板	厚度: 3.0；颜色: 黑	建筑材料/模板木方	张	黑模板3.0厚	长宽/单位缺失
REVIEW-MAT-00620	一位开关	品牌: 公牛；位数: 1位	电气材料/开关	套	公牛一位开关	电流/安装方式缺失
REVIEW-MAT-00621	五孔插座	品牌: 公牛；类型: 五孔	电气材料/插头插座	套	公牛五孔插座	状态：可合并；与第761行同物料，电流缺失
REVIEW-MAT-00622	手持打码机	类型: 手持；功能: 大字符打码	设备/标识设备	台	手持大字符打码机	型号/耗材类型缺失
