编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-01401	铁丝	材质: 铁	五金耗材/金属丝	公斤	铁丝	状态：可合并；与1617同类，线径缺失 | 与2280同类，线径缺失
REVIEW-MAT-01402	高压清洗喷枪	类型: 喷枪；用途: 高压清洗	清洗设备/高压清洗机配件	把	高压清洗喷枪	压力等级/接口/适配型号缺失
REVIEW-MAT-01403	镀锌补心	规格: 80*65；表面: 镀锌；类型: 补心	管件/镀锌管件	个	80*65镀锌补心	螺纹标准/材质缺失
REVIEW-MAT-01404	振动电机套装	进口: 是；类型: 振动电机；配置: 整套	设备备件/电机	套	进口振动电机整套	品牌/功率/型号缺失
REVIEW-MAT-01405	泥浆比重计	用途: 泥浆比重测量	工具/测量工具	套	泥浆比重计	量程/精度缺失
REVIEW-MAT-01406	高压胶管	规格: 100；材质: 胶管	液压/高压管路	米	100高压胶管	压力等级/层数缺失
REVIEW-MAT-01407	高压接头	规格: 100；类型: 接头	液压/高压管路	个	100高压接头	螺纹/连接形式/压力等级缺失
REVIEW-MAT-01408	加厚铝合金扣	规格: 100；材质: 铝合金；特征: 加厚	液压/高压管路	个	100加厚铝合金扣	连接形式缺失
REVIEW-MAT-01409	加厚铜接头	规格: 100；材质: 铜；特征: 加厚	液压/高压管路	个	100加厚铜头	连接形式缺失
REVIEW-MAT-01410	高强度螺丝	规格: M30*100；强度等级: 12.9	紧固件/螺丝	个	M30*100/12.9级螺丝	头型/材质缺失
REVIEW-MAT-01411	螺母	规格: M30	紧固件/螺母	个	30螺母	状态：可建档 | 可合并；材质/强度等级缺失 | 与2296同类，材质/强度等级缺失
REVIEW-MAT-01412	垫片	规格: M30	紧固件/垫圈	个	30垫片	状态：可建档 | 可合并；平垫/弹垫/材质需确认 | 与2297同类，平垫/弹垫需确认
REVIEW-MAT-01413	隔环	加工: 是；型号/规格: 2350；部件: 隔环	定制件/机械加工件	个	加工隔环2350	状态：可建档-定制件；图纸/材质/尺寸缺失
REVIEW-MAT-01414	无缝钢管	外径: 76mm；壁厚: 8mm	钢材/钢管	米	76*8MM无缝管	材质/标准缺失
REVIEW-MAT-01415	高强度螺丝	规格: M30*80；强度等级: 10.8	紧固件/螺丝	个	M30*80/10.8级螺丝	头型/材质缺失
REVIEW-MAT-01416	扁平吊装带	额定载荷: 2T；长度: 2米；颜色: 彩色	吊装索具/吊带	条	彩色吊带2T*2米	状态：可合并；与1797同类，材质/安全系数缺失
REVIEW-MAT-01417	手拉葫芦	额定载荷: 2T；链长: 3米	吊装索具/葫芦	台	2T*3米手拉葫芦	品牌/认证标准缺失
REVIEW-MAT-01418	垃圾袋	规格: 120	行政后勤/清洁用品	个	120垃圾袋	完整尺寸/包装数量缺失
REVIEW-MAT-01419	金属测绳	材质: 金属；类型: 测绳	工具/测量工具	米	金属测绳	量程/刻度精度缺失
REVIEW-MAT-01420	扁平吊装带	执行标准: 国标；颜色: 彩色；额定载荷: 5T；长度: 8米	吊装索具/吊带	条	国标彩色吊带5T*8米	状态：可合并；与1547同类，材质/安全系数缺失
REVIEW-MAT-01421	安全网	尺寸: 6*1.8米；特征: 加厚	安全防护/防护网	张	6*1.8米加厚安全网	状态：可合并；与2166同类，材质/网孔缺失
REVIEW-MAT-01422	清洗剂泵头	品牌: 黑猫；用途: 清洗剂；部件: 泵头	清洗设备/配件	个	黑猫清洗剂泵头	适配型号/接口缺失
REVIEW-MAT-01423	游标卡尺	品牌: 得力；量程: 300mm；精度等级: 高精度	工具/测量工具	支	300mm得力高精度卡尺	具体精度/型号缺失
REVIEW-MAT-01424	尼龙绳	规格: 16；材质: 尼龙	绳索/尼龙绳	米	16尼龙绳	规格是直径16mm需确认
REVIEW-MAT-01425	高压胶水带	规格: 65；颜色: 蓝色；特征: 加厚	液压/高压管路	米	65加厚蓝色胶水带	状态：可建档 | 可合并；“胶水带”是否为胶水管/胶管需确认，压力等级缺失 | 与2314同类，“胶水带”名称需确认
REVIEW-MAT-01426	高压外丝堵头	规格: 25；连接: 外丝；类型: 堵头	液压/高压管路	个	25高压外丝堵头	螺纹标准/压力等级缺失
