编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-01851	电动油脂泵	容量: 6L；出口数: 3出口；配置: 带时控器	润滑设备/油脂泵	台	电动油脂泵6L-3出口带时控器	电压/压力/品牌缺失
REVIEW-MAT-01852	泥浆泵活塞	适配型号: BW-250；部件: 活塞	设备备件/泥浆泵配件	只	泥浆泵活塞BW-250	材质/厂家缺失
REVIEW-MAT-01853	泥浆泵活塞	适配型号: BW-150；部件: 活塞	设备备件/泥浆泵配件	只	泥浆泵活塞BW-150	材质/厂家缺失
REVIEW-MAT-01854	电柜散热风机	用途: 电柜散热；类型: 风机	电气/配电柜散热	只	电柜散热风机	电压/尺寸/风量缺失
REVIEW-MAT-01855	水下连接器	环境: 水下；结构: 四电二光	电气/水下连接器	套	水下连接器四电二光	防水等级/接口/耐压深度缺失
REVIEW-MAT-01856	水下连接器堵头	适配: 水下连接器；类型: 堵头	电气/水下连接器	套	水下连接器堵头	适配型号/防水等级缺失
REVIEW-MAT-01857	双电源转换器	电压: 220V；极数: 2P；电流: 20A	电气/低压电器	只	双电源转换器220V-2P-20A	切换方式/型号缺失
REVIEW-MAT-01858	光纤交换机	端口: 二光四电	弱电安防/网络设备	台	光纤交换机二光四电	速率/品牌/供电方式缺失
REVIEW-MAT-01859	变焦摄像头	功能: 变焦	弱电安防/监控设备	个	变焦摄像头	品牌/分辨率/焦距缺失
REVIEW-MAT-01860	双电源转换器	电压: 24V	电气/低压电器	只	双电源转换器24V	极数/电流/型号缺失
REVIEW-MAT-01861	漏电保护器	品牌: 德力西；极数: 2P；额定电流: 20A	电气/低压电器	只	德力西漏保开关2P/20A	分断能力/漏电动作电流缺失
REVIEW-MAT-01862	棉口罩	材质: 棉；类型: 口罩	劳保耗材/呼吸防护	只	棉口罩	状态：可合并；与2747同类，层数/防护等级缺失
REVIEW-MAT-01863	护目镜	类型: 护目眼镜	劳保耗材/眼面防护	付	护目眼镜	状态：可合并；与2635同类，防护等级缺失
REVIEW-MAT-01864	焊工手套	用途: 焊工防护	劳保耗材/手套	付	焊工手套	材质/长度/耐温等级缺失
REVIEW-MAT-01865	金属电缆防水接头	材质: 金属；螺纹: M50*1.5；特性: 防水	电气/电缆接头	只	金属电缆防水接头M50*1.5	状态：可建档 | 可合并；防护等级/适配电缆外径缺失 | 与2969同类，防护等级缺失
REVIEW-MAT-01866	宝塔钻头开孔器	类型: 宝塔钻头/开孔器；范围: 4-52	工具/钻头	套	宝塔钻头开孔器4-52	材质/柄型缺失
REVIEW-MAT-01867	除锈剂	品牌: WD40；容量: 500mL	化工耗材/除锈润滑剂	瓶	WD40除锈剂500ML	状态：可建档 | 可合并；具体型号/SDS缺失 | 与2971同类，型号/SDS缺失
REVIEW-MAT-01868	碳弧气刨枪套装	类型: 碳弧气刨枪；线长: 2米	焊接工具/气刨工具	套	碳弧气刨枪带2米线	电流等级/接口缺失
REVIEW-MAT-01869	碳棒	直径: 8mm	焊接材料/气刨耗材	盒	碳棒8mm	长度/每盒数量缺失
REVIEW-MAT-01870	一次性雨衣	类型: 一次性雨衣	劳保耗材/雨具	套	一次性雨衣	尺码/厚度缺失
REVIEW-MAT-01871	金属漆	品牌: 立邦；包装: 18KG；用途: 金属	油漆涂料/金属漆	桶	立邦金属漆18KG	颜色/型号/SDS缺失
REVIEW-MAT-01872	羊毛漆刷	材质: 羊毛；规格: 大号；用途: 涂漆	涂装工具/刷子	支	羊毛漆刷大号	尺寸/等级缺失
REVIEW-MAT-01873	滚筒刷	原始: 滚桶刷；用途: 涂装	涂装工具/滚筒	只	滚桶刷	状态：可合并；疑似滚筒刷，尺寸缺失
REVIEW-MAT-01874	水封	型号: VS-75	密封件/水封	只	水封VS-75	适配设备/材质缺失
REVIEW-MAT-01875	高温润滑脂	类型: 高温黄油；包装: 16KG	油品/润滑脂	桶	高温黄油16KG	品牌/温度范围/型号缺失
REVIEW-MAT-01876	定制电箱	定制: 是；尺寸: 700*300*220	定制件/配电箱	只	定制电箱700*300*220	状态：可建档-定制件；材质/配置/图纸缺失
REVIEW-MAT-01877	不锈钢户外箱	材质: 不锈钢；环境: 户外；尺寸: 400*400*250	电气/配电箱壳体	只	不锈钢户外箱400*400*250	防护等级/板厚缺失
REVIEW-MAT-01878	不锈钢内外门电柜	材质: 不锈钢；结构: 内外门；尺寸: 1000*650*450	电气/配电柜壳体	只	不锈钢内外门电柜1000*650*450	防护等级/板厚/配置缺失
REVIEW-MAT-01879	不锈钢内外门电箱	材质: 不锈钢；结构: 内外门；尺寸: 350*250*200	电气/配电箱壳体	只	不锈钢内外门电箱350*250*200	防护等级/板厚/配置缺失
REVIEW-MAT-01880	除锈剂	品牌: 陶喜；容量: 450mL	化工耗材/除锈润滑剂	瓶	陶喜除锈剂450mL	型号/SDS缺失
REVIEW-MAT-01881	头盔式面罩	类型: 头盔式面罩	劳保耗材/眼面防护	只	头盔式面罩	防护等级/用途缺失
REVIEW-MAT-01882	油性记号笔	颜色: 红色；类型: 油性	办公用品/书写工具	支	红色油性记号笔	品牌/粗细缺失
REVIEW-MAT-01883	管钳	品牌: 世达；规格: 14寸	工具/手动工具	把	世达管钳14寸	型号缺失
REVIEW-MAT-01884	消防铲	类型: 消防铲	安全消防/消防工具	把	消防铲	材质/长度缺失
REVIEW-MAT-01885	指示灯	安装孔径: M22；颜色: 红+绿	电气/按钮指示元件	只	指示灯M22 红+绿	电压/触点形式缺失
REVIEW-MAT-01886	调速电位器	品牌: 施耐德；阻值: 5K；用途: 调速	电气/按钮指示元件	只	施耐德调速电位器5K	安装孔径/型号缺失
REVIEW-MAT-01887	按钮开关	颜色: 红+绿；类型: 按钮开关	电气/按钮指示元件	只	按钮开关红+绿	安装孔径/触点形式/电压缺失
REVIEW-MAT-01888	转换开关	类型: 按钮转换开关	电气/按钮指示元件	只	按钮转换开关	档位/触点形式/孔径缺失
REVIEW-MAT-01889	继电器套装	品牌: 施耐德；电压: 220V；电流: 5A；配置: 带底座	电气/继电器	套	施耐德继电器带底座220V/5A	触点组数/型号缺失
REVIEW-MAT-01890	黄油嘴	材质: 纯铜；规格: M10	设备润滑/黄油嘴	只	纯铜黄油咀M10	角度/螺纹牙距缺失
REVIEW-MAT-01891	刀片	品牌: 锐锋；类型: 刀片	工具/刀片	盒	锐锋刀片	规格/每盒数量缺失
REVIEW-MAT-01892	液态密封胶	品牌: 三和；类型: 液态密封胶	胶粘剂/密封胶	支	三和液态密封胶	容量/型号/耐温缺失
REVIEW-MAT-01893	带盖方桶	材质: 牛筋；容量: 6L；配置: 带盖	容器/塑料桶	个	牛筋带盖方桶6L	状态：可合并；与2600同类，尺寸/颜色缺失
REVIEW-MAT-01894	电位器	品牌: 天逸；型号: LA42D；阻值: 5K	电气/按钮指示元件	只	天逸电位器LA42D-5K	安装孔径/用途缺失
REVIEW-MAT-01895	老虎钳	品牌: 得力；类型: 老虎钳	工具/手动工具	把	得力老虎钳	规格/型号缺失
REVIEW-MAT-01896	尖嘴钳	品牌: 得力；类型: 尖嘴钳	工具/手动工具	把	得力尖嘴钳	规格/型号缺失
REVIEW-MAT-01897	一字螺丝刀	类型: 一字	工具/手动工具	把	一字螺丝刀	规格/杆长/品牌缺失
REVIEW-MAT-01898	十字螺丝刀	类型: 十字	工具/手动工具	把	十字螺丝刀	规格/杆长/品牌缺失
REVIEW-MAT-01899	管型接线端子	类型: 管型；适配线径: 2.5平方	电气/接线端子	包	管型接线端子2.5平方	每包数量/颜色/端头形式缺失
REVIEW-MAT-01900	垃圾袋	颜色: 黑色；尺寸: 1.2米*1.4米	行政后勤/清洁用品	条	黑色垃圾袋1.2米*1.4米	厚度/每包数量缺失
