编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-01551	PVC弯头	品牌: 公元；材质: PVC；规格: 315；角度: 90度	管件/PVC管件	只	公元PVC315/90度弯头	压力等级/连接方式缺失
REVIEW-MAT-01552	PVC胶水	品牌: 公元；包装: 1KG；用途: PVC粘接	胶粘剂/PVC胶水	瓶	公元胶水1KG	型号/适用材质缺失
REVIEW-MAT-01553	钻头	品牌: 博世；规格: M14*260	工具/钻头	支	博世钻头m14*260	M14是否直径Φ14需确认，柄型/材质缺失
REVIEW-MAT-01554	冲孔冲头	直径: Φ14；长度: 150	工具/冲头	支	冲孔冲Φ14*150	材质/适配冲孔机缺失
REVIEW-MAT-01555	冲孔冲头	直径: Φ16；长度: 150	工具/冲头	支	冲孔冲Φ16*150	材质/适配冲孔机缺失
REVIEW-MAT-01556	灭火器	灭火剂重量: 2KG	安全消防/灭火器	瓶	灭火器2KG | 灭火器2kg	状态：可建档 | 可合并；类型/介质/年检信息缺失 | 与2522同类，类型/年检信息缺失 | 与3473同类，类型/年检信息缺失
REVIEW-MAT-01557	三通	公称通径: DN50；类型: 三通	管件/金属管件	只	DN50三通	材质/连接方式/压力等级缺失
REVIEW-MAT-01558	三通	公称通径: DN65；类型: 三通	管件/金属管件	只	DN65三通	材质/连接方式/压力等级缺失
REVIEW-MAT-01559	带灯按钮开关	品牌: 施耐德；类型: 带灯按钮开关	电气/按钮开关	只	施耐德灯带按钮开关	电压/颜色/触点形式/型号缺失
REVIEW-MAT-01560	电流表	变比: 600/5A；类型: 电流表	仪表/电气仪表	只	电流表600/5A	表径/精度/安装方式缺失
REVIEW-MAT-01561	重型矿井卡箍	品牌: 迈克；规格: DN150；类型: 重型矿井卡箍	管夹/卡箍	只	迈克重型矿井卡箍DN150	材质/压力等级/密封圈规格缺失
REVIEW-MAT-01562	膨胀螺丝	规格: M12*100	紧固件/膨胀螺丝	支	膨胀螺丝M12*100	材质/表面处理缺失
REVIEW-MAT-01563	液压对丝接头	螺纹: M20*1.5；类型: 对丝	液压/高压管路	只	液压接头m20*1.5对丝	原始小写m保留，材质/压力等级缺失
REVIEW-MAT-01564	自喷漆	颜色: 绿色	油漆涂料/自喷漆	瓶	绿色自喷漆	品牌/容量/色号缺失
REVIEW-MAT-01565	三通	公称通径: DN40；类型: 三通	管件/金属管件	只	DN40三通	材质/连接方式/压力等级缺失
REVIEW-MAT-01566	冷暖空调	品牌: 美的；匹数: 大1.5匹；功能: 冷暖	行政后勤/空调设备	台	美的大1.5匹冷暖空调	型号/能效等级缺失
REVIEW-MAT-01567	自喷漆	颜色: 中黄	油漆涂料/自喷漆	瓶	中黄自喷漆	品牌/容量/色号缺失
REVIEW-MAT-01568	透明PC板	材质: PC；颜色: 透明；尺寸: 1m*1.5m；厚度: 3mm	塑料板材/PC板	块	透明PC板1m*1.5m*3mm	品牌/等级缺失
REVIEW-MAT-01569	封箱胶带	类型: 封箱带	包装材料/胶带	卷	封箱带	宽度/长度/颜色缺失
REVIEW-MAT-01570	记号笔	品牌: 得力；颜色: 黑色	办公用品/书写工具	支	得力黑色记号笔	型号/粗细缺失
REVIEW-MAT-01571	防锈漆	品牌: 立邦；颜色: 白色；包装: 18KG	油漆涂料/防锈漆	桶	立邦白色防锈漆18KG | 立邦白色防锈漆18kg	状态：可建档 | 可合并；型号/适用底材缺失 | 与2541同类，型号/SDS缺失
REVIEW-MAT-01572	稀释剂	品牌: 立邦；包装: 12KG	油漆涂料/稀释剂	桶	立邦稀释剂12KG	型号/适配漆种/SDS缺失
REVIEW-MAT-01573	带盖整理箱	尺寸: 800*800*600；配置: 带盖	行政后勤/收纳用品	只	整理箱带盖800*800*600	材质/容量缺失
REVIEW-MAT-01574	钻头	品牌: 博世；规格: M12*200	工具/钻头	支	博世钻头m12*200	M12是否直径Φ12需确认，柄型/材质缺失
REVIEW-MAT-01575	钻头	品牌: 博世；规格: M14*200	工具/钻头	支	博世钻头m14*200	M14是否直径Φ14需确认，柄型/材质缺失
REVIEW-MAT-01576	角钢	规格: 40*40	钢材/型钢	根	角铁40*40	厚度/长度/材质缺失
REVIEW-MAT-01577	胶管总成	螺纹/规格: 36*2；层数: 2层；长度: 2.5米	液压/高压管路	根	胶管36*2-2层-2.5米	压力等级/接头形式缺失
REVIEW-MAT-01578	胶管总成	螺纹/规格: 36*2；层数: 2层；长度: 10米	液压/高压管路	根	胶管36*2-2层-10米	压力等级/接头形式缺失
REVIEW-MAT-01579	胶管总成	螺纹/规格: 36*2；层数: 2层；长度: 11米	液压/高压管路	根	胶管36*2-2层-11米	压力等级/接头形式缺失
REVIEW-MAT-01580	胶管总成	螺纹/规格: 36*2；层数: 2层；长度: 15米	液压/高压管路	根	胶管36*2-2层-15米	压力等级/接头形式缺失
REVIEW-MAT-01581	重型管夹	规格: 36；类型: 重型管夹	管夹/管路固定件	只	重型管夹36	材质/安装孔距缺失
REVIEW-MAT-01582	重型六联管夹	联数: 6联；类型: 重型	管夹/管路固定件	组	重型6联管夹	规格/材质/安装孔距缺失
REVIEW-MAT-01583	直角接头加工件	加工: 是；规格: 36*3/36*2；类型: 直角接头	定制件/管路接头	只	加工直角接头36*3/36*2	状态：可合并；与2373同类，图纸/材质/压力等级缺失
REVIEW-MAT-01584	变径对丝接头	规格: 25*2/36*2；类型: 变径对丝	液压/高压管路	只	变径对丝25*2/36*2	材质/压力等级/螺纹标准缺失
REVIEW-MAT-01585	胶管总成	螺纹: M20*1.5；层数: 2层；长度: 1米	液压/高压管路	根	胶管M20*1.5-2层-1米	压力等级/接头形式缺失
REVIEW-MAT-01586	胶管总成	螺纹: M20*1.5；层数: 2层；长度: 0.5米	液压/高压管路	根	胶管M20*1.5-2层-0.5米	压力等级/接头形式缺失
REVIEW-MAT-01587	三通接头	螺纹: 20*1.5；类型: 三通	液压/高压管路	只	20*1.5三通	材质/压力等级缺失
REVIEW-MAT-01588	对丝接头	螺纹: 20*1.5；类型: 对丝	液压/高压管路	只	20*1.5对丝	状态：可合并；与2401同规格可能同类，材质/压力等级缺失
REVIEW-MAT-01589	不锈钢室外箱	材质: 不锈钢；安装环境: 室外；尺寸: 500*600*300	电气/配电箱壳体	只	不锈钢室外箱500*600*300	防护等级/板厚缺失
REVIEW-MAT-01590	滤芯	进口: 是；尺寸: Φ160*505	设备备件/过滤器滤芯	只	进口滤芯Φ160*505	过滤精度/材质/适配型号缺失
REVIEW-MAT-01591	搅拌机叶轮	材质: 不锈钢；适配型号: QJB-960S；部件: 叶轮	设备备件/搅拌机配件	只	不锈钢搅拌机叶轮QJB-960S	叶轮直径/厂家缺失
REVIEW-MAT-01592	AB胶	品牌: 三和；类型: AB胶	胶粘剂/结构胶	支	三和AB胶	容量/型号/颜色缺失
REVIEW-MAT-01593	五孔插座	品牌: 德力西；类型: 五孔插座	电气/插座	只	德力西五孔插座	额定电流/安装方式缺失
REVIEW-MAT-01594	自攻螺丝	规格: M4*10	紧固件/自攻螺丝	盒	M4*10自攻丝	每盒数量/材质/头型缺失
REVIEW-MAT-01595	螺丝套件	规格: M8*20；类型: 螺丝	紧固件/螺丝套件	套	M8*20螺丝	套包含内容/材质/强度等级缺失
REVIEW-MAT-01596	导轨式五孔插座	品牌: 德力西；安装: 导轨式；类型: 五孔插座	电气/插座	只	德力西带导轨五孔插座	额定电流/型号缺失
REVIEW-MAT-01597	不锈钢支架水桶	材质: 304；配置: 支架；容量: 1T	容器/水桶水箱	只	304支架水桶1T	尺寸/厚度/接口缺失
REVIEW-MAT-01598	污水井盖	用途: 污水；规格: 580	建筑材料/井盖	个	污水井盖580	材质/承重等级/外径内径缺失
REVIEW-MAT-01599	太阳能4G监控摄像头	通信: 4G；供电: 太阳能；清晰度: 4K；存储: 30天循环	弱电安防/监控设备	套	4G太阳能探头4K30天循环	品牌/存储容量/是否含流量卡缺失
REVIEW-MAT-01600	自喷漆	品牌: 三和；颜色: 灰色	油漆涂料/自喷漆	瓶	三和灰色自喷漆	容量/色号缺失
