编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-00851	定制接头	加工: 是；规格: 50*150	定制件/管路接头	个	加工50*150接头	状态：可建档-定制件；材质/连接方式/图纸缺失
REVIEW-MAT-00852	液压快速接头	型号: GR6-25S；类型: 快速接头	液压/高压管路	套	GR6-25S液压快速接头	压力等级/螺纹接口缺失
REVIEW-MAT-00853	减速带	尺寸: 60cm*55；款式: 大二线	安全防护/交通设施	根	60cm*55减速带大二线	材质/厚度/颜色缺失
REVIEW-MAT-00854	高压接头	型号/规格: 36/25S	液压/高压管路	个	36/25s高压接头	螺纹/压力等级/连接形式缺失
REVIEW-MAT-00855	高压接头	型号/规格: 33/25S	液压/高压管路	个	33/25s高压接头	螺纹/压力等级/连接形式缺失
REVIEW-MAT-00856	高压接头	型号/规格: 36/28S	液压/高压管路	个	36/28s高压接头	螺纹/压力等级/连接形式缺失
REVIEW-MAT-00857	高压弯头	型号/规格: 36*2S；类型: 弯头	液压/高压管路	个	36*2s高压弯头	角度/螺纹/压力等级缺失
REVIEW-MAT-00858	法兰电动蝶阀	公称直径: DN50；连接: 法兰；驱动: 电动	阀门/电动阀门	个	50法兰电动蝶阀	电压/压力等级/材质缺失
REVIEW-MAT-00859	法兰电动蝶阀	公称直径: DN80；连接: 法兰；驱动: 电动	阀门/电动阀门	个	80法兰电动蝶阀	电压/压力等级/材质缺失
REVIEW-MAT-00860	波纹管	公称直径: 20	管材/波纹管	米	20波纹管	状态：可建档 | 可合并；材质/用途/耐压缺失 | 与1526同类，材质/用途缺失
REVIEW-MAT-00861	防锈润滑剂	品牌/型号: WD-40；功能: 除锈润滑	化工耗材/润滑剂	支	WD40除锈润滑剂	状态：可合并；与WD-40同类，容量缺失
REVIEW-MAT-00862	管钳	长度: 300mm	工具/手动工具	个	300管钳	品牌/材质缺失
REVIEW-MAT-00863	管钳	长度: 350mm	工具/手动工具	个	350管钳	品牌/材质缺失
REVIEW-MAT-00864	管钳	长度: 400mm	工具/手动工具	个	400管钳	品牌/材质缺失
REVIEW-MAT-00865	内六角扳手套装	品牌: 世达；类型: 六角扳手套装	工具/手动工具	套	世达六角扳手	规格范围/型号缺失
REVIEW-MAT-00866	气动电磁阀	类型: 电磁阀；用途: 气动	气动元件/阀	个	气动电磁阀	电压/口径/位通数/型号缺失
REVIEW-MAT-00867	气源处理双联件	型号系列: AFC；类型: 双联件	气动元件/气源处理	个	AFC双联件	口径/规格型号缺失
REVIEW-MAT-00868	电线	品牌: 起帆；截面积: 16mm2	电气材料/电线电缆	米	16㎡起帆电线 | 起帆16平方电线	状态：可建档 | 可合并；芯数/颜色/导体材质缺失 | 与1535同类，芯数/颜色缺失
REVIEW-MAT-00869	花纹钢板	厚度: 5mm；表面: 花纹	钢材/板材	平方	5mm花纹钢板	状态：可建档 | 可合并；材质/宽长缺失 | 与1538同类，材质/宽长缺失
REVIEW-MAT-00870	高强度螺丝	规格: M5*95；强度等级: 12.9	紧固件/螺丝	套	M5*95 12.9螺丝	头型/材质/是否含螺母垫片需确认
REVIEW-MAT-00871	开口/梅花扳手	规格: 42号	工具/手动工具	支	42号扳手	类型开口/梅花/两用需确认
