编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-01051	铝合金梯子	长度: 4米；型式: B型；材质: 铝合金	工具/登高工具	个	4米B型铝合金梯子	承重/节数缺失
REVIEW-MAT-01052	帆布手套	材质: 帆布；结构: 双层；特征: 加厚	劳保耗材/手套	双	加厚双层帆布手套	状态：可合并；与1754同类，尺码缺失
REVIEW-MAT-01053	洗洁精	包装: 4kg	清洁耗材/清洗剂	桶	洗洁精4KG	品牌/浓度缺失
REVIEW-MAT-01054	太阳能爆闪灯	供电: 太阳能；类型: 爆闪灯	安全防护/警示灯	个	太阳能爆闪灯	功率/颜色/安装方式缺失
REVIEW-MAT-01055	扁平吊装带	额定载荷: 2T；长度: 2米	吊装索具/吊带	条	2T*2米吊带	材质/安全系数缺失
REVIEW-MAT-01056	断丝取出器	类型: 断丝取出器	工具/拆卸工具	合	断丝取出器	单位疑似盒，规格范围缺失
REVIEW-MAT-01057	垃圾桶	规格: 大	行政后勤/清洁用品	个	大垃圾桶	状态：可合并；容量/材质缺失
REVIEW-MAT-01058	垃圾袋	类型: 垃圾袋	行政后勤/清洁用品	个	垃圾袋子	状态：可合并；规格/每包数量缺失
REVIEW-MAT-01059	扁平吊装带	额定载荷: 5T；长度: 6米；颜色: 彩色	吊装索具/吊带	付	彩色吊带5*6米	状态：可合并；与1413同类，材质/安全系数缺失
REVIEW-MAT-01060	槽钢	规格: 10#	钢材/型材	米	10号槽钢	状态：可合并；与1495同类，材质/执行标准缺失
REVIEW-MAT-01061	液压扳手套装	品牌: 恩耐克；类型: 液压扳手套装	工具/液压工具	套	恩耐克液压扳手套装	型号/扭矩范围/配置缺失
REVIEW-MAT-01062	油管快速接头	规格: 52；类型: 快速接头	液压/高压管路	套	52油管快速接头	压力等级/接口形式缺失
REVIEW-MAT-01063	油管快速接头	规格: 45；类型: 快速接头	液压/高压管路	套	45油管快速接头	压力等级/接口形式缺失
REVIEW-MAT-01064	油管快速接头	规格: 36；类型: 快速接头	液压/高压管路	套	36油管快速接头	压力等级/接口形式缺失
REVIEW-MAT-01065	油管快速接头	规格: 30；类型: 快速接头	液压/高压管路	套	30油管快速接头	压力等级/接口形式缺失
REVIEW-MAT-01066	卸扣	额定载荷: 3.25T	吊装索具/卸扣	个	3.25T卸扣	型式/销轴形式/标准缺失
REVIEW-MAT-01067	U型卸扣	额定载荷: 9.5T；型式: U型	吊装索具/卸扣	个	9.5TU型卸扣	销轴形式/标准缺失
REVIEW-MAT-01068	钢板起重钳	额定载荷: 2T	吊装索具/钢板夹	个	2T钢板夹	横吊/竖吊类型、开口范围缺失
REVIEW-MAT-01069	钢板起重钳	额定载荷: 3.2T	吊装索具/钢板夹	个	3.2T钢板夹	横吊/竖吊类型、开口范围缺失
REVIEW-MAT-01070	定制集装袋	定制: 是；尺寸: 4*4米；载重: 4T；结构: 双层	定制件/包装袋	个	定做4*4米*4吨双层吨袋	状态：可建档-定制件；高度/吊带形式/材质克重缺失
REVIEW-MAT-01071	螺丝	规格: M48*120	紧固件/螺丝	个	M48*120螺丝	头型/强度等级/材质缺失
REVIEW-MAT-01072	镀锌角钢	规格: 4*4；表面: 镀锌	钢材/型材	根	4*4镀锌角钢	厚度/长度/材质缺失
REVIEW-MAT-01073	定制钢板	加工: 是；尺寸: 400*400*40mm；材质: 钢板	定制件/金属加工件	块	加工钢板400*400*40	状态：可建档-定制件；材质牌号/图纸/孔位缺失
REVIEW-MAT-01074	电箱围栏	定制: 是；用途: 二级电箱	定制件/安全围栏	套	定做二级电箱围栏	状态：可建档-定制件；尺寸/材质/颜色/图纸缺失
REVIEW-MAT-01075	加长弯头	定制: 是；规格: 168；特征: 加长	定制件/管路接头	个	定做加长168弯头	状态：可合并；与1409同类但无卡槽，角度/材质缺失
REVIEW-MAT-01076	加长弯头	定制: 是；规格: 219；特征: 加长	定制件/管路接头	个	定做加长219弯头	状态：可合并；与1410同类但无卡槽，角度/材质缺失
REVIEW-MAT-01077	加长弯头	定制: 是；规格: 60.5；特征: 加长	定制件/管路接头	个	定做60.5加长弯头	状态：可建档-定制件；角度/材质/图纸缺失
