编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-01651	拖线板	品牌: 公牛；线长: 6米	电气/插排	只	公牛拖线板6米	插位数/额定电流缺失
REVIEW-MAT-01652	螺纹灯座	类型: 螺纹灯座	电气/照明配件	只	螺纹灯座	规格E27/E40等缺失
REVIEW-MAT-01653	百叶轮	类型: 百叶轮	磨具磨料/百叶轮	片	百叶轮	外径/孔径/粒度缺失
REVIEW-MAT-01654	彩条布	宽度: 4米	覆盖材料/彩条布	㎡	彩条布4米	长度/克重/材质缺失
REVIEW-MAT-01655	油布	尺寸: 4米*6米	覆盖材料/油布	㎡	油布4米*6米	状态：可建档 | 可合并；材质/克重/防水等级缺失 | 与2657同类，材质/克重缺失
REVIEW-MAT-01656	十字螺丝刀	品牌: 世达；类型: 十字	工具/手动工具	把	世达螺丝刀十字	规格/杆长缺失
REVIEW-MAT-01657	铁丝	规格: 14#；材质: 铁	五金耗材/金属丝	KG	铁丝14#	状态：可建档 | 可合并；表面处理/线径换算缺失 | 与2659同类，表面处理缺失
REVIEW-MAT-01658	重油污除污剂	用途: 重油污；包装: 30KG	清洁化学品/除污剂	桶	重油污除污剂30KG	状态：可建档 | 可合并；品牌/SDS/适用材质缺失 | 与2660同类，品牌/SDS缺失
REVIEW-MAT-01659	耦合剂	容量: 100mL	检测耗材/耦合剂	支	耦合剂100mL	用途/品牌/型号缺失
REVIEW-MAT-01660	安全绳	直径: Φ14	安全防护/安全绳	米	安全绳Φ14	状态：可建档 | 可合并；材质/认证/破断拉力缺失 | 与2662同类，材质/认证缺失
REVIEW-MAT-01661	药芯焊丝	品牌: 大西洋；类型: 药芯；直径: 1.2	焊接材料/焊丝	盘	大西洋药芯焊丝1.2	状态：可建档 | 可合并；牌号/重量/适用材质缺失 | 与2663同类，牌号/重量缺失
REVIEW-MAT-01662	吹尘枪	品牌: 世达；类型: 吹尘枪	工具/气动工具	把	世达吹尘枪	接口规格/型号缺失
REVIEW-MAT-01663	内六角螺栓	强度等级: 10.9；规格: M12*100；头型: 内六角	紧固件/螺栓	只	10.9级M12*100内六角螺栓	材质/表面处理缺失
REVIEW-MAT-01664	劳动车	特征: 加厚；类型: 劳动车	物流搬运/手推车	辆	加厚劳动车	载重/轮型/尺寸缺失
REVIEW-MAT-01665	老虎钳	品牌: 世达；类型: 老虎钳	工具/手动工具	把	世达老虎钳	规格/型号缺失
REVIEW-MAT-01666	两用扳手	品牌: 世达；规格: M16；类型: 梅花开口两用	工具/手动工具	把	世达M16梅花开口两用扳手	长度/型号缺失
REVIEW-MAT-01667	不锈钢螺母	材质: 304；规格: M6	紧固件/螺母	只	304螺帽M6	标准/牙距缺失
REVIEW-MAT-01668	不锈钢加厚垫片	材质: 304；规格: M6；特征: 加厚	紧固件/垫圈	只	304加厚垫片M6	外径/厚度/标准缺失
REVIEW-MAT-01669	角钢	规格: 50*50	钢材/型钢	米	角钢50*50 | 角铁50*50	状态：可建档 | 可合并；厚度/材质/标准缺失 | 与2672同类，厚度/材质缺失
REVIEW-MAT-01670	洗洁精	包装: 3KG	清洁耗材/清洁剂	桶	洗洁精3KG	状态：可建档 | 可合并；品牌/用途缺失 | 与2673同类，品牌缺失
REVIEW-MAT-01671	油漆滚筒	规格: 大号	涂装工具/滚筒	只	滚筒大号	状态：可合并；与2614同类，是否油漆滚筒需确认
REVIEW-MAT-01672	油漆滚筒	规格: 小号	涂装工具/滚筒	只	滚筒小号	状态：可合并；与2629同类，是否油漆滚筒需确认
REVIEW-MAT-01673	羊毛刷	规格: 4寸；材质: 羊毛	涂装工具/刷子	只	羊毛刷4寸	单位可用把，柄型/等级缺失
REVIEW-MAT-01674	羊毛刷	规格: 2.5寸；材质: 羊毛	涂装工具/刷子	只	羊毛刷2.5寸	单位可用把，柄型/等级缺失
REVIEW-MAT-01675	钢刷	材质: 钢丝；类型: 钢刷	涂装工具/刷子	只	钢刷	尺寸/形制缺失
REVIEW-MAT-01676	床上四件套	材质: 全棉；套件: 四件套	行政后勤/生活用品	套	全棉四件套	状态：可建档 | 可合并；尺寸/用途缺失 | 与2683同类，尺寸缺失
REVIEW-MAT-01677	蚕丝被	材质: 蚕丝；类型: 被子	行政后勤/生活用品	件	蚕丝被	尺寸/重量缺失
REVIEW-MAT-01678	床垫	类型: 床垫	行政后勤/生活用品	床	床垫	尺寸/材质缺失
