编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-00401	滚筒刷	规格: 150	工具器具/涂装工具	支	150滚筒	单位是mm？材质缺失
REVIEW-MAT-00402	滚筒刷	规格: 250	工具器具/涂装工具	支	250滚筒	单位是mm？材质缺失
REVIEW-MAT-00403	伸缩加长杆	类型: 伸缩加长杆	工具器具/涂装工具	支	伸缩加长杆	状态：可建档-低精度；长度范围/接口缺失
REVIEW-MAT-00404	六角螺丝	规格: 10*40；类型: 六角	五金备件/紧固件	套	10*40六角螺丝	是否M10/强度等级缺失
REVIEW-MAT-00405	美纹纸	颜色: 黄色；宽度: 5cm	化工耗材/胶粘带	米	黄色美纹纸5CM | 黄色美纹纸5cm	状态：可建档 | 可合并；长度/品牌缺失 | 与第700行同物料，长度/品牌缺失 | 与第711行同物料，大小写需统一
REVIEW-MAT-00406	膨胀螺丝	规格: 10*70；别名: 爆炸螺丝	五金备件/紧固件	个	10*70爆炸螺丝	材质/表面处理缺失
REVIEW-MAT-00407	外墙漆	品牌: 立邦；用途: 外墙	化工耗材/涂料	桶	立邦外墙漆	颜色/包装重量/型号缺失
REVIEW-MAT-00408	方钢	规格: 30*30*3	原材料/型钢	米	30*30*3方钢	材质牌号/标准缺失
REVIEW-MAT-00409	地坪漆底漆	品牌/系列: 好地坪漆；类型: 底漆；包装: 20KG	化工耗材/涂料	桶	好地坪漆底漆20KG	状态：可合并；与第693行同物料，颜色/体系需确认
REVIEW-MAT-00410	注浆机活塞	定制: 是；适用设备: 注浆机；类型: 活塞	定制件/设备备件	套	定做注浆机活塞	状态：可建档-定制件；图纸/材质/密封结构缺失
REVIEW-MAT-00411	自喷漆	品牌: 三和；颜色: 翠绿色；类型: 自喷漆	化工耗材/涂料	支	三和喷漆翠绿色	容量缺失；单位瓶/支需统一
REVIEW-MAT-00412	自喷漆	颜色: 中黄；类型: 自喷漆	化工耗材/涂料	支	中黄色喷漆	品牌/容量缺失
REVIEW-MAT-00413	金刚磨片	类型: 金刚磨片	工具器具/磨切耗材	个	金刚磨片	状态：可建档-低精度；规格/粒度/用途缺失
REVIEW-MAT-00414	UPVC给水管	品牌: 公元；规格: 32；材质: UPVC；用途: 给水	工程材料/UPVC管件	米	公元32UPVC给水管	压力等级缺失
REVIEW-MAT-00415	UPVC三通	品牌: 公元；规格: 32；类型: 三通	工程材料/UPVC管件	个	公元三通32	材质默认UPVC需确认
REVIEW-MAT-00416	UPVC直通	规格: 32；类型: 直通	工程材料/UPVC管件	个	32直通	状态：可建档-低精度；材质/品牌需确认
REVIEW-MAT-00417	UPVC斜三通	规格: 32；类型: 斜三通	工程材料/UPVC管件	个	32斜三通	状态：可建档-低精度；材质/品牌需确认
REVIEW-MAT-00418	管卡	规格: 32；类型: 管卡	工程材料/管道紧固	个	32管卡	状态：可建档-低精度；材质/适配管材缺失
REVIEW-MAT-00419	异径接头	规格: 32*25；类型: 大小头/异径	工程材料/UPVC管件	个	32*25大小头	材质/品牌需确认
REVIEW-MAT-00420	UPVC弯头	规格: 32；类型: 弯头	工程材料/UPVC管件	个	32弯头	状态：可建档-低精度；角度/材质/品牌需确认
REVIEW-MAT-00421	UPVC45度弯头	规格: 32；角度: 45度	工程材料/UPVC管件	个	32*45弯头	材质/品牌需确认
REVIEW-MAT-00422	立式排污泵	功率: 2.2kW；安装: 立式；类型: 排污泵	设备/泵类设备	台	2.2千瓦立式排污泵	流量/扬程/电压缺失
REVIEW-MAT-00423	PPR阀门	品牌: 公元；规格: 90；材质: PPR	工程材料/PPR管件	个	公元90PPR阀门	压力等级缺失
REVIEW-MAT-00424	编织袋	类型: 编织袋	包装材料/编织袋	个	编织袋	状态：可合并；与前文同类，规格/承重缺失 | 与第737行同物料，规格缺失 | 与第737行同类，规格缺失 | 与第952行同类，规格缺失
REVIEW-MAT-00425	高帮劳保鞋	特征: 进口、高帮	劳保耗材/足部防护	双	进口高帮劳保鞋	尺码/防护标准缺失
REVIEW-MAT-00426	床垫	类型: 床垫	行政后勤/生活用品	个	床垫	状态：可建档-低精度；尺寸/材质缺失
REVIEW-MAT-00427	被子	类型: 被子	行政后勤/生活用品	个	被子	状态：可建档-低精度；尺寸/重量缺失
REVIEW-MAT-00428	枕头	类型: 枕头	行政后勤/生活用品	个	枕头	状态：可建档-低精度；规格/材质缺失
REVIEW-MAT-00429	床品四件套	类型: 四件套	行政后勤/生活用品	套	四件套	状态：可建档-低精度；尺寸/材质缺失
REVIEW-MAT-00430	环卫夹	类型: 环卫夹	劳保耗材/清洁工具	个	环卫夹	状态：可建档-低精度；规格/长度缺失
REVIEW-MAT-00431	镀锌堵头	规格: 25；表面: 镀锌；类型: 堵头	工程材料/管件	个	25镀锌堵头	材质/螺纹缺失
REVIEW-MAT-00432	冲击钻头	品牌: 方大同；规格: 18*800	工具器具/工具配件	支	方大同18*800冲击钻头	柄型缺失
