编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-00651	螺丝	规格: 12*40	五金备件/紧固件	套	12*40螺丝	状态：可建档 | 可合并；是否M12/材质缺失 | 与第1188行同物料，是否M12需确认 | 与第1362行同物料
REVIEW-MAT-00652	无缝管	规格: 68*6	原材料/钢管	米	68*6无缝管	材质/标准缺失
REVIEW-MAT-00653	纱布	包装: 大包	劳保耗材/急救用品	包	纱布大包	尺寸/卷数缺失
REVIEW-MAT-00654	雨衣	特征: 加厚	劳保耗材/雨具	套	加厚雨衣	材质/尺码缺失
REVIEW-MAT-00655	电池	规格: 7号	电气材料/电池	个	7号电池	品牌/类型缺失
REVIEW-MAT-00656	漏电断路器	品牌: 施耐德；极数: 2P；电流: 63A	电气材料/低压电器	个	施耐德2P63A漏保 | 施耐德2P63a漏电保护开关	状态：可建档 | 可合并；型号/漏电动作电流缺失 | 与第1195行同物料，型号缺失 | 与第1224行同物料，型号缺失
REVIEW-MAT-00657	钢丝绳铝扣	材质: 铝；用途: 钢丝绳扣压	吊装索具/钢丝绳配件	个	钢丝绳铝扣	适配钢丝绳直径缺失
REVIEW-MAT-00658	角钢	规格: 40*40*5；标准: 国标	原材料/型钢	米	40*40*5国标角铁	状态：可建档 | 可合并；材质牌号缺失 | 与第1201行同物料，材质牌号缺失
REVIEW-MAT-00659	花纹钢板	厚度: 3.0；类型: 花纹钢板	原材料/钢板	平方	3.0花纹钢板	状态：可合并；与第573行同类，材质缺失
REVIEW-MAT-00660	电线	品牌: 起帆；截面积: 1.5平方	电气材料/电线电缆	米	起帆1.5平方电线	线型/颜色缺失
REVIEW-MAT-00661	除甲醛机	用途: 办公室；功能: 除甲醛	行政后勤/办公设备	个	办公室除甲醛机	型号/适用面积缺失
REVIEW-MAT-00662	焊接异径接头	规格: 159*89；连接: 焊接；类型: 大小头	工程材料/管件	个	焊接159*89大小头	材质/壁厚缺失
REVIEW-MAT-00663	钢管抱箍	加工: 是；规格: 159；适用: 钢管	定制件/管路接头	个	159加工钢管抱箍	状态：可建档-定制件；图纸/材质/厚度缺失
REVIEW-MAT-00664	钢管抱箍	加工: 是；规格: 89；适用: 钢管	定制件/管路接头	个	加工89钢管抱箍	状态：可建档-定制件；图纸/材质/厚度缺失
REVIEW-MAT-00665	带牙钢管加工件	加工: 是；规格: 89；工序: 带牙	定制件/管路接头	个	加工89钢管带牙	状态：可建档-定制件；牙型/长度/图纸缺失
REVIEW-MAT-00666	不锈钢球阀	品牌: 埃美柯；规格: 80；材质: 不锈钢；特征: 加厚	工程材料/阀门	个	埃美柯80加厚不锈钢球阀	压力等级/连接形式缺失
REVIEW-MAT-00667	电焊帽	品质: 好；用途: 电焊	劳保耗材/眼面防护	个	好电焊帽	状态：可建档-低精度；防护等级/型号缺失
