编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-01901	吊钩保险扣	适配: 行车吊钩；额定载荷: 20T；部件: 保险扣	吊装索具/吊钩配件	个	行车吊钩保险扣20T	适配吊钩型号/材质缺失
REVIEW-MAT-01902	吊钩保险扣	适配: 行车吊钩；额定载荷: 16T；部件: 保险扣	吊装索具/吊钩配件	个	行车吊钩保险扣16T	适配吊钩型号/材质缺失
REVIEW-MAT-01903	不锈钢单向阀	材质: 不锈钢；规格: 1寸；类型: 单向阀	阀门/单向阀	只	不锈钢单向阀1寸	状态：可建档 | 可合并；压力等级/连接形式缺失 | 与3023同类，压力等级/连接形式缺失
REVIEW-MAT-01904	阻燃挤塑板	特性: 阻燃；尺寸: 2.2m*0.6m*0.1m；数量描述: 116块	保温材料/挤塑板	平方	阻燃挤塑板2.2m*0.6m*0.1m*116块	阻燃等级/密度缺失
REVIEW-MAT-01905	阻燃挤塑板	特性: 阻燃；尺寸: 2.2m*0.6m*0.05m；数量描述: 64块	保温材料/挤塑板	平方	阻燃挤塑板2.2m*0.6m*0.05m*64块	阻燃等级/密度缺失
REVIEW-MAT-01906	明装开关底盒	品牌: 公牛；安装: 明装；部件: 底盒底座	电气/开关插座辅材	套	公牛明装开关底盒底座	规格/孔位缺失
REVIEW-MAT-01907	透明硅晶板	颜色: 透明；尺寸: 0.8m*0.45m*0.05m	板材/硅晶板	块	透明硅晶板0.8m*0.45m*0.05m	材质等级/用途缺失
REVIEW-MAT-01908	墙纸	颜色: 白色；尺寸: 3m*0.325m	建筑装饰材料/墙纸	块	白色墙纸3m*0.325m	材质/胶面/单位是否卷需确认
REVIEW-MAT-01909	多层实木板	材质: 多层实木；尺寸: 2.44m*1.22m*0.018m	木材板材/实木板	张	多层实木板2.44m*1.22m*0.018m	等级/环保等级缺失
REVIEW-MAT-01910	油漆滚筒	用途: 油漆	涂装工具/滚筒	包	油漆滚筒	状态：可合并；与2614同类，每包数量/尺寸缺失
REVIEW-MAT-01911	滚筒柄	部件: 滚筒柄	涂装工具/滚筒配件	把	滚筒柄	适配滚筒宽度/长度缺失
REVIEW-MAT-01912	不锈钢钻头	用途/材质: 不锈钢；直径: 3.2mm	工具/钻头	支	不锈钢钻头3.2mm	材质/柄型缺失
REVIEW-MAT-01913	镀锌板剪刀	材质: 合金钢；用途: 镀锌板；规格: 20寸	工具/剪切工具	把	合金钢镀锌板剪刀20寸	剪切厚度/品牌缺失
REVIEW-MAT-01914	铣刀钻头	用途/材质: 不锈钢；直径: 4mm	工具/钻铣刀具	支	不锈钢铣刀钻头4mm	刀具类型/柄径缺失
REVIEW-MAT-01915	铣刀钻头	用途/材质: 不锈钢；直径: 10mm	工具/钻铣刀具	支	不锈钢铣刀钻头10mm	刀具类型/柄径缺失
REVIEW-MAT-01916	管型接线端子	类型: 管型；适配线径: 4平方	电气/接线端子	包	管型接线端子4平方	每包数量/颜色/端头形式缺失
REVIEW-MAT-01917	切割片	直径: Φ355	磨具磨料/切割片	片	切割片Φ355	状态：可建档 | 可合并；厚度/孔径/材质缺失 | 与3045同类，厚度/孔径缺失
REVIEW-MAT-01918	钢丝刷	柄材质: 铁柄；类型: 钢丝刷	涂装工具/刷子	个	铁柄钢丝刷	尺寸/形制缺失
REVIEW-MAT-01919	不锈钢钻头	用途/材质: 不锈钢；直径: 6mm	工具/钻头	支	不锈钢钻头6mm	材质/柄型缺失
REVIEW-MAT-01920	不锈钢钻头	用途/材质: 不锈钢；直径: 4mm	工具/钻头	支	不锈钢钻头4mm	材质/柄型缺失
REVIEW-MAT-01921	电钻夹头钥匙	适配: 电钻夹头；部件: 钥匙	电动工具/电钻配件	把	电钻夹头钥匙	适配夹头规格缺失
REVIEW-MAT-01922	防水乳胶漆	品牌: 立邦；特性: 防水；包装: 18KG	油漆涂料/乳胶漆	桶	立邦防水乳胶漆18KG	状态：可建档 | 可合并；颜色/型号/SDS缺失 | 与3051同类，颜色/型号缺失
REVIEW-MAT-01923	四氟垫片	加工: 是；材质: 四氟；规格: Φ450*440*2	定制件/密封垫片	件	加工四氟垫片Φ450*440*2	状态：可建档-定制件；内外径含义/图纸缺失
REVIEW-MAT-01924	防水乳胶漆	品牌: 立邦；颜色: 白色；特性: 防水；包装: 18KG	油漆涂料/乳胶漆	桶	立邦白色防水乳胶漆18KG	型号/SDS缺失
REVIEW-MAT-01925	油漆滚筒	规格: 大号	涂装工具/滚筒	个	大号滚筒 | 大滚筒	状态：可合并；与2614同类，是否油漆滚筒需确认 | 与2614同类，尺寸/毛长缺失
REVIEW-MAT-01926	油漆滚筒	规格: 中号	涂装工具/滚筒	个	中号滚筒	尺寸/毛长缺失
REVIEW-MAT-01927	一字螺丝刀	品牌: 得力；类型: 一字	工具/手动工具	把	得力一字螺丝刀	规格/杆长缺失
REVIEW-MAT-01928	UPVC饮水管	品牌: 公元；材质: UPVC；用途: 饮水；直径: Φ25	管材/UPVC给水管	米	公元UPVCΦ25饮水管	给水标准/压力等级/壁厚缺失
REVIEW-MAT-01929	UPVC Y型三通	品牌: 公元；材质: UPVC；直径: Φ25；类型: Y型三通	管件/UPVC给水管件	只	公元UPVCΦ25Y型三通	给水标准/压力等级缺失
REVIEW-MAT-01930	UPVC三通	品牌: 公元；材质: UPVC；直径: Φ25；类型: 三通	管件/UPVC给水管件	只	公元UPVCΦ25三通	给水标准/压力等级缺失
REVIEW-MAT-01931	UPVC弯头	品牌: 公元；材质: UPVC；直径: Φ25；角度: 90度	管件/UPVC给水管件	只	公元UPVCΦ25弯头90度	给水标准/压力等级缺失
REVIEW-MAT-01932	UPVC弯头	品牌: 公元；材质: UPVC；直径: Φ25；角度: 45度	管件/UPVC给水管件	只	公元UPVCΦ25弯头45度	给水标准/压力等级缺失
REVIEW-MAT-01933	UPVC直接	品牌: 公元；材质: UPVC；直径: Φ25；类型: 直接	管件/UPVC给水管件	只	公元UPVCΦ25直接头	给水标准/压力等级缺失
REVIEW-MAT-01934	不锈钢合页	材质: 不锈钢；类型: 合页	五金/门窗五金	付	不锈钢合页	尺寸/厚度缺失
REVIEW-MAT-01935	带刹车万向脚轮	类型: 万向轮；配置: 带刹车	物流搬运/脚轮	只	万向轮带刹车	尺寸/载重缺失
REVIEW-MAT-01936	不锈钢门插销	材质: 不锈钢；用途: 门；类型: 插销	五金/门窗五金	套	不锈钢门插销	尺寸/孔距缺失
REVIEW-MAT-01937	不锈钢锁扣	材质: 不锈钢；用途: 外门；类型: 锁扣	五金/锁具配件	套	不锈钢外门锁扣	状态：可合并；与2905同类，尺寸/孔距缺失
REVIEW-MAT-01938	焊条	品牌: 大西洋；牌号: 422；直径: 2.5	焊接材料/焊条	箱	大西洋422型2.5焊条	每箱重量/执行标准缺失
REVIEW-MAT-01939	焊条	品牌: 大西洋；牌号: 422；直径: 3.2	焊接材料/焊条	箱	大西洋422型3.2焊条	每箱重量/执行标准缺失
REVIEW-MAT-01940	时间继电器	品牌: 施耐德；类型: 多功能时间继电器	电气/继电器	只	施耐德多功能时间继电器	电压/型号/时间范围缺失
REVIEW-MAT-01941	一次性雨衣	特征: 加厚；类型: 一次性雨衣	劳保耗材/雨具	套	加厚一次性雨衣	状态：可合并；与2975同类，尺码/厚度缺失
REVIEW-MAT-01942	电箱刀闸推拉杆	适配: 1级电箱刀闸；部件: 推拉杆	电气/配电箱配件	只	1级电箱刀闸推拉杆	尺寸/适配刀闸型号缺失
