编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-00551	铁丝	规格: 14号	五金备件/金属丝材	公斤	14号铁丝	状态：可合并；与第894行同物料，单位KG/公斤需统一
REVIEW-MAT-00552	马路切割片	规格: 400；用途: 马路切割	工具器具/磨切耗材	块	400马路切片	厚度/孔径缺失
REVIEW-MAT-00553	塞尺	材质: 铜	工具器具/测量工具	个	铜塞尺	规格范围缺失
REVIEW-MAT-00554	不锈钢球阀	规格: 25；材质: 不锈钢；类型: 球阀	工程材料/阀门	个	25不锈钢球阀	压力等级/连接形式缺失
REVIEW-MAT-00555	电源线	长度: 2米	电气材料/电线电缆	条	2米电源线	插头类型/线径缺失
REVIEW-MAT-00556	塑料扫把	材质: 塑料	劳保耗材/清洁工具	把	塑料扫把	
REVIEW-MAT-00557	路由器	品牌: 华为；速率: 1000M	电气材料/网络设备	套	1000M华为路由器	型号/端口数缺失
REVIEW-MAT-00558	电视支架	适配尺寸: 70寸	行政后勤/办公用品	个	70寸电视支架	安装方式/承重缺失
REVIEW-MAT-00559	变频空调	品牌: 格力；匹数: 3匹；类型: 变频	设备/通用电器	台	格力3匹变频空调	冷暖/能效/安装方式缺失
REVIEW-MAT-00560	保险管	电流: 32A	电气材料/低压电器	个	32A保险管	尺寸/电压/型号缺失
REVIEW-MAT-00561	打印机电源线	适用设备: 打印机；类型: 电源线	行政后勤/办公设备配件	条	打印机电源线	接口规格缺失
REVIEW-MAT-00562	打印机数据线	适用设备: 打印机；类型: 数据线	行政后勤/办公设备配件	条	打印机数据线	接口类型/长度缺失
REVIEW-MAT-00563	雾化喷头	用途: 加湿；类型: 雾化喷头	工程材料/喷淋配件	个	加湿雾化喷头	规格/孔径/材质缺失
REVIEW-MAT-00564	泡沫双面胶	基材: 泡沫；类型: 双面胶	化工耗材/胶粘带	件	泡沫双面胶	宽度/长度/每件数量缺失
REVIEW-MAT-00565	101胶水	型号: 101	化工耗材/胶粘剂	件	101胶水	状态：可建档-低精度；包装容量/品牌缺失
REVIEW-MAT-00566	羊毛刷	规格: 2寸；材质: 羊毛	工具器具/涂装工具	支	2寸羊毛刷	
REVIEW-MAT-00567	不锈钢钻头	规格: 5.0；材质/用途: 不锈钢	工具器具/工具配件	支	5.0不锈钢钻头	柄型/长度缺失
REVIEW-MAT-00568	噪音计	用途: 噪音检测	工具器具/检测仪器	台	噪音仪	量程/精度/品牌缺失
REVIEW-MAT-00569	背胶防撞条	特征: 背胶；类型: 防撞条	安全设施/防撞防护	米	背胶防撞条	宽度/材质缺失
REVIEW-MAT-00570	雾炮机	功率: 3kW；控制: 全自动	设备/环保喷淋设备	台	3千瓦全自动雾炮机	射程/水量/电压缺失
REVIEW-MAT-00571	冰块	重量: 50kg	行政后勤/临时消耗品	个	50kg冰块	状态：可建档-低精度 | 可合并；单位个/块需统一 | 与第1051行同物料
REVIEW-MAT-00572	人工草皮	规格: 3.0；颜色: 绿色	装饰/地面材料	平方	3.0绿草皮	状态：可合并；与第992行同物料 | 与第1052行同物料
REVIEW-MAT-00573	六角自攻螺丝	规格: 6；类型: 六角自攻	五金备件/紧固件	盒	6六角自攻螺丝	长度/材质缺失
REVIEW-MAT-00574	测电笔	类型: 多功能电笔	工具器具/电工工具	支	多功能电笔	电压范围缺失
REVIEW-MAT-00575	定向轮	规格: 4寸；类型: 定向轮	五金备件/脚轮	个	4寸定向轮	承重/材质缺失
REVIEW-MAT-00576	带刹定向轮	规格: 4寸；特征: 带刹车	五金备件/脚轮	个	4寸定向轮刹	承重/材质缺失
REVIEW-MAT-00577	手推车	载荷: 300kg；特征: 加厚	工具器具/搬运工具	台	300kg手推车加厚	尺寸/轮型缺失
REVIEW-MAT-00578	路锥	高度: 90cm	安全设施/交通标识	个	90cm路锥	材质/反光等级缺失
REVIEW-MAT-00579	伸缩杆	颜色: 红色；类型: 伸缩杆	安全设施/隔离设施	个	红色伸缩杆	长度/配套底座缺失
REVIEW-MAT-00580	警示牌	规格: 大号	安全设施/警示用品	个	大警示牌	状态：可建档-低精度；内容/尺寸/材质缺失
REVIEW-MAT-00581	漏电断路器	品牌: 施耐德；电流: 400A	电气材料/低压电器	个	施耐德400A漏电开关	极数/型号/漏电动作电流缺失
REVIEW-MAT-00582	遮阳网	特征: 密	安全设施/防护网	平方	密遮阳网	状态：可建档-低精度；针数/遮光率/材质缺失
