编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-01951	环形钢丝绳	定制: 是；结构: 环形；直径: 40mm；长度: 1.5m	定制件/吊装索具	个	订做环形钢丝绳40mm*1.5m	状态：可建档-定制件；钢丝绳结构/安全载荷/压制方式缺失
REVIEW-MAT-01952	弓形卸扣	结构: 美式弓形；强度: 高强度；额定载荷: 17T	吊装索具/卸扣	只	美式高强度弓形卸扣17T	状态：可合并；与2868同载荷但结构不同，标准/材质缺失
REVIEW-MAT-01953	手动液压叉车	品牌: 诺力；类型: 手动液压；额定载荷: 2T	物流搬运/叉车	台	诺力手动液压叉车2T	货叉长度/升高高度缺失
REVIEW-MAT-01954	垃圾桶	容量: 120L	行政后勤/清洁用品	个	垃圾桶120L	材质/颜色缺失
REVIEW-MAT-01955	电流表	品牌: 人民；型号: 6L2；变比: 600/5A	仪表/电气仪表	只	人民电流表6L2-600/5A	精度/安装尺寸缺失
REVIEW-MAT-01956	电缆	品牌: 起帆；规格: 3*2.5	电气/电线电缆	米	起帆电缆3*2.5	电缆型号/电压等级缺失
REVIEW-MAT-01957	电缆	品牌: 起帆；规格: 3*6+2*2.5	电气/电线电缆	米	起帆电缆3*6+2*2.5	电缆型号/护套材质缺失
REVIEW-MAT-01958	浸胶手套	类型: 浸胶手套	劳保耗材/手套	付	浸胶手套	材质/尺码/涂层类型缺失
REVIEW-MAT-01959	螺丝套件	强度等级: 8.8；规格: M10*80；包含: 平垫+弹垫	紧固件/螺丝套件	套	8.8级M10*80螺丝带平 弹垫	材质/螺母是否包含需确认
REVIEW-MAT-01960	电线扎丝	用途: 电线绑扎	电气耗材/绑扎耗材	卷	电线扎丝	材质/长度缺失
REVIEW-MAT-01961	泡沫棉双面胶	品牌: 3M；宽度: 10mm；材质: 泡沫棉	胶带/工业胶带	卷	10mm宽泡沫棉双面胶3M	长度/型号缺失
REVIEW-MAT-01962	氧气乙炔管	介质: 氧气+乙炔；类型: 软管	焊接工具/气体软管	卷	氧气 乙炔管	状态：可建档 | 可合并；内径/长度/压力等级缺失 | 与3105同类，内径/长度缺失
