编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-00901	螺丝组件	规格: M6*25；成套: 是	紧固件/螺丝	套	M6*25螺丝	头型/强度等级/材质缺失
REVIEW-MAT-00902	胶手套	类型: 胶手套	劳保耗材/手套	双	胶手套	状态：可合并；材质/尺码缺失 | 与1585同类，尺码缺失
REVIEW-MAT-00903	砂纸	粒度: 细	工具耗材/磨料磨具	张	细砂纸	具体目数/尺寸缺失
REVIEW-MAT-00904	焊接卡扣	加工: 是；规格: 168；连接: 焊接	定制件/管路接头	个	加工168焊接卡扣	状态：可建档-定制件；材质/图纸/用途缺失
REVIEW-MAT-00905	膨胀螺丝	规格: M14*100	紧固件/膨胀件	套	14*100膨胀螺丝	材质/类型缺失
REVIEW-MAT-00906	异径接头	规格: 80*50；类型: 大小头	管件/管接头	个	80*50大小头	材质/连接方式缺失
REVIEW-MAT-00907	膨胀螺丝	规格: M10*80	紧固件/膨胀件	套	10*80膨胀螺丝	材质/类型缺失
REVIEW-MAT-00908	定制电箱罩	尺寸: 2.3*1.3*0.7；定制: 是；特征: 加厚	定制件/电气箱柜	套	2.3*1.3*0.7定做加厚电箱罩	状态：可建档-定制件；单位米? 材质/厚度/IP等级/图纸缺失
REVIEW-MAT-00909	定制电箱罩	尺寸: 1.8*1.6*0.6；定制: 是；特征: 加厚	定制件/电气箱柜	套	1.8*1.6*0.6定做加厚电箱罩	状态：可建档-定制件；单位米? 材质/厚度/IP等级/图纸缺失
REVIEW-MAT-00910	不锈钢增压泵	功率: 3kW；材质: 不锈钢；类型: 增压泵	设备备件/泵	台	3千瓦不锈钢增压泵	流量/扬程/电压/接口缺失
REVIEW-MAT-00911	氧气管接头	规格: 8厘；适用气体: 氧气	焊割耗材/气管接头	个	8厘氧气管接头	材质/连接形式缺失
REVIEW-MAT-00912	高压堵头	规格: 1/2英寸；类型: 堵头	液压/高压管路	个	1/2高压堵头	螺纹标准/压力等级缺失
REVIEW-MAT-00913	高压堵头	规格: 3/4英寸；类型: 堵头	液压/高压管路	个	3/4高压堵头	螺纹标准/压力等级缺失
REVIEW-MAT-00914	高压堵头	规格: 1英寸；类型: 堵头	液压/高压管路	个	1高压堵头	螺纹标准/压力等级缺失
REVIEW-MAT-00915	高压堵头	规格: 1.5寸；类型: 堵头	液压/高压管路	个	1.5寸高压堵头	螺纹标准/压力等级缺失
REVIEW-MAT-00916	高压堵头	规格: 2寸；类型: 堵头	液压/高压管路	个	2寸高压堵头	螺纹标准/压力等级缺失
REVIEW-MAT-00917	不锈钢球阀	品牌: 埃美柯；公称直径: DN50；材质: 不锈钢	阀门/球阀	个	50埃美柯不锈钢球阀	连接方式/压力等级缺失
REVIEW-MAT-00918	电动油脂泵	驱动: 电动；功能: 自动供脂	设备备件/润滑设备	套	自动电动油脂泵	电压/容量/压力/型号缺失
REVIEW-MAT-00919	拖把	品类: 拖把	行政后勤/清洁用品	个	拖把	状态：可合并；材质/规格缺失 | 与1611同类，材质/规格缺失
REVIEW-MAT-00920	抹布	品类: 抹布	行政后勤/清洁用品	条	抹布	状态：可合并；材质/尺寸缺失
REVIEW-MAT-00921	油污清洗剂	功能: 去油污	清洁耗材/清洗剂	瓶	油污净	容量/品牌/浓度缺失
REVIEW-MAT-00922	漏电断路器	品牌: 施耐德；极数: 2P；额定电流: 40A	电气材料/低压电器	个	2P40A施耐德漏电保护	状态：可建档 | 可合并；漏保型号/漏电动作电流缺失 | 与1614同类，型号缺失
REVIEW-MAT-00923	时控开关	类型: 时控开关	电气材料/低压电器	个	时控开关	电压/型号/通道数缺失
REVIEW-MAT-00924	铁丝	材质: 铁	五金耗材/金属丝	kg	铁丝	状态：可建档 | 可合并；线径/表面处理缺失 | 与1617同类，线径缺失
REVIEW-MAT-00925	弹簧减压阀	公称直径: DN25；结构: 弹簧式	阀门/减压阀	个	DN25弹簧减压阀	压力范围/材质/连接方式缺失
REVIEW-MAT-00926	透明软管	公称直径: 25；特征: 透明	管材/软管	米	25透明管	材质/压力等级缺失
REVIEW-MAT-00927	外丝接头	定制: 是；规格: 1寸；连接: 外丝	定制件/管路接头	个	定做1寸外丝	状态：可建档-定制件；材质/螺纹标准/图纸缺失
REVIEW-MAT-00928	钢焊接件	定制: 是；尺寸: 80*200；材质: 钢；工艺: 焊接	定制件/金属加工件	个	定做80*200钢焊接	状态：可建档-定制件；图纸/厚度/用途缺失
