编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-01601	桶装水抽水器套装	品牌: 子路；包含: 抽水器+充电器	行政后勤/饮水设备	套	子路桶装水抽水器+充电器	型号/电池容量缺失
REVIEW-MAT-01602	工业防潮剂	用途: 工业；包装: 1KG	化工耗材/防潮剂	包	工业防潮剂1KG	成分/适用范围缺失
REVIEW-MAT-01603	太阳能4G监控套装	供电: 太阳能；通信: 4G；套装: 三件套	弱电安防/监控设备	套	太阳能4G监控三件套	三件套明细/品牌/存储缺失
REVIEW-MAT-01604	变频器操作面板	部件: 操作面板；适配设备: 变频器	自动化/变频器配件	只	变频器操作面板	适配品牌/型号缺失
REVIEW-MAT-01605	胶管总成	规格: 36*2H；层数: 2层；长度: 2.5米	液压/高压管路	根	胶管36*2H-2层-2.5米	H含义/压力等级/接头形式缺失
REVIEW-MAT-01606	胶管总成	规格: 36*2H；层数: 2层；长度: 1米	液压/高压管路	根	胶管36*2H-2层-1米	H含义/压力等级/接头形式缺失
REVIEW-MAT-01607	胶管总成	规格: 36*2H；层数: 2层；长度: 3.4米	液压/高压管路	根	胶管36*2H-2层-3.4米	H含义/压力等级/接头形式缺失
REVIEW-MAT-01608	胶管总成	规格: 36*2H；层数: 2层；长度: 12米	液压/高压管路	根	胶管36*2H-2层-12米	H含义/压力等级/接头形式缺失
REVIEW-MAT-01609	胶管总成	规格: 36*2H；层数: 2层；长度: 10米	液压/高压管路	根	胶管36*2H-2层-10米	H含义/压力等级/接头形式缺失
REVIEW-MAT-01610	胶管总成	规格: 36*2H；层数: 2层；长度: 11米	液压/高压管路	根	胶管36*2H-2层-11米	H含义/压力等级/接头形式缺失
REVIEW-MAT-01611	胶管总成	规格: 36*2H；层数: 2层；长度: 14米	液压/高压管路	根	胶管36*2H-2层-14米	H含义/压力等级/接头形式缺失
REVIEW-MAT-01612	螺纹锁固胶	品牌: 乐泰；型号: 243	胶粘剂/螺纹锁固胶	只	乐泰243胶水	状态：可建档 | 可合并；容量/包装单位需确认 | 与2594同类，容量/包装单位需确认
REVIEW-MAT-01613	百兆交换机	品牌: 海康威视；端口: 5口；速率: 百兆	弱电安防/网络设备	台	海康威视5口百兆交换机	是否PoE/型号缺失
REVIEW-MAT-01614	刀开关手柄	型号: HD13；额定电流: 1000A；部件: 手柄	电气/开关配件	套	HD13刀开关手柄1000A	适配刀开关规格/厂家缺失
REVIEW-MAT-01615	带盖方桶	材质: 牛筋；容量: 6L；配置: 带盖；地点备注: 蕰川路	容器/塑料桶	只	牛筋带盖方桶6L（蕰川路）	地点不进标准名，尺寸/颜色缺失
REVIEW-MAT-01616	加厚油布	尺寸: 12米*12米；特征: 加厚	覆盖材料/油布	㎡	加厚油布12米*12米	材质/克重/防水等级缺失
REVIEW-MAT-01617	加厚油布	尺寸: 10米*8米；特征: 加厚	覆盖材料/油布	㎡	加厚油布10米*8米	材质/克重/防水等级缺失
REVIEW-MAT-01618	油漆滚筒	规格: 大号；用途: 油漆	涂装工具/滚筒	只	大油漆滚筒 | 油漆滚筒大号	状态：可建档 | 可合并；尺寸/毛长缺失 | 与2614同类，尺寸/毛长缺失 | 与2614同类
REVIEW-MAT-01619	彩条布	颜色: 三色；尺寸: 4m*30m	覆盖材料/彩条布	㎡	三色彩条布4m*30m	克重/材质缺失
REVIEW-MAT-01620	泥桶	用途: 泥浆/砂浆	施工工具/桶具	只	泥桶	状态：可建档 | 可合并；容量/材质缺失 | 与2616同类，容量/材质缺失
REVIEW-MAT-01621	羊毛刷	规格: 3寸；材质: 羊毛	涂装工具/刷子	把	羊毛刷3寸	状态：可建档 | 可合并；柄型/等级缺失 | 与2617同类
REVIEW-MAT-01622	防锈漆	品牌: 立邦；颜色: 桔黄色；包装: 18kg	油漆涂料/防锈漆	桶	立邦桔黄色防锈漆18kg	型号/SDS缺失
REVIEW-MAT-01623	松香水	包装: 12KG；类型: 松香水	油漆涂料/稀释清洗剂	桶	松香水12KG	品牌/用途/SDS缺失
REVIEW-MAT-01624	防锈漆	品牌: 立邦；颜色: 深黄；包装: 18KG	油漆涂料/防锈漆	桶	立邦深黄防锈漆18KG	型号/SDS缺失
REVIEW-MAT-01625	防锈漆	品牌: 立邦；颜色: 黑色；包装: 18KG	油漆涂料/防锈漆	桶	立邦黑色防锈漆18KG	型号/SDS缺失
