编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-01451	加厚连体防护服	特征: 加厚；款式: 连体	劳保耗材/防护服	套	加厚连体裤	材质/尺码/防护等级缺失
REVIEW-MAT-01452	高压内丝堵头	螺纹: M36*2；连接: 内丝；类型: 堵头	液压/高压管路	个	M36*2高压内丝堵头	压力等级/材质缺失
REVIEW-MAT-01453	高压外丝堵头	螺纹: M36*2；连接: 外丝；类型: 堵头	液压/高压管路	个	M36*2高压外丝堵头	压力等级/材质缺失
REVIEW-MAT-01454	压力表	量程/压力: 60公斤；类型: 压力表	仪表/压力仪表	个	60公斤压力表	标准单位MPa/接口/表径/精度缺失
REVIEW-MAT-01455	螺纹接头	螺纹: M20*1.5；类型: 接头	液压/高压管路	个	M20*1.5接头	连接形式/材质/压力等级缺失
REVIEW-MAT-01456	不锈钢三通	规格: 25；材质: 不锈钢；类型: 三通	管件/不锈钢管件	个	25三通不锈钢	304/316材质牌号及连接方式缺失
REVIEW-MAT-01457	胶管总成	螺纹/规格: 36*2；层数: 2层；长度: 12米	液压/高压管路	根	胶管36*2-2层-12米	状态：可建档 | 可合并；压力等级/接头形式/材质缺失 | 与2358同类，压力等级/接头形式缺失
REVIEW-MAT-01458	胶管总成	螺纹/规格: 36*2；层数: 2层；长度: 17.7米	液压/高压管路	根	胶管36*2-2层-17.7米	压力等级/接头形式/材质缺失
REVIEW-MAT-01459	胶管总成	螺纹/规格: 36*2；层数: 2层；长度: 5.2米	液压/高压管路	根	胶管36*2-2层-5.2米	压力等级/接头形式/材质缺失
REVIEW-MAT-01460	胶管总成	螺纹/规格: 36*2；层数: 2层；长度: 7.9米	液压/高压管路	根	胶管36*2-2层-7.9米	压力等级/接头形式/材质缺失
REVIEW-MAT-01461	胶管总成	螺纹/规格: 36*2；层数: 2层；长度: 15.9米	液压/高压管路	根	胶管36*2-2层-15.9米	压力等级/接头形式/材质缺失
REVIEW-MAT-01462	胶管总成	螺纹/规格: 36*2；层数: 2层；长度: 2.3米	液压/高压管路	根	胶管36*2-2层-2.3米	压力等级/接头形式/材质缺失
REVIEW-MAT-01463	胶管总成	螺纹/规格: 36*2；层数: 2层；长度: 3.4米	液压/高压管路	根	胶管36*2-2层-3.4米	状态：可建档 | 可合并；压力等级/接头形式/材质缺失 | 与2364同类，压力等级/接头形式缺失
REVIEW-MAT-01464	胶管总成	螺纹/规格: 36*2；层数: 2层；长度: 3.9米	液压/高压管路	根	胶管36*2-2层-3.9米	压力等级/接头形式/材质缺失
REVIEW-MAT-01465	胶管总成	螺纹/规格: 36*2；层数: 2层；长度: 1.1米	液压/高压管路	根	胶管36*2-2层-1.1米	压力等级/接头形式/材质缺失
REVIEW-MAT-01466	胶管总成	螺纹/规格: 36*2；层数: 2层；长度: 7.5米	液压/高压管路	根	胶管36*2-2层-7.5米	压力等级/接头形式/材质缺失
REVIEW-MAT-01467	胶管总成	螺纹/规格: 36*2；层数: 2层；长度: 1米	液压/高压管路	根	胶管36*2-2层-1米	状态：可建档 | 可合并；压力等级/接头形式/材质缺失 | 与2368同类，压力等级/接头形式缺失
REVIEW-MAT-01468	胶管总成	螺纹/规格: 36*2；层数: 2层；长度: 1.3米	液压/高压管路	根	胶管36*2-2层-1.3米	压力等级/接头形式/材质缺失
REVIEW-MAT-01469	胶管总成	螺纹/规格: 36*2；层数: 2层；长度: 5.9米	液压/高压管路	根	胶管36*2-2层-5.9米	压力等级/接头形式/材质缺失
REVIEW-MAT-01470	胶管总成	螺纹/规格: 36*2；层数: 2层；长度: 3.3米	液压/高压管路	根	胶管36*2-2层-3.3米	压力等级/接头形式/材质缺失
REVIEW-MAT-01471	不锈钢骑马卡	定制: 是；规格: 36；材质: 不锈钢；厚度/螺纹: 36*2.0	定制件/管夹卡箍	件	订制36不锈钢骑马卡36*2.0	状态：可建档-定制件；图纸/用途/尺寸口径需确认
REVIEW-MAT-01472	直角接头加工件	加工: 是；规格: 36*3/36*2；类型: 直角接头	定制件/管路接头	件	加工36*3/36*2直角接头	状态：可建档-定制件；图纸/材质/压力等级缺失
