编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-01351	法兰	公称直径: DN50；压力等级: 16kg	管件/法兰	个	DN50*16KG法兰	材质/标准/密封面缺失
REVIEW-MAT-01352	法兰	公称直径: DN65；压力等级: 16kg	管件/法兰	个	DN65*16KG法兰	材质/标准/密封面缺失
REVIEW-MAT-01353	伸缩杆	长度: 2米；结构: 伸缩	工具/辅助工具	个	2米伸缩杆	材质/用途缺失
REVIEW-MAT-01354	不锈钢合页	规格: 3寸；材质: 不锈钢	五金建材/门窗五金	付	3寸不锈钢合页	厚度/孔位缺失
REVIEW-MAT-01355	定制高压油管	定制: 是；规格: 19；压力: 420公斤	定制件/液压管路	根	定做19*420公斤高压油管	状态：可建档-定制件；长度/接头形式/图纸缺失
REVIEW-MAT-01356	铜挂锁	材质: 铜；钥匙类型: 通开	五金建材/锁具	个	通开铜挂锁	规格/钥匙数量缺失
REVIEW-MAT-01357	量杯	容量: 5L	工具耗材/计量工具	个	5L量杯	材质/刻度精度缺失
REVIEW-MAT-01358	定制钢丝绳	定制: 是；规格: 50；长度: 4米	定制件/吊装索具	根	定做50*4米钢丝绳	状态：可建档-定制件；直径单位/结构/强度/证书缺失
REVIEW-MAT-01359	钢丝绳专用剂	进口: 是；包装: 5kg；用途: 钢丝绳	化工耗材/润滑防护剂	桶	进口5KG钢丝绳专用剂	品牌/油脂类型缺失
REVIEW-MAT-01360	喷壶	品类: 喷壶	行政后勤/清洁用品	个	喷壶	状态：可合并；容量/材质缺失
REVIEW-MAT-01361	U型卸扣	额定载荷: 17T；型式: U型；执行标准: 国标	吊装索具/卸扣	个	17TU型国标卸扣	销轴形式/证书缺失
REVIEW-MAT-01362	蝴蝶扣	额定载荷: 15T；类型: 蝴蝶扣	吊装索具/连接件	个	15T蝴蝶扣	标准/证书/材质缺失
REVIEW-MAT-01363	不锈钢骑马卡	公称直径: DN200；材质: 不锈钢	管道紧固/骑马卡	个	DN200不锈钢骑马卡	厚度/孔距缺失
REVIEW-MAT-01364	膨胀螺丝	规格: M10*60	紧固件/膨胀件	个	10*60膨胀螺丝	材质/类型缺失
REVIEW-MAT-01365	抹布	形态: 大块；颜色: 白色	清洁耗材/擦拭材料	公斤	大块白抹布	状态：可合并；与2190同类，单位kg/公斤统一
REVIEW-MAT-01366	美工刀	品牌: 得力	工具/刀具	个	得力美工刀	状态：可合并；与1967同类，刀片宽度缺失
REVIEW-MAT-01367	美工刀片	品牌: 得力	工具耗材/刀片	合	得力刀片	状态：可合并；单位疑似盒，规格/片数缺失
REVIEW-MAT-01368	注浆针头	类型: 注浆针头	堵漏注浆/注浆耗材	个	注浆针头	规格/长度/材质缺失
REVIEW-MAT-01369	水性聚氨酯	类型: 水性；材料: 聚氨酯	化工耗材/堵漏材料	公斤	水性聚氨酯	品牌/包装/固含量缺失
REVIEW-MAT-01370	油性聚氨酯	类型: 油性；材料: 聚氨酯	化工耗材/堵漏材料	公斤	油性聚氨酯	品牌/包装/固含量缺失
REVIEW-MAT-01371	双快水泥	类型: 双快水泥	建筑材料/水泥砂石	包	双快水泥	强度等级/包装重量缺失
