编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-00151	高压铜球阀	规格: DN20；压力: 350kg；材质: 铜；类型: 球阀	工程材料/阀门	个	DN20*350kg高压铜球阀	
REVIEW-MAT-00152	棉布	规格: 大块	劳保耗材/擦拭材料	KG	大块棉布	状态：可建档 | 可合并；与第265行同物料
REVIEW-MAT-00153	垃圾夹	类型: 垃圾夹	清洁用品/清洁工具	个	垃圾夹	
REVIEW-MAT-00154	电箱	规格: 250A	电气材料/配电箱	个	250A电箱	箱体尺寸缺失
REVIEW-MAT-00155	五孔插座	类型: 五孔	电气材料/插头插座	个	五孔插座	状态：可合并；与第17行同类，缺品牌
REVIEW-MAT-00156	线槽	规格: 30*15	电气材料/电气辅材	米	30*15线槽	状态：可建档 | 可合并；与第273行同物料
REVIEW-MAT-00157	高压油管	规格: DN51；等级: 4SH	液压/高压管路	米	DN51*4SH高压油管	接头形式缺失
REVIEW-MAT-00158	高压油管	规格: DN32；等级: 4SH	液压/高压管路	米	DN32*4SH高压油管	接头形式缺失
REVIEW-MAT-00159	吊带	载荷: 2T；长度: 1.5米	吊装索具/吊带	付	2T*1.5米吊带	
REVIEW-MAT-00160	卸扣	载荷: 2T	吊装索具/卸扣	个	2T卸扣	状态：可建档 | 可合并；与第281行同物料 | 与第312行同物料，执行标准缺失
REVIEW-MAT-00161	剪刀	类型: 剪刀	工具器具/手动工具	个	剪刀	状态：可建档-低精度；规格/用途缺失
REVIEW-MAT-00162	电焊快速接头	规格: 35-50	焊接耗材/焊机配件	套	35-50电焊快速接头	
REVIEW-MAT-00163	加厚铁合页	材质: 铁；规格: 4寸；特征: 加厚	五金备件/门窗五金	付	4寸加厚铁合页	
REVIEW-MAT-00164	加厚铁合页	材质: 铁；规格: 5寸；特征: 加厚	五金备件/门窗五金	付	5寸加厚铁合页	
REVIEW-MAT-00165	卷尺	品牌: 得力；长度: 3米	工具器具/测量工具	个	得力3米卷尺	
REVIEW-MAT-00166	卷尺	品牌: 得力；长度: 5米	工具器具/测量工具	个	得力5米卷尺	
REVIEW-MAT-00167	卷尺	品牌: 得力；长度: 10米	工具器具/测量工具	个	得力10米卷尺	
REVIEW-MAT-00168	除胶剂	品牌: 得力；容量: 500ML	化工耗材/清洗剂	支	得力500ML除胶剂	
REVIEW-MAT-00169	垃圾袋	规格: 120*140；特征: 厚	清洁用品/垃圾袋	个	120*140厚垃圾袋	
REVIEW-MAT-00170	变压USB插座	品牌: 公牛；输入: 220V；输出: 36V；功能: USB	电气材料/插头插座	套	公牛220V转36VUSB插座	
REVIEW-MAT-00171	毛刷	规格: 3寸	工具器具/涂装工具	支	3寸毛刷	
REVIEW-MAT-00172	钢丝刷	类型: 刀型	工具器具/打磨工具	支	刀型钢丝刷	
REVIEW-MAT-00173	拖把	规格: 大	清洁用品/清洁工具	支	大拖把	状态：可合并；与第234行同物料，单位待统一
REVIEW-MAT-00174	锂电池电钻	品牌: 大艺；电压: 21V；动力: 锂电池	工具器具/电动工具	台	21V大艺锂电池电钻	
REVIEW-MAT-00175	锂电池角磨机	品牌: 大艺；动力: 锂电池	工具器具/电动工具	台	大艺锂电池角磨机	电压缺失
REVIEW-MAT-00176	电池	电压: 9V	电气材料/电池	个	9V电池	
REVIEW-MAT-00177	卸扣	载荷: 4T	吊装索具/卸扣	个	4T卸扣	状态：可建档 | 可合并；与第311行同物料，执行标准缺失
