编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-00301	不锈钢数字牌	定制: 是；材质: 不锈钢；尺寸: 20cm	定制件/标识铭牌	个	定做不锈钢数字牌20cm	状态：可建档-定制件；字号内容/厚度缺失
REVIEW-MAT-00302	高压弯头	定制: 是；规格: 6x1.5；类型: 弯头	定制件/液压接头	个	定做 6x1.5高压弯头	状态：可建档-定制件；螺纹/角度/压力等级缺失
REVIEW-MAT-00303	高压弯头	定制: 是；规格: 10x1.5；类型: 弯头	定制件/液压接头	个	定做 10x1.5高压弯头	状态：可建档-定制件；螺纹/角度/压力等级缺失
REVIEW-MAT-00304	高压弯头	定制: 是；规格: 13x1.5；类型: 弯头	定制件/液压接头	个	定做 13x1.5高压弯头	状态：可建档-定制件；螺纹/角度/压力等级缺失
REVIEW-MAT-00305	高压弯头	定制: 是；规格: 16x1.5；类型: 弯头	定制件/液压接头	个	定做 16x1.5高压弯头	状态：可建档-定制件；螺纹/角度/压力等级缺失
REVIEW-MAT-00306	高压弯头	定制: 是；规格: 19x1.5；类型: 弯头	定制件/液压接头	个	定做 19x1.5高压弯头	状态：可建档-定制件；螺纹/角度/压力等级缺失
REVIEW-MAT-00307	高压弯头	定制: 是；规格: 25x1.5；类型: 弯头	定制件/液压接头	个	定做 25x1.5高压弯头	状态：可建档-定制件；螺纹/角度/压力等级缺失
REVIEW-MAT-00308	高压弯头	定制: 是；规格: 32x1.5；类型: 弯头	定制件/液压接头	个	定做 32x1.5高压弯头	状态：可建档-定制件；螺纹/角度/压力等级缺失
REVIEW-MAT-00309	高压弯头	定制: 是；规格: 38x1.5；类型: 弯头	定制件/液压接头	个	定做 38x1.5高压弯头	状态：可建档-定制件；螺纹/角度/压力等级缺失
REVIEW-MAT-00310	保鲜膜	规格: 大卷	包装材料/薄膜	件	保鲜膜大卷	状态：可建档-低精度；宽度/长度/厚度缺失
REVIEW-MAT-00311	调和漆	颜色: 黄色；类型: 调和漆	化工耗材/涂料	桶	黄色调和漆	状态：可建档 | 可合并；包装重量/品牌缺失 | 与第532行同物料，包装缺失 | 与第902行同物料，包装缺失 | 与第922行同物料
REVIEW-MAT-00312	调和漆	颜色: 铁红；类型: 调和漆	化工耗材/涂料	桶	铁红调和漆	包装重量/品牌缺失
REVIEW-MAT-00313	高压卡箍双丝牙接头	定制: 是；规格: 52；特征: 高压加厚；连接: 卡箍+双丝牙	定制件/管路接头	个	定做高压加厚52米卡箍双丝牙	状态：可建档-定制件；“52米”应为52mm？图纸/材质缺失
REVIEW-MAT-00314	玻璃胶	颜色: 白色	化工耗材/胶粘剂	支	白色玻璃胶	容量/品牌/酸性或中性缺失
REVIEW-MAT-00315	588密封胶	型号: 588	化工耗材/胶粘剂	支	588胶	状态：可建档-低精度；品牌/颜色/容量缺失
