编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-01101	内六角螺丝	规格: M14*120；头型: 内六角	紧固件/螺丝	个	14*120内六角螺丝	材质/强度等级缺失
REVIEW-MAT-01102	桶装水电动抽水器	用途: 桶装水；驱动: 电动	行政后勤/生活用品	个	桶装水电动抽水	电源方式/型号缺失
REVIEW-MAT-01103	手锤	重量: 6磅	工具/手动工具	支	6磅手锤	柄材质缺失
REVIEW-MAT-01104	手锤	重量: 8磅	工具/手动工具	支	8磅手锤	柄材质缺失
REVIEW-MAT-01105	钉锤	规格: 大号	工具/手动工具	支	大钉锤	重量/柄材质缺失
REVIEW-MAT-01106	撬棍	长度: 1.3m；规格: 30	工具/手动工具	支	1.3m-30撬棍	30含义/材质缺失
REVIEW-MAT-01107	撬棍	长度: 60cm	工具/手动工具	支	60cm撬棍	直径/材质缺失
REVIEW-MAT-01108	电动扳手套筒	规格: 36；适用: 电动扳手	工具/套筒	个	36套筒电动	方榫规格/长度缺失
REVIEW-MAT-01109	螺丝组件	规格: M16*70；成套: 是	紧固件/螺丝	套	M16*70螺丝	头型/强度等级/材质缺失
REVIEW-MAT-01110	卸扣	额定载荷: 3T	吊装索具/卸扣	个	3T卸扣	型式/销轴形式缺失
REVIEW-MAT-01111	扁平吊装带	额定载荷: 2T；长度: 1.5m	吊装索具/吊带	个	2T*1.5m吊带	单位建议条/根，材质缺失
REVIEW-MAT-01112	扁平吊装带	额定载荷: 1T；长度: 1.5m	吊装索具/吊带	个	1T*1.5m吊带	单位建议条/根，材质缺失
REVIEW-MAT-01113	手扳葫芦	额定载荷: 1.6T；链长: 6米	吊装索具/葫芦	个	1.6T*6米手扳葫芦	单位建议台，品牌/标准缺失
REVIEW-MAT-01114	气管	外径: 10mm	气动元件/气管	米	10mm气管	材质/颜色/耐压缺失
REVIEW-MAT-01115	灭火器	规格: 2kg	消防材料/灭火器	个	灭火器2KG	灭火剂类型/有效期缺失
REVIEW-MAT-01116	灭火器箱	类型: 灭火器箱	消防材料/灭火器箱	个	灭火器箱子	容纳数量/材质缺失
REVIEW-MAT-01117	气管	外径: 16mm	气动元件/气管	米	16mm气管	材质/颜色/耐压缺失
REVIEW-MAT-01118	老虎钳	品牌: 世达	工具/手动工具	个	世达老虎钳	规格长度缺失
REVIEW-MAT-01119	十字螺丝刀	规格: 6*250；类型: 十字	工具/手动工具	个	6*250十字螺丝刀	材质/品牌缺失
REVIEW-MAT-01120	一字螺丝刀	规格: 6*250；类型: 一字	工具/手动工具	个	6*250一字螺丝刀	材质/品牌缺失
REVIEW-MAT-01121	电工胶布	品牌: 3M；类型: 电工胶布	电气材料/绝缘材料	卷	3m电胶布	宽度/长度/颜色缺失
REVIEW-MAT-01122	防水电工胶布	宽度: 25mm；功能: 防水	电气材料/绝缘材料	卷	25mm电工防水胶布	长度/品牌/颜色缺失
REVIEW-MAT-01123	游标卡尺	品牌: 得力；量程: 300mm；精度: 高精度	工具/测量工具	个	300mm得力高精度卡尺	数显/游标类型、精度值缺失
REVIEW-MAT-01124	工业插头	电流: 25A；电压: 380V	电气材料/插头插座	个	25A380V插头	极数/防护等级缺失
REVIEW-MAT-01125	铝合金梯子	定制: 是；长度: 4米；规格: 5.2；材质: 铝合金；特征: 加厚	定制件/工具治具	个	定做4米*5.2加厚铝合金梯子	状态：可建档-定制件；承重/节数/图纸缺失
REVIEW-MAT-01126	高压内接头	定制: 是；型号/规格: 52H42；类型: 内接高压	定制件/液压接头	个	定做52H42内接高压	状态：可建档-定制件；螺纹/压力等级/图纸缺失
REVIEW-MAT-01127	高压内接头	定制: 是；型号/规格: 36H28；类型: 内接高压	定制件/液压接头	个	定做36H28内接高压	状态：可建档-定制件；螺纹/压力等级/图纸缺失
REVIEW-MAT-01128	高压内接头	定制: 是；型号/规格: 30H20；类型: 内接高压	定制件/液压接头	个	定做30H20内接高压	状态：可建档-定制件；螺纹/压力等级/图纸缺失
REVIEW-MAT-01129	高压内接头	定制: 是；型号/规格: 26H20；类型: 内接高压	定制件/液压接头	个	定做26H20内接高压	状态：可建档-定制件；螺纹/压力等级/图纸缺失
REVIEW-MAT-01130	雨鞋	品牌: 回力；特征: 加厚	劳保耗材/足部防护	双	回力加厚雨鞋	状态：可合并；与1757同类，尺码缺失 | 与1899同类，尺码缺失
REVIEW-MAT-01131	垃圾袋	规格: 100*120	行政后勤/清洁用品	个	100*120垃圾袋	单位建议只/包，每包数量缺失
REVIEW-MAT-01132	硅胶枪	适用材料: 玻璃胶/硅胶	工具/施胶工具	个	玻璃硅胶枪	结构类型/规格缺失
REVIEW-MAT-01133	高压内外牙弯头	定制: 是；规格: 52；连接: 内外牙；类型: 弯头	定制件/液压接头	个	定做52高压内外牙弯头	状态：可建档-定制件；螺纹/角度/压力等级/图纸缺失
REVIEW-MAT-01134	创可贴	品类: 创可贴	劳保耗材/急救用品	个	创可贴	状态：可合并；包装规格需确认
REVIEW-MAT-01135	立式灭火标志	类型: 立式；用途: 灭火标志	消防材料/消防标识	套	立式灭火标志	尺寸/材质缺失
REVIEW-MAT-01136	鼓风机	功率: 2.2kW	设备备件/风机	个	2.2千瓦鼓风机	风量/风压/电压/型号缺失
REVIEW-MAT-01137	电焊机套装	配置: 含焊线	焊割设备/焊机	套	电焊机含线	型号/功率/电压/焊机类型缺失
REVIEW-MAT-01138	一次性雨衣	类型: 一次性；特征: 加厚	劳保耗材/雨具	个	一次性加厚雨衣	状态：可合并；与1466同类，单位件/套/个需统一
REVIEW-MAT-01139	高压清洗机	品牌: 黑马；电压: 380V；功率: 5.5kW	清洗设备/高压清洗机	套	黑马380V*5.5千瓦高压清洗机	压力/流量/型号缺失
REVIEW-MAT-01140	五点式安全带	型式: 五点式；缓冲: 是	安全防护/高处防护	个	五点式缓冲安全带	认证标准/挂钩类型缺失
REVIEW-MAT-01141	氧气瓶手推车	适用气体: 氧气；类型: 手推车	焊割设备/气瓶搬运	个	氧气手推车	适配瓶规格/承重缺失
REVIEW-MAT-01142	乙炔瓶手推车	适用气体: 乙炔；类型: 手推车	焊割设备/气瓶搬运	个	乙炔手推车	适配瓶规格/承重缺失
REVIEW-MAT-01143	角钢	规格: 40*5	钢材/型材	米	40*5角铁	材质/执行标准缺失
REVIEW-MAT-01144	无缝钢管	外径: 48mm；壁厚: 4mm	钢材/钢管	米	48*4厚无缝管	状态：可合并；与1418同类，材质/标准缺失
REVIEW-MAT-01145	竹扫把	规格: 大号；材质: 竹	行政后勤/清洁用品	个	大号竹扫把	状态：可合并；与扫把类合并，长度缺失
REVIEW-MAT-01146	铁锹柄	部件: 柄；适用: 铁锹	工具备件/手动工具配件	个	铁锹柄	材质/长度缺失
REVIEW-MAT-01147	生料带	特征: 加厚	管道耗材/密封材料	个	加厚生料带	状态：可建档 | 可合并；宽度/长度/密度缺失 | 与1925同类，宽度/长度缺失
