编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-00451	插座	品牌: 公牛；孔位: 8孔	电气材料/插头插座	个	8孔公牛插座	电流/线长/安装方式缺失
REVIEW-MAT-00452	五点式双钩安全绳	类型: 五点式；挂钩: 双钩	劳保耗材/坠落防护	套	五点式双钩安全绳	执行标准/长度/承载缺失
REVIEW-MAT-00453	普通硅酸盐水泥	标号: PO42.5	建筑材料/水泥砂石	包	PO42.5水泥 | po42.5水泥	状态：可建档 | 可合并；每包重量/品牌缺失 | 与第781行同物料，每包重量缺失 | 与第989行同物料 | 与第989行同物料，大小写需规范
REVIEW-MAT-00454	对讲机	品牌: 长城；型号: A99；特征: 高功率	电气材料/通讯设备	个	A99长城高功率对讲机	状态：可建档 | 可合并；频段/功率/许可要求缺失 | 与第782行同物料，频段/功率缺失 | 与第782行同物料
REVIEW-MAT-00455	电缆线	品牌: 起帆；规格: 3*4+2*2.5	电气材料/电线电缆	米	3*4+2*2.5起帆电缆线 | 起帆3*4+2*2.5电线 | 3*4+2*2.5起帆电缆	状态：可建档 | 可合并；型号/材质缺失 | 与第784行同物料，型号缺失 | 与第827行同物料，线型缺失 | 导体材质/护套/电压等级缺失
REVIEW-MAT-00456	电缆线	品牌: 起帆；规格: 3*1.5	电气材料/电线电缆	米	3*1.5起帆电缆线	状态：可合并；与前文同物料，型号缺失 | 与第785行同物料 | 与1556/fixture同类，护套缺失
REVIEW-MAT-00457	螺丝	规格: 14*180	五金备件/紧固件	套	14*180螺丝	是否M14/材质/强度等级缺失
REVIEW-MAT-00458	螺母	规格: 14	五金备件/紧固件	个	14螺母	是否M14/材质/强度等级缺失
REVIEW-MAT-00459	平垫片	规格: 14	五金备件/紧固件	个	14垫片	是否M14/材质缺失
REVIEW-MAT-00460	弹簧垫片	规格: 14	五金备件/紧固件	个	14弹簧垫片	是否M14/材质缺失
REVIEW-MAT-00461	钻头	规格: 16*100	工具器具/工具配件	个	16*100钻头	材质/柄型缺失
REVIEW-MAT-00462	吨袋	承重/容量: 1.5吨	包装材料/吨袋	个	1.5吨袋	尺寸/吊带形式缺失
REVIEW-MAT-00463	土工布	类型: 土工布	建筑材料/土工材料	米	土工布	状态：可建档-低精度；克重/宽度缺失
REVIEW-MAT-00464	风镐	型号: G150	工具器具/气动工具	台	G150风镐	气压/品牌缺失
REVIEW-MAT-00465	羊毛刷	规格: 4寸；材质: 羊毛	工具器具/涂装工具	支	4寸羊毛刷 | 4寸 羊毛刷	状态：可合并；与第421行同物料，单位需统一 | 与第421行同物料
REVIEW-MAT-00466	丝锥	规格: M20	工具器具/工具配件	支	M20丝锥	牙距/材质缺失
REVIEW-MAT-00467	万能胶	类型: 万能胶	化工耗材/胶粘剂	桶	万能胶	状态：可建档-低精度；品牌/容量缺失
