编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-00351	玻璃纸	类型: 玻璃纸	包装材料/薄膜纸品	米	玻璃纸	状态：可建档-低精度；宽度/厚度缺失
REVIEW-MAT-00352	双面胶	类型: 双面胶	化工耗材/胶粘带	卷	双面胶	状态：可建档-低精度；宽度/长度/基材缺失
REVIEW-MAT-00353	吊钩保险卡	载荷: 16吨；特征: 加厚	吊装索具/吊钩配件	个	16吨吊钩厚保险卡	状态：可建档 | 可合并；适配吊钩型号/标准缺失 | 与第604行同物料，适配型号仍缺
REVIEW-MAT-00354	变压器	输出: 24V 5A	电气材料/电源电器	个	24V5A变压器	输入电压/功率/安装方式缺失
REVIEW-MAT-00355	棉签	类型: 棉签	劳保耗材/清洁用品	包	棉签	状态：可建档-低精度 | 可合并；包装数量/用途缺失 | 与第608行同物料，包装数量缺失
REVIEW-MAT-00356	布手套	特征: 加厚、双层	劳保耗材/手套	双	加厚双层布手套	尺码/材质缺失
REVIEW-MAT-00357	铁丝	规格: 12#	五金备件/金属丝材	KG	12#铁丝	状态：可合并；与第443行同物料，材质/镀锌缺失
REVIEW-MAT-00358	铁丝	规格: 14#	五金备件/金属丝材	KG	14#铁丝	状态：可合并；与第444行同物料，材质/镀锌缺失
REVIEW-MAT-00359	焊接弯头	规格: 159*8；特征: 加厚；连接: 焊接	工程材料/管件	个	159*8加厚弯头焊接	材质/角度/压力等级缺失
REVIEW-MAT-00360	台式砂轮机	功率: 1.1kW；类型: 台式砂轮机	工具器具/电动工具	台	1.1千W台式沙轮机	“沙轮机”应规范为砂轮机；砂轮规格缺失
REVIEW-MAT-00361	钨钢钻头	材质: 钨钢；直径: 8mm	工具器具/工具配件	支	钨钢钻头8厘	柄型/长度缺失
REVIEW-MAT-00362	钨钢钻头	材质: 钨钢；直径: 10mm	工具器具/工具配件	支	钨钢钻头10厘	柄型/长度缺失
REVIEW-MAT-00363	钨钢钻头	材质: 钨钢；直径: 12mm	工具器具/工具配件	支	钨钢钻头12厘	柄型/长度缺失
REVIEW-MAT-00364	钨钢钻头	材质: 钨钢；直径: 16mm	工具器具/工具配件	支	钨钢钻头16厘	柄型/长度缺失
REVIEW-MAT-00365	防盗门锁	材质: 不锈钢；用途: 防盗门	五金备件/锁具	个	防盗门锁不锈钢	锁体规格/开向缺失
REVIEW-MAT-00366	导轨五孔插座	安装: 导轨；类型: 五孔插座	电气材料/插头插座	个	导轨5孔插座	电流/品牌缺失
REVIEW-MAT-00367	螺母	规格: M4	五金备件/紧固件	个	M4螺母	材质/强度等级缺失
REVIEW-MAT-00368	螺母	规格: M5	五金备件/紧固件	个	M5螺母	材质/强度等级缺失
REVIEW-MAT-00369	槽钢	规格: 80	原材料/型钢	米	80槽钢	标准/材质牌号缺失
REVIEW-MAT-00370	PVC弯头	品牌: 公元；规格: 75；材质: PVC	工程材料/PVC管件	个	公元75pvc弯头	角度/压力等级缺失
REVIEW-MAT-00371	PVC直通	品牌: 公元；规格: 75；材质: PVC	工程材料/PVC管件	个	公元75pvc直通	压力等级缺失
