编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-01751	LED灯泡	品牌: 飞利浦；功率: 40W	电气/照明灯具	只	飞利浦led灯泡40W	色温/灯头规格缺失
REVIEW-MAT-01752	LED灯泡	品牌: 飞利浦；功率: 50W	电气/照明灯具	只	飞利浦led灯泡50W | 飞利浦LED灯泡50W	状态：可建档 | 可合并；色温/灯头规格缺失 | 与2787同类，色温/灯头缺失
REVIEW-MAT-01753	灯座	类型: 灯座	电气/照明配件	只	灯座	状态：可合并；与2654同类，螺口规格缺失
REVIEW-MAT-01754	尼龙扎带	规格: 10*500	电气耗材/扎带	包	扎带10*500	状态：可建档 | 可合并；每包数量/材质缺失 | 与2789同类，每包数量缺失
REVIEW-MAT-01755	焊工眼镜	用途: 焊工防护	劳保耗材/眼面防护	付	焊工眼镜	遮光号/标准缺失
REVIEW-MAT-01756	铝合金组合枪头	材质: 铝合金；规格: Φ100变65；类型: 组合枪头	注浆设备/配件	套	铝合金Φ100变65组合枪头	适配设备/接口缺失
REVIEW-MAT-01757	LED塔灯	品牌: 欧普；类型: LED塔灯；电压: 380V；功率: 1KW	电气/照明灯具	台	欧普LED380V-1KW塔灯	防护等级/安装方式缺失
REVIEW-MAT-01758	花纹钢板	尺寸: 6m*1.51m；厚度: 5.25mm；表面: 花纹	钢材/钢板	张	花纹钢板6m*1.51m*5.25mm	状态：可建档 | 可合并；材质/标准缺失 | 与2796同类，材质/标准缺失
REVIEW-MAT-01759	钢板镂空字体	工艺: 线切割；材质: 钢板；字符: 01-50；原始: 漏空	定制件/标识模板	套	线切割钢板漏空字体01-50	状态：可建档-定制件；`漏空`疑似`镂空`，尺寸/图纸缺失
REVIEW-MAT-01760	不锈钢镂空标识字牌	定制: 是；材质: 不锈钢；原始: 漏空；类型: 标识字牌	定制件/标识铭牌	件	订制不锈钢漏空标识字牌	状态：可建档-定制件 | 可合并；`漏空`疑似`镂空`，尺寸/内容/图纸缺失 | 与2799同类，尺寸/内容/图纸缺失
REVIEW-MAT-01761	阻燃地板革	特性: 阻燃；尺寸: 6m*2.5m	建筑装饰材料/地板革	㎡	阻燃地板革6m*2.5m	厚度/材质/阻燃等级缺失
REVIEW-MAT-01762	双面胶带	品牌: 3M；宽度: 35mm	胶带/工业胶带	卷	3M双面胶35mm宽	长度/型号缺失
REVIEW-MAT-01763	垃圾袋	尺寸: 1.2m*1.4m	行政后勤/清洁用品	条	垃圾袋1.2m*1.4m	状态：可建档 | 可合并；厚度/每包数量缺失 | 与2804同类，厚度/每包数量缺失
REVIEW-MAT-01764	乙炔减压表	介质: 乙炔；类型: 表/减压表	焊接工具/气体仪表	只	乙炔表	是否减压表需确认，量程/接口缺失
REVIEW-MAT-01765	无缝钢管	外径: 325；壁厚: 12mm；长度: 6米	钢材/钢管	根	无缝管325*12mm*6米	材质/执行标准缺失
REVIEW-MAT-01766	油布	尺寸: 10m*8.5m	覆盖材料/油布	㎡	油布10m*8.5m	材质/克重/防水等级缺失
REVIEW-MAT-01767	货号牌	定制: 是；用途: 货号标识	定制件/标识铭牌	件	订制货号牌	状态：可建档-定制件；材质/尺寸/内容缺失
REVIEW-MAT-01768	吊车垫块	用途: 吊车；载荷: 大吨位；尺寸: 500*500*60mm	吊装索具/支垫件	块	吊车用大吨位垫块500*500*60mm	材质/承载等级缺失
REVIEW-MAT-01769	聚氨酯堵漏剂	材料: 聚氨酯；用途: 堵漏；包装: 20KG	化工原料/堵漏材料	桶	聚氨酯堵漏剂20KG	油性/水性/品牌/SDS缺失
REVIEW-MAT-01770	注浆止水针头	用途: 高压注浆止水；长度: 150mm	注浆设备/耗材	支	高压注浆止水针头150mm	状态：可合并；与2463同类，直径/接口缺失
REVIEW-MAT-01771	注浆止水针头	用途: 高压注浆止水；长度: 100mm	注浆设备/耗材	支	高压注浆止水针头100mm	状态：可合并；与2464同类，直径/接口缺失
REVIEW-MAT-01772	不锈钢户外电箱	定制: 是；材质: 不锈钢；环境: 户外；适配功率: 7.5KW	定制件/配电箱	台	订制不锈钢户外电箱7.5KW	状态：可建档-定制件；尺寸/图纸/电气配置缺失
REVIEW-MAT-01773	数显电笔	品牌: 世达；类型: 数显电笔	工具/电工工具	支	世达数显电笔	测量范围/型号缺失
REVIEW-MAT-01774	钢直尺	长度: 200mm；材质: 钢	工具/测量工具	把	200mm钢直尺	精度/宽度缺失
REVIEW-MAT-01775	镀锌内丝直接	规格: 4寸；表面: 镀锌；连接: 内丝；类型: 直接	管件/镀锌管件	只	4寸镀锌内丝直接	材质/压力等级缺失
REVIEW-MAT-01776	镀锌内丝直接	规格: 3寸；表面: 镀锌；连接: 内丝；类型: 直接	管件/镀锌管件	只	3寸镀锌内丝直接	材质/压力等级缺失
REVIEW-MAT-01777	抹子	类型: 抹子	施工工具/抹灰工具	把	抹子	尺寸/材质缺失
REVIEW-MAT-01778	垃圾桶	类型: 垃圾桶	行政后勤/清洁用品	只	垃圾桶	容量/材质缺失
REVIEW-MAT-01779	防锈漆	品牌: 立邦；颜色: 中灰；包装: 18KG	油漆涂料/防锈漆	桶	立邦中灰防锈漆18KG	型号/SDS缺失
REVIEW-MAT-01780	电箱提手	用途: 电箱；部件: 提手	电气/配电箱配件	个	电箱提手	材质/孔距/尺寸缺失
REVIEW-MAT-01781	油漆	品牌: 立邦；颜色: 桔黄色；包装: 18kg	油漆涂料/油漆	桶	立邦桔黄色油漆18kg	状态：可合并；与2712同类可能不同颜色，是否防锈漆需确认
REVIEW-MAT-01782	电焊钳	额定电流: 600A	焊接工具/焊钳	把	电焊钳600A	品牌/型号缺失
REVIEW-MAT-01783	O型圈	规格: 63*5	密封件/O型圈	只	O型圈63*5	材质/标准缺失
REVIEW-MAT-01784	卸扣	额定载荷: 6.5T	吊装索具/卸扣	只	卸扣6.5T	材质/安全系数/标准缺失
REVIEW-MAT-01785	黄砂	类型: 黄砂	建材/砂石料	吨	黄砂	状态：可建档 | 可合并；细度/含泥量缺失 | 与2850同类，细度/含泥量缺失
REVIEW-MAT-01786	普通硅酸盐水泥	品牌: 海螺；强度等级: 42.5	建材/水泥	包	海螺42.5水泥	状态：可建档 | 可合并；水泥类型/包装重量缺失 | 与2851同类，水泥类型/包装重量缺失
REVIEW-MAT-01787	斜口钳	品牌: 世达；类型: 斜口钳	工具/手动工具	把	世达斜口钳	状态：可建档 | 可合并；规格/型号缺失 | 与2852同类，规格/型号缺失
REVIEW-MAT-01788	砂纸	粒度: 240#	磨具磨料/砂纸	张	240#砂纸	尺寸/背基材质缺失
REVIEW-MAT-01789	砂纸	粒度: 80#	磨具磨料/砂纸	张	80#砂纸	尺寸/背基材质缺失
REVIEW-MAT-01790	十字批头套装	品牌: 世达；类型: 十字批头；配置: 套装	工具/手动工具	套	世达十字批头套装	规格组合/件数缺失
REVIEW-MAT-01791	吊装带	额定载荷: 5T；长度: 6m	吊装索具/吊带	根	吊带5T*6m	状态：可建档 | 可合并；材质/安全系数/颜色缺失 | 与2856同类，材质/安全系数缺失
REVIEW-MAT-01792	吊装带	额定载荷: 5T；长度: 3m	吊装索具/吊带	根	吊带5T*3m	材质/安全系数/颜色缺失
REVIEW-MAT-01793	尼龙扎带	规格: 10*400	电气耗材/扎带	包	扎带10*400	每包数量/材质缺失
REVIEW-MAT-01794	焊枪线缆套装	型号: 500型；线长: 5米；包含: 焊枪	焊接工具/焊枪配件	套	500型5米线带焊枪	适配焊机/接口缺失
REVIEW-MAT-01795	卸扣	额定载荷: 25T	吊装索具/卸扣	只	卸扣25T	材质/安全系数/标准缺失
REVIEW-MAT-01796	卸扣	额定载荷: 10T	吊装索具/卸扣	只	卸扣10T	材质/安全系数/标准缺失 | 型式/材质/安全认证缺失
REVIEW-MAT-01797	卸扣	额定载荷: 8T	吊装索具/卸扣	只	卸扣8T	材质/安全系数/标准缺失
REVIEW-MAT-01798	卸扣	额定载荷: 2T	吊装索具/卸扣	只	卸扣2T	材质/安全系数/标准缺失
REVIEW-MAT-01799	卸扣	额定载荷: 17T	吊装索具/卸扣	只	卸扣17T	材质/安全系数/标准缺失
REVIEW-MAT-01800	PVC管	品牌: 公元；材质: PVC；直径: Φ75	管材/PVC管	米	公元PVCΦ75管	压力等级/壁厚缺失
