编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-00201	LED灯泡	品牌: 公牛；功率: 20W	电气材料/照明	个	公牛20WLED灯泡	灯头规格缺失
REVIEW-MAT-00202	焊条	型号: 507；直径: 3.2	焊接耗材/焊条	件	507*3.2焊条	包装重量缺失
REVIEW-MAT-00203	加厚蝶阀	品牌: 埃美柯；规格: DN65；特征: 加厚	工程材料/阀门	个	DN65埃美柯加厚蝶阀	材质缺失
REVIEW-MAT-00204	加厚不锈钢球阀	品牌: 埃美柯；规格: DN65；材质: 不锈钢；特征: 加厚	工程材料/阀门	个	DN65埃美柯加厚不锈钢球阀	
REVIEW-MAT-00205	加厚不锈钢球阀	品牌: 埃美柯；规格: 40；材质: 不锈钢；特征: 加厚	工程材料/阀门	个	40埃美柯加厚不锈钢球阀	
REVIEW-MAT-00206	调和油漆	颜色: 白色；类型: 调和油漆	化工耗材/涂料	桶	白色调和油漆	容量缺失
REVIEW-MAT-00207	彩条布	规格: 12*30米	工程材料/篷布油布	平方	12*30米彩条布	
REVIEW-MAT-00208	漏电保护器	品牌: 德力西；电流: 400A；极数: 4P	电气材料/低压电器	个	400A4P德力西漏电保护器	
REVIEW-MAT-00209	漏电保护器	品牌: 德力西；电流: 250A；极数: 4P	电气材料/低压电器	个	250A4P德力西漏电保护器	
REVIEW-MAT-00210	太阳能4G摄像头	供电: 太阳能；通信: 4G；清晰度: 4K	电气材料/安防监控	个	太阳能4G4K摄像头	品牌/存储规格缺失
REVIEW-MAT-00211	不锈钢名牌	定制: 是；材质: 不锈钢；规格: 120*60	定制件/标识铭牌	个	定做不锈钢名牌120*60	状态：可建档-定制件；图文内容不作为物料规格
REVIEW-MAT-00212	不锈钢名牌	定制: 是；材质: 不锈钢；规格: 100*80	定制件/标识铭牌	个	定做不锈钢名牌100*80	状态：可建档-定制件；图文内容不作为物料规格
REVIEW-MAT-00213	不锈钢名牌	定制: 是；材质: 不锈钢；规格: 30*60	定制件/标识铭牌	个	定做不锈钢名牌30*60	状态：可建档-定制件；图文内容不作为物料规格
REVIEW-MAT-00214	热水器隔电堵	用途: 热水器；功能: 隔电	工程材料/水暖五金	个	热水器隔电堵	接口规格缺失
REVIEW-MAT-00215	热水器安全阀	用途: 热水器；类型: 安全阀	工程材料/阀门	个	热水器安全阀	接口规格缺失
REVIEW-MAT-00216	水龙头花洒套装	类型: 水龙头+花洒	工程材料/水暖五金	个	水龙头花洒	状态：可合并/单位待统一；与第102行同物料，单位套/个需统一
REVIEW-MAT-00217	喷漆	品牌: 三和；颜色: 黄色	化工耗材/涂料	支	三和黄色喷漆	
REVIEW-MAT-00218	喷漆	品牌: 三和；颜色: 天蓝色	化工耗材/涂料	支	三和天蓝色喷漆	
REVIEW-MAT-00219	高粱扫把	材质: 高粱；规格: 小	清洁用品/清洁工具	个	高粱小扫把	
REVIEW-MAT-00220	帆布手套	特征: 加厚、双层	劳保耗材/手套	双	加厚双层帆布手套	状态：可合并；与第130行相近
REVIEW-MAT-00221	螺丝	规格: 8*30	五金备件/紧固件	套	8*30螺丝	材质/强度等级缺失
REVIEW-MAT-00222	螺丝	规格: 16*30	五金备件/紧固件	套	16*30螺丝	材质/强度等级缺失
REVIEW-MAT-00223	螺丝	规格: 12*60	五金备件/紧固件	套	12*60螺丝	材质/强度等级缺失
REVIEW-MAT-00224	不锈钢挂锁	材质: 不锈钢；规格: 40；品质: 好	五金备件/锁具	个	40好不锈钢挂锁	“好”是否作为质量等级保留？
REVIEW-MAT-00225	不锈钢通用挂锁	材质: 不锈钢；规格: 40；品质: 好；类型: 通用	五金备件/锁具	个	40好不锈钢通用挂锁	与第395行是否同物料需确认
REVIEW-MAT-00226	螺丝	规格: 12*50	五金备件/紧固件	套	12*50螺丝	状态：可建档 | 可合并；材质/强度等级缺失 | 与第397行同物料
REVIEW-MAT-00227	切割片	规格: 100	工具器具/磨切耗材	块	100切割片	厚度/适用材质缺失
REVIEW-MAT-00228	磨光片	规格: 100	工具器具/磨切耗材	块	100磨光片	粒度/适用材质缺失
REVIEW-MAT-00229	乳胶手套	材质: 乳胶；特征: 加厚	劳保耗材/手套	双	加厚乳胶手套	
REVIEW-MAT-00230	牛筋手套	材质/类型: 牛筋；特征: 加厚	劳保耗材/手套	双	牛筋加厚手套	状态：可建档 | 可合并；与第401行同物料
REVIEW-MAT-00231	防护眼镜	颜色: 透明	劳保耗材/眼面防护	付	透明防护眼镜	
REVIEW-MAT-00232	美工刀	类型: 美工刀	工具器具/手动工具	支	美工刀	状态：可合并；与第185行同类，品牌缺失
REVIEW-MAT-00233	高压水枪过滤总成	适用设备: 高压水枪；类型: 过滤总成	设备备件/清洗设备配件	套	高压水枪过滤总成	型号缺失
REVIEW-MAT-00234	高压水枪滤芯	适用设备: 高压水枪；类型: 滤芯	设备备件/滤芯	个	高压水枪滤芯	型号缺失
REVIEW-MAT-00235	垫片	定制: 是；规格: 12*600*5	定制件/金属加工件	个	定做12*600*5垫片	状态：可建档-定制件；材质/图纸缺失
REVIEW-MAT-00236	碘伏	容量: 500ml	劳保耗材/急救用品	瓶	碘伏500ml	
REVIEW-MAT-00237	止血贴	类型: 创可贴/止血贴	劳保耗材/急救用品	张	止血贴	状态：可建档-低精度；包装规格缺失
REVIEW-MAT-00238	医用绷带	类型: 绷带	劳保耗材/急救用品	卷	绷带	状态：可建档-低精度；宽度/长度缺失
REVIEW-MAT-00239	插头	品牌: 公牛；电流: 10A	电气材料/插头插座	个	10A公牛插头	状态：可建档 | 可合并；二插/三插缺失 | 与第418行同类，二插/三插需确认
REVIEW-MAT-00240	纯棉白布	材质: 纯棉；颜色: 白色	劳保耗材/擦拭材料	KG	纯棉大白布 | 纯棉白布	状态：可建档 | 可合并；幅宽/等级缺失 | 与第419行同物料，幅宽/等级缺失
REVIEW-MAT-00241	毛刷	规格: 3寸	工具器具/涂装工具	个	3寸 毛刷	材质/柄型缺失
REVIEW-MAT-00242	羊毛刷	规格: 4寸；材质: 羊毛	工具器具/涂装工具	个	4寸羊毛刷	
REVIEW-MAT-00243	一次性口罩	类型: 一次性	劳保耗材/呼吸防护	个	一次性口罩	状态：可建档-低精度 | 可合并；医用/工业/防护等级缺失 | 与第422行同物料，防护等级缺失 | 与第825行同物料，防护等级缺失
REVIEW-MAT-00244	旋转吊环	载荷: 8吨；类型: 旋转	吊装索具/吊环	个	8吨旋转吊环	螺纹规格缺失
REVIEW-MAT-00245	防锈漆	颜色: 铁红；类型: 防锈漆	化工耗材/涂料	桶	铁红防锈漆	包装重量/品牌缺失
REVIEW-MAT-00246	不锈钢卡扣接头	规格: DN6*6；材质: 不锈钢	气动/高压管路	个	DN6*6不锈钢卡扣接头	压力等级缺失
REVIEW-MAT-00247	不锈钢卡扣接头	规格: DN6*10；材质: 不锈钢	气动/高压管路	个	DN6*10不锈钢卡扣接头	压力等级缺失
REVIEW-MAT-00248	松香水	类型: 稀释剂/清洗剂	化工耗材/稀释清洗	桶	松香水	状态：可建档-低精度 | 可合并；包装容量/品牌缺失 | 与第430行同物料，包装容量缺失 | 与第430、475行同物料，包装容量缺失 | 与第534行同物料，包装缺失 | 与前文同物料，包装缺失 | 与第1123行同物料
REVIEW-MAT-00249	百叶砂轮片	规格: 4寸	工具器具/磨切耗材	块	4寸百叶砂轮片	粒度/材质缺失
REVIEW-MAT-00250	割枪	规格: 30号	焊接耗材/焊割工具	支	30号割枪	气体类型/品牌缺失
