编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-01501	高压对丝接头	螺纹: 30*2；类型: 对丝	液压/高压管路	只	高压接头30*2对丝	材质/压力等级缺失
REVIEW-MAT-01502	高压对丝接头	螺纹: 36*2；类型: 对丝	液压/高压管路	只	高压接头36*2对丝	材质/压力等级缺失
REVIEW-MAT-01503	高压对丝接头	螺纹: 52*2；类型: 对丝	液压/高压管路	只	高压接头52*2对丝	材质/压力等级缺失
REVIEW-MAT-01504	O型圈套装	品牌: 派克；套装: ABC	密封件/O型圈	盒	派克O型圈套装ABC	材质/规格明细/系列缺失
REVIEW-MAT-01505	弹性销	规格: M4*28；类型: 弹性销	紧固件/销	只	弹性销M4*28	材质/标准缺失
REVIEW-MAT-01506	弹性销	规格: M6*28；类型: 弹性销	紧固件/销	只	弹性销M6*28	材质/标准缺失
REVIEW-MAT-01507	T型螺丝套件	规格: M16*50；类型: T型螺丝；套件: 平垫+弹垫+螺母	紧固件/螺丝套件	套	T型螺丝M16*50平弹帽	材质/强度等级/套件明细需确认
REVIEW-MAT-01508	注浆泵连杆压力表	设备: 注浆泵；部件: 连杆压力表；量程: 16MPa	注浆设备/配件	件	注浆泵连杆压力表16MPa	适配型号/接口/精度缺失
REVIEW-MAT-01509	离心机滤网	定制: 是；适配设备: 离心机；尺寸: 1.4米*0.31米*0.72米	定制件/设备滤网	个	订做离心机滤网1.4米*0.31米*0.72米 | 定做离心机滤网1.4米*0.31米*0.72米	状态：可建档-定制件 | 可合并；材质/目数/图纸缺失 | 与2413同类，材质/目数/图纸缺失
REVIEW-MAT-01510	抗盐膨润土	类型: 抗盐膨润土	化工原料/膨润土	T	抗盐膨润土	指标/厂家/包装缺失
REVIEW-MAT-01511	T型螺丝套件	规格: M16*100；类型: T型螺丝；套件: 平垫+弹垫+螺母	紧固件/螺丝套件	套	T型螺丝M16*100平弹帽	材质/强度等级/套件明细需确认
REVIEW-MAT-01512	重型高压接头	规格: 36*2；类型: 重型高压接头	液压/高压管路	只	重型高压接头36*2	材质/压力等级/连接形式缺失
REVIEW-MAT-01513	电磁阀	进口: 是；型号: 2622200	阀门/电磁阀	只	进口电磁阀2622200	状态：可建档 | 可合并；品牌/电压/接口/介质缺失 | 与2417同类，品牌/电压/接口缺失
