编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-01301	闭门器	品类: 闭门器	五金建材/门窗五金	个	闭门器	状态：可合并；与1765同类，型号/门重范围缺失
REVIEW-MAT-01302	二位开关	位数: 二位	电气材料/开关	个	二位开关	明装/暗装/电流/品牌缺失
REVIEW-MAT-01303	花篮螺栓	规格: 14*200	吊装索具/紧固调节	个	14*200花篮	材质/开体或闭体缺失
REVIEW-MAT-01304	钢丝绳	直径: 10厘	吊装索具/钢丝绳	米	10厘钢丝绳	结构/强度等级缺失
REVIEW-MAT-01305	钢丝绳卡扣	规格: 10厘	吊装索具/钢丝绳夹	个	10厘卡扣	材质/标准缺失
REVIEW-MAT-01306	花篮螺栓	规格: 10厘	吊装索具/紧固调节	套	10厘花篮	材质/长度缺失
REVIEW-MAT-01307	扁平吊装带	额定载荷: 5T；长度: 6m；执行标准: 国标；颜色: 彩色	吊装索具/吊带	根	5T*6m国标彩色吊带	状态：可合并；与1413/1801同类，材质/安全系数缺失
REVIEW-MAT-01308	水泵	功率: 7500W；扬程: 50米	设备备件/泵	台	7500w50米扬程水泵	流量/电压/口径/类型缺失
REVIEW-MAT-01309	耐磨水管	规格: 50；特征: 加厚、耐磨	管材/水管	米	50加厚耐磨水管	材质/压力等级缺失
REVIEW-MAT-01310	接线端子	适配线径: 50mm2	电气材料/接线端子	个	50平方接线端子	型号/孔径/材质缺失
REVIEW-MAT-01311	铝合金抱箍	规格: 50；材质: 铝合金	管道紧固/抱箍	个	50铝合金抱箍	宽度/适配管缺失
REVIEW-MAT-01312	铝合金抱箍	规格: 80；材质: 铝合金	管道紧固/抱箍	个	80铝合金抱箍	宽度/适配管缺失
REVIEW-MAT-01313	管钳	规格: 18寸	工具/手动工具	支	"18\""管钳"	品牌/材质缺失
REVIEW-MAT-01314	管钳	规格: 24寸	工具/手动工具	支	"24\""管钳"	品牌/材质缺失
REVIEW-MAT-01315	污水泵	功率: 5.5kW；类型: 污水泵	设备备件/泵	台	5.5千w污水泵	流量/扬程/电压/口径缺失
REVIEW-MAT-01316	管卡	规格: 100	管道紧固/管卡	个	100管卡	材质/表面处理缺失
REVIEW-MAT-01317	连接头	规格: 100	消防材料/消防接头	个	100连接头	材质/接口标准缺失
REVIEW-MAT-01318	消防水带/水管	规格: 65；用途: 消防	消防材料/消防水带	米	65消防水管	材质/压力等级/接口缺失
REVIEW-MAT-01319	消防水带	规格: 80；用途: 消防	消防材料/消防水带	米	80消防水带	压力等级/接口形式缺失
REVIEW-MAT-01320	连接头	规格: 65	消防材料/消防接头	个	65连接头	材质/接口标准缺失
