编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-00951	卷尺	品牌: 得力；长度: 5米	工具/测量工具	个	5米得力卷尺	型号/宽度缺失
REVIEW-MAT-00952	卷尺	品牌: 得力；长度: 10米	工具/测量工具	个	10米得力卷尺	型号/宽度缺失
REVIEW-MAT-00953	尼龙扎带	规格: 10*500；包装: 大包	电气材料/扎带	包	10*500大包扎带	颜色/每包数量缺失
REVIEW-MAT-00954	气动阀	型号: APL-210V	气动元件/阀	个	APL-210V气动阀	阀门类型/电压或限位开关属性需确认
REVIEW-MAT-00955	双外丝无缝管	加工: 是；材质/形态: 无缝管；连接: 两头外丝	定制件/钢管加工件	个	加工两头外丝无缝管	状态：可建档-定制件；管径/长度/螺纹标准缺失
REVIEW-MAT-00956	消防卡箍	规格: 50；用途: 消防	管道紧固/卡箍	个	50消防卡箍	沟槽标准/压力等级缺失
REVIEW-MAT-00957	消防卡箍	规格: 65；用途: 消防	管道紧固/卡箍	个	65消防卡箍	沟槽标准/压力等级缺失
REVIEW-MAT-00958	消防卡箍	规格: 80；用途: 消防	管道紧固/卡箍	个	80消防卡箍	沟槽标准/压力等级缺失
REVIEW-MAT-00959	内六角螺丝	规格: M8*40；头型: 内六角	紧固件/螺丝	套	8*40内六角螺丝 | M8*40内六角螺丝	材质/强度等级缺失 | 材质/强度等级/套包含内容缺失
REVIEW-MAT-00960	定制橡胶垫	定制: 是；尺寸: 300*350*5mm；材质: 胶	定制件/橡胶加工件	个	定做300*350*5胶垫	状态：可建档-定制件；橡胶材质/硬度/图纸缺失
REVIEW-MAT-00961	电动扳手套筒	品牌: 世达；规格: 23号；适用: 电动扳手	工具/套筒	个	23号世达电动扳手套筒	方榫规格/长度缺失
REVIEW-MAT-00962	电动扳手套筒	品牌: 世达；规格: 24号；适用: 电动扳手	工具/套筒	个	24号世达电动扳手套筒	方榫规格/长度缺失
REVIEW-MAT-00963	扳手	品牌: 世达；规格: 13号	工具/手动工具	个	13号世达扳手	类型开口/梅花/两用需确认
REVIEW-MAT-00964	自喷漆	颜色: 白色；类型: 喷漆	化工耗材/涂料	个	白色喷漆	容量/品牌缺失
REVIEW-MAT-00965	压力开关	接口: 4分；类型: 压力开关	仪表/压力控制	个	4分压力开关	压力范围/电压/触点形式缺失
REVIEW-MAT-00966	扎丝	品类: 扎丝	建筑材料/绑扎材料	卷	扎丝	线径/每卷重量缺失
REVIEW-MAT-00967	电动抽油泵	驱动: 电动；用途: 抽油	设备备件/泵	个	电动抽油泵	流量/扬程/电压/型号缺失
REVIEW-MAT-00968	钢丝软管	公称直径: 25；结构: 钢丝增强	管材/软管	米	25钢丝管	材质/压力等级缺失
REVIEW-MAT-00969	卸扣	宽度: 6cm；额定载荷: 12T；执行标准: 国标	吊装索具/卸扣	个	宽度6cm12吨国标卸扣	型式/销轴形式缺失
REVIEW-MAT-00970	液压堵头	型号/规格: 42L；类型: 堵头	液压/高压管路	个	42L液压堵头	螺纹/压力等级缺失
REVIEW-MAT-00971	膨胀螺丝	规格: M14*150	紧固件/膨胀件	个	14*150膨胀螺丝	材质/类型缺失
REVIEW-MAT-00972	螺杆	规格: M10*50	紧固件/螺杆	个	螺杆10*50	材质/强度等级缺失
REVIEW-MAT-00973	垫片	规格: M10	紧固件/垫圈	个	M10垫片	平垫/弹垫/材质需确认
REVIEW-MAT-00974	螺母	规格: M10	紧固件/螺母	个	M10螺母	材质/强度等级缺失
REVIEW-MAT-00975	不锈钢螺丝	规格: M5.5*32；材质: 不锈钢	紧固件/螺丝	个	M5.5*32不锈钢螺丝	M5.5规格需确认，头型缺失
REVIEW-MAT-00976	螺丝组件	规格: M20*35；成套: 是	紧固件/螺丝	套	M20*35螺丝	头型/强度等级/材质缺失
REVIEW-MAT-00977	螺丝组件	规格: M20*40；成套: 是	紧固件/螺丝	套	M20*40螺丝	头型/强度等级/材质缺失
REVIEW-MAT-00978	高压树脂管	规格: 8厘；材质: 树脂；类型: 高压管	液压/高压管路	米	8厘高压树脂管	压力等级/层数缺失
REVIEW-MAT-00979	不锈钢刀阀	公称直径: DN150；材质: 不锈钢	阀门/刀阀	个	150不锈钢刀阀	连接方式/压力等级缺失
REVIEW-MAT-00980	防滑橡胶垫	功能: 防滑；材质: 胶/橡胶	劳保耗材/地面防护	平方	防滑胶垫	厚度/花纹/材质缺失
REVIEW-MAT-00981	高压枪头	特征: 加长；类型: 高压枪头	工具备件/喷枪配件	个	加长高压枪头	接口/长度/适配设备缺失
REVIEW-MAT-00982	安全网	品类: 安全网	安全防护/防护网	张	安全网	状态：可合并；与1515同类，尺寸/材质缺失
REVIEW-MAT-00983	气管直通接头	规格: 8厘；类型: 直通	气动元件/气管接头	个	8厘气管直通	材质/螺纹或快插形式缺失
REVIEW-MAT-00984	气管直通接头	规格: 10厘；类型: 直通	气动元件/气管接头	个	10厘气管直通	材质/螺纹或快插形式缺失
REVIEW-MAT-00985	气管直通接头	规格: 16厘；类型: 直通	气动元件/气管接头	个	16厘气管直通	材质/螺纹或快插形式缺失
REVIEW-MAT-00986	气管弯头接头	规格: 8厘；类型: 弯头	气动元件/气管接头	个	8厘气管弯头	材质/螺纹或快插形式缺失
REVIEW-MAT-00987	气管弯头接头	规格: 10厘；类型: 弯头	气动元件/气管接头	个	10厘气管弯头	材质/螺纹或快插形式缺失
REVIEW-MAT-00988	气管弯头接头	规格: 16厘；类型: 弯头	气动元件/气管接头	个	16厘气管弯头	材质/螺纹或快插形式缺失
REVIEW-MAT-00989	气管三通接头	规格: 8厘；类型: 三通	气动元件/气管接头	个	8厘气管三通	材质/快插形式缺失
REVIEW-MAT-00990	气管三通接头	规格: 10厘；类型: 三通	气动元件/气管接头	个	10厘气管三通	材质/快插形式缺失
REVIEW-MAT-00991	气管三通接头	规格: 16厘；类型: 三通	气动元件/气管接头	个	16厘气管三通	材质/快插形式缺失
REVIEW-MAT-00992	油雾器专用油	用途: 油雾器	化工耗材/润滑剂	瓶	油雾专用油	粘度/容量/品牌缺失
REVIEW-MAT-00993	塑料焊枪	适用材料: 塑料	工具/焊接工具	套	塑料焊枪	功率/温度范围/配置缺失
REVIEW-MAT-00994	不锈钢数字牌	材质: 不锈钢；类型: 数字牌	标识耗材/标牌	个	不锈钢数字牌	尺寸/数字范围/安装方式缺失
REVIEW-MAT-00995	502瞬干胶	型号/俗称: 502	化工耗材/胶粘剂	个	502胶水	容量/品牌缺失
REVIEW-MAT-00996	滤芯	型号: 06/08-25	备品备件/过滤件	个	06/08-25滤芯	适配设备/过滤精度缺失
REVIEW-MAT-00997	油封	品牌: SKF；型号: 37327；进口: 是	备品备件/密封件	个	进口SKF-37327油封	尺寸/材质缺失
REVIEW-MAT-00998	铜头铝合金夹	规格: 80；组成: 铜头、铝合金夹	液压/高压管路	个	80铜头铝合金夹	状态：可合并；与1654同类，连接形式需确认
REVIEW-MAT-00999	齿轮油	包装: 20L；类型: 齿轮油	化工耗材/润滑油	个	20L齿轮油	粘度等级/品牌缺失，单位建议桶
REVIEW-MAT-01000	镀锌弯头	规格: 80；表面: 镀锌；类型: 弯头	管件/镀锌管件	个	80镀锌弯头	角度/连接形式/螺纹标准缺失
