编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-00101	补心	品牌: 公元；规格: 75*50；类型: 补心/异径	工程材料/排水管件	个	公元75*50补心	材质需按同批胶管确认
REVIEW-MAT-00102	弯头	品牌: 公元；规格: 75；类型: 弯头	工程材料/排水管件	个	公元75弯头	材质需按同批胶管确认
REVIEW-MAT-00103	三通	品牌: 公元；规格: 50；类型: 三通	工程材料/排水管件	个	公元50三通	材质需按同批胶管确认
REVIEW-MAT-00104	弯头	品牌: 公元；规格: 50；类型: 弯头	工程材料/排水管件	个	公元50弯头	材质需按同批胶管确认
REVIEW-MAT-00105	异径三通	品牌: 公元；规格: 75*50；类型: 三通	工程材料/排水管件	个	公元75*50三通	材质需按同批胶管确认
REVIEW-MAT-00106	金属软管	长度: 80公分；材质: 金属	工程材料/水暖五金	个	80公分金属软管	接口规格缺失
REVIEW-MAT-00107	金属软管	长度: 40公分；材质: 金属	工程材料/水暖五金	个	40公分金属软管	接口规格缺失
REVIEW-MAT-00108	生料带	类型: 密封带	工程材料/水暖辅材	个	生料带	
REVIEW-MAT-00109	PPR阀门	品牌: 公元；规格: 25；类型: 阀门	工程材料/PPR管件	个	公元25PPR阀门	
REVIEW-MAT-00110	记号笔	类型: 记号笔	办公低耗/文具	个	记号笔	状态：可建档-低精度；颜色缺失
REVIEW-MAT-00111	PPR弯头	规格: 25；类型: 弯头	工程材料/PPR管件	个	25PPR弯头	状态：可合并；与第43行同类，缺品牌
REVIEW-MAT-00112	羊毛刷	规格: 4寸	工具器具/涂装工具	支	4寸羊毛刷	状态：可合并；与第155行同物料，单位待统一
REVIEW-MAT-00113	冲击钻头	规格: 6厘	工具器具/工具配件	支	6厘冲击钻头	
REVIEW-MAT-00114	冲击钻头	规格: 20厘	工具器具/工具配件	支	20厘冲击钻头	
REVIEW-MAT-00115	美工刀	品牌: 得力	工具器具/手动工具	支	得力美工刀	
REVIEW-MAT-00116	玻璃刮	类型: 玻璃刮	清洁用品/清洁工具	支	玻璃刮	
REVIEW-MAT-00117	膨胀螺丝	规格: 14*120	五金备件/紧固件	支	14*120膨胀螺丝	
REVIEW-MAT-00118	不锈钢洗脸盆	材质: 不锈钢；规格: 120*80；特征: 加厚	工程材料/洁具	套	不锈钢120*80加厚洗脸盆	
REVIEW-MAT-00119	插头	品牌: 德力西；电流: 16A	电气材料/插头插座	个	德力西16A插头	极数/孔型缺失
REVIEW-MAT-00120	BV电线	型号: BV；截面积: 2.5平方	电气材料/电线电缆	米	BV2.5平方电线	状态：可合并；与第25行同类，缺品牌
REVIEW-MAT-00121	PPR给水管	规格: 32；用途: 给水	工程材料/PPR管件	米	32PPR给水管	品牌缺失
