group_id	item_name	old_groups	sku_count	suggested_category	suggested_subcategory	needs_split	split_basis	confidence	reason
IMG-0747	焊接卡扣	定制件/管路接头	1	定制加工件	管路接头	no		high	样例为加工焊接管路卡扣，旧定制管路口径合理。
IMG-0748	焊接卡箍	定制件/管路接头	1	定制加工件	管路接头	no		high	样例为加工焊接卡箍，属于非标管路接头。
IMG-0749	焊接变径接头	管件/焊接管件	3	管材管件阀门	异径接头	no		high	焊接大小口变径管件，标准二级无大小头，新增异径接头。
IMG-0750	焊接异径接头	工程材料/管件；管件/焊接管件	4	管材管件阀门	异径接头	no		high	样例均为焊接大小头，工程材料旧类目过宽；新增异径接头二级。
IMG-0751	焊接弯头	工程材料/管件；管件/弯头；管件/焊接管件	12	管材管件阀门	弯头	no		high	样例均为焊接弯头，工程材料旧类目过宽。
IMG-0752	焊接接头	定制件/管路接头	1	定制加工件	管路接头	no		high	样例标明加工焊接接头，按非标管路接头归类。
IMG-0753	焊接面罩	劳保耗材/眼面防护	1	劳保防护	眼面防护	no		high	焊接面罩是人员眼面防护用品，劳保耗材旧口径不保留。
IMG-0754	焊机地线夹	焊接工具/焊机配件	1	焊接切割	焊割工具	no		high	焊机地线夹为焊接作业夹具配件，归焊割工具。
IMG-0755	焊机快速接头	焊割耗材/焊机配件	1	焊接切割	焊割工具	no		high	焊机快速接头用于焊机连接，旧耗材口径不准确。
IMG-0756	焊条	焊割耗材/焊材；焊接材料/焊条；焊接耗材/焊材；焊接耗材/焊条	9	焊接切割	焊接耗材	no		high	样例均为电焊条，归焊接耗材。
IMG-0757	焊枪线缆套装	焊接工具/焊枪配件	1	焊接切割	焊割工具	no		high	包含焊枪和线缆，是焊接作业工具套装。
IMG-0758	焊管	钢材/钢管	1	金属材料	钢管	no		high	焊管本质为钢管原材。
IMG-0759	焊罩镜片	劳保耗材/眼面防护；焊接防护/焊罩配件	2	劳保防护	眼面防护	no		high	焊罩镜片服务于焊接眼面防护，焊接防护旧类目并入劳保防护。
IMG-0760	牙刷	行政后勤/生活用品	1	清洁办公后勤	生活用品	no		high	牙刷为生活后勤用品。
IMG-0761	牙膏	行政后勤/生活用品	1	清洁办公后勤	生活用品	no		high	牙膏为生活后勤用品。
IMG-0762	牛筋手套	劳保耗材/手套	2	劳保防护	手套	no		high	样例均为牛筋手套，劳保耗材旧口径不保留。
IMG-0763	玛氏漏斗粘度计	工具器具/检测仪器	1	工具量具	检测仪器	no		high	粘度计用于检测泥浆粘度，归检测仪器。
IMG-0764	环卫夹	劳保耗材/清洁工具	1	清洁办公后勤	清洁工具	no		high	环卫夹是清洁拾取工具，旧劳保耗材明显错误。
IMG-0765	环形钢丝绳	定制件/吊装索具	1	吊装索具	钢丝绳	no		high	虽为订做环形件，本质仍是吊装钢丝绳。
IMG-0766	玻璃刮	清洁用品/清洁工具	1	清洁办公后勤	清洁工具	no		high	玻璃刮用于清洁玻璃。
IMG-0767	玻璃纸	包装材料/薄膜纸品	1	包装覆盖周转	覆盖材料	no		medium	玻璃纸为薄膜纸类覆盖包装材料，按覆盖材料归类。
IMG-0768	玻璃胶	化工耗材/胶粘剂；胶粘剂/玻璃胶	3	化工胶粘涂料	密封材料	no		high	玻璃胶主要用于接缝密封，化工耗材旧口径并入标准类目。
IMG-0769	玻璃胶枪	工具器具/涂装工具	1	工具量具	手动工具	no		high	玻璃胶枪是手动施胶工具。
IMG-0770	球阀	阀门/球阀	3	管材管件阀门	阀门	no		high	样例均为DN规格球阀。
IMG-0771	生料带	工程材料/水暖五金；工程材料/水暖辅材；管道耗材/密封材料	3	管材管件阀门	水暖五金	no		high	生料带用于管螺纹密封，归水暖五金；工程材料旧类目过宽。
IMG-0772	电位器	电气/按钮指示元件	1	电气电料	低压电器	no		high	电位器为低压电气控制元件。
IMG-0773	电力清洗剂	化工耗材/清洗剂	1	化工胶粘涂料	清洗剂	no		high	电力设备清洗剂属于化工清洗剂。
IMG-0774	电动扳手套筒	工具/套筒	5	工具量具	手动工具	no		high	套筒为扳手配套手动工具附件。
IMG-0775	电动抽油泵	设备备件/泵	1	施工机具设备	泵类设备	no		high	抽油泵为泵类整机，旧设备备件口径偏维修。
IMG-0776	电动油脂泵	润滑系统/油脂泵；润滑设备/油脂泵；设备备件/润滑设备	3	施工机具设备	泵类设备	no		medium	电动油脂泵为供脂泵装置，按泵类设备归入。
IMG-0777	电子清洗剂	清洁耗材/清洗剂	1	化工胶粘涂料	清洗剂	no		high	电子元件清洗剂属于化工清洗剂，旧清洁耗材不作分类。
IMG-0778	电子秤	工具/测量工具	1	工具量具	测量工具	no		high	电子秤用于称量测量。
IMG-0779	电子血压计	劳保耗材/急救用品	1	劳保防护	急救用品	no		medium	现场急救健康用品，标准表无急救二级，新增急救用品。
IMG-0780	电工包	工具/工具包	2	工具量具	工具套装	no		high	电工包用于收纳携带工具，归工具套装类。
IMG-0781	电工胶布	电气材料/绝缘材料	3	电气电料	绝缘材料	no		high	电工胶布是电气绝缘材料。
IMG-0782	电机	设备备件/电机	2	设备备件	电机传动备件	no		high	电机为设备传动备件。
IMG-0783	电柜散热风机	电气/配电柜散热	1	电气电料	电气辅材	no		high	电柜散热风机是配电柜通风散热辅件。
IMG-0784	电柜风扇防雨罩组合	电气/配电柜散热	1	电气电料	电气辅材	no		high	用于电柜风扇防护散热，归电气辅材。
IMG-0785	电池	电气材料/电池	3	电气电料	电气辅材	no		high	9V、5号、7号电池均为电气供电辅材。
IMG-0786	电流表	仪表/电气仪表	2	工具量具	检测仪器	no		medium	电流表用于电气测量，标准无仪表一级，归检测仪器。
IMG-0787	电浮球阀	仪表/液位控制	1	管材管件阀门	阀门	no		medium	名称和样例为电浮球阀，按带液位控制的阀门处理。
IMG-0788	电源极性检测器	工具器具/检测仪器	1	工具量具	检测仪器	no		high	用于电源极性检测，归检测仪器。
IMG-0789	电源线	电气材料/电线电缆	1	电气电料	电线电缆	no		high	电源线属于电线电缆。
IMG-0790	电源转换器	电气/电源模块	1	电气电料	低压电器	no		high	24V转12V电源转换器为低压电源元件。
IMG-0791	电源适配器	电气材料/电源电器	1	电气电料	低压电器	no		high	12V适配器为低压电源元件。
IMG-0792	电热水壶	行政后勤/生活电器	1	清洁办公后勤	生活用品	no		high	电热水壶为后勤生活电器。
IMG-0793	电焊帽	劳保耗材/眼面防护	1	劳保防护	眼面防护	no		high	电焊帽用于焊接眼面防护。
IMG-0794	电焊快速接头	焊接耗材/焊机配件	1	焊接切割	焊割工具	no		high	电焊快速接头为焊机连接配件，旧耗材口径不准确。
IMG-0795	电焊手套	劳保耗材/手套	1	劳保防护	手套	no		high	电焊手套为焊接防护手套。
IMG-0796	电焊机套装	焊割设备/焊机	1	焊接切割	焊接设备	no		medium	电焊机为焊接设备，标准表无焊接设备二级，新增二级。
