group_id	item_name	old_groups	sku_count	suggested_category	suggested_subcategory	needs_split	split_basis	confidence	reason
IMG-0499	振动电机套装	设备备件/电机	1	设备备件	电机传动备件	no		high	振动电机是设备驱动备件，旧分组基本合理。
IMG-0500	排气扇	电气材料/通风设备	2	电气电料	通风设备	no		high	电动通风器具，一级归电气电料；新建二级通风设备。
IMG-0501	排水三通	工程材料/排水管件	2	管材管件阀门	三通	no		high	排水PVC三通属于管件，旧工程材料过宽。
IMG-0502	排水异径三通	工程材料/排水管件	1	管材管件阀门	三通	no		high	异径三通仍按三通管件归类，旧工程材料过宽。
IMG-0503	排水异径补心	工程材料/排水管件	1	管材管件阀门	异径接头	no		high	排水补心是异径管接头；新建二级异径接头。
IMG-0504	排水弯头	工程材料/排水管件	2	管材管件阀门	弯头	no		high	排水弯头属于标准管件，旧工程材料过宽。
IMG-0505	排烟罩	定制件/排烟罩	1	定制加工件	金属加工件	no		high	订做不锈钢排烟罩是非标金属加工件。
IMG-0506	排风扇	电气材料/通风设备	2	电气电料	通风设备	no		high	排风扇为电动通风器具；新建二级通风设备。
IMG-0507	接地桩	电气/接地材料	1	电气电料	电气辅材	no		high	接地桩用于接地系统，归电气辅材。
IMG-0508	接地桩套件	电气/接地材料	1	电气电料	电气辅材	no		high	镀锌接地桩带螺丝是接地辅材套件。
IMG-0509	接地线	电气/电线电缆；电气材料/电线电缆	2	电气电料	电线电缆	no		high	16平方双色接地线本质是电线电缆。
IMG-0510	接地跨接线	电气材料/接地材料	1	电气电料	电线电缆	no		high	电柜接地跨接线属于接地连接导线。
IMG-0511	接线端子	电气/接线端子；电气材料/接线端子	3	电气电料	接线端子	no		high	UK端子和线鼻子均为接线端子类。
IMG-0512	接触器	电气材料/低压电器	1	电气电料	低压电器	no		high	施耐德接触器是低压控制电器。
IMG-0513	推进泵加长弯头	定制件/设备备件	1	定制加工件	金属加工件	no		medium	加工定做推进泵弯头，按非标金属加工件管理。
IMG-0514	推进泵吸轮	定制件/设备备件	1	定制加工件	金属加工件	no		medium	定做推进泵吸轮，旧设备备件口径不如定制加工件准确。
IMG-0515	插头	电气材料/插头插座	3	电气电料	插头插座	no		high	10A、16A和三相插头均为插头插座类。
IMG-0516	插座	电气/插头插座；电气材料/插头插座	5	电气电料	插头插座	no		high	墙插和工业插座均属插头插座类。
IMG-0517	插座底盒	电气材料/插头插座	1	电气电料	电气辅材	no		high	底盒是插座安装辅材，不是插座本体。
IMG-0518	插排	电气材料/插头插座	1	电气电料	插头插座	no		high	公牛多孔插排属于插头插座类。
IMG-0519	插线板	电气/插座插排；电气/插排	3	电气电料	插头插座	no		high	插线板是移动插座，归插头插座。
IMG-0520	插销	五金/门窗五金；五金备件/门窗五金	5	清洁办公后勤	门窗五金	no		high	不锈钢插销是门窗五金，旧五金备件过宽。
IMG-0521	搅拌机叶轮	设备备件/搅拌机配件	1	设备备件	搅拌机备件	no		high	适配搅拌机的叶轮属于搅拌机备件。
IMG-0522	摇表表笔	工具器具/检测仪器配件	1	工具量具	检测仪器	no		medium	摇表表笔是检测仪器配件，归检测仪器族。
IMG-0523	撬杠	工具器具/手动工具	2	工具量具	手动工具	no		high	撬杠按规格区分，属于手动工具。
IMG-0524	撬棍	工具/手动工具	2	工具量具	手动工具	no		high	撬棍属于手动工具，规格差异不拆类。
IMG-0525	收纳箱	行政后勤/收纳用品	1	包装覆盖周转	周转容器	no		high	收纳箱本质是周转收纳容器，旧行政后勤是使用口径。
IMG-0526	救生衣	安全防护/水域防护	1	劳保防护	身体防护	no		high	救生衣是人员身体防护用品。
IMG-0527	数显电笔	工具/电工工具	1	工具量具	电工工具	no		high	数显电笔属于电工手持检测工具。
IMG-0528	敲击螺丝刀	工具/手动工具	1	工具量具	手动工具	no		high	敲击螺丝刀为手动工具。
IMG-0529	整理箱	行政后勤/收纳用品	1	包装覆盖周转	周转容器	no		high	带盖整理箱本质是周转容器。
IMG-0530	斜口钳	工具/手动工具	1	工具量具	手动工具	no		high	斜口钳属于手动钳类工具。
IMG-0531	断丝取出器	工具/拆卸工具	1	工具量具	手动工具	no		high	断丝取出器为拆卸类手动工具。
IMG-0532	断点检测电笔	工具器具/电工工具	1	工具量具	电工工具	no		high	找断点电笔属于电工检测工具。
IMG-0533	断路器	电气/低压电器	2	电气电料	低压电器	no		high	断路器是典型低压电器。
IMG-0534	方头铁锹	工具器具/手动工具	2	工具量具	手动工具	no		high	铁锹属于施工手动工具，大小仅为规格。
IMG-0535	方形集水斗	工程材料/排水管件	1	管材管件阀门	水暖五金	no		medium	集水斗是排水系统配件，旧工程材料过宽。
IMG-0536	方木	建筑材料/木材	2	建筑材料	模板木方	no		high	方木用于模板木方，规格差异不拆类。
IMG-0537	方柱加工件	定制件/金属加工件	2	定制加工件	金属加工件	no		high	按尺寸加工的方柱属于非标金属加工件。
IMG-0538	方钢	原材料/型钢	3	金属材料	型钢	no		high	方钢是型钢原材料。
IMG-0539	旋转吊环	吊装索具/吊环	1	吊装索具	吊环	no		high	8吨旋转吊环为起重吊装索具；新建二级吊环。
IMG-0540	无缝管	原材料/钢管	3	金属材料	钢管	no		high	无缝管按钢管原材料归类。
