group_id	item_name	sku_count	old_groups	stock_uoms	quality_levels	agent_use_policies	sample_skus_specs_aliases
IMG-0995	透明钢丝软管	1	管材/软管	米	usable:1	confirm_before_use:1	PIPE-000134 | 公称直径：50；特征：加厚、透明、钢丝增强 | 50加厚透明钢丝管
IMG-0996	通丝螺杆	1	建筑施工耗材/紧固件	只	needs_review:1	clarify_specs_before_use:1	FAST-000071 | 规格：14*700；类型：通丝 | 通丝14*700
IMG-0997	速凝型堵漏剂	1	建材/堵漏材料	箱	needs_review:1	clarify_specs_before_use:1	CHEM-000149 | 品牌：牛元；特性：速凝型 | 牛元速凝型堵漏剂
IMG-0998	遮阳伞	1	行政后勤/生活用品	把	needs_review:1	clarify_specs_before_use:1	MAT-000226 | 类型：大遮阳伞；规格：2.2m | 大遮阳伞2.2m
IMG-0999	遮阳网	1	安全设施/防护网	平方	needs_review:1	clarify_specs_before_use:1	SAFE-000041 | 特征：密 | 密遮阳网
IMG-1000	配电箱壳体	1	电气/配电箱壳体	只	needs_review:1	clarify_specs_before_use:1	ELEC-000153 | 材质：不锈钢；安装环境：室外；尺寸：500*600*300 | 不锈钢室外箱500*600*300
IMG-1001	重型六联管夹	1	管夹/管路固定件	组	needs_review:1	clarify_specs_before_use:1	PIPE-000384 | 联数：6联；类型：重型 | 重型6联管夹
IMG-1002	重型平口钳	1	工具/夹持工具	台	usable:1	confirm_before_use:1	TOOL-000198 | 规格：5寸；特征：重型 | 5寸重型平口钳
IMG-1003	重型梅花敲击扳手	3	工具/手动工具	支	usable:3	confirm_before_use:3	TOOL-000148 | 规格：36；类型：梅花敲击；特征：重型 | 36重型梅花敲击扳手 || TOOL-000149 | 规格：46；类型：梅花敲击；特征：重型 | 46重型梅花敲击扳手 || TOOL-000150 | 规格：55；类型：梅花敲击；特征：重型 | 55重型梅花敲击扳手
IMG-1004	重型矿井卡箍	1	管夹/卡箍	只	needs_review:1	clarify_specs_before_use:1	PIPE-000376 | 品牌：迈克；规格：DN150；类型：重型矿井卡箍 | 迈克重型矿井卡箍DN150
