group_id	item_name	old_groups	sku_count	suggested_category	suggested_subcategory	needs_split	split_basis	confidence	reason
IMG-0995	透明钢丝软管	管材/软管	1	管材管件阀门	管材	no		high	钢丝增强透明软管属管材，旧软管口径可归标准管材。
IMG-0996	通丝螺杆	建筑施工耗材/紧固件	1	紧固件与连接件	螺杆	no		high	通丝全螺纹杆是标准紧固连接件，旧建筑施工耗材过粗。
IMG-0997	速凝型堵漏剂	建材/堵漏材料	1	化工胶粘涂料	密封材料	no		high	堵漏剂靠化学材料快速封堵，旧建材分类过粗。
IMG-0998	遮阳伞	行政后勤/生活用品	1	清洁办公后勤	生活用品	no		high	遮阳伞为现场后勤生活用品。
IMG-0999	遮阳网	安全设施/防护网	1	建筑材料	覆盖防护材料	no		high	遮阳网用于覆盖遮阳防护，不是人员安全防护网。
IMG-1000	配电箱壳体	电气/配电箱壳体	1	电气电料	电气辅材	no		high	配电箱壳体是电气箱柜辅材。
IMG-1001	重型六联管夹	管夹/管路固定件	1	紧固件与连接件	管卡	no		high	六联管夹用于管路固定，归管卡类连接件。
IMG-1002	重型平口钳	工具/夹持工具	1	工具量具	手动工具	no		high	平口钳为夹持类手动工具。
IMG-1003	重型梅花敲击扳手	工具/手动工具	3	工具量具	手动工具	no		high	梅花敲击扳手为手动工具，规格差异不拆类。
IMG-1004	重型矿井卡箍	管夹/卡箍	1	紧固件与连接件	管卡	no		high	卡箍用于管路夹紧固定，归管卡。
IMG-1005	重型管卡	工程材料/管道辅材	1	紧固件与连接件	管卡	no		high	管卡是管路固定连接件，旧工程材料过泛。
IMG-1006	重型管夹	管夹/管路固定件	1	紧固件与连接件	管卡	no		high	管夹用于固定管路，归管卡。
IMG-1007	重型管夹加工件	定制件/管夹卡箍	1	定制加工件	金属加工件	no		high	明确为加工管夹，按非标金属加工件处理。
IMG-1008	重型高压接头	液压/高压管路	1	液压气动	液压接头	no		high	高压接头用于液压高压管路连接。
IMG-1009	重油污清洗剂	化工耗材/清洗剂；清洁用品/清洁剂	3	化工胶粘涂料	清洗剂	no		high	重油污清洗剂是化学清洗剂，旧清洁用品口径不稳定。
IMG-1010	量杯	工具耗材/计量工具	2	工具量具	测量工具	no		high	量杯用于容量计量，归测量工具而非工具耗材。
IMG-1011	金刚磨片	工具器具/磨切耗材	1	工具耗材	磨具	no		high	磨片是打磨消耗件，归工具耗材磨具。
IMG-1012	金属测绳	工具/测量工具；工具器具/测量工具	2	工具量具	测量工具	no		high	测绳用于长度测量。
IMG-1013	金属漆	油漆涂料/金属漆	1	化工胶粘涂料	涂料	no		high	金属漆为涂料类化工材料。
IMG-1014	金属电缆防水接头	电气/电缆接头	1	电气电料	电气辅材	no		high	电缆防水接头是电缆进出线辅材。
IMG-1015	金属软管	工程材料/水暖五金	3	管材管件阀门	水暖五金	no		high	样例为4分及定长金属软管，属水暖连接软管。
IMG-1016	钉锤	工具/手动工具	1	工具量具	手动工具	no		high	钉锤是敲击类手动工具。
IMG-1017	钢丝刷	工具/清理工具；工具器具/打磨工具；工具器具/清洁工具；涂装工具/刷子	4	工具耗材	刷具	no		high	钢丝刷用于清理打磨，属刷具类工具耗材。
IMG-1018	钢丝增强管	工程材料/软管	1	管材管件阀门	管材	no		high	钢丝增强软管本质为管材，旧工程材料过泛。
IMG-1019	钢丝球	劳保耗材/清洁用品；清洁耗材/清洁工具	2	清洁办公后勤	清洁耗材	no		high	钢丝球用于清洁去污，旧劳保耗材不准确。
IMG-1020	钢丝绳	吊装索具/钢丝绳；定制件/吊装索具	8	吊装索具	钢丝绳	no		high	样例均为吊装用钢丝绳或扣压长度，定制只影响规格。
IMG-1021	钢丝绳专用剂	化工耗材/润滑防护剂	1	化工胶粘涂料	润滑剂	no		medium	钢丝绳专用剂通常为润滑防护材料，需按具体型号确认。
