group_id	item_name	sku_count	old_groups	stock_uoms	quality_levels	agent_use_policies	sample_skus_specs_aliases
IMG-0499	振动电机套装	1	设备备件/电机	套	needs_review:1	clarify_specs_before_use:1	SPARE-000117 | 进口：是；类型：振动电机；配置：整套 | 进口振动电机整套
IMG-0500	排气扇	2	电气材料/通风设备	台	standard:2	auto_select_allowed:2	ELEC-000027 | 规格：50*50 | 50*50排气扇 || ELEC-000112 | 型号：FAD40-400 | FAD40-400排气扇
IMG-0501	排水三通	2	工程材料/排水管件	个	needs_review:1；usable:1	clarify_specs_before_use:1；confirm_before_use:1	PIPE-000019 | 品牌：公元；规格：75；类型：三通 | 公元75三通；三通 || PIPE-000022 | 品牌：公元；规格：50；类型：三通 | 公元50三通
IMG-0502	排水异径三通	1	工程材料/排水管件	个	usable:1	confirm_before_use:1	PIPE-000024 | 品牌：公元；规格：75*50；类型：三通 | 公元75*50三通
IMG-0503	排水异径补心	1	工程材料/排水管件	个	usable:1	confirm_before_use:1	PIPE-000020 | 品牌：公元；规格：75*50；类型：补心/异径 | 公元75*50补心
IMG-0504	排水弯头	2	工程材料/排水管件	个	usable:2	confirm_before_use:2	PIPE-000021 | 品牌：公元；规格：75；类型：弯头 | 公元75弯头 || PIPE-000023 | 品牌：公元；规格：50；类型：弯头 | 公元50弯头
IMG-0505	排烟罩	1	定制件/排烟罩	个	needs_review:1	clarify_specs_before_use:1	METAL-000162 | 定制：是；材质：不锈钢；尺寸：500*600 | 订做不锈钢排烟罩500*600
IMG-0506	排风扇	2	电气材料/通风设备	个	standard:1；usable:1	auto_select_allowed:1；confirm_before_use:1	ELEC-000041 | 规格：50*50 | 50*50排风扇；排气扇 || ELEC-000068 | 规格：10寸 | 10寸排风扇
IMG-0507	接地桩	1	电气/接地材料	根	needs_review:1	clarify_specs_before_use:1	ELEC-000218 | 用途：接地；规格：M16*1m | 接地桩M16*1m
IMG-0508	接地桩套件	1	电气/接地材料	根	usable:1	confirm_before_use:1	ELEC-000235 | 表面处理：镀锌；规格：18*1m；配置：带螺丝 | 镀锌接地桩18*1m带螺丝
IMG-0509	接地线	2	电气/电线电缆；电气材料/电线电缆	米	needs_review:2	clarify_specs_before_use:2	ELEC-000113 | 品牌：起帆；截面积：16mm2；用途：接地 | 起帆16平方地线 || ELEC-000219 | 品牌：起帆；用途：接地；截面积：16平方；颜色：双色 | 起帆双色接地线16平方
IMG-0510	接地跨接线	1	电气材料/接地材料	支	needs_review:1	clarify_specs_before_use:1	ELEC-000137 | 用途：电柜接地跨接 | 电柜接地跨线
IMG-0511	接线端子	3	电气/接线端子；电气材料/接线端子	个；只	needs_review:1；usable:2	clarify_specs_before_use:1；confirm_before_use:2	ELEC-000142 | 适配线径：50mm2 | 50平方接线端子 || ELEC-000180 | 型号：UK5N | 接线端子UK5N || ELEC-000187 | 型号：UK5N；颜色：黄绿色 | 黄绿色接线端子UK5N
IMG-0512	接触器	1	电气材料/低压电器	个	needs_review:1	clarify_specs_before_use:1	ELEC-000064 | 品牌：施耐德；用途：行车；电流：80A | 施耐德行车接触器80A
IMG-0513	推进泵加长弯头	1	定制件/设备备件	套	needs_review:1	clarify_specs_before_use:1	SPARE-000044 | 加工定做：是；适用设备：推进泵；规格：189；特征：加长大弯头 | 加工定做推进泵189加长大弯头
IMG-0514	推进泵吸轮	1	定制件/设备备件	套	needs_review:1	clarify_specs_before_use:1	SPARE-000074 | 定制：是；适用设备：推进泵；类型：吸轮 | 定做推进泵吸轮
IMG-0515	插头	3	电气材料/插头插座	个	needs_review:2；usable:1	clarify_specs_before_use:2；confirm_before_use:1	ELEC-000033 | 品牌：德力西；电流：16A | 德力西16A插头 || ELEC-000048 | 品牌：公牛；电流：10A | 10A公牛插头 || ELEC-000144 | 类型：三相四线；电流：25A | 25A三相四插头；三相四线插头
IMG-0516	插座	5	电气/插头插座；电气材料/插头插座	个；只	needs_review:4；usable:1	clarify_specs_before_use:4；confirm_before_use:1	ELEC-000020 | 品牌：公牛；电流：16A | 公牛16A插座 || ELEC-000069 | 品牌：公牛；孔位：8孔 | 8孔公牛插座 || ELEC-000106 | 电流：16A | 16A插座 || ELEC-000222 | 型号：DKJ35-50；颜色：黑色 | DKJ35-50黑色插座 || ELEC-000228 | 型号：DKJ35-50；颜色：红色 | DKJ35-50红色插座
IMG-0517	插座底盒	1	电气材料/插头插座	个	needs_review:1	clarify_specs_before_use:1	ELEC-000056 | 类型：插座底盒 | 插座底合
IMG-0518	插排	1	电气材料/插头插座	个	standard:1	auto_select_allowed:1	ELEC-000024 | 品牌：公牛；线长：3米；孔位：8孔 | 公牛插座3米*8孔
IMG-0519	插线板	3	电气/插座插排；电气/插排	只	needs_review:3	clarify_specs_before_use:3	ELEC-000159 | 品牌：公牛；插位：6位；线长：3米 | 公牛6位对插线板3米 || ELEC-000215 | 品牌：公牛；结构：双排；线长：3m | 公牛双排插板3m || ELEC-000242 | 品牌：公牛；线长：3m；结构：双排 | 公牛3m双排插线板
IMG-0520	插销	5	五金/门窗五金；五金备件/门窗五金	个；付；套	needs_review:5	clarify_specs_before_use:5	SPARE-000002 | 材质：不锈钢 | 不锈钢插销 || SPARE-000003 | 材质：不锈钢；功能：带锁 | 不锈钢插销带锁 || SPARE-000004 | 规格：4寸 | 4寸插销 || SPARE-000007 | 材质：不锈钢 | 不锈钢插销 || MAT-000202 | 规格：300；类型：插销 | 插销300
IMG-0521	搅拌机叶轮	1	设备备件/搅拌机配件	只	needs_review:1	clarify_specs_before_use:1	SPARE-000125 | 材质：不锈钢；适配型号：QJB-960S | 不锈钢搅拌机叶轮QJB-960S
IMG-0522	摇表表笔	1	工具器具/检测仪器配件	个	needs_review:1	clarify_specs_before_use:1	TOOL-000094 | 适用设备：摇表；类型：表笔 | 摇表笔
IMG-0523	撬杠	2	工具器具/手动工具	个	usable:2	confirm_before_use:2	TOOL-000109 | 规格：60 | 60撬杠 || TOOL-000110 | 规格：120 | 120撬杠
IMG-0524	撬棍	2	工具/手动工具	支	usable:1；needs_review:1	confirm_before_use:1；clarify_specs_before_use:1	TOOL-000165 | 长度：1.3m；规格：30 | 1.3m-30撬棍 || TOOL-000166 | 长度：60cm | 60cm撬棍
IMG-0525	收纳箱	1	行政后勤/收纳用品	个	needs_review:1	clarify_specs_before_use:1	MAT-000092 | 尺寸：85*65；规格：大 | 85*65大收纳箱
IMG-0526	救生衣	1	安全防护/水域防护	件	needs_review:1	clarify_specs_before_use:1	SAFE-000081 | 规格：待补 | 救生衣
IMG-0527	数显电笔	1	工具/电工工具	支	needs_review:1	clarify_specs_before_use:1	TOOL-000261 | 品牌：世达；类型：数显电笔 | 世达数显电笔
IMG-0528	敲击螺丝刀	1	工具/手动工具	个	needs_review:1	clarify_specs_before_use:1	TOOL-000125 | 长度：400mm | 400敲击螺丝刀
IMG-0529	整理箱	1	行政后勤/收纳用品	只	usable:1	confirm_before_use:1	MAT-000157 | 尺寸：800*800*600；配置：带盖 | 整理箱带盖800*800*600
IMG-0530	斜口钳	1	工具/手动工具	把	needs_review:1	clarify_specs_before_use:1	TOOL-000265 | 品牌：世达；类型：斜口钳 | 世达斜口钳
IMG-0531	断丝取出器	1	工具/拆卸工具	盒	needs_review:1	clarify_specs_before_use:1	TOOL-000154 | 规格范围：待补 | 断丝取出器
IMG-0532	断点检测电笔	1	工具器具/电工工具	只	needs_review:1	clarify_specs_before_use:1	TOOL-000003 | 功能：找断点/测电 | 找断点电笔
IMG-0533	断路器	2	电气/低压电器	只；套	needs_review:2	clarify_specs_before_use:2	ELEC-000150 | 品牌：施耐德；额定电流：250A；极数：3P | 施耐德断路器250A-3P || ELEC-000183 | 品牌：德力西；极数：2P；额定电流：10A | 德力西断路器2P/10A
IMG-0534	方头铁锹	2	工具器具/手动工具	套	usable:2	confirm_before_use:2	TOOL-000105 | 规格：大号；类型：方头 | 大方铁锹 || TOOL-000106 | 规格：小号；类型：方头 | 小方铁锹
IMG-0535	方形集水斗	1	工程材料/排水管件	个	usable:1	confirm_before_use:1	PIPE-000099 | 品牌：公元；规格：110；形状：方形 | 公元110方形集水斗
IMG-0536	方木	2	建筑材料/木材	根	needs_review:1；usable:1	clarify_specs_before_use:1；confirm_before_use:1	MAT-000216 | 截面：30*30；长度：3.6m | 方木30*30*3.6m || MAT-000234 | 截面：30*30；长度：3m | 方木30*30*3m
IMG-0537	方柱加工件	2	定制件/金属加工件	根	needs_review:2	clarify_specs_before_use:2	SPARE-000127 | 定制：是；截面：70mm*70mm；长度：1m | 加工:是 | 加工方柱70mm*70mm*1m || SPARE-000128 | 定制：是；截面：70mm*70mm；长度：0.3m | 加工:是 | 加工方柱70mm*70mm*0.3m
IMG-0538	方钢	3	原材料/型钢	米	needs_review:3	clarify_specs_before_use:3	METAL-000027 | 规格：40*80；特征：加厚 | 40*80加厚方钢 || METAL-000033 | 规格：30*30*3 | 30*30*3方钢 || METAL-000035 | 规格：25*25 | 25*25方钢
IMG-0539	旋转吊环	1	吊装索具/吊环	个	needs_review:1	clarify_specs_before_use:1	MAT-000023 | 载荷：8吨；类型：旋转 | 8吨旋转吊环
IMG-0540	无缝管	3	原材料/钢管	米	usable:2；needs_review:1	confirm_before_use:2；clarify_specs_before_use:1	PIPE-000061 | 规格：325；壁厚：14 | 325无缝管&14 || PIPE-000100 | 规格：68*6 | 68*6无缝管 || PIPE-000123 | 规格：325*12 | 325*12无缝管
IMG-0541	无缝管加工件	1	定制件/钢管加工件	根	needs_review:1	clarify_specs_before_use:1	PIPE-000126 | 加工：是；规格：325*12；长度：12米 | 加工325*12无缝管加工12米
IMG-0542	无缝钢管	6	钢材/钢管	根；米	needs_review:3；usable:3	clarify_specs_before_use:3；confirm_before_use:3	PIPE-000129 | 外径：48mm；壁厚：4.0mm | 48*4.0无缝管；48*4厚无缝管 || PIPE-000144 | 外径：89mm；壁厚：6mm | 89*6无缝管 || PIPE-000147 | 外径：325mm；壁厚：14mm | 325*14无缝管 || PIPE-000265 | 外径：60mm；壁厚：4mm | 60*4无缝管 || PIPE-000303 | 外径：76mm；壁厚：8mm | 76*8MM无缝管 || PIPE-000411 | 外径：325；壁厚：12mm；长度：6米 | 无缝管325*12mm*6米
IMG-0543	时控开关	3	电气/低压电器；电气材料/低压电器	个；只	needs_review:3	clarify_specs_before_use:3	ELEC-000127 | 类型：时控开关 | 时控开关 || ELEC-000178 | 品牌：德力西；类型：时控开关 | 德力西时控开关 || ELEC-000221 | 品牌：施耐德；电压：220V；额定电流：10A | 施耐德时控开关220V/10A
IMG-0544	时间继电器	1	电气/继电器	只	needs_review:1	clarify_specs_before_use:1	ELEC-000208 | 品牌：施耐德；类型：多功能时间继电器 | 施耐德多功能时间继电器
IMG-0545	明矾	1	化工原料/无机盐	kg	needs_review:1	clarify_specs_before_use:1	MAT-000081 | 化学品：明矾 | 明矾
IMG-0546	明装底盒	1	电气材料/插头插座	个	needs_review:1	clarify_specs_before_use:1	ELEC-000107 | 安装：明装；类型：底盒 | 明装底盒
IMG-0547	明装插座	1	电气材料/插头插座	个	needs_review:1	clarify_specs_before_use:1	ELEC-000120 | 安装方式：明装 | 明装插座
IMG-0548	普通硅酸盐水泥	2	建材/水泥；建筑材料/水泥砂石	包	usable:1；needs_review:1	confirm_before_use:1；clarify_specs_before_use:1	MAT-CEM-000004 | 标号：PO42.5 | PO42.5水泥 || MAT-CEM-000014 | 品牌：海螺；强度等级：42.5；类型：普通硅酸盐 | 海螺42.5水泥
IMG-0549	木屑	1	辅料耗材/吸附填充材料	斤	usable:1	confirm_before_use:1	MAT-000120 | 品类：木屑 | 木屑
IMG-0550	木方	4	建筑材料/木材；建筑材料/模板木方	根；米	usable:3；needs_review:1	confirm_before_use:3；clarify_specs_before_use:1	CONST-000001 | 规格：4*9 | 4*9木方 || CONST-000002 | 规格：4*4 | 4*4木方 || MAT-000150 | 长度：4米；截面：40*90 | 木方4米*40*90 || MAT-000230 | 截面：50*100；长度：4m | 木方50*100*4m
IMG-0551	木方垫	1	定制件/木制加工件	米	needs_review:1	clarify_specs_before_use:1	SPARE-000084 | 加工：是；规格：100*100 | 加工100*100木方垫
IMG-0552	木方垫板	1	定制件/木制加工件	根	needs_review:1	clarify_specs_before_use:1	SPARE-000083 | 尺寸：200*200*1500mm；加工：是；用途：垫板 | 加工200*200*1500木方垫板
IMG-0553	机械密封	3	备品备件/密封件；密封件/机械密封	个；套	needs_review:2；usable:1	clarify_specs_before_use:2；confirm_before_use:1	SPARE-000101 | 型号：6205 | 6205机械密封 || SPARE-000107 | 规格：50 | 50机械密封 || SPARE-000134 | 材质：合金钢；型号：109-35 | 原始:机密封 | 合金钢机密封109-35
IMG-0554	机油	1	化工耗材/润滑油	桶	usable:1	confirm_before_use:1	CHEM-000081 | 品牌：道达尔；牌号：46#；包装：20L | 道达尔46#机油20升
IMG-0555	松香水	2	化工耗材/稀释清洗；油漆涂料/稀释清洗剂	桶	needs_review:2	clarify_specs_before_use:2	CHEM-000012 | 类型：稀释剂/清洗剂 | 松香水 || CHEM-000109 | 包装：12KG；类型：松香水 | 松香水12KG
IMG-0556	枕头	1	行政后勤/生活用品	个	needs_review:1	clarify_specs_before_use:1	MAT-000040 | 类型：枕头 | 枕头
IMG-0557	架子管	1	建筑施工耗材/脚手架管	根	needs_review:1	clarify_specs_before_use:1	PIPE-000446 | 长度：6m；类型：架子管 | 架子管6m
IMG-0558	桶装水抽水器套装	1	行政后勤/饮水设备	套	needs_review:1	clarify_specs_before_use:1	MAT-000161 | 品牌：子路；包含：抽水器+充电器 | 子路桶装水抽水器+充电器
IMG-0559	桶装水电动抽水器	1	行政后勤/生活用品	个	usable:1	confirm_before_use:1	MAT-000101 | 用途：桶装水；驱动：电动 | 桶装水电动抽水
IMG-0560	梅花双用扳手	1	工具/手动工具	个	usable:1	confirm_before_use:1	TOOL-000190 | 规格：14 | 14梅花双用扳手
IMG-0561	梅花开口两用扳手	3	手动工具/扳手	把	standard:1；usable:2	auto_select_allowed:1；confirm_before_use:2	TOOL-000341 | 品牌：世达；规格：41# | 世达梅开两用扳手41# || TOOL-000346 | 规格：13 | 梅花开口扳手13 || TOOL-000347 | 规格：14 | 梅花开口扳手14
IMG-0562	棉口罩	1	劳保耗材/呼吸防护	只	needs_review:1	clarify_specs_before_use:1	SAFE-000106 | 材质：棉；类型：口罩 | 棉口罩
IMG-0563	棉布	2	劳保耗材/擦拭材料；清洁耗材/擦拭材料	KG；kg	standard:1；needs_review:1	auto_select_allowed:1；clarify_specs_before_use:1	SAFE-000003 | 规格：大块 | 大块棉布 || ADMIN-000026 | 形态：大块 | 大块棉布
IMG-0564	棉拖把	1	清洁工具/拖把	只	needs_review:1	clarify_specs_before_use:1	TOOL-000255 | 材质：棉；类型：拖把 | 棉拖把
IMG-0565	棉签	1	劳保耗材/清洁用品	包	needs_review:1	clarify_specs_before_use:1	SAFE-000019 | 类型：棉签 | 棉签
IMG-0566	棉纱口罩	1	劳保耗材/呼吸防护	只	needs_review:1	clarify_specs_before_use:1	SAFE-000102 | 材质：棉纱；类型：口罩 | 棉纱口罩
IMG-0567	棉被	1	行政后勤/生活用品	个	needs_review:1	clarify_specs_before_use:1	MAT-000140 | 类型：棉被 | 棉被
IMG-0568	植筋胶	1	化工耗材/胶粘剂	支	needs_review:1	clarify_specs_before_use:1	CHEM-000038 | 类型：注射式 | 注射式植筋胶
IMG-0569	槽钢	10	原材料/型钢；金属材料/型材；钢材/型材；钢材/型钢	米	needs_review:5；usable:5	clarify_specs_before_use:5；confirm_before_use:5	METAL-000010 | 规格：200B | 200B槽钢 || METAL-000011 | 规格：160B | 160B槽钢 || METAL-000031 | 规格：100#；标准：国标 | 100#国标槽钢 || METAL-000032 | 规格：80 | 80槽钢 || METAL-000048 | 规格：10#；特征：厚 | 10#厚槽钢 || METAL-000060 | 规格：10#；执行标准：国标 | 10#国标槽钢 || METAL-000075 | 规格：10# | 10号槽钢 || METAL-000109 | 规格：10# | 10#槽钢；10#型槽钢；槽钢10#
IMG-0570	橡胶加工件	1	定制件/橡胶加工件	米	needs_review:1	clarify_specs_before_use:1	CHEM-000089 | 定制：是；规格：200*5；材质：橡胶 | 形态:橡胶条/板未定 | 定做橡胶200*5；定制橡胶条/板
IMG-0571	橡胶垫块	1	定制件/橡胶加工件	块	needs_review:1	clarify_specs_before_use:1	CHEM-000057 | 尺寸：260*330*5mm；加工：是 | 加工260*330*5橡胶垫块
IMG-0572	橡胶垫片	2	密封件/垫片	个；只	needs_review:2	clarify_specs_before_use:2	FAST-000078 | 材质：橡胶；规格：200 | 橡胶垫片200 || FAST-000101 | 材质：橡胶；规格：50 | 橡胶垫片50
IMG-0573	橡胶平板输送带	1	输送设备/输送带	件	needs_review:1	clarify_specs_before_use:1	CHEM-000122 | 材质：橡胶；宽度：1m；厚度：10mm | 橡胶平板输送带1m*10mm
IMG-0574	橡胶手套	2	劳保用品/手套；劳保耗材/手套	付	needs_review:2	clarify_specs_before_use:2	SAFE-000097 | 材质：橡胶 | 橡胶手套 || SAFE-000142 | 材质：橡胶 | 橡胶手套
IMG-0575	橡胶支座	1	定制件/橡胶件	个	needs_review:1	clarify_specs_before_use:1	CHEM-000043 | 定制：是；材质：橡胶；类型：支座 | 定做橡胶支座
IMG-0576	橡胶板	1	原材料/橡胶材料	kg	needs_review:1	clarify_specs_before_use:1	CHEM-000050 | 厚度：2cm | 2cm橡胶板
IMG-0577	橡胶水带	1	管材/水带	米	needs_review:1	clarify_specs_before_use:1	PIPE-000219 | 规格：50；材质：橡胶；特征：加厚 | 50加厚橡胶水带
IMG-0578	橡胶锤	1	工具/手动工具	个	needs_review:1	clarify_specs_before_use:1	TOOL-000182 | 材质：橡胶 | 橡皮锤
IMG-0579	橡胶防爆水带	1	消防器材/水带	米	usable:1	confirm_before_use:1	PIPE-000109 | 规格：100；材质：橡胶；特征：防爆 | 100橡胶防爆水带
IMG-0580	欧标转换插头	1	电气/插头插座	只	usable:1	confirm_before_use:1	ELEC-000243 | 标准：欧标；孔位：5孔；功能：带USB | 5孔带USB欧标转换插头
IMG-0581	止回阀	1	阀门/止回阀	只	needs_review:1	clarify_specs_before_use:1	PIPE-000341 | 材质：304；公称通径：DN25 | 304止回阀DN25
IMG-0582	止水蝴蝶扣	1	建筑材料/止水紧固	套	usable:1	confirm_before_use:1	MAT-000049 | 规格：16*600 | 16*600止水蝴蝶扣
IMG-0583	止水针头	2	工程材料/堵漏注浆材料	个	needs_review:2	clarify_specs_before_use:2	MAT-000051 | 长度：10cm | 止水针头10CM || MAT-000052 | 长度：15cm | 止水针头15CM
IMG-0584	止血贴	1	劳保耗材/急救用品	张	needs_review:1	clarify_specs_before_use:1	SAFE-000010 | 类型：创可贴/止血贴 | 止血贴
IMG-0585	毛刷	4	工具器具/涂装工具	个；支	standard:2；usable:2	auto_select_allowed:2；confirm_before_use:2	TOOL-000023 | 规格：3寸 | 3寸毛刷 || TOOL-000035 | 规格：3寸 | 3寸毛刷 || TOOL-000038 | 规格：4寸 | 4寸毛刷 || TOOL-000043 | 规格：2寸 | 2寸毛刷
IMG-0586	毛巾	1	行政后勤/生活用品	条	needs_review:1	clarify_specs_before_use:1	MAT-000228 | 材质：棉；类型：毛巾 | 棉毛巾
IMG-0587	气体软管卡箍	1	焊接工具/气体软管配件	只	needs_review:1	clarify_specs_before_use:1	PIPE-000476 | 适配对象：氧气/乙炔管；类型：卡箍 | 氧气 乙炔管卡箍
IMG-0588	气动扳手	2	工具/气动工具	个；台	needs_review:2	clarify_specs_before_use:2	TOOL-000195 | 规格：1寸 | 1寸气动扳手 || TOOL-000200 | 规格：大号 | 大气动扳手
IMG-0589	气动油	1	油品/润滑油	瓶	needs_review:1	clarify_specs_before_use:1	CHEM-000148 | 品牌：卡仕顿；等级：特级；容量：250mL | 卡仕顿特级气动油250mL
IMG-0590	气动电磁阀	1	气动元件/阀	个	needs_review:1	clarify_specs_before_use:1	PIPE-000163 | 类型：电磁阀；用途：气动 | 气动电磁阀
IMG-0591	气动阀	1	气动元件/阀	个	usable:1	confirm_before_use:1	PIPE-000190 | 型号：APL-210V | APL-210V气动阀
IMG-0592	气泡膜	1	包装材料/缓冲包装	米	needs_review:1	clarify_specs_before_use:1	MAT-000026 | 特征：加厚 | 加厚气泡膜
IMG-0593	气源分配器	2	定制件/气动管路件	个；套	needs_review:2	clarify_specs_before_use:2	PIPE-000138 | 定制：是；材质：不锈钢；接口：2寸 | 定做不锈钢2寸气源分配器 || PIPE-000187 | 定制：是；材质：不锈钢；路数：6路 | 定做6路不锈钢气源分配器
IMG-0594	气源处理双联件	1	气动元件/气源处理	个	needs_review:1	clarify_specs_before_use:1	MAT-000083 | 型号系列：AFC；类型：双联件 | AFC双联件
IMG-0595	气管	2	气动元件/气管	米	needs_review:2	clarify_specs_before_use:2	PIPE-000232 | 外径：10mm | 10mm气管 || PIPE-000233 | 外径：16mm | 16mm气管
