标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
拖线板	品牌：公牛；线长：6米		电气/插排	只	公牛拖线板6米	C	插位数/额定电流缺失，会影响拖线板SKU区分
螺纹灯座	类型：螺纹灯座		电气/照明配件	只	螺纹灯座	C	螺口规格如E27/E40缺失，无法区分灯座SKU
百叶轮	类型：百叶轮		磨具磨料/百叶轮	片	百叶轮	C	外径/孔径/粒度缺失，无法区分百叶轮SKU
彩条布	宽度：4米		覆盖材料/彩条布	㎡	彩条布4米	C	长度/克重/材质缺失，会影响彩条布SKU区分
油布	尺寸：4米*6米		覆盖材料/油布	㎡	油布4米*6米	C	材质/克重/防水等级缺失，会影响油布SKU区分
十字螺丝刀	品牌：世达；类型：十字		工具/手动工具	把	世达螺丝刀十字	C	规格/杆长缺失，会影响螺丝刀SKU区分
铁丝	规格：14#；材质：铁		五金耗材/金属丝	KG	铁丝14#	C	表面处理/线径换算缺失，会影响铁丝SKU区分
除污剂	用途：重油污；包装：30KG		清洁化学品/除污剂	桶	重油污除污剂30KG；重油污除污剂	C	品牌/SDS/适用材质缺失，会影响除污剂SKU区分
耦合剂	容量：100mL		检测耗材/耦合剂	支	耦合剂100mL	C	用途/品牌/型号缺失，会影响耦合剂SKU区分
安全绳	直径：Φ14		安全防护/安全绳	米	安全绳Φ14	C	材质/认证/破断拉力缺失，会影响安全绳SKU区分
药芯焊丝	品牌：大西洋；类型：药芯；直径：1.2		焊接材料/焊丝	盘	大西洋药芯焊丝1.2	C	牌号/重量/适用材质缺失，会影响焊丝SKU区分
吹尘枪	品牌：世达；类型：吹尘枪		工具/气动工具	把	世达吹尘枪	C	接口规格/型号缺失，会影响吹尘枪SKU区分
内六角螺栓	强度等级：10.9；规格：M12*100；头型：内六角		紧固件/螺栓	只	10.9级M12*100内六角螺栓	C	材质/表面处理缺失，会影响螺栓SKU区分
劳动车	特征：加厚；类型：劳动车		物流搬运/手推车	辆	加厚劳动车	C	载重/轮型/尺寸缺失，无法区分劳动车SKU
老虎钳	品牌：世达；类型：老虎钳		工具/手动工具	把	世达老虎钳	C	规格/型号缺失，会影响老虎钳SKU区分
两用扳手	品牌：世达；规格：M16；类型：梅花开口两用		工具/手动工具	把	世达M16梅花开口两用扳手	B	长度/型号缺失，按品牌/规格/类型先建候选
不锈钢螺母	材质：304不锈钢；规格：M6		紧固件/螺母	只	304螺帽M6	C	标准/牙距缺失，会影响螺母SKU区分
加厚垫片	材质：304不锈钢；规格：M6；特征：加厚		紧固件/垫圈	只	304加厚垫片M6	C	外径/厚度/标准缺失，无法区分加厚垫片SKU
角钢	规格：50*50		钢材/型钢	米	角钢50*50；角铁50*50	C	厚度/材质/标准缺失，无法区分角钢SKU
洗洁精	包装：3KG		清洁耗材/清洁剂	桶	洗洁精3KG	C	品牌/浓度缺失，会影响洗洁精SKU区分
