标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
卷尺	品牌：得力；长度：5米		工具/测量工具	个	5米得力卷尺	B	型号/尺带宽度缺失，按品牌和长度先建候选
卷尺	品牌：得力；长度：10米		工具/测量工具	个	10米得力卷尺	B	型号/尺带宽度缺失，按品牌和长度先建候选
尼龙扎带	规格：10*500；包装：大包		电气材料/扎带	包	10*500大包扎带	C	颜色/每包数量缺失，“大包”包装描述不够精确
气动阀	型号：APL-210V		气动元件/阀	个	APL-210V气动阀	B	阀门类型/电压或限位开关属性需确认，按型号先建候选
双外丝无缝管加工件	加工：是；材质/形态：无缝管；连接：两头外丝		定制件/钢管加工件	个	加工两头外丝无缝管	C	管径/长度/螺纹标准缺失，定制加工件需复核加工要求
消防卡箍	规格：50；用途：消防		管道紧固/卡箍	个	50消防卡箍	B	沟槽标准/压力等级缺失
消防卡箍	规格：65；用途：消防		管道紧固/卡箍	个	65消防卡箍	B	沟槽标准/压力等级缺失
消防卡箍	规格：80；用途：消防		管道紧固/卡箍	个	80消防卡箍	B	沟槽标准/压力等级缺失
内六角螺丝	规格：M8*40；头型：内六角		紧固件/螺丝	套	8*40内六角螺丝；M8*40内六角螺丝	C	材质/强度等级/套包含内容缺失，可能影响紧固件SKU区分
定制橡胶垫	定制：是；尺寸：300*350*5mm；材质：橡胶		定制件/橡胶加工件	个	定做300*350*5胶垫	C	橡胶材质细分/硬度/图纸缺失，定制加工件需复核加工要求
电动扳手套筒	品牌：世达；规格：23号；适用：电动扳手		工具/套筒	个	23号世达电动扳手套筒	B	方榫规格/长度缺失
电动扳手套筒	品牌：世达；规格：24号；适用：电动扳手		工具/套筒	个	24号世达电动扳手套筒	B	方榫规格/长度缺失
扳手	品牌：世达；规格：13号		工具/手动工具	个	13号世达扳手	C	扳手类型（开口/梅花/两用等）需确认，可能影响工具SKU区分
自喷漆	颜色：白色；类型：自喷漆		化工耗材/涂料	个	白色喷漆	C	容量/品牌缺失，可能影响涂料SKU区分
压力开关	接口：4分；类型：压力开关		仪表/压力控制	个	4分压力开关	C	压力范围/电压/触点形式缺失，可能影响压力开关SKU区分
扎丝	类型：扎丝		建筑材料/绑扎材料	卷	扎丝	C	线径/每卷重量缺失，无法稳定区分扎丝SKU
电动抽油泵	驱动：电动；用途：抽油		设备备件/泵	个	电动抽油泵	C	流量/扬程/电压/型号缺失，无法稳定区分泵类SKU
钢丝软管	公称直径：25；结构：钢丝增强		管材/软管	米	25钢丝管	B	材质/压力等级缺失
卸扣	宽度：6cm；额定载荷：12T；执行标准：国标		吊装索具/卸扣	个	宽度6cm12吨国标卸扣	B	型式/销轴形式缺失
液压堵头	规格：42L；类型：堵头		液压/高压管路	个	42L液压堵头	B	螺纹/压力等级缺失，按42L规格先建候选
膨胀螺丝	规格：M14*150		紧固件/膨胀件	个	14*150膨胀螺丝	C	材质/类型缺失，可能影响膨胀螺丝SKU区分
螺杆	规格：M10*50		紧固件/螺杆	个	螺杆10*50	C	材质/强度等级缺失，可能影响紧固件SKU区分
垫片	规格：M10		紧固件/垫圈	个	M10垫片	C	平垫/弹垫/材质需确认，无法稳定区分垫片SKU
螺母	规格：M10		紧固件/螺母	个	M10螺母	C	材质/强度等级缺失，可能影响紧固件SKU区分
不锈钢螺丝	规格：M5.5*32；材质：不锈钢		紧固件/螺丝	个	M5.5*32不锈钢螺丝	C	M5.5规格需确认，头型缺失，可能影响螺丝SKU区分
螺丝组件	规格：M20*35；成套：是		紧固件/螺丝	套	M20*35螺丝	C	头型/强度等级/材质/套包含内容缺失，可能影响紧固件SKU区分
螺丝组件	规格：M20*40；成套：是		紧固件/螺丝	套	M20*40螺丝	C	头型/强度等级/材质/套包含内容缺失，可能影响紧固件SKU区分
高压树脂管	规格：8厘；材质：树脂；类型：高压管		液压/高压管路	米	8厘高压树脂管	C	压力等级/层数缺失，可能影响高压管SKU区分
不锈钢刀阀	公称直径：DN150；材质：不锈钢		阀门/刀阀	个	150不锈钢刀阀	C	连接方式/压力等级缺失，可能影响阀门SKU区分
防滑橡胶垫	功能：防滑；材质：橡胶		劳保耗材/地面防护	平方	防滑胶垫	C	厚度/花纹/橡胶材质细分缺失，无法稳定区分橡胶垫SKU
高压枪头	特征：加长；类型：高压枪头		工具备件/喷枪配件	个	加长高压枪头	C	接口/长度/适配设备缺失，无法稳定区分高压枪头SKU
安全网	类型：安全网		安全防护/防护网	张	安全网	C	尺寸/材质缺失，无法稳定区分安全网SKU
气管直通接头	规格：8厘；类型：直通		气动元件/气管接头	个	8厘气管直通	B	材质/螺纹或快插形式缺失
气管直通接头	规格：10厘；类型：直通		气动元件/气管接头	个	10厘气管直通	B	材质/螺纹或快插形式缺失
气管直通接头	规格：16厘；类型：直通		气动元件/气管接头	个	16厘气管直通	B	材质/螺纹或快插形式缺失
气管弯头接头	规格：8厘；类型：弯头		气动元件/气管接头	个	8厘气管弯头	B	材质/螺纹或快插形式缺失
气管弯头接头	规格：10厘；类型：弯头		气动元件/气管接头	个	10厘气管弯头	B	材质/螺纹或快插形式缺失
