标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
LED灯泡	品牌：飞利浦；功率：40W		电气/照明灯具	只	飞利浦led灯泡40W	C	色温/灯头规格缺失，会影响LED灯泡SKU区分
LED灯泡	品牌：飞利浦；功率：50W		电气/照明灯具	只	飞利浦led灯泡50W；飞利浦LED灯泡50W	C	色温/灯头规格缺失，会影响LED灯泡SKU区分
灯座	类型：灯座		电气/照明配件	只	灯座	C	螺口规格缺失，无法区分不同灯座SKU
尼龙扎带	材质：尼龙；规格：10*500		电气耗材/扎带	包	扎带10*500	C	每包数量缺失，会影响扎带按包采购的SKU区分
焊工眼镜	用途：焊工防护		劳保耗材/眼面防护	付	焊工眼镜	C	遮光号/执行标准缺失，无法稳定区分焊工眼镜SKU
组合枪头	材质：铝合金；规格：Φ100变65；类型：组合枪头		注浆设备/配件	套	铝合金Φ100变65组合枪头	C	适配设备/接口缺失，会影响组合枪头SKU区分
LED塔灯	品牌：欧普；类型：LED塔灯；电压：380V；功率：1KW		电气/照明灯具	台	欧普LED380V-1KW塔灯	C	防护等级/安装方式/信号层数缺失，会影响LED塔灯SKU区分
花纹钢板	尺寸：6m*1.51m；厚度：5.25mm；表面：花纹		钢材/钢板	张	花纹钢板6m*1.51m*5.25mm	C	材质/执行标准缺失，会影响花纹钢板SKU区分
钢板镂空字体	定制：是；材质：钢板；工艺：线切割；字符：01-50	原始：漏空	定制件/标识模板	套	线切割钢板漏空字体01-50	C	漏空疑似镂空，按镂空归一；尺寸/图纸缺失
镂空标识字牌	定制：是；材质：不锈钢；类型：标识字牌	原始：漏空	定制件/标识铭牌	件	订制不锈钢漏空标识字牌	C	漏空疑似镂空，按镂空归一；尺寸/内容/图纸缺失
阻燃地板革	特性：阻燃；尺寸：6m*2.5m		建筑装饰材料/地板革	㎡	阻燃地板革6m*2.5m	C	厚度/材质/阻燃等级缺失，会影响地板革SKU区分
双面胶带	品牌：3M；宽度：35mm		胶带/工业胶带	卷	3M双面胶35mm宽	C	长度/型号缺失，会影响双面胶带SKU区分
垃圾袋	尺寸：1.2m*1.4m		行政后勤/清洁用品	条	垃圾袋1.2m*1.4m	C	厚度/每包数量缺失，会影响垃圾袋SKU区分
