标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
撬杠	规格：60		工具器具/手动工具	个	60撬杠	B	原规格未说明60为长度还是型号/单位，需确认；材质缺失
撬杠	规格：120		工具器具/手动工具	个	120撬杠	B	原规格未说明120为长度还是型号/单位，需确认；材质缺失
电缆线	规格：3*25		电气材料/电线电缆	米	3*25电缆线	C	电缆型号/材质/品牌缺失，可能影响SKU唯一性
插座	电流：16A		电气材料/插头插座	个	16A插座	C	孔位和安装方式缺失，16A不足以唯一确定插座
明装底盒	安装：明装；类型：底盒		电气材料/插头插座	个	明装底盒	C	底盒规格尺寸缺失，需确认后才能唯一建档
RJ45水晶头	类型：RJ45水晶头		电气材料/弱电材料	个	水晶头	C	Cat等级/屏蔽类型缺失，影响水晶头SKU区分
电缆线	品牌：起帆；规格：3*6+1		电气材料/电线电缆	米	起帆3*6+1电缆	C	电缆型号/材质缺失，可能影响SKU唯一性
网线钳	用途：网线压接		工具器具/电工工具	把	网线钳	B	适配水晶头类型缺失
PVC线管	规格：25；材质：PVC		电气材料/电缆附件	米	25pvc线管	B	壁厚缺失
测电笔	外观：透明；类型：电笔		工具器具/电工工具	个	透明电笔	B	电压范围缺失
漏电断路器	品牌：施耐德；极数：3P；电流：250A		电气材料/低压电器	个	施耐德3p250A漏保	C	型号/漏电动作电流缺失，影响漏电断路器SKU区分
雨鞋	品牌：回力；特征：厚底		劳保耗材/足部防护	双	回力厚底雨鞋	C	尺码缺失，无法唯一确定雨鞋SKU
热熔机	品牌：公元；用途：PPR热熔		工具器具/管道工具	台	公元热熔机	C	功率/适用口径缺失，影响热熔机SKU区分
PPR弯头	品牌：公元；规格：25；材质：PPR		工程材料/PPR管件	个	公元25PPR弯头	C	角度缺失，无法唯一确定PPR弯头SKU；压力等级缺失
PPR管卡	品牌：公元；规格：25；类型：管卡		工程材料/PPR管件	个	公元ppr25卡扣	A	土名“卡扣”统一为PPR管卡
PPR直通	品牌：公元；规格：25；材质：PPR		工程材料/PPR管件	个	公元ppr25直通	B	压力等级缺失
不锈钢球阀	品牌：埃美柯；规格：50；材质：不锈钢；特征：加厚		工程材料/阀门	个	埃美柯50加厚不锈钢球阀	C	压力等级/连接形式缺失，影响阀门SKU区分
美工刀	类型：美工刀		工具器具/手动工具	把	美工刀	A	
美工刀片	品牌：得力；类型：刀片		工具器具/手动工具配件	盒	得力刀片	C	刀片规格/每盒数量缺失，影响SKU区分
老虎钳	品牌：世达；类型：老虎钳		工具器具/手动工具	把	世达老虎钳	C	规格尺寸缺失，影响钳类工具SKU区分
割炬	规格：100型		焊接耗材/焊割工具	把	100型割炬	B	气体类型/品牌缺失
尖嘴钳	品牌：世达；类型：尖嘴钳		工具器具/手动工具	把	世达尖嘴钳	C	规格尺寸缺失，影响钳类工具SKU区分
活动扳手	品牌：世达；类型：活动扳手		工具器具/手动工具	把	世达活动扳手	C	规格尺寸缺失，影响扳手SKU区分
排气扇	型号：FAD40-400		电气材料/通风设备	台	FAD40-400排气扇	A	
钢格板	定制：是；尺寸：1.3-1.5米		定制件/金属加工件	块	定做1.3-1.5米钢格板	C	定制件图纸/材质/承载要求缺失，尺寸为范围值
切割嘴	规格：100型		焊接耗材/焊割配件	个	100型切割嘴	C	气体类型/孔径缺失，影响切割嘴SKU区分
导电嘴	适用：二氧化碳焊；类型：导电嘴		焊接耗材/焊机配件	个	二氧化碳导电嘴	C	孔径/适配焊枪缺失，影响导电嘴SKU区分
膨胀螺丝	规格：M20*140		五金备件/紧固件	个	M20*140膨胀螺丝	B	材质/表面处理缺失
膨胀螺丝	规格：M22*140		五金备件/紧固件	个	M22*140膨胀螺丝	B	材质/表面处理缺失
PPR管	规格：DN200；材质：PPR		工程材料/PPR管件	米	DN200PPR管	C	压力等级/品牌缺失，影响PPR管SKU区分
PPR接头	规格：200；材质：PPR		工程材料/PPR管件	个	200PPR接头	C	接头形式缺失，无法唯一确定PPR接头SKU；压力等级缺失
花篮螺丝	规格：10厘		吊装索具/拉紧器	个	10厘花篮	B	材质/载荷缺失
膨胀钩	规格：10厘		五金备件/紧固件	个	10厘膨胀钩	B	材质/载荷缺失
拖把	类型：拖把		劳保耗材/清洁工具	个	拖把	A	
双门控制箱	定制：是；结构：双门		定制件/电控箱	套	定做双门控制箱	C	定制件尺寸/电气配置/IP等级缺失，无法唯一确定
推进泵吸轮	定制：是；适用设备：推进泵；类型：吸轮		定制件/设备备件	套	定做推进泵吸轮	C	定制件图纸/材质缺失，需确认适配要求
